,Concept_ID,,uz
0,Auge::N,,ko'z
1,Ohr::N,,quloq
2,Nase::N,,burun
3,Mund::N,,og'iz
4,Zahn::N,,tish
5,Zunge::N,,til
6,Lippe::N,,dudoq
7,Wange::N,,bet
8,Gesicht::N,,yuz
9,Stirn::N,,manglay
10,Haar::N,,soch
11,Schnurrbart::N,,mo'ylov
12,Bart::N,,soqol
13,Kinn::N,,ängak
14,Kiefer[Anatomie]::N,,iyak
15,Kehle::N,,bo'g'iz
16,Hals::N,,bo'yin
17,Genick::N,,gardan
18,Kopf::N,,bosh
19,Rücken::N,,orqa
20,Bauch::N,,qorin
21,Nabel::N,,kindik
22,Busen::N,,ämchak
23,Brust::N,,ko'krak
24,Schulter::N,,elka
25,Arm::N,,bilak
26,Ellenbogen::N,,tirsak
27,Hand::N,,qo'l
28,Handfläche::N,,kaft
29,Finger::N,,barmoq
30,Fingernagel::N,,tirnoq
31,Nagel[Anatomie]::N,,tirnoq
32,Zeh::N,,oyoq barmog'i
33,Fuß::N,,oyoq
34,Ferse::N,,tovon
35,Knie::N,,tiz
36,Oberschenkel::N,,son
37,Bein::N,,oyoq
38,Körper::N,,badna
39,Haut::N,,teri
40,Blut::N,,qon
41,Ader::N,,qon tomir
42,Sehne::N,,tomir
43,Knochen::N,,suyak
44,Gehirn::N,,miya
45,Herz::N,,qalb
46,Magen::N,,oshqozon
47,Leber::N,,bag'ir
48,Atem::N,,dam
49,Hunger::N,,ochlik
50,Träne::N,,yosh
51,Geschmack::N,,tam
52,Geruch::N,,jid
53,Schlaf::N,,uyqu
54,Traum::N,,tush
55,Himmel::N,,osmon
56,Sonne::N,,quyosh
57,Mond::N,,oy
58,Stern::N,,yulduz
59,Luft::N,,havo
60,Wind::N,,el
61,Welle::N,,to'lqin
62,Wasser::N,,suv
63,Stein::N,,tosh
64,Boden::N,,tuproq
65,Erde::N,,er
66,Staub::N,,chang
67,Rauch::N,,tutun
68,Funke::N,,yalt
69,Feuer::N,,o't
70,Licht::N,,yorug'
71,Schatten::N,,soya
72,Wetter::N,,havo
73,Nebel::N,,tuman
74,Wolke::N,,bulut
75,Regen::N,,yomg'ir
76,Schnee::N,,qor
77,Eis::N,,muz
78,Frost::N,,ajoz
79,Kälte::N,,ajoz
80,Hitze::N,,issiq
81,Raureif::N,,qirov
82,Regenbogen::N,,kamalak
83,Donner::N,,guldur
84,Strömung::N,,oqim
85,Tropfen::N,,tomchi
86,Schaum::N,,ko'pik
87,Schmutz::N,,gard
88,See::N,,ko'l
89,Sumpf::N,,botqoq
90,Moor::N,,qir-adir
91,Wiese::N,,o'tzor
92,Wald::N,,o'rmon
93,Hügel::N,,tepa
94,Anhöhe::N,,adir
95,Berg::N,,tog'
96,Gipfel::N,,cho'qqi
97,Höhle::N,,kavak
98,Abhang::N,,to'sh
99,Quelle::N,,buloq
100,Bach::N,,o'zan
101,Fluss::N,,daryo
102,Ufer::N,,sohil
103,Küste::N,,qirg'oq
104,Festland::N,,materik
105,Meer::N,,dengiz
106,Bucht::N,,qo'ltiq
107,Insel::N,,orol
108,Blume::N,,gul
109,Gras::N,,sabza
110,Wurzel::N,,tub
111,Wurzel::N,,tomir
112,Baum::N,,daraxt
113,Stamm::N,,o'simta
114,Rinde::N,,qobiq
115,Ast::N,,shox
116,Zweig::N,,butoq
117,Blatt::N,,barg
118,Birke::N,,qayin
119,Kiefer[Baum]::N,,qarag'ay
120,Weide[Baum]::N,,shum
121,Tanne::N,,archa
122,Horn::N,,mugiz
123,Feder::N,,par
124,Fell::N,,mo'yna
125,Flügel::N,,qanot
126,Klaue::N,,tirnoq
127,Kralle::N,,tirnoq
128,Schwanz::N,,quyruq
129,Ei::N,,tuxum
130,Nest::N,,oshyon
131,Bau::N,,o'pqon
132,Tier::N,,hayvon
133,Herde::N,,gala
134,Kuh::N,,inak
135,Bulle::N,,ho'kiz
136,Pferd::N,,ot
137,Schaf::N,,qo'y
138,Schwein::N,,cho'chqa
139,Hund::N,,it
140,Katze::N,,mushuk
141,Bär::N,,ayiq
142,Eichhörnchen::N,,tiyin
143,Elch::N,,los
144,Fuchs::N,,tulki
145,Hase::N,,kuyon
