,Concept_ID,ru,lez
0,Auge::N,глаз,вил
1,Ohr::N,ухо,яб
2,Nase::N,нос,нер
3,Mund::N,рот,сив
4,Zahn::N,зуб,сас
5,Zahn::N,зуб,свах
6,Zunge::N,язык,мез
7,Lippe::N,губа,пӏуз
8,Wange::N,щека,хъвехъ
9,Gesicht::N,лицо,ччин
10,Stirn::N,лоб,пел
11,Haar::N,волос,чӏар
12,Haar::N,волосы,чӏар
13,Schnurrbart::N,ус,спел
14,Schnurrbart::N,ус,спелар
15,Schnurrbart::N,усы,спел
16,Schnurrbart::N,усы,спелар
17,Bart::N,борода,ччуру
18,Kinn::N,подбородок,чене
19,Kiefer[Anatomie]::N,челюсть,чене
20,Kehle::N,горло,туьд
21,Hals::N,шея,гардан
22,Genick::N,затылок,кьам
23,Kopf::N,голова,кьил
24,Rücken::N,спина,далу
25,Bauch::N,живот,руфун
26,Nabel::N,пупок,пицӏ
27,Busen::N,женская грудь,мам
28,Brust::N,грудь,хур
29,Schulter::N,плечо,къуьн
30,Arm::N,рука,гъил
31,Ellenbogen::N,локоть,кьуьнт
32,Hand::N,кисть,капаш
33,Handfläche::N,ладонь,капан юкь
34,Finger::N,палец,тӏуб
35,Fingernagel::N,ноготь,кек
36,Nagel[Anatomie]::N,ноготь,кек
37,Zeh::N,палец,кул
38,Fuß::N,ступня,кӏвач
39,Ferse::N,пята,дабан
40,Ferse::N,пятка,дабан
41,Knie::N,колено,мет
42,Oberschenkel::N,бедро,
43,Bein::N,нога,кӏвач
44,Körper::N,тело,беден
45,Haut::N,кожа,хам
46,Blut::N,кровь,иви
47,Ader::N,вена,дамар
48,Ader::N,сосуд,дамар
49,Sehne::N,жила,кьуру дамар
50,Sehne::N,тетива,кьуру дамар
51,Sehne::N,сухожилие,кьуру дамар
52,Knochen::N,кость,кӏараб
53,Gehirn::N,мозг,мефт
54,Herz::N,сердце,рикӏ
55,Magen::N,желудок,хук
56,Leber::N,печень,лекь
57,Atem::N,дух,ял
58,Atem::N,дух,нефес
59,Atem::N,дыхание,ял
60,Atem::N,дыхание,нефес
61,Hunger::N,голод,каш
62,Träne::N,слеза,вилин нагъв
63,Geschmack::N,вкус,дад
64,Geschmack::N,вкус,тӏям
65,Geruch::N,запах,ни
66,Schlaf::N,сон,ахвар
67,Traum::N,сновидение,ахвар
68,Himmel::N,небо,цав
69,Sonne::N,солнце,рагъ
70,Mond::N,луна,варз
71,Stern::N,звезда,гъед
72,Luft::N,воздух,гьава
73,Wind::N,ветер,гар
74,Welle::N,волна,лепе
75,Wasser::N,вода,яд
76,Stein::N,камень,къван
77,Boden::N,почва,накьв
78,Erde::N,земля,ччил
79,Staub::N,пыль,руг
80,Rauch::N,дым,гум
81,Funke::N,искра,цӏелхем
82,Feuer::N,огонь,цӏай
83,Licht::N,свет,экв
84,Schatten::N,тень,серин
85,Wetter::N,погода,гьава
86,Nebel::N,туман,ччилин циф
87,Wolke::N,облако,циф
88,Regen::N,дождь,марф
89,Schnee::N,снег,жив
90,Eis::N,лед,мурк
91,Frost::N,мороз,аяз
92,Kälte::N,холод,мекь
93,Kälte::N,холод,мекьивал
94,Hitze::N,жара,зегьем
95,Raureif::N,иней,къирав
96,Regenbogen::N,радуга,яргъируш
97,Donner::N,гром,цавун ван
98,Strömung::N,течение,
99,Tropfen::N,капля,стӏал
100,Schaum::N,пена,каф
101,Schmutz::N,грязь,чирк
102,Schmutz::N,грязь,кьуруш
103,See::N,озеро,вир
104,Sumpf::N,топь,уьлен
105,Moor::N,болото,
106,Wiese::N,луг,векь
107,Wald::N,лес,там
108,Hügel::N,холм,кӏунтӏ
109,Anhöhe::N,возвышенность,тепе
110,Anhöhe::N,возвышенность,гьуьндуьрвал
111,Berg::N,гора,дагъ
112,Gipfel::N,вершина,кӏукӏ
113,Höhle::N,пещера,кьветӏ
114,Abhang::N,склон,гуьне
115,Quelle::N,источник,чешме
116,Bach::N,ручей,булах
117,Fluss::N,река,вацӏ
118,Ufer::N,берег,къерех
119,Küste::N,побережье,къерех
120,Festland::N,суша,кьурамат
121,Meer::N,море,гьуьл
122,Bucht::N,бухта,бухта
123,Insel::N,остров,остров
124,Blume::N,цветок,цуьк
125,Gras::N,трава,хъач
126,Wurzel::N,корень,дувул
127,Baum::N,дерево,ттар
128,Stamm::N,ствол,тан
129,Rinde::N,кора,чкал
130,Ast::N,сук,тӏур
131,Zweig::N,ветвь,хел
132,Blatt::N,лист,пеш
133,Birke::N,береза,верх
134,Kiefer[Baum]::N,сосна,шамагъаж
135,Weide[Baum]::N,ива,цӏвелин ттар
136,Tanne::N,ель,ель
137,Horn::N,рог,карч
