,Concept_ID,ko,fa
0,Auge::N,눈,چشم
1,Ohr::N,귀,گوش
2,Nase::N,코,بینی
3,Mund::N,입,دهان
4,Zahn::N,이,دندان
5,Zunge::N,혀,زبان
6,Lippe::N,입술,لب
7,Wange::N,뺨,لپ
8,Gesicht::N,얼굴,رو
9,Gesicht::N,얼굴,چهره
10,Stirn::N,이마,پیشانی
11,Haar::N,털,مو
12,Schnurrbart::N,윗수몀,سبیل
13,Schnurrbart::N,코밑수염,سبیل
14,Bart::N,수엄,ریش
15,Kinn::N,아래턱,چانه
16,Kiefer[Anatomie]::N,턱,فک
17,Kiefer[Anatomie]::N,턱,آرواره
18,Kehle::N,인후,حلق
19,Hals::N,목,گردن
20,Genick::N,먹덜이,پشت گردن
21,Kopf::N,머리,سر
22,Kopf::N,머리,کله
23,Rücken::N,든,پشت
24,Bauch::N,배,شکم
25,Nabel::N,배꼽,ناف
26,Busen::N,가슴속,پستان
27,Brust::N,가슴,سینه
28,Schulter::N,어깨,دوش
29,Schulter::N,어깨,شانه
30,Arm::N,팔,بازو
31,Ellenbogen::N,팔쿰치,آرنج
32,Hand::N,손,دست
33,Handfläche::N,손바닥,کف دست
34,Finger::N,속가락,انگشت
35,Fingernagel::N,손톱,ناخن دست
36,Nagel[Anatomie]::N,손톱,ناخن
37,Zeh::N,발가락,انگشت پا
38,Fuß::N,발,پا
39,Ferse::N,발꿈치,پاشنه
40,Knie::N,무릎,زانو
41,Oberschenkel::N,허벅다리,ران
42,Bein::N,다리,پا
43,Bein::N,다리,لنگ
44,Körper::N,구간,تن
45,Körper::N,구간,بدن
46,Haut::N,살갗,پوست
47,Blut::N,피,خون
48,Ader::N,정맥,رگ
49,Sehne::N,현,زردپی
50,Knochen::N,뼈,استخوان
51,Gehirn::N,뇌,مخ
52,Gehirn::N,뇌,مغز
53,Gehirn::N,뇌수,مخ
54,Gehirn::N,뇌수,مغز
55,Herz::N,염통,دل
56,Herz::N,염통,قلب
57,Magen::N,위,معده
58,Leber::N,간,کبد
59,Atem::N,기식,نفس
60,Hunger::N,공복,گرسنگی
61,Träne::N,눈물,اشک
62,Geschmack::N,기호,مزه
63,Geruch::N,냄새,بو
64,Schlaf::N,수면,خواب
65,Traum::N,쿰,رؤیا
66,Himmel::N,하늘,فلک
67,Himmel::N,하늘,آسمان
68,Sonne::N,해,آفتاب
69,Sonne::N,해,خورشید
70,Mond::N,달,ماه
71,Stern::N,별,ستاره
72,Luft::N,동준,هوا
73,Luft::N,가스채,هوا
74,Wind::N,바람,باد
75,Welle::N,물결,موج
76,Wasser::N,물,آب
77,Stein::N,돌,سنگ
78,Boden::N,바닥,زمین
79,Erde::N,흙,خاک
80,Erde::N,흙,زمین
81,Staub::N,먼지,گرد
82,Staub::N,먼지,غبار
83,Rauch::N,연기,دود
84,Funke::N,불티,جرقه
85,Feuer::N,불,آتش
86,Licht::N,불,نور
87,Licht::N,불,روشنی
88,Schatten::N,어스레함,سایه
89,Wetter::N,기상,هوا
90,Nebel::N,안개,مه
91,Wolke::N,구름,ابر
92,Regen::N,비,باران
93,Schnee::N,눈,برف
94,Eis::N,얼음,یخ
95,Frost::N,혹한,یخبندان
96,Kälte::N,추위,سرما
97,Kälte::N,차가움,سرما
98,Hitze::N,고온,گرما
99,Hitze::N,고온,حرارت
100,Hitze::N,더위,گرما
101,Hitze::N,더위,حرارت
102,Regenbogen::N,무지개,رنگین‌کمان
103,Donner::N,뇌명,رعد
104,Strömung::N,유동,جریان
105,Tropfen::N,물방울,قطره
106,Schaum::N,포말,کف
107,Schmutz::N,때,گل
108,Schmutz::N,때,کثافت
109,See::N,호수,دریاچه
110,Sumpf::N,습지,مرداب
111,Sumpf::N,습지,باتلاق
112,Moor::N,저습지,باتلاق
113,Wiese::N,목초지,چمن
114,Wald::N,숲,جنگل
115,Hügel::N,언덕,تل
116,Hügel::N,언덕,تپه
117,Anhöhe::N,언덕,بلندی
118,Berg::N,산,کوه
119,Gipfel::N,졀졍,قله
120,Höhle::N,공동,غار
121,Abhang::N,몰매,سرازیری
122,Quelle::N,근원,چشمه
123,Bach::N,내,نهر
124,Fluss::N,강,رود
125,Ufer::N,강변,ساحل
126,Ufer::N,강변,کرانه
127,Ufer::N,바닷가,ساحل
