,Concept_ID,ab,kk
0,Auge::N,ала,көз
1,Ohr::N,алымҳа,құлақ
2,Nase::N,аҧынҵа,мұрын
3,Mund::N,аҧышə,ауыз
4,Zahn::N,ахаҧыц,тіс
5,Zunge::N,абз,тіл
6,Lippe::N,ақьышə,ерін
7,Wange::N,аӡамҩа,ұрт
8,Gesicht::N,аҿы,бет-аузы
9,Stirn::N,алахь,маңдай
10,Haar::N,ахəыц,қыл
11,Schnurrbart::N,аҧаҵа,мұрт
12,Bart::N,ажакьа,сақал
13,Kinn::N,ацламкəыгə,иек
14,Kiefer[Anatomie]::N,ацламҳəа,жақ
15,Kehle::N,ахəда,алқым
16,Hals::N,ахəда,мойын
17,Genick::N,ахəдаџьал,желке
18,Kopf::N,ахы,кәллә
19,Rücken::N,азқəа,арқа
20,Bauch::N,амгəа,қарын
21,Nabel::N,аҷапан,кіндік
22,Busen::N,агəыҧҳəы,омырау
23,Brust::N,агəышҧы,кеуде
24,Schulter::N,ажəҩахыр,иық
25,Arm::N,амахəар,қол
26,Ellenbogen::N,амашьхəылҵ,шынтақ
27,Hand::N,анапы,қол
28,Handfläche::N,анапсаргəыҵа,алақан
29,Finger::N,анацəа,саусақ
30,Fingernagel::N,анапхыц,тырнақ
31,Nagel[Anatomie]::N,ашьапхыц,тырнақ
32,Zeh::N,ашьацəа,тырнақ
33,Zeh::N,ашьацəа,тұяқ
34,Fuß::N,ашьапсыргəыҵа,аяқ-басы
35,Ferse::N,ашьхəа,өкше
36,Ferse::N,ашьхəа,өкшелік
37,Knie::N,ашьамхы,тізе
38,Oberschenkel::N,ауаҭəа,жамбас
39,Bein::N,ашьапы,аяқ
40,Körper::N,ацəеижь,дене
41,Haut::N,ацəа,тері
42,Blut::N,ашьа,қан
43,Ader::N,ада,көктамыр
44,Ader::N,ада,күретамыр
45,Sehne::N,адаш,сіңір
46,Knochen::N,абаҩ,жілік
47,Gehirn::N,ахшлыбаҩ,ми
48,Gehirn::N,ахшыбаҩ,ми
49,Herz::N,агəы,жүрек
50,Magen::N,аца,асқазан
51,Magen::N,ацар,асқазан
52,Leber::N,агəаҵəа,бауыр
53,Atem::N,аҧсыҧлагаҩгара,леп
54,Hunger::N,амла,ашаршылық
55,Träne::N,алабжыш,жас
56,Geschmack::N,агьама,дәм
57,Geschmack::N,агьама,татым
58,Geschmack::N,агьама,талғам
59,Geruch::N,афҩы,иіс
60,Schlaf::N,ацəа,ұйқы
61,Schlaf::N,ацəа,ұйықтау
62,Traum::N,аҧхыӡ,түс
63,Himmel::N,ажəҩан,аспан
64,Himmel::N,ажəҩан,көқ
65,Himmel::N,ажəҩан,таңдай
66,Sonne::N,амра,күн
67,Mond::N,амза,ай
68,Stern::N,аеҵəа,жұлдыз
69,Luft::N,аҳаир,әуе
70,Wind::N,аҧша,жел
71,Welle::N,ацəқəырҧа,толқын
72,Wasser::N,аӡы,су
73,Stein::N,ахаҳə,тас
74,Boden::N,адгьыл,қыртыс
75,Erde::N,адгьыл,топырақ
76,Staub::N,асаба,шаң
77,Rauch::N,алҩа,түтін
78,Funke::N,акəиц,ұшқын
79,Funke::N,ацҧхь,ұшқын
80,Feuer::N,амца,алау
