,Concept_ID,ga,kn
0,Auge::N,súil,ಕಣ್ಣು
1,Ohr::N,cluas,ಕಿವಿ
2,Nase::N,soc,ಮೂಗು
3,Mund::N,béal,ಬಾಯಿ
4,Zahn::N,fiacail,ಹಲ್ಲು
5,Zunge::N,teanga,ನಾಲಿಗೆ
6,Lippe::N,liopa,ತುಟಿ
7,Wange::N,grua,ಗಲ್ಲ
8,Wange::N,leiceann,ಗಲ್ಲ
9,Gesicht::N,éadan,ಮುಖ
10,Gesicht::N,aghaidh,ಮುಖ
11,Stirn::N,baithis,ಹಣೆ
12,Stirn::N,clár éadain,ಹಣೆ
13,Haar::N,gruaig,ಕೂದಲು
14,Schnurrbart::N,croiméal,ಮೀಸೆ
15,Bart::N,féasóg,ಗಡ್ಡ
16,Kinn::N,smig,ಗದ್ದ
17,Kiefer[Anatomie]::N,giall,ದವಡೆ
18,Kehle::N,scornach,ಗಂಟಲು
19,Hals::N,muinéal,ಕೊರಳು
20,Genick::N,baic,ಹಿಂಗತ್ತು
21,Kopf::N,ceann,ತಲೆ
22,Rücken::N,droim,ಬೆನ್ನು
23,Bauch::N,bolg,ಹೊಟ್ಟೆ
24,Nabel::N,imleacán,ಹೊಕ್ಕುಳು
25,Busen::N,cíoch,ಸ್ತನ
26,Brust::N,brollach,ಎದೆ
27,Schulter::N,gualainn,ಭುಜ
28,Arm::N,lámh,ತೋಳು
29,Ellenbogen::N,uillinn,ಮೊಣಕೈ
30,Hand::N,lámh,ಕೈ
31,Handfläche::N,bos,ಅಂಗೈ
32,Finger::N,méar,ಕೈಬೆರಳು
33,Fingernagel::N,ionga,ಉಗುರು
34,Nagel[Anatomie]::N,ionga,ಉಗುರು
35,Zeh::N,ladhar,ಕಾಲ್ಬೆರಳು
36,Fuß::N,cos,ಪಾದ
37,Fuß::N,troigh,ಪಾದ
38,Ferse::N,sáil,ಹಿಮ್ಮಡಿ
39,Knie::N,glúin,ಮಂಡಿ
40,Oberschenkel::N,ceathrú,ತೊಡೆ
41,Bein::N,cos,ಕಾಲು
42,Körper::N,corp,ದೇಹ
43,Körper::N,colainn,ದೇಹ
44,Haut::N,cneas,ಚರ್ಮ
45,Haut::N,craiceann,ಚರ್ಮ
46,Blut::N,fuil,ರಕ್ತ
47,Sehne::N,teannán,ನರ
48,Sehne::N,féitheog,ನರ
49,Knochen::N,cnámh,ಮೂಳೆ
50,Gehirn::N,inchinn,ಮಿದುಳು
51,Herz::N,croí,ಹೃದಯ
52,Magen::N,bolg,ಉದರ
53,Magen::N,goile,ಉದರ
54,Leber::N,ae,ಯಕೃತ್ತು
55,Atem::N,anáil,ಉಸಿರು
56,Hunger::N,ocras,ಹಸಿವು
57,Träne::N,deoir,ಕಣ್ಣೀರು
58,Geschmack::N,blas,ರುಚಿ
59,Geruch::N,boladh,ವಾಸನೆ
60,Schlaf::N,suan,ನಿದ್ರೆ
61,Schlaf::N,codladh,ನಿದ್ರೆ
62,Traum::N,taibhreamh,ಕನಸು
63,Himmel::N,spéir,ಬಾನು
64,Sonne::N,grian,ಸೂರ್ಯ
65,Mond::N,ré,ಚಂದ್ರ
66,Mond::N,gealach,ಚಂದ್ರ
67,Stern::N,rinn,ಚುಕ್ಕಿ
