,Concept_ID,os,mdf
0,Auge::N,цӕст,сельме
1,Ohr::N,хъус,пиле
2,Nase::N,фындз,шалхка
3,Mund::N,дзых,курга
4,Zahn::N,дӕндаг,пей
5,Zunge::N,ӕвзаг,кяль
6,Lippe::N,был,търва́
7,Wange::N,рус,щёка
8,Wange::N,уадул,щёка
9,Wange::N,ӕхсӕрфарс,щёка
10,Gesicht::N,цӕсгом,шама
11,Stirn::N,ных,коня
12,Haar::N,хил,шя́ярь
13,Schnurrbart::N,рихи,уса́
14,Bart::N,зачъе,сакал
15,Kinn::N,роцъо,ула
16,Kiefer[Anatomie]::N,ӕфсӕр,саласка
17,Kehle::N,хъуыр,кълдома
18,Kehle::N,хъуыр,кърга́парь
19,Hals::N,къубал,сялдаз
20,Genick::N,къӕбут,шовонь
21,Kopf::N,сӕр,пря
22,Rücken::N,фӕсонтӕ,копорь
23,Bauch::N,гуыбын,пеке
24,Nabel::N,бикъ,по́кон
25,Busen::N,дзидзи,потя
26,Brust::N,риу,мяште
27,Schulter::N,уӕхск,лафту
28,Arm::N,цонг,кядь
29,Ellenbogen::N,рæмбын,кенерьба́карь
30,Hand::N,къух,кядь
31,Handfläche::N,армытъӕпӕн,кядьлапш
32,Finger::N,ӕнруылдз,сур
33,Fingernagel::N,ных,кенже
34,Nagel[Anatomie]::N,ных,кенже
35,Zeh::N,къух,пильгосу́р
36,Fuß::N,фад,пильге
37,Fuß::N,фад,пильгелапа
38,Ferse::N,зӕвӕт,кочкяря
39,Knie::N,уӕраг,эль
40,Knie::N,уӕраг,пълма́нжа
41,Oberschenkel::N,агъд,пильгепукша
42,Bein::N,зӕнг,пильге
43,Körper::N,буар,ро́нга
44,Körper::N,буар,по́нда
45,Haut::N,царм,киське
46,Blut::N,туг,вер
47,Ader::N,дадзин,сан
48,Ader::N,дадзин,верза́н
49,Ader::N,тугдадзин,сан
50,Ader::N,тугдадзин,верза́н
51,Sehne::N,хъиутæ,коське сан
52,Sehne::N,нуар,коське сан
53,Knochen::N,стӕг,пакарь
54,Gehirn::N,магъз,уй
55,Herz::N,зӕрдӕ,седи
56,Magen::N,ахсӕн,коткърдазь
57,Leber::N,игæр,макса
58,Atem::N,улӕфт,лекома
59,Atem::N,улӕфт,ваймонь тарксема
60,Hunger::N,стонг,вачеши
61,Träne::N,цæссыг,сельмове́дь
62,Geschmack::N,ад,таньф
63,Geruch::N,смаг,шине
64,Schlaf::N,хуыссӕг,удома́
65,Traum::N,фын,он
66,Himmel::N,арв,менель
67,Himmel::N,уӕларв,менель
68,Sonne::N,хур,ши
69,Mond::N,мӕй,ков
70,Stern::N,стъалы,тяште
71,Luft::N,уӕлдӕф,кожф
72,Wind::N,дымгӕ,варма
73,Welle::N,уылӕн,тавла
74,Wasser::N,дон,ведь
75,Stein::N,дур,кев
76,Boden::N,зӕхх,мода
77,Boden::N,зӕхх,потмакс
78,Erde::N,сыджыт,мода
79,Erde::N,сыджыт,мастор
80,Staub::N,рыг,пуль
81,Rauch::N,фӕздӕг,качам
82,Funke::N,цӕхӕр,ця́тка
83,Feuer::N,зынг,тол
84,Licht::N,рухс,ва́лда
85,Schatten::N,аууон,цильф
86,Wetter::N,боныхъӕд,уша
87,Nebel::N,мигъ,тума́н
88,Wolke::N,ӕврагъ,ковол
89,Regen::N,уарын,пизем
90,Schnee::N,мит,лов
91,Eis::N,их,эй
92,Frost::N,ихæн,ке́льме
93,Kälte::N,уазал,якшама
94,Hitze::N,ӕнтӕф,пси
95,Raureif::N,халас,леш
96,Regenbogen::N,арвырон,а́тямъёнга
97,Regenbogen::N,арвырдын,а́тямъёнга
98,Donner::N,æрвнæрын,атям
99,Strömung::N,цыд,шудема́
100,Tropfen::N,æртах,путькс
101,Tropfen::N,æртах,пътняфкс
102,Schaum::N,фынк,шов
103,Schmutz::N,цъыф,ърда́з
104,See::N,цад,эрьхке
105,Sumpf::N,цъыфдзаст,шяй
106,Moor::N,цъыфдзаст,шяй
107,Wiese::N,уыгӕрдӕн,луга
108,Wald::N,хъӕд,вирь
109,Hügel::N,обау,губо́р
110,Hügel::N,обау,пандоня
111,Hügel::N,къуыбыр,губо́р
112,Hügel::N,къуыбыр,пандоня
113,Anhöhe::N,уæлвæз,губо́р
114,Anhöhe::N,уæлхох,губо́р
115,Berg::N,хох,панда
116,Gipfel::N,цъупп,пря
117,Höhle::N,лӕгӕт,у́нда
118,Abhang::N,къул,па́нда ша́ма
119,Quelle::N,суадон,эшиня
120,Bach::N,мӕсчъыдон,шудерькс
121,Fluss::N,дон,ляй
122,Fluss::N,цӕугӕдон,ляй
123,Ufer::N,был,търва́
124,Küste::N,донбыл,ляйтърва́
125,Festland::N,сурзæхх,мода
126,Meer::N,денджыз,моря
127,Bucht::N,донбакæлæн,ведьуське
128,Insel::N,сакъадах,цёнга
129,Blume::N,дидинӕг,панчф
130,Gras::N,кӕрдӕг,тише
131,Wurzel::N,уидаг,юр
132,Wurzel::N,уидаг,ункс
133,Baum::N,бӕлас,шуфта
134,Stamm::N,хӕтӕл,ро́нга
135,Rinde::N,цъар,кер
136,Ast::N,арх,морга
137,Zweig::N,къалиу,тарад
138,Blatt::N,сыф,лопа
139,Birke::N,бæрз,ке́лу
140,Kiefer[Baum]::N,нӕзы,пиче
141,Weide[Baum]::N,хӕрис,каль
142,Tanne::N,наз,куз
143,Horn::N,сыкъа,сюра
144,Feder::N,сис,толга
145,Fell::N,царм,кедь
146,Flügel::N,базыр,паця
147,Klaue::N,ных,кенже
148,Kralle::N,дзӕмбы,кенже
149,Schwanz::N,къӕдзил,пула
150,Ei::N,айк,ал
151,Nest::N,ахстон,пиза
152,Bau::N,хуынкъ,пиза
153,Tier::N,сырд,жува́та
154,Tier::N,цӕрӕгой,жува́та
155,Herde::N,дзуг,нал
156,Herde::N,дзуг,стада
157,Herde::N,рӕгъау,нал
158,Herde::N,рӕгъау,стада
159,Kuh::N,хъуг,скал
160,Kuh::N,хъуг,тракс
161,Bulle::N,гал,бука
162,Pferd::N,бӕх,лишме
163,Schaf::N,фыс,уча́
164,Schwein::N,хуы,тува
165,Hund::N,куыдз,пине
166,Katze::N,гӕды,катоня
167,Katze::N,гӕды,аваката
168,Bär::N,арс,офта
169,Eichhörnchen::N,æхсæрæг,ур
170,Elch::N,цæгатаг саг,ся́рда
171,Fuchs::N,рувас,келазь
172,Hase::N,тæрхъус,ну́мол
173,Maus::N,мыст,шеер
174,Wolf::N,бирӕгъ,върьгаз
175,Vogel::N,цъиу,нармонь
176,Vogel::N,маргъ,нармонь
177,Schwarm::N,бал,ко́вол
178,Schwarm::N,бал,ме́швеле
179,Huhn::N,карк,сараз
180,Hahn::N,уасӕг,а́тякш
181,Gans::N,хъаз,маци
182,Adler::N,цӕргӕс,куцькан
183,Ente::N,ацц,яксярга
184,Eule::N, уыг,ко́рож
185,Eule::N,сидахъ,ко́рож
186,Kranich::N,зырнæг,ка́рга
187,Kranich::N,хърихъупп,ка́рга
188,Krähe::N,халон,ва́рси
189,Kuckuck::N,гаккук,ку́ку
190,Schwan::N,доныхъаз,ло́ксти
191,Fisch::N,кӕсаг,кал
192,Barsch::N,окунь,о́кунь
193,Hecht::N,хихор кӕсаг,щу́ка
194,Schlange[Tier]::N,калм,куй
195,Wurm::N,зулкъ,сукс
196,Wurm::N,къуыдыргалм,сукс
197,Spinne::N,хӕлуарӕг,унжа́
198,Ameise::N,мæлдзыг,панжам
199,Laus::N,сыст,си
200,Mücke::N,къогъо,ся́ське
201,Fliege::N,бындз,кару
202,Schmetterling::N,гæлæбу,ме́лав
203,Beere::N,гагадыргъ,и́мож
204,Apfel::N,фӕткъуы,марь
205,Pilz::N,зокъо,панга
206,Pilz::N,къозо,панга
207,Zwiebel::N,хъӕдындз,шурьхкя́
208,Saat::N,тауинаг,видьмот
209,Saat::N,мыггаг,видьмот
210,Korn::N,мыггаг,сёра
211,Korn::N,тауинаг,сёра
212,Heu::N,хос,тише
213,Schale::N,цъар,кедь
214,Grube::N,урм,лотка
215,Grube::N,къахт,лотка
216,Grube::N,дзыхъхъ,лотка
217,Falle::N,цъысым,туфкс
218,Falle::N,цъысым,кунда́ма
219,Falle::N,къӕппӕг,туфкс
220,Falle::N,къӕппӕг,кунда́ма
221,Schlinge::N,цасм,килькш
