,Concept_ID,fr,mhr
0,Auge::N,œil,шинча́
1,Ohr::N,oreille,пы́лыш
2,Nase::N,nez,нер
3,Mund::N,bouche,умша́
4,Zahn::N,dent,пӱй
5,Zunge::N,langue,йы́лме
6,Lippe::N,lèvre,тӱ́рвӧ
7,Wange::N,joue,шӱ́ргӧ
8,Gesicht::N,face,чури́й
9,Gesicht::N,visage,чури́й
10,Stirn::N,front,саҥга́
11,Haar::N,cheveu,ӱп
12,Schnurrbart::N,moustache,ӧ́рыш
13,Bart::N,barbe,понда́ш
14,Kinn::N,menton,оҥыла́ш
15,Kiefer[Anatomie]::N,mâchoire,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,mâchoire,пӱйората́
17,Kehle::N,gorge,лога́р
18,Hals::N,cou,шӱй
19,Genick::N,nuque,шӱйло́дыш
20,Kopf::N,tête,вуй
21,Rücken::N,dos,туп
22,Bauch::N,ventre,мӱ́шкыр
23,Nabel::N,nombril,кы́лымде
24,Busen::N,sein,чы́зе
25,Brust::N,poitrine,оҥ
26,Schulter::N,épaule,ва́че
27,Arm::N,bras,кид
28,Ellenbogen::N,coude,кынерву́й
29,Hand::N,main,кид
30,Hand::N,main,копа́
31,Handfläche::N,paume,со́во
32,Finger::N,doigt,парня́
33,Fingernagel::N,ongle,кидкӱ́ч
34,Fingernagel::N,ongle,парнягӱ́ч
35,Nagel[Anatomie]::N,ongle,кӱч
36,Zeh::N,orteil,йолварня́
37,Zeh::N,doigt de pied,йолварня́
38,Fuß::N,pied,йол
39,Fuß::N,pied,йолкопа́
40,Ferse::N,talon,тага́н
41,Knie::N,genou,пулву́й
42,Oberschenkel::N,cuisse,э́рде
43,Bein::N,jambe,йол
44,Körper::N,corps,кап
45,Haut::N,peau,кова́ште
46,Blut::N,sang,вӱр
47,Ader::N,veine,шӧн
48,Sehne::N,tendon,шӧн
49,Sehne::N,tendon,кӱсе́н
50,Knochen::N,os,лу
51,Gehirn::N,cerveau,вем
52,Gehirn::N,cerveau,вуйве́м
53,Herz::N,cœur,шӱм
54,Magen::N,estomac,пага́р
55,Leber::N,foie,мокш
56,Atem::N,haleine,шӱ́лыш
57,Hunger::N,faim,шужыма́ш
58,Träne::N,larme,шинчавӱ́д
59,Geschmack::N,goût,там
60,Geschmack::N,saveur,там
61,Geruch::N,odeur,пуш
62,Schlaf::N,sommeil,о́мо
63,Traum::N,songe,йӱдо́мо
64,Himmel::N,ciel,кава́
65,Sonne::N,soleil,ке́че
66,Mond::N,lune,ты́лзе
67,Stern::N,étoile,шӱ́дыр
68,Luft::N,air,юж
69,Wind::N,vent,марде́ж
70,Welle::N,vague,то́лкын
71,Wasser::N,eau,вӱд
72,Stein::N,pierre,кӱ
73,Boden::N,sol,рок
74,Boden::N,terrain,рок
75,Erde::N,terre,мла́нде
76,Staub::N,poussière,пура́к
77,Rauch::N,fumée,шикш
78,Funke::N,étincelle,сеске́м
79,Funke::N,étincelle,тулйы́п
80,Feuer::N,feu,тул
81,Licht::N,lumière,со́то
82,Schatten::N,ombre,ӱ́мыл
83,Wetter::N,temps,иге́че
84,Nebel::N,brume,тӱтыра́
85,Nebel::N,brouillard,тӱтыра́
86,Wolke::N,nuage,пыл
87,Regen::N,pluie,йӱр
88,Schnee::N,neige,лум
89,Eis::N,glace,ий
90,Frost::N,gel,чатлама́
91,Frost::N,gelée,чатлама́
92,Kälte::N,froid,йӱ́штӧ
93,Hitze::N,chaleur,шо́кшо
94,Raureif::N,givre,пӧрш
95,Raureif::N,givre,по́кшым
96,Regenbogen::N,arc-en-ciel,шонанпы́л
97,Donner::N,tonnerre,кӱ́дырчӧ
98,Strömung::N,courant,йо́гын
99,Tropfen::N,goutte,чӱча́лтыш
100,Schaum::N,écume,шоҥ
101,Schaum::N,mousse,шоҥ
102,Schmutz::N,boue,лавыра́
103,Schmutz::N,saleté,лавыра́
104,See::N,lac,ер
105,Sumpf::N,marais,лӱ́кӧ
106,Sumpf::N,marécage,лӱ́кӧ
107,Moor::N,tourbière,куп
108,Wiese::N,pré,о́лык
109,Wald::N,bois,чодыра́
110,Wald::N,forêt,чодыра́
111,Hügel::N,coteau,арка́
112,Hügel::N,colline,арка́
113,Anhöhe::N,éminence,тӧва́
114,Anhöhe::N,éminence,кӱкшака́
115,Anhöhe::N,élévation,тӧва́
116,Anhöhe::N,élévation,кӱкшака́
117,Berg::N,mont,ку́рык
118,Berg::N,montagne,ку́рык
119,Gipfel::N,cime,чаҥга́
120,Gipfel::N,cime,курыкву́й
121,Gipfel::N,sommet,чаҥга́
122,Gipfel::N,sommet,курыкву́й
123,Höhle::N,caverne,пеще́р
124,Höhle::N,caverne,курыкпо́мыш
125,Abhang::N,pente,та́йыл
126,Abhang::N,versant,та́йыл
127,Quelle::N,source,важ
128,Quelle::N,source,вӱдшинча́
129,Quelle::N,fontaine,важ
130,Quelle::N,fontaine,вӱдшинча́
131,Bach::N,ruisseau,изэҥе́р
132,Fluss::N,fleuve,эҥе́р
133,Fluss::N,rivière,эҥе́р
134,Ufer::N,bord,сер
135,Ufer::N,rivage,сер
136,Küste::N,côte,вӱдтӱ́р
137,Festland::N,terre ferme,мла́нде
138,Meer::N,mer,те́ҥыз
139,Bucht::N,baie,икса́
140,Insel::N,île,отро́
141,Blume::N,fleur,пеле́дыш
142,Gras::N,herbe,шу́до
143,Wurzel::N,racine,вож
144,Baum::N,arbre,пуше́ҥге
145,Stamm::N,tronc,йы́тыр
146,Rinde::N,écorce,шӱм
147,Ast::N,branche,укш
148,Zweig::N,rameau,торма́к
149,Blatt::N,feuille,лышта́ш
150,Birke::N,bouleau,куэ́
151,Kiefer[Baum]::N,pin,пӱ́нчӧ
152,Weide[Baum]::N,saule,уа́
153,Tanne::N,sapin,кож
154,Horn::N,corne,шур
155,Feder::N,plume,пы́стыл
156,Fell::N,peau,кова́ште
157,Flügel::N,aile,шу́лдыр
158,Klaue::N,serre,кӱч
159,Kralle::N,ongle,ла́па
160,Kralle::N,ongle,копа́
161,Kralle::N,griffe,ла́па
162,Kralle::N,griffe,копа́
163,Schwanz::N,queue,поч
164,Ei::N,œuf,му́но
165,Nest::N,nid,пыжа́ш
166,Bau::N,terrier,пыжа́ш
167,Tier::N,animal,я́нлык
168,Tier::N,animal,живо́тный
169,Herde::N,troupeau,кӱ́тӱ
170,Herde::N,troupeau,тӱшка́
171,Kuh::N,vache,ушка́л
172,Bulle::N,taureau,ӱ́шкыж
173,Pferd::N,cheval,и́мне
174,Schaf::N,mouton,шо́рык
175,Schwein::N,porc,сӧсна́
176,Schwein::N,cochon,сӧсна́
177,Hund::N,chien,пий
178,Katze::N,chat,пы́рыс
179,Bär::N,ours,маска́
180,Eichhörnchen::N,écureuil,ур
181,Elch::N,élan,шо́рдо
182,Fuchs::N,renard,ры́выж
183,Hase::N,lièvre,мера́ҥ
184,Maus::N,souris,коля́
185,Wolf::N,loup,пи́ре
186,Vogel::N,oiseau,ка́йык
187,Schwarm::N,nuée,каша́к
188,Schwarm::N,volée,каша́к
189,Huhn::N,poule,чы́ве
190,Hahn::N,coq,агыта́н
191,Gans::N,oie,ко́мбо
192,Adler::N,aigle,карагу́ш
193,Ente::N,canard,лу́до
194,Eule::N,hibou,тумна́
195,Kranich::N,grue,турня́
196,Krähe::N,corneille,кора́к
197,Kuckuck::N,coucou,куку́
198,Schwan::N,cygne,йӱ́ксӧ
199,Fisch::N,poisson,кол
200,Barsch::N,perche,ола́ҥге
201,Hecht::N,brochet,нуж
202,Hecht::N,brochet,чорта́н
203,Schlange[Tier]::N,serpent,ки́шке
204,Wurm::N,ver,шукш
205,Spinne::N,araignée,эҥыре́мыш
206,Ameise::N,fourmi,ку́тко
207,Laus::N,pou,тий
208,Mücke::N,moucheron,шыҥа́
209,Fliege::N,mouche,ка́рме
210,Schmetterling::N,papillon,лы́ве
211,Beere::N,baie,мӧр
212,Apfel::N,pomme,олма́
213,Pilz::N,champignon,по́ҥго
214,Zwiebel::N,oignon,шога́н
