,Concept_ID,ba,kn
0,Auge::N,күҙ,ಕಣ್ಣು
1,Ohr::N,ҡолаҡ,ಕಿವಿ
2,Nase::N,танау,ಮೂಗು
3,Mund::N,ауыҙ,ಬಾಯಿ
4,Zahn::N,теш,ಹಲ್ಲು
5,Zunge::N,тел,ನಾಲಿಗೆ
6,Lippe::N,ирен,ತುಟಿ
7,Wange::N,яцаҡтар,ಗಲ್ಲ
8,Gesicht::N,бит,ಮುಖ
9,Stirn::N,маңлай,ಹಣೆ
10,Haar::N,сәс,ಕೂದಲು
11,Schnurrbart::N,мылтыҡ,ಮೀಸೆ
12,Bart::N,һаҡал,ಗಡ್ಡ
13,Kinn::N,эйэк,ಗದ್ದ
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ದವಡೆ
15,Kehle::N,тамаҡ,ಗಂಟಲು
16,Hals::N,муйын,ಕೊರಳು
17,Genick::N,соңҡа,ಹಿಂಗತ್ತು
18,Kopf::N,баш,ತಲೆ
19,Rücken::N,арҡа,ಬೆನ್ನು
20,Bauch::N,ҡорһаҡ,ಹೊಟ್ಟೆ
21,Nabel::N,кендек,ಹೊಕ್ಕುಳು
22,Busen::N,күкрәк,ಸ್ತನ
23,Brust::N,түш,ಎದೆ
24,Schulter::N,яурын,ಭುಜ
25,Arm::N,ҡул,ತೋಳು
26,Ellenbogen::N,терһәк,ಮೊಣಕೈ
27,Hand::N,ҡул,ಕೈ
28,Hand::N,ҡул суғы,ಕೈ
29,Handfläche::N,ус төбө,ಅಂಗೈ
30,Finger::N,бармаҡ,ಕೈಬೆರಳು
31,Fingernagel::N,тырнаҡ,ಉಗುರು
32,Nagel[Anatomie]::N,тырнаҡ,ಉಗುರು
33,Zeh::N,бармаҡ,ಕಾಲ್ಬೆರಳು
34,Fuß::N,табан,ಪಾದ
35,Ferse::N,үксә,ಹಿಮ್ಮಡಿ
36,Knie::N,тубыҡ,ಮಂಡಿ
37,Oberschenkel::N,сандыр,ತೊಡೆ
38,Bein::N,аяҡ,ಕಾಲು
39,Körper::N,тән,ದೇಹ
40,Haut::N,тире,ಚರ್ಮ
41,Blut::N,ҡан,ರಕ್ತ
42,Ader::N,тамыр,ನರ
43,Sehne::N,һеңер,ನರ
44,Sehne::N,тарамыш,ನರ
45,Knochen::N,һойәк,ಮೂಳೆ
46,Gehirn::N,мейе,ಮಿದುಳು
47,Herz::N,йорәк,ಹೃದಯ
48,Magen::N,ашҡаҙан,ಉದರ
49,Leber::N,бауыр,ಯಕೃತ್ತು
50,Atem::N,һулыш,ಉಸಿರು
51,Hunger::N,аслыҡ,ಹಸಿವು
52,Träne::N,күҙ иәше,ಕಣ್ಣೀರು
53,Geschmack::N,тәм,ರುಚಿ
54,Geruch::N,еҫ,ವಾಸನೆ
55,Schlaf::N,йоҡлау,ನಿದ್ರೆ
56,Traum::N,төш,ಕನಸು
57,Himmel::N,күк,ಬಾನು
58,Sonne::N,ҡояш,ಸೂರ್ಯ
59,Mond::N,ай,ಚಂದ್ರ
60,Stern::N,йондоҙ,ಚುಕ್ಕಿ
61,Luft::N,һауа,ವಾಯು
62,Wind::N,ел,ಗಾಳಿ
63,Welle::N,тулҡын,ಅಲೆ
64,Wasser::N,һыу,ನೀರು
65,Stein::N,таш,ಕಲ್ಲು
66,Boden::N,тупраҡ,ನೆಲ
67,Erde::N,балсҡ,ಭೂಮಿ
68,Staub::N,туҙан,ದೂಳು
69,Rauch::N,төтөн,ಹೊಗೆ
70,Funke::N,осҡон,ಕಿಡಿ
71,Feuer::N,ут,ಬೆಂಕಿ
72,Licht::N,яҡтылыҡ,ಬೆಳಕು
73,Schatten::N,күләгә,ನೆರಳು
74,Wetter::N,һауа торошо,ಹವ
75,Nebel::N,төман,ಮಂಜು
76,Wolke::N,болот,ಮೋಡ
77,Regen::N,ямғыр,ಮಳೆ
78,Schnee::N,ҡар,ಹಿಮ
79,Eis::N,боҙ,ಮಂಜುಗಡ್ಡೆ
80,Frost::N,һалҡын,ಮಂಜು
81,Kälte::N,һыуыҡ,ಹಿಮ
82,Hitze::N,томра,ಉಷ್ಣ
83,Hitze::N,эҫелек,ಉಷ್ಣ
84,Raureif::N,ҡырау,ಇಬ್ಬನಿ
85,Regenbogen::N,йәйғор,ಇಂದ್ರಚಾಪ
86,Donner::N,күк күкрәү,ಗುಡುಗು
87,Strömung::N,ағым,ಪ್ರವಾಹ
88,Tropfen::N,тамсы,ತೊಟ್ಟು
89,Schaum::N,күбек,ನೊರೆ
90,Schmutz::N,батҡаҡ,ಕಸ
91,See::N,күл,ಸರೋವರ
92,Sumpf::N,һаҙлык,ಜೌಗುಸ್ಥಳ
93,Moor::N,һаҙ,ಬಂಜರು ಭೂಮಿ
94,Wiese::N,болон,ಹುಲ್ಲುಗಾವಲು
95,Wald::N,урман,ಕಾಡು
96,Hügel::N,түбә,ಗುಡ್ಡೆ
97,Anhöhe::N,түбә,ದಿಬ್ಬ
98,Anhöhe::N,ҡалҡыулыҡ,ದಿಬ್ಬ
99,Berg::N,тау,ಮಲೆ
100,Berg::N,тау,ಪರ್ವತ
101,Gipfel::N,түбә,ಶೃಂಗ
102,Höhle::N,мәмерйә,ಗುಹೆ
103,Abhang::N,ипкен,ಇಳಿಜಾರು
104,Quelle::N,шишмә,ಮೂಲ
105,Bach::N,шишмә,ತೊರೆ
106,Fluss::N,йылға,ನದಿ
107,Ufer::N,яр,ತೀರ
108,Küste::N,яр буйы,ದಂಡೆ
109,Festland::N,ҡоро ер,ಭೂಮಿ
110,Meer::N,диңгез,ಕಡಲು
111,Bucht::N,бухта,ಖಾರಿ
112,Insel::N,үтрау,ದ್ವೀಪ
113,Blume::N,сәскә,ಸುಮ
114,Gras::N,үлән,ಹುಲ್ಲು
115,Wurzel::N,тамыр,ಬೇರು
116,Baum::N,ағас,ಮರ
117,Stamm::N,олон,ಕಾಂಡ
118,Stamm::N,көбәк,ಕಾಂಡ
119,Rinde::N,ҡабыҡ,ತೂಗಟಿ
120,Ast::N,ботаҡ,ಶಾಖೆ
121,Zweig::N,ботаҡ,ರೆಂಬೆ
122,Zweig::N,тармаҡ,ರೆಂಬೆ
123,Blatt::N,япраҡ,ಎಲೆ
124,Birke::N,ҡайын,ಬರ್ಚ್ ಮರ
125,Kiefer[Baum]::N,ҡарғай,ದೇವದಾರು ಮರ
126,Weide[Baum]::N,тал,ವಿಲೋಮರ
127,Tanne::N,шыршы,ಭದ್ರದಾರು
128,Horn::N,мөғөҙ,ಕೊಂಬು
129,Feder::N,ҡауырһын,ಪುಕ್ಕ
130,Fell::N,тире,ರೋಮ
131,Flügel::N,ҡанат,ರೆಕ್ಕೆ
132,Klaue::N,тырнаҡ,ಪಂಜ
133,Kralle::N,аяҡ,ಉಗುರು
134,Schwanz::N,ҡойроҡ,ಬಾಲ
135,Ei::N,йомортҡа,ಮೊಟ್ಟೆ
136,Nest::N,оя,ಗೂಡು
137,Bau::N,оң,ಅಡಗುದಾಣ
138,Tier::N,жайуан,ಪ್ರಾಣಿ
139,Tier::N,йыртҡыс,ಪ್ರಾಣಿ
140,Herde::N,көтөү,ಗುಂಪು
141,Kuh::N,һыйыр,ಹಸು
142,Bulle::N,үгеҙ,ಗೂಳಿ
143,Pferd::N,ат,ಕುದುರೆ
144,Schaf::N,һарыҡ,ಕುರಿ
145,Schwein::N,сусҡа,ಹಂದಿ
146,Hund::N,эт,ನಾಯಿ
147,Katze::N,бесәй,ಬೆಕ್ಕು
148,Bär::N,айыу,ಕರಡಿ
149,Eichhörnchen::N,тейен,ಉಡುತೆ
150,Elch::N,мышы,ಕಡವೆ
151,Fuchs::N,төлкө,ನರಿ
152,Hase::N,ҡуян,ಮೊಲ
153,Maus::N,сысҡан,ಇಲಿ
154,Wolf::N,бүре,ತೋಳ
155,Vogel::N,ҡош,ಪಕ್ಷಿ
156,Schwarm::N,көтөү,ಗುಂಪು
157,Huhn::N,тауыҡ,ಚಿಕ್
158,Hahn::N,әтәс,ಹುಂಜ
159,Gans::N,ҡаҙ,ವರಟೆ
160,Adler::N,бөркөт,ಗರುಡ
161,Ente::N,өйрәк,ಬಾತು
162,Eule::N,өкө,ಗೂಬೆ
163,Eule::N,ябалаҡ,ಗೂಬೆ
164,Kranich::N,торна,ಕೊಕ್ಕರ
165,Krähe::N,ҡарға,ಕಾಗೆ
166,Kuckuck::N,кәкүк,ಕೋಗಿಲೆ
167,Schwan::N,аҡҡош,ಹಂಸಪಕ್ಷಿ
168,Fisch::N,балыҡ,ಮೀನು
169,Barsch::N,алабуға,ಪರ್ಚ್ ಮೀನು
170,Hecht::N,суртан,ಪೈಕ್ ಮೀನು
171,Schlange[Tier]::N,йылан,ಹಾವು
172,Wurm::N,селяүсен,ಹುಳು
173,Spinne::N,үрмәксе,ಊರ್ಣನಾಭ
174,Ameise::N,ҡырмыҫҡа,ಇರುವೆ
175,Laus::N,бет,ಹೇನು
176,Mücke::N,серәкәй,ಸೊಳ್ಳೆ
177,Fliege::N,себен,ನೊಣ
178,Schmetterling::N,күбәләк,ಪತಂಗ
179,Beere::N,еләк,ನಯವಣ್ಣು
180,Apfel::N,алма,ಸೇಬು
181,Pilz::N,бәшмәк,ಅಣಬೆ
182,Zwiebel::N,һуган,ನೀರುಳ್ಳಿ
183,Saat::N,орлоҡ,ಬಿತ್ತ
184,Korn::N,иген,ಬೀಜ
185,Heu::N,бесән,ಕರಡ
186,Schale::N,ҡабыҡ,ಹೊಟ್ಟು
187,Grube::N,соҡор,ಗುಂಡಿ
188,Falle::N,тоҙак,ಬೋನು
189,Falle::N,ҡапҡан,ಬೋನು
190,Schlinge::N,тоҙак,ಉರುಲು
191,Spur::N,әҫер,ಜಾಡು
192,Asche::N,көл,ಬೂದಿ
193,Dreck::N,батҡаҡ,ಹೊಲಸು
194,Eisen::N,тимер,ಕಬ್ಬಿಣ
195,Gold::N,алтын,ಚಿನ್ನ
196,Silber::N,көмөш,ಬೆಳ್ಳಿ
197,Kohle::N,күмер,ಕಲ್ಲಿದ್ದಲು
198,Glas::N,быяла,ಗಾಜು
199,Lehm::N,балсыҡ,ಜೇಡಿಮಣ್ಣು
200,Sand::N,ҡом,ಮರಳು
201,Mensch::N,кеше,ಪುರುಷ
202,Mann::N,ир,ಆಳು
203,Frau::N,ҡатын,ಹೆಣ್ಣು
204,Kind::N,бала,ಮಗು
205,Junge::N,малай,ಹುಡುಗ
206,Mädchen::N,ҡыҙ,ಹುಡುಗಿ
207,Mädchen::N,ҡыҙыҡай,ಹುಡುಗಿ
208,Familie::N,ғаилә,ಕುಟುಂಬ
209,Großvater::N,олатай,ಅಜ್ಜ
210,Großmutter::N,әбәй,ಅಮ್ಮ
211,Eltern::N,ата-әсә,ಹೆತ್ತವರು
212,Vater::N,атай,ತಂದೆ
213,Mutter::N,әсә,ಅಮ್ಮ
214,Sohn::N,ул,ಮಗ 
215,Tochter::N,ҡыҙ,ಮಗಳು
216,Bruder::N,агай,ತಮ್ಮ
217,Schwester::N,алай,ತಂಗಿ
218,Schwester::N,һеңле,ತಂಗಿ
219,Onkel::N,ағай,ಸೋದರಮಾವ
220,Onkel::N,ағай,ದೊಡ್ಡಪ್ಪ
221,Tante::N,апай,ಚಿಕ್ಕಮ್ಮ
222,Ehemann::N,ир,ಗಂಡ
223,Ehefrau::N,ҡатын,ಹೆಂಡತಿ
224,Freude::N,шатлыҡ,ನಲಿವು
225,Freude::N,ҡыуаныс,ನಲಿವು
226,Gelächter::N,көлөү,ನಗೆ
227,Glück::N,бәхет,ಆನಂದ
228,Kummer::N,ҡайғы,ದುಃಖ
229,Wunsch::N,теләк,ಬಯಕೆ
230,Lust::N,әүәҫлек,ಇಷ್ಟ
231,Geist::N,аң,ಆತ್ಮ
232,Geist::N,рух,ಆತ್ಮ
233,Gedanke::N,уй,ಯೋಚನೆ
234,Gedanke::N,фекер,ಯೋಚನೆ
235,Gedächtnis::N,хәтер,ಸ್ಮರಣೆ
236,Verstand::N,аҡыл,ಮನಸ್ಸು
237,Sinn::N,мәғәня,ಅರ್ಥ
238,Grund::N,сәбәп,ಕಾರಣ
239,Wahrheit::N,дөрөҫлөк,ಸತ್ಯ
