,Concept_ID,lbe,br
0,Auge::N,я,lagad
1,Ohr::N,вичӏи,skouarn
2,Nase::N,май,fri
3,Mund::N,кьацӏ,genoù
4,Zahn::N,ккарччи,dant
5,Zunge::N,маз,teod
6,Lippe::N,мурччи,muzell
7,Wange::N,чӏав,chot
8,Gesicht::N,лажин,dremm
9,Stirn::N,ненттабакӏ,tal
10,Haar::N,чӏара,blev
11,Schnurrbart::N,ссирссилтту,mourenn
12,Bart::N,чӏири,barv
13,Kinn::N,лунттубакӏ,groñj
14,Kiefer[Anatomie]::N,ххинчулул,javed
15,Kehle::N,кьакьари,gouzoug
16,Hals::N,ссурссу,gouzoug
17,Genick::N,махъабакӏ,choug
18,Kopf::N,бакӏ,penn
19,Rücken::N,ттиликӏ,kein
20,Bauch::N,лякьа,kof
21,Nabel::N,цӏумуккутӏ,begel
22,Busen::N,ккукку,bronn
23,Brust::N,хъазам,bruched
24,Schulter::N,хъачӏ,skoaz
25,Arm::N,ка,brec'h
26,Ellenbogen::N,ссюрхъ,ilin
27,Hand::N,бартка,dorn
28,Handfläche::N,хъат,palv
29,Handfläche::N,битӏянхъ,palv
30,Finger::N,кӏисса,biz
31,Fingernagel::N,михь,ivin
32,Nagel[Anatomie]::N,михь,ivin
33,Zeh::N,кӏисса,biz-troad
34,Fuß::N,чӏанччан,troad
35,Ferse::N,никъа,seul
36,Knie::N,ник,glin
37,Oberschenkel::N,жира,morzhed
38,Bein::N,ччан,gar
39,Körper::N,чурх,korf
40,Haut::N,бурчу,kroc'hen
41,Blut::N,оь,gwad
42,Ader::N,тунну,gwazhi
43,Sehne::N,хьхьа,stir
44,Knochen::N,ттаркӏ,askorn
45,Gehirn::N,ня,empenn
46,Herz::N,дакӏ,kalon
47,Herz::N,къюкӏ,kalon
48,Magen::N,лякьа,stomog
49,Atem::N,ссихӏ ласаву,anal
50,Atem::N,ссихӏ бигьаву,anal
51,Hunger::N,ккаши,naon
52,Träne::N,макь,daer
53,Geschmack::N,тӏин,blaz
54,Geschmack::N,тӏааьн,blaz
55,Geruch::N,кьанкь,c'hwezh
56,Schlaf::N,шану,kousked
57,Traum::N,макӏру,hune
58,Himmel::N,ссав,oabl
59,Sonne::N,баргъ,heol
60,Mond::N,барз,loar
61,Stern::N,цӏуку,steredenn
62,Luft::N,гьава,aer
63,Wind::N,марч,avel
64,Welle::N,щатӏи,houlenn
65,Wasser::N,щин,dour
66,Stein::N,чару,maen
67,Boden::N,аьрщи,tachenn
68,Erde::N,аьрщи,douar
69,Staub::N,ххит,poultr
70,Rauch::N,пуркӏу,moged
71,Funke::N,пиягь,ful
72,Feuer::N,цӏу,tan
73,Licht::N,чани,gouloù
74,Schatten::N,ххют,disheol
75,Wetter::N,гьава,amzer
76,Nebel::N,шархь ттурлу,brumenn
77,Wolke::N,ттурлу,koumoulenn
78,Regen::N,гъарал,glav
79,Schnee::N,марххала,erc'h
80,Eis::N,микӏ,skorn
81,Frost::N,дяркъу,rev
82,Frost::N,замгьар,rev
83,Kälte::N,дяркъу,yen
84,Hitze::N,кӏиришиву,tommder
85,Raureif::N,сил,frim
86,Raureif::N,бурса,frim
87,Regenbogen::N,ссурул ккуртта,gwareg-ar-glav
88,Donner::N,къув,kurun
89,Strömung::N,экьинанаву,red
90,Tropfen::N,кӏунтӏ,bannac'h
91,Tropfen::N,кӏунтӏ,takenn
92,Schaum::N,хьама,spoum
93,Schmutz::N,кьяркьи,fank
94,See::N,бяр,lenn
95,Sumpf::N,кунцӏа,gwern
96,Wiese::N,кьан,prad
97,Wald::N,вацӏа,koad
98,Hügel::N,бакӏу,torgenn
99,Berg::N,зунтту,menez
100,Gipfel::N,мицӏ,barr
101,Höhle::N,нух,kav
102,Abhang::N,сун,naou
103,Quelle::N,дайдихьу,feunteun
104,Quelle::N,бакӏ,feunteun
105,Bach::N,чӏрир нех,gwazh
106,Fluss::N,нех,stêr
107,Ufer::N,зума,ribl
108,Küste::N,зумаинхалу,aod
109,Küste::N,зуманицӏалу,aod
110,Festland::N,кьири,douar
111,Meer::N,хьхьири,mor
112,Insel::N,жазира,enez
