,Concept_ID,az,et
0,Auge::N,göz,silm
1,Ohr::N,qulaq,kõrv
2,Nase::N,burun,nina
3,Mund::N,ağız,suu
4,Zahn::N,diş,hammas
5,Zunge::N,dil,keel
6,Lippe::N,dodaq,huul
7,Wange::N,yanaq,põsk
8,Gesicht::N,üz,nägu
9,Stirn::N,alın,otsmik
10,Haar::N,saç,juus
11,Schnurrbart::N,bığ,vurrud
12,Schnurrbart::N,bığ,vuntsid
13,Bart::N,saqqal,habe
14,Kinn::N,çənə,lõug
15,Kiefer[Anatomie]::N,çənə,lõualuu
16,Kehle::N,boğaz,kõri
17,Hals::N,boyun,kael
18,Genick::N,ənsə,kukal
19,Kopf::N,baş,pea
20,Rücken::N,bel,selg
21,Bauch::N,qarın,kõht
22,Nabel::N,göbək,naba
23,Busen::N,məmə,rind
24,Brust::N,döş,rind
25,Schulter::N,çiyin,õlg
26,Arm::N,qol,käsivars
27,Ellenbogen::N,dirsək,küünarnukk
28,Hand::N,əl,käsi
29,Handfläche::N,ovuc,pihk
30,Finger::N,barmaq,sõrm
31,Fingernagel::N,barmaq dırnağı,küüs
32,Nagel[Anatomie]::N,dırnak,küüs
33,Zeh::N,ayaq barmağı,varvas
34,Fuß::N,ayaq,jalg
35,Ferse::N,daban,kand
36,Knie::N,diz,põlv
37,Oberschenkel::N,bud,reis
38,Bein::N,qıç,jalg
39,Körper::N,əndam,ihu
40,Körper::N,əndam,keha
41,Haut::N,dəri,nahk
42,Blut::N,qan,veri
43,Ader::N,damar,veen
44,Sehne::N,vətər,kõõlus
45,Knochen::N,sümük,luu
46,Gehirn::N,beyin,aju
47,Herz::N,ürək,süda
48,Magen::N,mədə,magu
49,Leber::N,qara ciyər,maks
50,Atem::N,nəfəs,hingeõhk
51,Atem::N,nəfəs,hingamine
52,Hunger::N,aclıq,nälg
53,Träne::N,göz yaşı,pisar
54,Geschmack::N,tam,maitse
55,Geschmack::N,ləzzət,maitse
56,Geruch::N,qoxu,lõhn
57,Schlaf::N,yuxu,uni
58,Traum::N,röya,unenägu
59,Himmel::N,göy,taevas
60,Himmel::N,səma,taevas
61,Sonne::N,günəş,päike
62,Mond::N,ay,kuu
63,Stern::N,ulduz,täht
64,Luft::N,hava,õhk
65,Wind::N,yel,tuul
66,Wind::N,külək,tuul
67,Welle::N,dalğa,laine
68,Wasser::N,su,vesi
69,Stein::N,daş,kivi
70,Boden::N,yer,maa
71,Boden::N,yer,pinnas
72,Boden::N,zəmin,maa
73,Boden::N,zəmin,pinnas
74,Erde::N,yer torpaq,maa
75,Staub::N,toz,põrm
76,Rauch::N,tüstü,suits
77,Funke::N,qığılcım,säde
78,Feuer::N,od,tuli
79,Licht::N,işıq,valgus
80,Schatten::N,kölgə,vari
81,Wetter::N,hava,ilm
82,Nebel::N,duman,udu
83,Wolke::N,bulud,pilv
84,Regen::N,yağış,sadu
85,Regen::N,yağmur,sadu
86,Schnee::N,qar,lumi
87,Eis::N,buz,jää
88,Frost::N,ayaz,pakane
89,Kälte::N,soyuq,külm
90,Kälte::N,soyuq,külmus
91,Hitze::N,coşğunluq,kuumus
92,Hitze::N,coşğunluq,palavus
93,Raureif::N,qırov,härmatis
94,Regenbogen::N,göy qurşağı,vikerkaar
95,Donner::N,göy gurultusu,kõu
96,Donner::N,göy gurultusu,müristamine
97,Strömung::N,axın,voolus
98,Strömung::N,axın,jõevool
99,Tropfen::N,damcı,tilk
100,Schaum::N,köpük,vaht
101,Schmutz::N,çamır,pori
102,Schmutz::N,çamır,mustus
103,See::N,göl,järv
104,Sumpf::N,bataqlıq,soo
105,Moor::N,bataqlıq,raba
106,Wiese::N,çəmən,aas
107,Wiese::N,çəmən,nurm
108,Wald::N,meşə,mets
109,Hügel::N,təpə,küngas
110,Anhöhe::N,təpə,küngas
111,Berg::N,dağ,mägi
112,Gipfel::N,zirvə,mäetipp
113,Höhle::N,mağara,koobas
114,Abhang::N,yamac,nõlvak
115,Quelle::N,bulaq,allikas
116,Bach::N,kiçik çay,oja
117,Fluss::N,çay,jõgi
118,Ufer::N,kənar,kallas
119,Küste::N,sahil,rannik
120,Festland::N,materik,mander
121,Festland::N,materik,maismaa
122,Meer::N,dəniz,meri
123,Bucht::N,körfəz,laht
124,Insel::N,ada,saar
125,Blume::N,çiçək,lill
126,Gras::N,ot,rohi
127,Wurzel::N,kök,juur
128,Baum::N,ağac,puu
129,Stamm::N,gövdə,tüvi
130,Rinde::N,qabıq,koor
131,Ast::N,şax,oks
132,Zweig::N,budaq,oks
133,Blatt::N,yarpaq,leht
134,Birke::N,tozağacı,kask
135,Kiefer[Baum]::N,şam,mänd
136,Weide[Baum]::N,söyüd,paju
137,Tanne::N,küknar,nulg
138,Horn::N,buynuz,sarv
139,Feder::N,tük,sulg
140,Feder::N,lələk,sulg
141,Fell::N,xəz,karvkate
142,Fell::N,xəz,karusnahk
143,Flügel::N,qanad,tiib
144,Flügel::N,qanad,tiivik
145,Klaue::N,pəncə,küüs
146,Kralle::N,dırnaq,küünis
147,Schwanz::N,quyruq,saba
148,Ei::N,yumurta,muna
149,Nest::N,yuva,pesa
150,Bau::N,yuva,urg
151,Tier::N,heyvan,loom
152,Herde::N,sürü,kari
153,Kuh::N,inək,lehm
154,Bulle::N,öküz,pull
155,Pferd::N,at,hobune
156,Schaf::N,qoyun,lammas
157,Schwein::N,donuz,siga
158,Hund::N,it,koer
159,Hund::N,köpək,koer
160,Katze::N,pişik,kass
161,Bär::N,ayı,karu
162,Eichhörnchen::N,dələ,orav
163,Elch::N,sığın,põder
164,Fuchs::N,tülkü,rebane
165,Hase::N,dovşan,jänes
166,Maus::N,siçan,hiir
167,Wolf::N,qurd,hunt
168,Vogel::N,quş,lind
169,Schwarm::N,sürü,parv
