,Concept_ID,mdf,nl
0,Auge::N,сельме,oog
1,Ohr::N,пиле,oor
2,Nase::N,шалхка,neus
3,Mund::N,курга,mond
4,Zahn::N,пей,tand
5,Zunge::N,кяль,tong
6,Lippe::N,търва́,lip
7,Wange::N,щёка,wang
8,Gesicht::N,шама,gelaat
9,Gesicht::N,шама,gezicht
10,Stirn::N,коня,voorhoofd
11,Haar::N,шя́ярь,haar
12,Schnurrbart::N,уса́,snor
13,Bart::N,сакал,baard
14,Kinn::N,ула,kin
15,Kiefer[Anatomie]::N,саласка,kaak
16,Kehle::N,кълдома,keel
17,Kehle::N,кълдома,strot
18,Kehle::N,кърга́парь,keel
19,Kehle::N,кърга́парь,strot
20,Hals::N,сялдаз,hals
21,Genick::N,шовонь,nek
22,Kopf::N,пря,hoofd
23,Rücken::N,копорь,rug
24,Bauch::N,пеке,buik
25,Nabel::N,по́кон,navel
26,Busen::N,потя,boezem
27,Brust::N,мяште,borst
28,Schulter::N,лафту,schouder
29,Arm::N,кядь,arm
30,Ellenbogen::N,кенерьба́карь,elleboog
31,Hand::N,кядь,hand
32,Handfläche::N,кядьлапш,handpalm
33,Finger::N,сур,vinger
34,Fingernagel::N,кенже,nagel
35,Nagel[Anatomie]::N,кенже,nagel
36,Zeh::N,пильгосу́р,teen
37,Fuß::N,пильге,voet
38,Fuß::N,пильгелапа,voet
39,Ferse::N,кочкяря,hak
40,Ferse::N,кочкяря,hiel
41,Knie::N,эль,knie
42,Knie::N,пълма́нжа,knie
43,Oberschenkel::N,пильгепукша,dij
44,Bein::N,пильге,been
45,Körper::N,ро́нга,lichaam
46,Körper::N,по́нда,lichaam
47,Haut::N,киське,huid
48,Blut::N,вер,bloed
49,Ader::N,сан,ader
50,Ader::N,верза́н,ader
51,Sehne::N,коське сан,pees
52,Knochen::N,пакарь,bot
53,Knochen::N,пакарь,been
54,Knochen::N,пакарь,knook
55,Gehirn::N,уй,hersenen
56,Herz::N,седи,hart
57,Magen::N,коткърдазь,maag
58,Leber::N,макса,lever
59,Atem::N,лекома,adem
60,Atem::N,ваймонь тарксема,adem
61,Hunger::N,вачеши,honger
62,Träne::N,сельмове́дь,traan
63,Geschmack::N,таньф,smaak
64,Geruch::N,шине,geur
65,Schlaf::N,удома́,slaap
66,Traum::N,он,droom
67,Himmel::N,менель,hemel
68,Sonne::N,ши,zon
69,Mond::N,ков,maan
70,Stern::N,тяште,ster
71,Luft::N,кожф,lucht
72,Wind::N,варма,wind
73,Welle::N,тавла,golf
74,Wasser::N,ведь,water
75,Stein::N,кев,steen
76,Boden::N,мода,grond
77,Boden::N,потмакс,grond
78,Erde::N,мода,aarde
79,Erde::N,мастор,aarde
80,Staub::N,пуль,stof
81,Rauch::N,качам,rook
82,Funke::N,ця́тка,vonk
83,Feuer::N,тол,vuur
84,Licht::N,ва́лда,licht
85,Schatten::N,цильф,schaduw
86,Wetter::N,уша,weer
87,Nebel::N,тума́н,mist
88,Nebel::N,тума́н,nevel
89,Wolke::N,ковол,wolk
90,Regen::N,пизем,regen
91,Schnee::N,лов,sneeuw
92,Eis::N,эй,ijs
93,Frost::N,ке́льме,vorst
94,Kälte::N,якшама,kou
95,Kälte::N,якшама,koude
96,Hitze::N,пси,hitte
97,Raureif::N,леш,rijp
98,Regenbogen::N,а́тямъёнга,regenboog
99,Donner::N,атям,donder
100,Strömung::N,шудема́,stroming
101,Tropfen::N,путькс,druppel
102,Tropfen::N,пътняфкс,druppel
103,Schaum::N,шов,schuim
104,Schmutz::N,ърда́з,vuil
105,See::N,эрьхке,meer
106,Sumpf::N,шяй,moeras
107,Moor::N,шяй,veen
108,Wiese::N,луга,wei
109,Wiese::N,луга,weide
110,Wald::N,вирь,bos
111,Hügel::N,губо́р,heuvel
112,Hügel::N,пандоня,heuvel
113,Anhöhe::N,губо́р,hoogte
114,Berg::N,панда,berg
115,Gipfel::N,пря,top
116,Höhle::N,у́нда,hol
117,Abhang::N,па́нда ша́ма,helling
118,Quelle::N,эшиня,bron
119,Bach::N,шудерькс,beek
120,Fluss::N,ляй,stroom
121,Ufer::N,търва́,wal
122,Ufer::N,търва́,oever
123,Küste::N,ляйтърва́,kust
124,Festland::N,мода,vasteland
125,Meer::N,моря,zee
126,Bucht::N,ведьуське,baai
127,Bucht::N,ведьуське,inham
128,Insel::N,цёнга,eiland
129,Blume::N,панчф,bloem
130,Gras::N,тише,gras
131,Wurzel::N,юр,wortel
132,Wurzel::N,ункс,wortel
133,Baum::N,шуфта,boom
134,Stamm::N,ро́нга,stam
135,Rinde::N,кер,schors
136,Ast::N,морга,tak
137,Zweig::N,тарад,twijg
138,Blatt::N,лопа,blad
139,Birke::N,ке́лу,berk
140,Kiefer[Baum]::N,пиче,den
141,Weide[Baum]::N,каль,wilg
142,Tanne::N,куз,spar
143,Horn::N,сюра,hoorn
144,Feder::N,толга,veer
145,Feder::N,толга,pluim
146,Fell::N,кедь,vel
147,Flügel::N,паця,vleugel
148,Klaue::N,кенже,klauw
149,Kralle::N,кенже,klauw
150,Schwanz::N,пула,staart
151,Ei::N,ал,ei
152,Nest::N,пиза,nest
153,Bau::N,пиза,hol
154,Tier::N,жува́та,dier
155,Herde::N,нал,kudde
156,Herde::N,стада,kudde
157,Kuh::N,скал,koe
158,Kuh::N,тракс,koe
159,Bulle::N,бука,stier
160,Pferd::N,лишме,paard
161,Schaf::N,уча́,schaap
162,Schwein::N,тува,varken
163,Hund::N,пине,hond
164,Katze::N,катоня,kat
165,Katze::N,аваката,kat
166,Bär::N,офта,beer
167,Eichhörnchen::N,ур,eekhoorntje
168,Elch::N,ся́рда,eland
169,Fuchs::N,келазь,vos
170,Hase::N,ну́мол,haas
171,Maus::N,шеер,muis
172,Wolf::N,върьгаз,wolf
173,Vogel::N,нармонь,vogel
174,Schwarm::N,ко́вол,zwerm
175,Schwarm::N,ме́швеле,zwerm
176,Huhn::N,сараз,kip
177,Huhn::N,сараз,hoen
178,Hahn::N,а́тякш,haan
179,Gans::N,маци,gans
180,Adler::N,куцькан,arend
181,Ente::N,яксярга,eend
182,Eule::N,ко́рож,uil
183,Kranich::N,ка́рга,kraanvogel
184,Krähe::N,ва́рси,kraai
185,Kuckuck::N,ку́ку,koekoek
186,Schwan::N,ло́ксти,zwaan
187,Fisch::N,кал,vis
188,Barsch::N,о́кунь,baars
189,Hecht::N,щу́ка,snoek
190,Schlange[Tier]::N,куй,slang
191,Wurm::N,сукс,worm
192,Spinne::N,унжа́,spin
193,Ameise::N,панжам,mier
194,Laus::N,си,luis
195,Mücke::N,ся́ське,mug
196,Fliege::N,кару,vlieg
197,Schmetterling::N,ме́лав,vlinder
198,Beere::N,и́мож,bes
199,Apfel::N,марь,appel
200,Pilz::N,панга,paddestoel
201,Zwiebel::N,шурьхкя́,ui
202,Saat::N,видьмот,zaad
203,Korn::N,сёра,graan
204,Korn::N,сёра,korrel
205,Heu::N,тише,hooi
206,Schale::N,кедь,schil
207,Grube::N,лотка,kuil
208,Falle::N,туфкс,val
209,Falle::N,кунда́ма,val
210,Schlinge::N,килькш,strop
211,Spur::N,пильгоки́,spoor
212,Asche::N,кулу,as
213,Dreck::N,ърда́з,drek
214,Eisen::N,кшни,ijzer
215,Gold::N,ока,goud
216,Gold::N,золота,goud
217,Silber::N,сия́,zilver
218,Kohle::N,седь,kool
219,Kohle::N,седьвальмя,kool
220,Glas::N,кля́нцек,glas
221,Lehm::N,сёвонь,klei
222,Sand::N,шува́р,zand
223,Mensch::N,ломань,mens
224,Mann::N,аля,man
225,Mann::N,цёраломань,man
226,Frau::N,ава,vrouw
227,Kind::N,идь,kind
228,Kind::N,шаба,kind
229,Junge::N,цёраня,jongen
230,Mädchen::N,стирня́,meisje
231,Familie::N,тнал,gezin
232,Familie::N,тнал,familie
233,Familie::N,семья,gezin
234,Familie::N,семья,familie
235,Großvater::N,атя,grootvader
236,Großvater::N,щя́тя,grootvader
237,Großmutter::N,баба,grootmoeder
238,Eltern::N,тя́дят-а́лят,ouders
239,Vater::N,аля,vader
240,Mutter::N,ава,moeder
241,Mutter::N,тядя,moeder
242,Sohn::N,цёра,zoon
243,Tochter::N,стирь,dochter
244,Bruder::N,дуган,broer
245,Bruder::N,дуган,broeder
246,Bruder::N,пяльне,broer
247,Bruder::N,пяльне,broeder
248,Schwester::N,ака,zus
249,Schwester::N,ака,zuster
250,Schwester::N,сазор,zus
251,Schwester::N,сазор,zuster
252,Onkel::N,оця,oom
253,Onkel::N,патя,oom
254,Onkel::N,щеня́,oom
255,Tante::N,ака,tante
256,Tante::N,щака,tante
257,Ehemann::N,мирде,echtgenoot
258,Ehefrau::N,ърьвя́,echtgenote
259,Freude::N,ке́нярдема,vreugde
260,Gelächter::N,рахсема,gelach
261,Glück::N,паваз,geluk
262,Kummer::N,ризф,verdriet
263,Kummer::N,пичефкс,verdriet
264,Wunsch::N,мяль,wens
265,Wunsch::N,мяль,verlangen
266,Wunsch::N,таколдома,wens
267,Wunsch::N,таколдома,verlangen
268,Lust::N,таколдома,zin
269,Lust::N,таколдома,lust
270,Geist::N,вайме,geest
271,Gedanke::N,мяль,gedachte
272,Gedächtnis::N,прявий,geheugen
273,Verstand::N,прявий,verstand
274,Sinn::N,ён,betekenis
275,Grund::N,туфта́л,reden
276,Wahrheit::N,ви́де,waarheid
277,Wahrheit::N,видеши́,waarheid
278,Gespräch::N,корхтама,gesprek
279,Märchen::N,ёфкс,sprookje
280,Erzählung::N,азкс,verhaal
281,Nachricht::N,куля́,tijding
282,Neuigkeit::N,куля́,nieuws
283,Neuigkeit::N,куля́,nieuwtje
284,Name::N,лем,naam
285,Rätsel::N,со́дама ёфкс,raadsel
286,Rede::N,вал,rede
287,Rede::N,корхтама,rede
288,Sprache::N,кяль,taal
289,Stimme::N,вайгяль,stem
290,Wort::N,вал,woord
291,Zeichen::N,тя́ште,teken
292,Zeichen::N,тя́штькс,teken
293,Ruf::N,тердема,roep
294,Lärm::N,гайф,lawaai
295,Lärm::N,жалакодома,lawaai
296,Laut::N,вайгяль,klank
297,Laut::N,вайгяль,geluid
298,Ton::N,вайгяль,toon
299,Ton::N,вайгяль,klank
300,Lied::N,мора,lied
301,Ruhe::N,сетьме,rust
302,Ruhe::N,сетьме,stilte
303,Leute::N,ломатть,lui
304,Leute::N,ломатть,mensen
305,Volk::N,наро́д,volk
306,Arbeit::N,тев,werk
307,Arbeit::N,тев,arbeid
308,Gast::N,и́нжи,gast
309,Gast::N,ко́нак,gast
310,Geschenk::N,казне,cadeau
311,Geschenk::N,казне,geschenk
312,Spiel::N,налхкома,spel
313,Spiel::N,налхксема,spel
314,Gesellschaft::N,кружок,gezelschap
315,Hilfe::N,лездома,hulp
316,Freund::N,я́лга,vriend
317,Kamerad::N,я́лга,maat
318,Kamerad::N,я́лга,metgezel
319,Angelegenheit::N,тев,zaak
320,Angelegenheit::N,тев,aangelegenheid
321,Anzahl::N,лувкс,tal
322,Anzahl::N,лувкс,aantal
323,Art::N,вид,slag
324,Art::N,вид,soort
325,Stück::N,пакш,stuk
326,Teil::N,часть,deel
327,Teil::N,пялькс,deel
328,Hälfte::N,пяле,helft
329,Kreis::N,шаркс,kring
330,Kreis::N,шаркс,cirkel
331,Kreuz::N,крёз,kruis
332,Linie::N,межа,lijn
333,Linie::N,китькс,lijn
334,Strich::N,межа,haal
335,Strich::N,межа,streep
336,Abstand::N,ётка,afstand
337,Entfernung::N,ётка,afstand
338,Gegend::N,ва́ста,streek
339,Gegend::N,перьфпя́ль,streek
340,Platz::N,ва́ста,ruimte
341,Ort::N,ва́ста,oord
342,Ort::N,ва́ста,plaats
343,Seite::N,пяле,zij
344,Seite::N,пяле,kant
345,Seite::N,пяле,zijde
346,Mitte::N,кучка́,midden
347,Gegenstand::N,веща,voorwerp
348,Sache::N,тев,zaak
349,Sache::N,веща,zaak
350,Rand::N,пе,rand
351,Rand::N,пе,boord
352,Kante::N,и́рдез,kant
353,Ecke::N,ужа,hoek
354,Spitze::N,пря,punt
355,Spitze::N,пря,spits
356,Ende::N,пе,einde
357,Ende::N,пе,uiteinde
358,Loch::N,варя,gat
359,Winkel::N,ужа,hoek
360,Muster::N,сёрма,dessin
361,Muster::N,сёрма,patroon
362,Größe::N,серь,grootte
363,Länge::N,кува́лма,lengte
364,Höhe::N,серь,hoogte
365,Gewicht::N,сталма,gewicht
366,Menge::N,лувкс,hoeveelheid
367,Haufen::N,мар,hoop
368,Reihe::N,ряд,rij
369,Reihe::N,ряд,reeks
370,Boot::N,венеж,boot
371,Ruder::N,миле,roeiriem
372,Schlitten::N,ну́рда,slee
373,Schlitten::N,ну́рда,slede
374,Ski::N,сокс,ski
375,Lagerfeuer::N,то́лмар,kampvuur
376,Last::N,канкс,last
377,Last::N,канкс,vracht
378,Last::N,сталма,last
379,Last::N,сталма,vracht
380,Gang::N,молема,wandeling
381,Schritt::N,аськолкс,stap
382,Schritt::N,аськолкс,schrede
383,Norden::N,якшама шире,noorden
384,Süden::N,ля́мбе ши́ре,zuiden
385,Westen::N,ши валгома шире,westen
386,Osten::N,шинь стяма шире,oosten
387,Holz::N,вирь,hout
388,Holz::N,шуфта,hout
389,Brett::N,лавця,plank
390,Platte::N,плита́,plaat
391,Stütze::N,неже,stut
392,Stütze::N,неже,steun
393,Stange::N,олга,stang
394,Stock::N,байдек,stok
395,Stab::N,олгоня,staf
396,Rohr::N,турама,pijp
397,Haus::N,куд,huis
398,Heim::N,куд,tehuis
399,Ofen::N,пянакуд,kachel
400,Fußboden::N,кия́кс,vloer
401,Tisch::N,шра,tafel
402,Tisch::N,моркш,tafel
403,Stuhl::N,стул,stoel
404,Wiege::N,нюря́м,wieg
405,Bett::N,ацам,bed
406,Regal::N,лавцяланга,rek
407,Kiste::N,парга,kist
408,Fenster::N,валмья,raam
409,Fenster::N,валмья,venster
410,Tür::N,кенкш,deur
411,Tor::N,ортат,poort
412,Zaun::N,перяфкс,omheining
413,Dach::N,кудпря,dak
414,Leiter::N,куцема,ladder
415,Besen::N,тяльме,bezem
416,Spaten::N,ка́йме,schop
417,Schaufel::N,ко́поня,schep
418,Schaufel::N,ця́рдом,schep
419,Gabel::N,ця́нгоня,vork
420,Löffel::N,куцю,lepel
421,Messer::N,пеель,mes
422,Nagel::N,эска,spijker
423,Haken::N,кя́чказ,haak
424,Griff::N,недь,handvat
425,Griff::N,кунда́мка,handvat
426,Schloss::N,замо́к,slot
427,Bild::N,карти́на,beeld
428,Figur::N,ронга-понда,figuur
429,Puppe::N,ня́ка,pop
430,Beutel::N,кяскав,zak
431,Beutel::N,кяскав,buidel
432,Bündel::N,кярьме,pak
433,Bündel::N,кярьме,bundel
434,Tasche::N,кошяльня,tas
435,Eimer::N,ве́дарка,emmer
436,Deckel::N,тавадкс,deksel
437,Deckel::N,вельхкс,deksel
438,Geschirr::N,кядьге,vaatwerk
439,Sack::N,кяскав,zak
440,Tasse::N,ша́ваня,kop
441,Topf::N,кавозь,pan
442,Kessel::N,сргавозь,ketel
443,Essen::N,ярхцама,eten
444,Nahrung::N,ярхцампяль,voedsel
445,Speise::N,ярхцама,spijs
446,Fleisch::N,пал,vlees
447,Fleisch::N,сиволь,vlees
448,Getreide::N,сёра,graan
449,Brei::N,ям,pap
450,Brei::N,ям,brij
451,Brot::N,кши,brood
452,Scheibe::N,кочам,plak
453,Scheibe::N,кочам,snede
454,Fett::N,куя́,vet
455,Butter::N,вай,boter
456,Öl::N,вай,olie
457,Salz::N,сал,zout
458,Suppe::N,шонгарям,soep
459,Suppe::N,коршампяль,soep
460,Honig::N,медь,honing
461,Milch::N,лофца,melk
462,Tee::N,чай,thee
463,Leder::N,кедь,leer
464,Leder::N,кедь,leder
465,Wolle::N,пона,wol
466,Stoff::N,котф,stof
467,Nadel::N,салмокс,naald
468,Faden::N,сюре,draad
469,Knopf::N,пуня,knoop
470,Knoten::N,сюлма,knoop
471,Farbe::N,архтомбяль,verf
472,Kleidung::N,щам,kledij
473,Kleidung::N,щам,kleding
474,Hemd::N,па́нар,hemd
475,Kragen::N,сиве,kraag
476,Ärmel::N,ожа,mouw
477,Hose::N,понкст,broek
478,Hose::N,понкст,pantalon
479,Gürtel::N,каркс,riem
480,Gürtel::N,каркс,gordel
481,Mütze::N,вазь,muts
482,Schuh::N,башма́к,schoen
483,Stiefel::N,кя́ме,laars
484,Ring::N,суркс,ring
485,Band::N,керькс,lint
486,Band::N,лента,lint
487,Kamm::N,сюрьхцем,kam
488,Spiegel::N,ванома,spiegel
489,Riemen::N,шнань каркс,riem
490,Schnur::N,пикс,koord
491,Schnur::N,карькскя,koord
492,Leine::N,вядьме,lijn
493,Decke::N,вельхкс,deken
494,Kissen::N,тоду,kussen
495,Tuch::N,руця́,doek
496,Handtuch::N,на́рдама,handdoek
497,Kraft::N,вий,kracht
498,Stärke::N,вииши,sterkte
499,Gesundheit::N,шумбраши́,gezondheid
500,Krankheit::N,урма́,ziekte
501,Krankheit::N,сярядема,ziekte
502,Schmerz::N,маряма,pijn
503,Wunde::N,керф,wond
504,Fieber::N,маштыкс,koorts
505,Arznei::N,надо́бья,medicament
506,Arznei::N,надо́бья,geneesmiddel
507,Arznei::N,пъчка́фтома,medicament
508,Arznei::N,пъчка́фтома,geneesmiddel
509,Brücke::N,седь,brug
510,Brunnen::N,эши,put
511,Brunnen::N,эши,bron
512,Weide::N,ванома васта,wei
513,Weide::N,ванома васта,weide
514,Pfad::N,ян,pad
515,Pfad::N,киня́,pad
516,Weg::N,ки,weg
