,Concept_ID,de,sk
0,Auge::N,Auge,oko
1,Ohr::N,Ohr,ucho
2,Nase::N,Nase,nos
3,Mund::N,Mund,ústa
4,Zahn::N,Zahn,zub
5,Zunge::N,Zunge,jazyk
6,Lippe::N,Lippe,pera
7,Wange::N,Wange,líce
8,Gesicht::N,Gesicht,tvár
9,Gesicht::N,Gesicht,obličaj
10,Stirn::N,Stirn,čelo
11,Haar::N,Haar,vlas
12,Schnurrbart::N,Schnurrbart,fúzy
13,Bart::N,Bart,brada
14,Kinn::N,Kinn,brada
15,Kiefer[Anatomie]::N,Kiefer,čeľusť
16,Kehle::N,Kehle,hrdlo
17,Hals::N,Hals,krk
18,Genick::N,Genick,väzy
19,Kopf::N,Kopf,hlava
20,Rücken::N,Rücken,chrbát
21,Bauch::N,Bauch,brucho
22,Nabel::N,Nabel,pupok
23,Busen::N,Busen,prsia
24,Brust::N,Brust,hruď
25,Schulter::N,Schulter,plece
26,Arm::N,Arm,rameno
27,Ellenbogen::N,Ellenbogen,lakeť
28,Hand::N,Hand,ruka
29,Handfläche::N,Handfläche,dlaň
30,Finger::N,Finger,prst
31,Fingernagel::N,Fingernagel,necht
32,Nagel[Anatomie]::N,Nagel,necht
33,Zeh::N,Zeh,prst na nohe
34,Fuß::N,Fuß,noha
35,Ferse::N,Ferse,päta
36,Knie::N,Knie,koleno
37,Oberschenkel::N,Oberschenkel,stehno
38,Bein::N,Bein,noha
39,Körper::N,Körper,telo
40,Haut::N,Haut,koža
41,Blut::N,Blut,krv
42,Ader::N,Ader,žila
43,Sehne::N,Sehne,šľacha
44,Knochen::N,Knochen,kosť
45,Gehirn::N,Gehirn,mozog
46,Herz::N,Herz,srdce
47,Magen::N,Magen,žalúdok
48,Leber::N,Leber,pečeň
49,Atem::N,Atem,dych
50,Hunger::N,Hunger,hlad
51,Träne::N,Träne,slza
52,Geschmack::N,Geschmack,chuť
53,Geruch::N,Geruch,pach
54,Schlaf::N,Schlaf,spánok
55,Traum::N,Traum,sen
56,Himmel::N,Himmel,nebo
57,Sonne::N,Sonne,slnko
58,Mond::N,Mond,mesiac
59,Stern::N,Stern,hviezda
60,Luft::N,Luft,vzduch
61,Wind::N,Wind,vietor
62,Welle::N,Welle,vlna
63,Wasser::N,Wasser,voda
64,Stein::N,Stein,kameň
65,Boden::N,Boden,zem
66,Boden::N,Boden,pôda
67,Erde::N,Erde,zem
68,Staub::N,Staub,prach
69,Rauch::N,Rauch,dym
70,Funke::N,Funke,iskra
71,Feuer::N,Feuer,oheň
72,Licht::N,Licht,svetlo
73,Schatten::N,Schatten,tieň
74,Wetter::N,Wetter,počasie
75,Nebel::N,Nebel,hmla
76,Wolke::N,Wolke,oblak
77,Wolke::N,Wolke,mračno
78,Regen::N,Regen,dážď
79,Schnee::N,Schnee,sneh
80,Eis::N,Eis,ľad
81,Frost::N,Frost,mráz
82,Kälte::N,Kälte,zima
83,Kälte::N,Kälte,chlad
84,Hitze::N,Hitze,horúčava
85,Raureif::N,Raureif,srieň
86,Raureif::N,Raureif,inovať
87,Regenbogen::N,Regenbogen,dúha
88,Donner::N,Donner,hrom
89,Strömung::N,Strömung,prúdenie
90,Tropfen::N,Tropfen,kvapka
91,Schaum::N,Schaum,pena
92,Schmutz::N,Schmutz,špina
93,Schmutz::N,Schmutz,nečistota
94,See::N,See,jazero
95,Sumpf::N,Sumpf,bahno
96,Moor::N,Moor,močiar
97,Wiese::N,Wiese,lúka
98,Wald::N,Wald,les
99,Wald::N,Wald,hora
100,Hügel::N,Hügel,vŕšok
101,Anhöhe::N,Anhöhe,výšina
102,Anhöhe::N,Anhöhe,vyvýšenina
103,Berg::N,Berg,hora
104,Gipfel::N,Gipfel,vrchol
105,Höhle::N,Höhle,jaskyňa
106,Abhang::N,Abhang,úbočie
107,Quelle::N,Quelle,prameň
108,Bach::N,Bach,potok
109,Fluss::N,Fluss,rieka
110,Ufer::N,Ufer,breh
111,Küste::N,Küste,pobrežie
112,Festland::N,Festland,pevnina
113,Meer::N,Meer,more
114,Bucht::N,Bucht,záliv
115,Bucht::N,Bucht,zátoka
116,Insel::N,Insel,ostrov
117,Blume::N,Blume,kvet
118,Blume::N,Blume,kvetina
119,Gras::N,Gras,tráva
120,Wurzel::N,Wurzel,koreň
121,Baum::N,Baum,strom
122,Stamm::N,Stamm,kmeň
123,Rinde::N,Rinde,kôra
124,Ast::N,Ast,konár
125,Zweig::N,Zweig,vetva
126,Blatt::N,Blatt,list
