,Concept_ID,bg,te
0,Auge::N,око,కన్ను
1,Ohr::N,ухо,చెవి
2,Nase::N,нос,ముక్కు
3,Mund::N,уста,నోరు
4,Zahn::N,зъб,పల్లు
5,Zunge::N,език,నాలుక
6,Lippe::N,устна,పెదవి
7,Wange::N,буза,చెంప
8,Gesicht::N,лице,ముఖము
9,Gesicht::N,образ,ముఖము
10,Stirn::N,чело,నుదురు
11,Haar::N,коса,వెండ్రుక
12,Haar::N,косъм,వెండ్రుక
13,Schnurrbart::N,мустаци,మీసము
14,Bart::N,брада,గడ్డము
15,Kinn::N,брада,గడ్డము
16,Kinn::N,брадичка,గడ్డము
17,Kiefer[Anatomie]::N,челюст,దౌడ
18,Kehle::N,гърло,గొంతు
19,Hals::N,врат,మెడ
20,Genick::N,тил,మూపు
21,Kopf::N,глава,తల
22,Rücken::N,гръб,వెన్ను
23,Bauch::N,корем,కడుపు
24,Nabel::N,пъп,బొడ్డు
25,Busen::N,бозка,స్తనము
26,Brust::N,гръд,ఱొమ్ము
27,Schulter::N,рамо,భుజము
28,Schulter::N,плещи,భుజము
29,Arm::N,ръка,చేయి
30,Ellenbogen::N,лакът,మోచేయి
31,Hand::N,ръка,చేయి
32,Hand::N,китка,చేయి
33,Handfläche::N,длан,అరచేయు
34,Finger::N,пръст,చేతిప్రేలు
35,Fingernagel::N,нокът,గోరు
36,Nagel[Anatomie]::N,нокът,గోరు
37,Zeh::N,пръст на крак,కాలిప్రేలు
38,Fuß::N,крак,అడుగు
39,Fuß::N,нога,అడుగు
40,Ferse::N,пета,మడమ
41,Knie::N,коляно,మోకాలు
42,Oberschenkel::N,бедро,తొడ
43,Bein::N,крак,కాలు
44,Bein::N,нога,కాలు
45,Körper::N,тяло,కాయము
46,Haut::N,кожа,చర్మము
47,Blut::N,кръв,రక్తము
48,Ader::N,вена,సిర
49,Ader::N,артерия,సిర
50,Sehne::N,жила,స్నాయువు
51,Sehne::N,сухожилие,స్నాయువు
52,Knochen::N,кост,ఎముక
53,Gehirn::N,мозък,మెదడు
54,Herz::N,сърце,హృదయము
55,Magen::N,стомах,కడుపు
56,Leber::N,черен дроб,కాలేయము
57,Atem::N,дишане,ఉపిరి
58,Hunger::N,глад,ఆకలి
59,Träne::N,сълза,కన్నీటిచుక్క
60,Geschmack::N,вкус,రుచి
61,Geruch::N,миризма,వాసన
62,Schlaf::N,сън,నిద్ర
63,Traum::N,сън,కల
64,Himmel::N,небе,ఆకాశము
65,Sonne::N,слънце,సూర్యుడు
66,Mond::N,луна,చంద్రుడు
67,Mond::N,месец,చంద్రుడు
68,Stern::N,звезда,నక్షత్రము
69,Luft::N,въздух,గాలి
70,Wind::N,вятър,వీచుచున్నగాలి
71,Welle::N,вълна,అల
72,Wasser::N,вода,నీరు
73,Stein::N,камък,ఱాయి
74,Boden::N,земя,నేల
75,Boden::N,почва,నేల
76,Erde::N,земя,మన్ను
77,Erde::N,почва,మన్ను
78,Staub::N,прах,దుమ్ము
79,Rauch::N,дим,పొగ
80,Rauch::N,пушек,పొగ
81,Funke::N,искра,అగ్నికణము
82,Feuer::N,огън,అగ్ని
83,Licht::N,светлина,కాంతి
84,Schatten::N,сянка,నీడ
85,Wetter::N,време,వాతావరణ స్థితి
86,Nebel::N,мъгла,పొగమంచు
87,Wolke::N,облак,మేఘము
88,Regen::N,дъжд,వాన
89,Schnee::N,сняг,హిమము
90,Eis::N,лед,మంచుగడ్డ
91,Frost::N,мраз,పేరిన మంచు
92,Kälte::N,студ,చలి
93,Hitze::N,жега,వేడిమి
94,Hitze::N,горещина,వేడిమి
95,Raureif::N,скреж,మంచు
96,Raureif::N,слана,మంచు
97,Regenbogen::N,дъга,ఇంద్రధనుస్సు
98,Donner::N,гръм,ఉరుము
99,Strömung::N,течение,ప్రవాహము
100,Tropfen::N,капка,చుక్క
101,Schaum::N,пяна,నురుగు
102,Schmutz::N,кал,మైల
103,Schmutz::N,мръсотия,మైల
104,See::N,езеро,సరస్సు
105,Sumpf::N,блато,చిత్తడినేల
106,Moor::N,мочурище,చిత్తడినేల
107,Wiese::N,ливада,పచ్చిక బయలు
108,Wald::N,гора,అడవి
109,Hügel::N,рид,చివ్నకొండ
110,Hügel::N,хълм,చివ్నకొండ
111,Anhöhe::N,могила,కొండ
112,Anhöhe::N,възвишение,కొండ
113,Berg::N,планина,పర్వతము
114,Gipfel::N,връх,శిఖరము
115,Höhle::N,пещера,గుహ
116,Abhang::N,склон,ఏటవాలు
117,Abhang::N,стръмнина,ఏటవాలు
118,Quelle::N,извор,మూలము
119,Bach::N,поток,కాలువ
120,Fluss::N,река,నది
121,Ufer::N,бряг,తీరము
122,Küste::N,бряг,తీరము
123,Küste::N,крайбрежие,తీరము
124,Festland::N,суша,భూమి
125,Meer::N,море,సముద్రము
126,Bucht::N,залив,మరుగు
127,Insel::N,остров,దీవి
128,Blume::N,цвете,పుష్పము
129,Gras::N,трева,పచ్చగడ్డి
130,Wurzel::N,корен,వేరు
131,Baum::N,дърво,చెట్టు
132,Stamm::N,стъбло,చెట్టుబోదె
133,Rinde::N,кора,చెట్టుపట్ట
134,Ast::N,клон,కొమ్మ
135,Zweig::N,клон,చివుకు
136,Blatt::N,лист,ఆకు
137,Birke::N,бреза,తరహా చెట్టు
138,Kiefer[Baum]::N,бор,దేవదారు చెట్టు
139,Weide[Baum]::N,върба,జాతిచెట్టు
140,Tanne::N,ела,దేవదారుచెట్టు
141,Horn::N,рог,కొమ్ము
142,Feder::N,перо,ఈక
143,Fell::N,кожа,తోలు
144,Flügel::N,крило,ఱెక్క
145,Klaue::N,нокът,వంకరగోరు
146,Kralle::N,нокът,వంకరగోరు
147,Schwanz::N,опашка,తోక
148,Ei::N,яйце,గ్రుడ్డు
149,Nest::N,гнездо,పక్షిగూడు
150,Bau::N,дупка,గుహ
151,Tier::N,животно,జంతువు
152,Herde::N,стадо,మంద
153,Kuh::N,крава,ఆవు
154,Bulle::N,бик,గిత్త
155,Pferd::N,кон,గుఱ్ఱము
156,Schaf::N,овца,గొఱ్ఱె
157,Schwein::N,свиня,పంది
158,Hund::N,куче,కుక్క
159,Katze::N,котка,పిల్లి
160,Bär::N,мечка,ఎలుగుబంటి
161,Eichhörnchen::N,катерица,ఉడుత
162,Elch::N,лос,కణంజు
163,Fuchs::N,лисица,గుంటనక్క
164,Hase::N,заек,కుందేలు
165,Maus::N,мишка,చిట్టెలుక
166,Wolf::N,вълк,తోడేలు
167,Vogel::N,птица,పక్షి
168,Schwarm::N,рой,గుంపు
169,Schwarm::N,рояк,గుంపు
170,Huhn::N,кокошка,కోడిపిల్ల
171,Hahn::N,петел,కోడివుంజు
172,Gans::N,гъска,ఆడుబాతు
