,Concept_ID,uk,it
0,Auge::N,око,occhio
1,Ohr::N,вухо,orecchio
2,Nase::N,ніс,naso
3,Mund::N,рот,bocca
4,Zahn::N,зуб,dente
5,Zunge::N,язик,lingua
6,Lippe::N,губа,labbro
7,Wange::N,щока,guancia
8,Gesicht::N,обличчя,viso
9,Gesicht::N,обличчя,faccia
10,Stirn::N,лоб,fronte
11,Haar::N,волосся,capello
12,Schnurrbart::N,вуса,baffi
13,Schnurrbart::N,вуса,mustacchi
14,Bart::N,борода,barba
15,Kinn::N,підборіддя,mento
16,Kiefer[Anatomie]::N,щелепа,mascella
17,Kehle::N,горло,gola
18,Hals::N,шия,collo
19,Genick::N,потилиця,nuca
20,Kopf::N,голова,capo
21,Kopf::N,голова,testa
22,Rücken::N,спина,dorso
23,Rücken::N,спина,schiena
24,Bauch::N,живіт,ventre
25,Nabel::N,пупок,ombelico
26,Busen::N,груди,seno
27,Brust::N,груди,petto
28,Schulter::N,плече,spalla
29,Arm::N,рука,braccio
30,Ellenbogen::N,лікоть,gomito
31,Hand::N,рука,mano
32,Handfläche::N,долоня,palma
33,Finger::N,палець,dito
34,Fingernagel::N,ніготь,unghia
35,Nagel[Anatomie]::N,ніготь,unghia
36,Zeh::N,палець на нозі,dito del piede
37,Fuß::N,нога,piede
38,Ferse::N,п’ятка,tallone
39,Ferse::N,п’ятка,calcagno
40,Knie::N,коліно,ginocchio
41,Oberschenkel::N,стегно,fèmore
42,Bein::N,нога,gamba
43,Körper::N,тіло,corpo
44,Haut::N,шкіра,pelle
45,Blut::N,кров,sangue
46,Ader::N,вена,vena
47,Sehne::N,сухожилля,tèndine
48,Knochen::N,кістка,osso
49,Gehirn::N,мозок,cervello
50,Herz::N,серце,cuore
51,Magen::N,шлунок,stòmaco
52,Leber::N,печінка,fegato
53,Atem::N,дихання,fiato
54,Atem::N,дихання,respiro
55,Hunger::N,голод,fame
56,Träne::N,сльоза,làcrima
57,Geschmack::N,смак,gusto
58,Geschmack::N,смак,sapore
59,Geruch::N,запах,odore
