,Concept_ID,sah,hy
0,Auge::N,харах,աչք
1,Ohr::N,кулгаах,ականջ
2,Nase::N,мурун,քիթ
3,Mund::N,айах,բերան
4,Zahn::N,тиис,ատամ
5,Zunge::N,тыл,լեզու
6,Lippe::N,уос,շրթունք
7,Wange::N,иэдэс,այտ
8,Wange::N,иэдэс,թուշ
9,Gesicht::N,сирэй,դեմք
10,Stirn::N,сүүс,ճակատ
11,Haar::N,баттах,մազ
12,Schnurrbart::N,уос бытыга,բեղ
13,Bart::N,сэҥийэ бытыга,մորուք
14,Kinn::N,сэҥийэ,կզակ
15,Kiefer[Anatomie]::N,сыҥаах,ծնոտ
16,Kehle::N,тамах,կոկորդ
17,Kehle::N,күөмэй,կոկորդ
18,Hals::N,моой,վիզ
19,Hals::N,моой,պարանոց
20,Genick::N,кэтэх,ծոծրակ
21,Kopf::N,бас,գլուխ
22,Rücken::N,көҕүс,մեջք
23,Bauch::N,ис,փոր
24,Bauch::N,ис,որովայն
25,Nabel::N,киин,պորտ
26,Busen::N,эмиий,ծոց
27,Brust::N,түөс,կուրծք
28,Schulter::N,сарын,ուս
29,Arm::N,илии,թեւ
30,Arm::N,илии,բազուկ
31,Ellenbogen::N,тоҕонох,արմունկ
32,Hand::N,илии,ձեռք
33,Handfläche::N,ытыс,ափ
34,Finger::N,тарбах,մատ
35,Fingernagel::N,тыҥырах,եղունգ
36,Nagel[Anatomie]::N,тыҥырах,եղունգ
37,Zeh::N,тарбах,ոտքի մատ
38,Fuß::N,уллуҥах,ոտք
39,Ferse::N,тилэх,գարշապար
40,Knie::N,тобук,ծունկ
41,Knie::N,дьилбэк,ծունկ
42,Oberschenkel::N,уллук,ազդր
43,Oberschenkel::N,өттүк,ազդր
44,Bein::N,атах,ոտք
45,Körper::N,бэйэ,մարմին
46,Haut::N,тирии,մաշկ
47,Blut::N,хаан,արյուն
48,Ader::N,вена,երակ
49,Ader::N,күөх_тымыр,երակ
50,Sehne::N,иҥиир,ջիղ
51,Sehne::N,иҥиир,ձգտան
52,Knochen::N,уҥуох,ոսկոր
53,Knochen::N,уҥгуох,ոսկոր
54,Gehirn::N,мэйии,խելք
55,Herz::N,сүрэх,սիրտ
56,Magen::N,куртах,ստամոքս
57,Leber::N,быар,լյարդ
58,Atem::N,тыын,շունչ
59,Hunger::N,аас,քաղց
60,Träne::N,харах уута,արտասուք
61,Geschmack::N,амтан,համ
62,Geschmack::N,амтан,բուրմունք
63,Geruch::N,сыт,հոտ
64,Geruch::N,сыт,բուրում
65,Schlaf::N,утуйуу,քուն
66,Traum::N,түүл,երազ
67,Himmel::N,халлаан,երկինք
68,Sonne::N,күн,արեւ
69,Mond::N,ый,լուսին
70,Stern::N,сулус,աստղ
71,Luft::N,салгын,օդ
72,Wind::N,тыал,քամի
73,Welle::N,долгун,ալիք
74,Welle::N,балхаан,ալիք
75,Wasser::N,уу,ջուր
76,Stein::N,таас,քար
77,Boden::N,сир,գետին
78,Erde::N,буор,հող
79,Staub::N,быыл,փոշի
80,Rauch::N,буруо,ծուխ
81,Funke::N,кыым,կայծ
82,Feuer::N,уот,կրակ
83,Feuer::N,уот,հրդեհ
84,Licht::N,уот,լույս
85,Schatten::N,күлүк,ստվեր
86,Wetter::N,күн-дьыл,եղանակ
87,Nebel::N,туман,մեգ
88,Nebel::N,туман,մառախուղ
89,Wolke::N,былыт,ամպ
90,Regen::N,самыыр,անձրև
91,Schnee::N,хаар,ձյուն
92,Eis::N,муус,սառույց
93,Frost::N,тымныы,սառնամանիք
94,Kälte::N,тымныы,դող
95,Hitze::N,куйаас,շոգ
96,Raureif::N,кырыа,ցօղեղեամ
97,Regenbogen::N,кустук,ծիածան
98,Donner::N,этиҥ,որոտ
99,Strömung::N,сүүрүк,հոսանք
100,Tropfen::N,таммах,կաթիլ
101,Tropfen::N,хааппыла,կաթիլ
102,Schaum::N,күүгэн,փրփուր
103,Schmutz::N,кир,կեղտ
104,See::N,күөл,լիճ
105,Sumpf::N,бадараан,ճահիճ
106,Moor::N,дьэбэрэ,ճահիճ
107,Wiese::N,ходуһа,մարգագետին
108,Wald::N,ойуур,անտառ
109,Hügel::N,булгунньах,բլուր
110,Anhöhe::N,үрдэл,բարձունք
111,Berg::N,хайа,լեռ
112,Gipfel::N,чыпчаал,գագաթ
113,Gipfel::N,чыпчаал,կատար
114,Höhle::N,хайа_хаспаҕа,քարայր
115,Höhle::N,көҥүс,քարայր
116,Abhang::N,эниэ,լանջ
117,Abhang::N,эниэ,զառիվայր
118,Quelle::N,дьүүктэ,աղբյուր
119,Bach::N,үрүйэ,վտակ
120,Fluss::N,өрүс,գետ
121,Ufer::N,биэрэк,ծովափ
122,Küste::N,кытыл,ափ
123,Küste::N,кытыл,ծովափ
124,Festland::N,кураанах сир,ցամաք
125,Meer::N,муора,ծով
126,Bucht::N,хомо,հաչիւն
127,Bucht::N,бухта,հաչիւն
128,Insel::N,арыы,վղզի
129,Blume::N,сибэкки,ծաղիկ
130,Gras::N,от,խոտ
131,Wurzel::N,силис,արմատ
132,Baum::N,мас,ծառ
133,Stamm::N,умнас,իրան
134,Rinde::N,хатырык,կեղեւ
135,Rinde::N,хатырык,հաչոց
136,Ast::N,мутук,ճյուղ
137,Zweig::N,лабаа,ճյուղ
138,Blatt::N,сэбирдэх,տերեւ
139,Birke::N,хатыҥ,ցարասի
140,Kiefer[Baum]::N,бэс,սոճի
141,Weide[Baum]::N,үөт,ուռենի
142,Weide[Baum]::N,талах,ուռենի
143,Tanne::N,харыйа,եղեւին
144,Horn::N,муос,
145,Feder::N,куорсун,փետուր
146,Fell::N,тирии,մորթի
147,Flügel::N,кынат,թեւ
148,Klaue::N,тыҥырах,չանչ
149,Kralle::N,баппаҕай,ճանկ
150,Schwanz::N,кутурук,պոչ
151,Ei::N,сымыыт,ձու
152,Nest::N,уйа,բույն
153,Bau::N,хороон,որջ
154,Bau::N,хороон,բայոց
155,Tier::N,кыыл,կենդանի
156,Tier::N,харамай,կենդանի
157,Herde::N,үөр,հոտ
158,Kuh::N,ынах,կով
159,Bulle::N,оҕус,ցուլ
160,Pferd::N,сылгы,ձի
161,Schaf::N,овца,ոչխար
162,Schwein::N,сибиинньэ,խոզ
163,Hund::N,ыт,շուն
164,Katze::N,куоска,կատու
165,Bär::N,эһэ,արջ
166,Eichhörnchen::N,тииҥ,սկյուռ
167,Elch::N,тайах,հիւսիսային եղջերու
168,Fuchs::N,саһыл,աղվես
169,Hase::N,куобах,նապաստակ
170,Maus::N,кутуйах,մուկ
171,Wolf::N,бөрө,գայլ
172,Vogel::N,көтөр,թռչուն
173,Schwarm::N,бөлөх,երամ
174,Huhn::N,куурусса,հավ
175,Hahn::N,бөтүүк,աքաղաղ
176,Gans::N,хаас,սագ
177,Adler::N,хотой,արծիվ
178,Ente::N,кус,բադ
179,Eule::N,мэкчиргэ,բու
180,Kranich::N,туруйа,կռունկ
181,Krähe::N,тураах,ագռավ
182,Kuckuck::N,кэҕэ,կուկու
183,Schwan::N,куба,կարապ
184,Fisch::N,балык,ձուկ
185,Barsch::N,алыһар,պերկես
186,Hecht::N,сордон,գայլաձուկ
187,Schlange[Tier]::N,моҕой,օձ
188,Schlange[Tier]::N,эриэн үөн,օձ
189,Wurm::N,үөн,որդ
190,Wurm::N,үөн,ճիճու
191,Spinne::N,ооҕуй,սարդ
192,Ameise::N,кымырдаҕас,միջյուն
193,Laus::N,быт,ոջիլ
194,Mücke::N,кумаар,մժղուկ
195,Fliege::N,сахсырҕа,ճանճ
196,Schmetterling::N,лыах,թիթեռ
197,Schmetterling::N,үрүмэччи,թիթեռ
198,Beere::N,отон,հատապտուղ
199,Apfel::N,яблоко,խնձոր
200,Pilz::N,тэллэй,սունկ
201,Zwiebel::N,луук,սոխ
202,Saat::N,сиэмэ,սերմ
203,Korn::N,сиэмэ,հատիկ
204,Heu::N,от,խոտ
205,Schale::N,хах,կեղեւ
206,Grube::N,дьаама,փոս
207,Falle::N,сохсо,ծուղակ
208,Schlinge::N,уктаа,խեղդան
209,Spur::N,суол,հետք
210,Asche::N,күл,մոխիր
211,Dreck::N,бадараан,աղտ
212,Eisen::N,тимир,երկաթ
213,Gold::N,көмүс,ոսկի
214,Gold::N,кыһыл көмүс,ոսկի
215,Silber::N,көмүс,արծաթ
216,Silber::N,үрүҥ көмүс,արծաթ
217,Kohle::N,чох,քարածուխ
218,Glas::N,өстүөкүлэ,ապակի
219,Lehm::N,туой,կավ
220,Sand::N,кумах,ավազ
221,Mensch::N,киһи,մարդ
222,Mann::N,эр,մարդ
223,Mann::N,эр,տղամարդ
224,Frau::N,дьахтар,կին
225,Kind::N,оҕо,զավակ
226,Junge::N,уол,տղա
227,Mädchen::N,кыыс оҕо,աղջիկ
228,Familie::N,кэргэн,ընտանիք
229,Großvater::N,эһэ,պապ
230,Großmutter::N,эбэ,տատ
231,Eltern::N,аҕа-ийэ,ծնողներ
232,Vater::N,аҕа,հայր
233,Mutter::N,ийэ,մայր
234,Sohn::N,уол,որդի
235,Tochter::N,кыыс,աղջիկ
236,Tochter::N,кыыс,դուստր
237,Bruder::N,убай,եղբայր
238,Bruder::N,быраат,եղբայր
239,Schwester::N,аҕас,քույր
240,Schwester::N,балыс,քույր
241,Onkel::N,таай,քեռի
242,Onkel::N,таай,հորեղբայր
243,Onkel::N,абаҕа,քեռի
244,Onkel::N,абаҕа,հորեղբայր
245,Tante::N,эдьиий,մորաքույր
246,Ehemann::N,эр,մարդ
247,Ehemann::N,эр,ամուսին
248,Ehefrau::N,ойох,կին ամուսին
249,Freude::N,үөрүү,ուրախություն
250,Gelächter::N,күлүү,ծիծաղ
251,Glück::N,дьол,երջանկություն
252,Glück::N,соргу,երջանկություն
253,Kummer::N,кутурҕан,վիշտ
254,Wunsch::N,баҕарыы,ցանկություն
255,Lust::N,баҕа,փափագ
256,Lust::N,баҕа,իղձ
257,Geist::N,тыын,ոգի
258,Gedanke::N,санаа,միտք
259,Gedächtnis::N,өй,հիշողություն
260,Verstand::N,өй,խելք
261,Sinn::N,суолта,իմաստ
262,Grund::N,төрүөт,պատճառ
263,Wahrheit::N,кырдьык,ճշմարտություն
264,Gespräch::N,бэсиэдэ,զրույց
265,Gespräch::N,кэпсэтии,զրույց
266,Märchen::N,остуоруйа,պայիկի պատմություն
267,Erzählung::N,кэпсээн,պատմվածք
268,Erzählung::N,кэпсээн,պատմություն
269,Nachricht::N,биллэриллии,հաղորդագրություն
270,Neuigkeit::N,сонун,լուր
271,Neuigkeit::N,сонун,նորություն
272,Name::N,аат,անուն
273,Rätsel::N,таабырын,բարդ խնդիր
274,Rede::N,этии,ճառ
275,Rede::N,этии,ելույթ
276,Sprache::N,тыл,լեզու
277,Stimme::N,куолас,ձայն
278,Wort::N,тыл,բառ
279,Zeichen::N,бэлиэ,նշան
280,Ruf::N,ыҥырыы,կոչ
281,Ruf::N,ыҥырыы,կանչ
282,Lärm::N,айдаан,աղմուկ
283,Laut::N,тыас,հնչյուն
284,Laut::N,тыас,ձայն
285,Ton::N,дорҕоон,տոն
286,Lied::N,ырыа,երգ
287,Ruhe::N,уу чуумпу,անդորրություն
288,Leute::N,дьон,մարդիկ
289,Volk::N,дьон,ազգ
290,Volk::N,норуот,ազգ
291,Arbeit::N,үлэ,գործ
292,Arbeit::N,үлэ,աշխատանք
293,Gast::N,ыалдьыт,հյուր
294,Geschenk::N,бэлэх,նվեր
295,Spiel::N,оонньуу,խաղ
296,Gesellschaft::N,общество,ընկերություն
297,Hilfe::N,көмө,օգնությթուն
298,Freund::N,доҕор,ընկեր
299,Freund::N,доҕор,բարեկամ
300,Kamerad::N,атас,ուղեկից
301,Angelegenheit::N,дьыала,բան
302,Angelegenheit::N,дьыала,գործ
303,Anzahl::N,ахсаан,քանակ
304,Anzahl::N,ахсаан,գումար
305,Art::N,биис,տեսակ
306,Stück::N,кырбас,կտոր
307,Teil::N,ирээт,մաս
308,Hälfte::N,аҥар,կես
309,Kreis::N,төгүрүк,շիջանակ
310,Kreis::N,төгүрүмтэ,շիջանակ
311,Kreuz::N,кириэс,խաչ
312,Linie::N,сурааһын,գիծ
313,Strich::N,сурааһын,գիծ
314,Abstand::N,арыт,անջրպետ
315,Entfernung::N,ыраах,հեռավորություն
316,Gegend::N,сир,շրջան
317,Platz::N,арыт,տարածություն
318,Ort::N,сир,տեղ
319,Ort::N,сир,վայր
320,Seite::N,өрүт,կողմ
321,Seite::N,сирэй,կողմ
322,Mitte::N,орто,մեջտեղ
323,Gegenstand::N,предмет,առարկա
324,Sache::N,мал,բան
325,Rand::N,кытыы,վերջք
326,Rand::N,ойоҕос,վերջք
327,Kante::N,кырыы,եզր
328,Ecke::N,муннук,անկյուն
329,Spitze::N,чыпчаал,ծայր
330,Ende::N,төбө,ծայր
331,Loch::N,тэһэҕэс,անցք
332,Loch::N,дьөлөҕөс,անցք
333,Winkel::N,муннук,անկյուն
334,Muster::N,оһуор,օրինակ
335,Größe::N,кээмэй,մեծություն
336,Länge::N,уста,երկարություն
337,Höhe::N,үрдүк,բարձրություն
338,Gewicht::N,ыйааһын,կշիռ
339,Menge::N,ахсаан,քանակ
340,Haufen::N,чөмчөх,դեզ
341,Haufen::N,чөмчөх,կույտ
342,Reihe::N,кэккэ,շարք
343,Reihe::N,кэккэ,կարգ
344,Boot::N,оҥочо,նավակ
345,Ruder::N,эрдии,թի
346,Ruder::N,эрдии,թիակ
347,Schlitten::N,сыарҕа,բալխիր
348,Ski::N,хайыһар,դահուկ
349,Lagerfeuer::N,кутаа,բացօդեայ կրակ
350,Last::N,ыарахан,բեռ
351,Gang::N,хаамыы,զբոսանք
352,Schritt::N,хардыы,քայլ
353,Norden::N,хоту,հյուսիս
354,Süden::N,соҕуруу,հարավ
355,Westen::N,арҕаа,արեւմուտք
356,Osten::N,илин,արեւելք
357,Holz::N,мас,փայտ
358,Brett::N,дуоска,տախտակ
359,Brett::N,хаптаһын,տախտակ
360,Platte::N,билиитэ,թիթեղ
361,Stütze::N,тулааһын,նեցուկ
362,Stange::N,ураҕас,ձող
363,Stock::N,мас,փայտ
364,Stock::N,баалкы,փայտ
365,Stab::N,ураҕас,ցուպ
366,Stab::N,ураҕас,գավազան
367,Rohr::N,турба,խողովակ
368,Haus::N,дьиэ,տուն
369,Heim::N,дьиэ,տուն
370,Ofen::N,оһох,վառարան
371,Fußboden::N,муоста,հատակ
372,Tisch::N,остуол,սեղան
373,Stuhl::N,устуул,աթոռ
374,Wiege::N,биһик,օրորոց
375,Bett::N,кырабаат,անկողին
376,Regal::N,долбуур,դարակ
377,Kiste::N,дьааһык,տուփ
378,Fenster::N,түннүк,պատուհան
379,Tür::N,аан,դուռ
380,Tor::N,аан,դարպաս
381,Zaun::N,соппулуот,ցանկապատ
382,Dach::N,кырыыса,տանիք
383,Dach::N,кырыыса,կտուր
384,Leiter::N,кирилиэс,սանդուղք
385,Besen::N,миинньик,ավել
386,Spaten::N,күрдьэх,բահ
387,Schaufel::N,күрдьэх,թի
388,Gabel::N,биилкэ,պատառաքաղ
389,Löffel::N,луоска,գդալ
390,Messer::N,быһах,դանակ
391,Nagel::N,тоһоҕо,մեխ
392,Netz::N,илим,ցանց
393,Haken::N,көхө,կարթ
394,Griff::N,ук,կոթ
395,Griff::N,ук,բռնակ
396,Griff::N,тутаах,կոթ
397,Griff::N,тутаах,բռնակ
398,Schloss::N,күлүүс,կողպեք
399,Bild::N,хартыына,նկար
400,Bild::N,хартыына,պատկեր
401,Figur::N,фигура,քանդակ
402,Figur::N,фигура,պատկեր
403,Puppe::N,куукула,տիկնիկ
404,Beutel::N,мөһөөччук,տոպրակ
405,Bündel::N,баайыы,կապոց
406,Tasche::N,суумка,պայուսակ
407,Eimer::N,биэдэрэ,դույլ
408,Deckel::N,хаппах,կափարիչ
409,Geschirr::N,иһит,ամանեղեն
410,Sack::N,куул,պարկ
411,Sack::N,куул,տոպրակ
412,Tasse::N,сэлиэнэй,թաս
413,Tasse::N,сэлиэнэй,գավաթ
414,Topf::N,көстүрүүҥкэ,անոթ
415,Kessel::N,хочуол,կաթսա
416,Essen::N,аһылык,կերակուր
417,Nahrung::N,ас,ուտելիք
418,Speise::N,аһылык,խորտիկ
419,Speise::N,аһылык,կերակուր
420,Fleisch::N,эт,միս
421,Getreide::N,злактар,հացահատիկ
422,Brei::N,хааһы,լանդակ
423,Brot::N,килиэп,հաց
424,Scheibe::N,куһуок,կտոր
425,Scheibe::N,куһуок,պատառ
426,Fett::N,сыа,ճարպ
427,Butter::N,арыы,կարագ
