,Concept_ID,sl,pt
0,Auge::N,okó,olho
1,Ohr::N,uhó,orelha
2,Nase::N,nós,nariz
3,Mund::N,ústa,boca
4,Zahn::N,zób,dente
5,Zunge::N,jêzik,língua
6,Lippe::N,ústnica,lábio
7,Wange::N,líce,face
8,Gesicht::N,oblíčje,cara
9,Gesicht::N,oblíčje,rosto
10,Stirn::N,čêlo,testa
11,Haar::N,lás,cabelo
12,Schnurrbart::N,bŕki,bigode
13,Bart::N,bráda,barba
14,Kinn::N,bráda,queixo
15,Kiefer[Anatomie]::N,čeljúst,maxila
16,Kiefer[Anatomie]::N,čeljúst,mandíbula
17,Kehle::N,gŕlo,garganta
18,Hals::N,vrát,colo
19,Hals::N,vrát,pescoço
20,Genick::N,zatílnik,nuca
21,Kopf::N,gláva,cabeça
22,Rücken::N,hrbèt,dorso
23,Rücken::N,hrbèt,costas
24,Bauch::N,trébuh,ventre
25,Bauch::N,trébuh,barriga
26,Nabel::N,pópek,umbigo
27,Busen::N,nédrja,seio
28,Brust::N,pŕsi,peito
29,Schulter::N,ráma,ombro
30,Schulter::N,plêče,ombro
31,Arm::N,rôka,braço
32,Ellenbogen::N,komólec,cotovelo
33,Hand::N,rôka,mão
34,Handfläche::N,dlán,palma
35,Handfläche::N,dlán,palma da mão
36,Finger::N,pŕst,dedo
37,Fingernagel::N,nóht na rôki,unha
38,Nagel[Anatomie]::N,nóht,unha
39,Zeh::N,pŕst na nôgi,dedo do pé
40,Fuß::N,nôga,pé
41,Ferse::N,pêta,calcanhar
42,Knie::N,koléno,joelho
43,Oberschenkel::N,stêgno,coxa
44,Bein::N,nôga,perna
45,Körper::N,teló,corpo
46,Haut::N,kóža,pele
47,Blut::N,krí,sangue
48,Ader::N,žíla,veia
49,Sehne::N,kíta,tendão
50,Knochen::N,kóst,osso
51,Gehirn::N,možgáni,cérebro
52,Herz::N,srcé,coração
53,Magen::N,želódec,estômago
54,Leber::N,jétra,fígado
55,Atem::N,díh,fôlego
56,Hunger::N,glád,fome
57,Träne::N,sólza,lágrima
58,Geschmack::N,okús,gosto
59,Geruch::N,vónj,odor
60,Geruch::N,vónj,cheiro
61,Schlaf::N,sèn,sono
62,Schlaf::N,spánec,sono
63,Traum::N,sánje,sonho
64,Himmel::N,nebó,céu
65,Sonne::N,sónce,sol
66,Mond::N,lúna,lua
67,Mond::N,mésec,lua
68,Stern::N,zvézda,estrela
69,Luft::N,zràk,ar
70,Wind::N,véter,vento
71,Welle::N,vál,onda
72,Wasser::N,vôda,água
73,Stein::N,kámen,pedra
74,Boden::N,tlà,solo
75,Erde::N,pŕst,terra
76,Erde::N,zêmlja,terra
77,Staub::N,práh,pó
78,Rauch::N,dìm,fumo
79,Funke::N,ískra,faísca
80,Funke::N,ískra,centelha
81,Feuer::N,ôgenj,fogo
82,Licht::N,lúč,luz
83,Schatten::N,sénca,sombra
84,Wetter::N,vrême,tempo
85,Nebel::N,meglà,nevoeiro
86,Wolke::N,oblák,nuvem
87,Regen::N,dèž,chuva
88,Schnee::N,snég,neve
89,Eis::N,léd,gelo
90,Frost::N,zmrzál,gelo
91,Frost::N,zmrzál,geada
92,Kälte::N,mràz,frio
93,Hitze::N,pripéka,ardor
94,Raureif::N,ívje,geada
95,Raureif::N,slána,geada
96,Regenbogen::N,mávrica,arco-iris
97,Donner::N,gròm,trovão
98,Strömung::N,strúja,corrente
99,Tropfen::N,káplja,gota
100,Schaum::N,péna,espuma
101,Schmutz::N,nesnága,sujidade
102,Schmutz::N,nesnága,imundície
103,See::N,jézero,lago
104,Sumpf::N,močvírje,charco
105,Sumpf::N,močvírje,pântano
106,Moor::N,bárje,pântano
107,Wiese::N,trávnik,prado
108,Wald::N,lés,bosque
109,Wald::N,lés,floresta
110,Wald::N,gòzd,bosque
111,Wald::N,gòzd,floresta
112,Hügel::N,brég,colina
113,Hügel::N,goríca,colina
114,Anhöhe::N,gríč,alto
115,Anhöhe::N,gríč,outeiro
116,Anhöhe::N,višína,alto
117,Anhöhe::N,višína,outeiro
118,Berg::N,gôra,monte
119,Berg::N,gôra,montanha
120,Berg::N,planína,monte
121,Berg::N,planína,montanha
122,Gipfel::N,vŕh,pico
123,Höhle::N,jáma,caverna
124,Höhle::N,votlína,caverna
125,Abhang::N,pobóčje,encosta
126,Quelle::N,izvír,fonte
127,Bach::N,pôtok,regato
128,Bach::N,pôtok,ribeiro
129,Fluss::N,réka,rio
130,Ufer::N,brég,beira
131,Küste::N,obála,costa
132,Küste::N,obréžje,costa
133,Festland::N,celína,terra firme
134,Festland::N,kopnína,terra firme
135,Meer::N,mórje,mar
136,Bucht::N,zalív,baía
137,Insel::N,ôtok,ilha
138,Blume::N,cvetlíca,flor
139,Gras::N,tráva,erva
140,Wurzel::N,korenína,raiz
141,Baum::N,drevó,árvore
142,Stamm::N,dêblo,tronco
143,Rinde::N,lúbje,casca
144,Rinde::N,skórja,casca
145,Ast::N,véja,ramo
146,Zweig::N,véja,galho
147,Blatt::N,líst,folha
148,Birke::N,bréza,bétula
149,Kiefer[Baum]::N,bòr,pinheiro
150,Weide[Baum]::N,vŕba,salgueiro
151,Tanne::N,hója,abeto
152,Horn::N,róg,corno
153,Horn::N,róg,chifre
154,Feder::N,peró,pena
155,Fell::N,kŕzno,pele
156,Flügel::N,krílo,asa
157,Klaue::N,párkelj,pata
158,Kralle::N,krémpelj,unha
159,Kralle::N,krémpelj,garra
160,Schwanz::N,rèp,rabo
161,Schwanz::N,rèp,cauda
162,Ei::N,jájce,ovo
163,Nest::N,gnézdo,ninho
164,Bau::N,brlòg,toca
165,Bau::N,brlòg,covil
166,Tier::N,živál,animal
167,Herde::N,čréda,rebanho
168,Kuh::N,kráva,vaca
169,Bulle::N,bìk,touro
170,Pferd::N,kònj,cavalo
171,Schaf::N,ôvca,ovelha
172,Schwein::N,svínja,porco
173,Hund::N,pès,cão
174,Katze::N,máčka,gata
175,Bär::N,mêdved,urso
176,Eichhörnchen::N,véverica,esquilo
177,Elch::N,lós,alce
178,Fuchs::N,lisíca,raposa
179,Hase::N,zájec,lebre
180,Maus::N,mìš,rato
181,Wolf::N,vólk,lobo
182,Vogel::N,ptìč,ave
183,Vogel::N,ptìč,pássaro
184,Vogel::N,ptíca,ave
185,Vogel::N,ptíca,pássaro
186,Schwarm::N,játa,bando
187,Schwarm::N,játa,enxame
188,Huhn::N,kokóš,galinha
189,Hahn::N,petêlin,galo
190,Gans::N,gós,ganso
191,Adler::N,ôrel,águia
192,Ente::N,ráca,pata
193,Eule::N,sôva,mocho
194,Eule::N,sôva,coruja
195,Kranich::N,žerjàv,grou
196,Krähe::N,vrána,gralha
197,Kuckuck::N,kúkavica,cuco
198,Schwan::N,labód,cisne
199,Fisch::N,ríba,peixe
200,Barsch::N,ostríž,perca
201,Hecht::N,ščúka,lúcio
202,Schlange[Tier]::N,káča,serpente
203,Wurm::N,čr̀v,verme
204,Wurm::N,glísta,verme
205,Spinne::N,pájek,aranha
206,Ameise::N,mrávlja,formiga
207,Laus::N,úš,piolho
208,Mücke::N,komár,mosquito
209,Fliege::N,múha,mosca
210,Schmetterling::N,metúlj,borboleta
211,Beere::N,jágoda,bago
212,Apfel::N,jábolko,maçã
213,Pilz::N,góba,fungo
214,Pilz::N,góba,cogumelo
215,Zwiebel::N,čebúla,cebola
216,Saat::N,séme,sementeira
217,Korn::N,zŕno,grão
218,Heu::N,senó,feno
219,Schale::N,lupína,casca
220,Grube::N,jáma,cova
221,Grube::N,jáma,fossa
222,Falle::N,pást,armadilha
223,Schlinge::N,zánka,laço
224,Schlinge::N,pêtlja,laço
225,Spur::N,sléd,pista
226,Spur::N,sléd,vestígio
227,Asche::N,pepél,cinza
228,Dreck::N,bláto,sujidade
229,Eisen::N,želézo,ferro
230,Gold::N,zlató,ouro
231,Silber::N,srebró,prata
232,Kohle::N,ógel,carvão
233,Glas::N,stêklo,vidro
234,Lehm::N,ílo,barro
235,Lehm::N,ílo,argila
236,Sand::N,pések,areia
237,Mensch::N,člôvek,homem
238,Mensch::N,člôvek,pessoa
239,Mann::N,móž,homem
240,Mann::N,môški,homem
241,Frau::N,gospá,mulher
242,Frau::N,žénska,mulher
243,Kind::N,déte,filho
244,Kind::N,déte,criança
245,Kind::N,otròk,filho
246,Kind::N,otròk,criança
247,Junge::N,fànt,rapaz
248,Junge::N,fànt,menino
249,Junge::N,déček,rapaz
250,Junge::N,déček,menino
251,Mädchen::N,deklè,menina
252,Mädchen::N,deklè,rapariga
253,Mädchen::N,déklica,menina
254,Mädchen::N,déklica,rapariga
255,Familie::N,družína,família
256,Großvater::N,dèd,avô
257,Großvater::N,dédek,avô
258,Großmutter::N,bábica,avó
259,Eltern::N,stárši,pais
260,Vater::N,ôče,pai
261,Mutter::N,máma,mãe
262,Sohn::N,sín,filho
263,Tochter::N,hčí,filha
264,Tochter::N,hčérka,filha
265,Bruder::N,bràt,irmão
266,Schwester::N,sêstra,irmã
267,Onkel::N,újec,tio
268,Onkel::N,stríc,tio
269,Tante::N,têta,tia
270,Tante::N,strína,tia
271,Ehemann::N,móž,esposo
272,Ehemann::N,sopróg,esposo
273,Ehefrau::N,žêna,esposa
274,Ehefrau::N,sopróga,esposa
275,Freude::N,rádost,prazer
276,Freude::N,rádost,alegria
277,Freude::N,vesêlje,prazer
278,Freude::N,vesêlje,alegria
279,Gelächter::N,sméh,risada
280,Gelächter::N,sméh,gargalhada
281,Gelächter::N,grohòt,risada
282,Gelächter::N,grohòt,gargalhada
283,Glück::N,sréča,felicidade
284,Kummer::N,gorjé,aflição
285,Kummer::N,gorjé,desgosto
286,Wunsch::N,žêlja,desejo
287,Lust::N,poželênje,vontade
288,Geist::N,dúša,mente
289,Geist::N,dúša,espírito
290,Gedanke::N,mísel,ideia
291,Gedanke::N,mísel,pensamento
292,Gedächtnis::N,pámet,memória
293,Sinn::N,pomèn,sentido
294,Sinn::N,pomèn,significado
295,Sinn::N,smísel,sentido
296,Sinn::N,smísel,significado
297,Grund::N,vzròk,causa
298,Grund::N,vzròk,motivo
299,Wahrheit::N,resníca,verdade
300,Gespräch::N,pogóvor,conversa
301,Gespräch::N,pogóvor,conversação
302,Märchen::N,právljica,conto
303,Erzählung::N,povést,conto
304,Erzählung::N,povést,narrativa
305,Nachricht::N,sporočílo,mensagem
306,Neuigkeit::N,novóst,notícia
307,Neuigkeit::N,novóst,novidade
308,Name::N,imé,nome
309,Rätsel::N,ugánka,adivinha
310,Rede::N,góvor,oração
311,Rede::N,góvor,discurso
312,Sprache::N,jêzik,língua
313,Stimme::N,glás,voz
314,Wort::N,beséda,palavra
315,Zeichen::N,znák,marca
316,Ruf::N,klíc,grito
317,Ruf::N,klíc,chamada
318,Lärm::N,hrúp,ruído
319,Lärm::N,hrúp,barulho
320,Lärm::N,trúšč,ruído
321,Lärm::N,trúšč,barulho
322,Laut::N,glás,som
323,Ton::N,tón,tom
324,Lied::N,pésem,canção
325,Ruhe::N,pokòj,calma
326,Ruhe::N,pokòj,silêncio
327,Leute::N,ljudjé,gente
328,Leute::N,ljudjé,pessoas
329,Volk::N,národ,povo
330,Volk::N,národ,nação
331,Arbeit::N,délo,trabalho
332,Gast::N,gòst,hóspede
333,Gast::N,gòst,convidado
334,Geschenk::N,darílo,prenda
335,Geschenk::N,darílo,presente
336,Spiel::N,ígra,jogo
337,Gesellschaft::N,drúžba,companhia
338,Hilfe::N,pomóč,ajuda
339,Hilfe::N,pomóč,socorro
340,Freund::N,prijátelj,amigo
341,Kamerad::N,továriš,camarada
342,Angelegenheit::N,zadéva,assunto
343,Anzahl::N,števílo,número
344,Anzahl::N,števílo,quantidade
345,Art::N,vŕsta,tipo
346,Art::N,vŕsta,espécie
347,Stück::N,kós,pedaço
348,Teil::N,dél,peça
349,Teil::N,dél,parte
350,Hälfte::N,polovíca,metade
351,Kreis::N,króg,círculo
352,Kreis::N,kolobár,círculo
353,Kreuz::N,kríž,cruz
354,Linie::N,próga,linha
355,Strich::N,čŕta,traço
356,Abstand::N,preslédek,distância
357,Entfernung::N,oddáljenost,distância
358,Gegend::N,kràj,área
359,Gegend::N,kràj,região
360,Gegend::N,dežêla,área
361,Gegend::N,dežêla,região
362,Platz::N,prôstor,lugar
363,Ort::N,mésto,sítio
364,Seite::N,bòk,lado
365,Seite::N,strán,lado
366,Mitte::N,sredína,meio
367,Gegenstand::N,prédmet,objecto
368,Sache::N,réč,coisa
369,Sache::N,stvár,coisa
370,Rand::N,kràj,bordo
371,Rand::N,kràj,margem
372,Kante::N,rób,borda
373,Kante::N,rób,aresta
374,Ecke::N,vogál,esquina
375,Spitze::N,óst,ponta
376,Ende::N,kônec,cabo
377,Ende::N,kônec,extremo
378,Loch::N,lúknja,furo
379,Loch::N,lúknja,buraco
380,Winkel::N,kót,canto
381,Winkel::N,kót,ângulo
382,Muster::N,vzórec,padrão
383,Muster::N,vzórec,desenho
384,Größe::N,veličína,tamanho
385,Länge::N,dolžína,comprimento
386,Höhe::N,vršína,altura
