,Concept_ID,lv,no
0,Auge::N,син,øye
1,Auge::N,acs,øye
2,Ohr::N,пель,øre
3,Ohr::N,auss,øre
4,Nase::N,ныр,nese
5,Nase::N,deguns,nese
6,Mund::N,вом,munn
7,Mund::N,mute,munn
8,Zahn::N,пинь,tann
9,Zahn::N,zobs,tann
10,Zunge::N,кыв,tunge
11,Zunge::N,mēle,tunge
12,Lippe::N,вом дор,leppe
13,Lippe::N,lūpa,leppe
14,Wange::N,бан,kinn
15,Wange::N,vaigs,kinn
16,Gesicht::N,чужӧм,fjes
17,Gesicht::N,чужӧм,ansikt
18,Gesicht::N,seja,fjes
19,Gesicht::N,seja,ansikt
20,Gesicht::N,ģīmis,fjes
21,Gesicht::N,ģīmis,ansikt
22,Stirn::N,плеш,panne
23,Stirn::N,кымӧс,panne
24,Stirn::N,piere,panne
25,Haar::N,си,hår
26,Haar::N,юрси,hår
27,Haar::N,mats,hår
28,Schnurrbart::N,ус,bart
29,Schnurrbart::N,пыртсим,bart
30,Schnurrbart::N,ūsas,bart
31,Bart::N,тош,skjegg
32,Bart::N,bārda,skjegg
33,Kinn::N,тшӧка,hake
34,Kinn::N,zods,hake
35,Kinn::N,smakrs,hake
36,Kiefer[Anatomie]::N,черлы,kjeve
37,Kiefer[Anatomie]::N,алака лы,kjeve
38,Kiefer[Anatomie]::N,вомкӧтш лы,kjeve
39,Kiefer[Anatomie]::N,žoklis,kjeve
40,Kehle::N,голя,strupe
41,Kehle::N,rīkle,strupe
42,Hals::N,сьылі,hals
43,Hals::N,kakls,hals
44,Genick::N,юрбӧр,nakke
45,Genick::N,балябӧж,nakke
46,Genick::N,sprands,nakke
47,Kopf::N,юр,hode
48,Kopf::N,galva,hode
49,Rücken::N,мыш,rygg
50,Rücken::N,mugura,rygg
51,Bauch::N,рушку,buk
52,Bauch::N,рушку,mage
53,Bauch::N,vēders,buk
54,Bauch::N,vēders,mage
55,Nabel::N,гӧг,navle
56,Nabel::N,naba,navle
57,Busen::N,морӧс,barm
58,Busen::N,krūts,barm
59,Brust::N,морӧс,bryst
60,Brust::N,krūts,bryst
61,Schulter::N,пельпом,skulder
62,Schulter::N,plecs,skulder
63,Arm::N,ки,arm
64,Arm::N,roka,arm
65,Arm::N,delms,arm
66,Ellenbogen::N,гырддза,albue
67,Ellenbogen::N,elkonis,albue
68,Hand::N,ки,hånd
69,Hand::N,roka,hånd
70,Hand::N,plauksta,hånd
71,Handfläche::N,ки пыдӧс,håndflate
72,Handfläche::N,delna,håndflate
73,Handfläche::N,plauksta,håndflate
74,Finger::N,чунь,finger
75,Finger::N,pirksts,finger
76,Fingernagel::N,гыж,fingernegl
77,Fingernagel::N,nags,fingernegl
78,Nagel[Anatomie]::N,гыж,negl
79,Nagel[Anatomie]::N,nags,negl
80,Zeh::N,кок чунь,tå
81,Zeh::N,pirksts,tå
82,Fuß::N,кок,fot
83,Fuß::N,kāja,fot
84,Ferse::N,кокбӧр,hæl
85,Ferse::N,papēdis,hæl
86,Knie::N,пидзӧс,kne
87,Knie::N,celis,kne
88,Oberschenkel::N,лядьвей,lår
89,Oberschenkel::N,бек,lår
90,Oberschenkel::N,ciska,lår
91,Oberschenkel::N,augšstilbs,lår
92,Bein::N,кок,bein
93,Bein::N,kāja,bein
94,Körper::N,туша,kropp
95,Körper::N,туша,legeme
96,Körper::N,вывтыр,kropp
97,Körper::N,вывтыр,legeme
98,Körper::N,miesa,kropp
99,Körper::N,miesa,legeme
100,Körper::N,ķermenis,kropp
101,Körper::N,ķermenis,legeme
102,Haut::N,ку,hud
103,Haut::N,ку,skinn
104,Haut::N,āda,hud
105,Haut::N,āda,skinn
106,Blut::N,вир,blod
107,Blut::N,asins,blod
108,Ader::N,сӧн,åre
109,Ader::N,asinsvads,åre
110,Sehne::N,вез,sene
111,Sehne::N,dzīsla,sene
112,Knochen::N,лы,bein
113,Knochen::N,лы,knokkel
114,Knochen::N,kauls,bein
115,Knochen::N,kauls,knokkel
116,Gehirn::N,вем,hjerne
117,Gehirn::N,smadzenes,hjerne
118,Herz::N,сьӧлӧм,hjerte
119,Herz::N,sirds,hjerte
120,Magen::N,кынӧм,mage
121,Magen::N,kuņģis,mage
