,Concept_ID,sv,is
0,Auge::N,öga,auga
1,Ohr::N,öra,eyra
2,Nase::N,näsa,nef
3,Mund::N,mun,munnur
4,Zahn::N,tand,tönn
5,Zunge::N,tunga,tunga
6,Lippe::N,läpp,vör
7,Wange::N,kind,kinn
8,Wange::N,kind,vangi
9,Gesicht::N,syn,andlit
10,Gesicht::N,ansikte,andlit
11,Stirn::N,panna,enni
12,Haar::N,hår,hár
13,Schnurrbart::N,mustasch,yfirskegg
14,Bart::N,skägg,skegg
15,Kinn::N,haka,haka
16,Kiefer[Anatomie]::N,käke,kjálki
17,Kiefer[Anatomie]::N,käke,skoltur
18,Kehle::N,strupe,kverk
19,Hals::N,hals,háls
20,Genick::N,nacke,hnakki
21,Kopf::N,huvud,höfuð
22,Rücken::N,rygg,hryggur
23,Bauch::N,buk,kviður
24,Bauch::N,mage,kviður
25,Nabel::N,navel,nafli
26,Busen::N,barm,barmur
27,Brust::N,bröst,brjóst
28,Schulter::N,skuldra,öxl
29,Arm::N,arm,armur
30,Ellenbogen::N,armbåge,olnbogi
31,Hand::N,hand,hönd
32,Handfläche::N,handflata,lófi
33,Finger::N,finger,fingur
34,Fingernagel::N,fingernagel,fingurnögl
35,Nagel[Anatomie]::N,nagel,nögl
36,Zeh::N,tå,tá
37,Fuß::N,fot,fótur
38,Ferse::N,häl,hæll
39,Knie::N,knä,kné
40,Oberschenkel::N,lår,læri
41,Bein::N,ben,fótleggur
42,Körper::N,kropp,búkur
43,Körper::N,kropp,líkami
44,Haut::N,hud,húð
45,Haut::N,hud,skinn
46,Haut::N,skinn,húð
47,Haut::N,skinn,skinn
48,Blut::N,blod,blóð
49,Ader::N,åder,æð
50,Sehne::N,sena,sin
51,Knochen::N,ben,bein
52,Gehirn::N,hjärna,heili
53,Herz::N,hjärta,hjarta
54,Magen::N,mage,magi
55,Leber::N,lever,lifur
56,Atem::N,anda,andi
57,Atem::N,anda,andardráttur
58,Atem::N,andedräkt,andi
