,Concept_ID,en,fi
0,Auge::N,eye,silmä
1,Ohr::N,ear,korva
2,Nase::N,nose,nenä
3,Mund::N,mouth,suu
4,Zahn::N,tooth,hammas
5,Zunge::N,tongue,kieli
6,Lippe::N,lip,huuli
7,Wange::N,cheek,poski
8,Gesicht::N,face,naama
9,Gesicht::N,face,kasvot
10,Stirn::N,forehead,otsa
11,Haar::N,hair,hius
12,Haar::N,hair,tukka
13,Schnurrbart::N,moustache,viikset
14,Bart::N,beard,parta
15,Kinn::N,chin,leuka
16,Kiefer[Anatomie]::N,jaw,leukaluu
17,Kehle::N,throat,kurkku
18,Hals::N,neck,kaula
19,Genick::N,nape,niska
20,Kopf::N,head,pää
21,Rücken::N,back,selkä
22,Rücken::N,spine,selkä
23,Bauch::N,belly,maha
24,Bauch::N,belly,vatsa
25,Nabel::N,navel,napa
26,Busen::N,bosom,rinta
27,Brust::N,chest,rinta
28,Brust::N,breast,rinta
29,Schulter::N,shoulder,olka
30,Schulter::N,shoulder,hartia
31,Schulter::N,shoulder,olkapää
32,Arm::N,arm,käsivarsi
33,Ellenbogen::N,elbow,kyynärpää
34,Hand::N,hand,käsi
35,Handfläche::N,palm,kämmen
36,Finger::N,finger,sormi
37,Fingernagel::N,fingernail,kynsi
38,Nagel[Anatomie]::N,nail,kynsi
39,Zeh::N,toe,varvas
40,Fuß::N,foot,jalka
41,Ferse::N,heel,kantapää
42,Knie::N,knee,polvi
43,Oberschenkel::N,thigh,reisi
44,Bein::N,leg,jalka
45,Körper::N,body,keho
46,Körper::N,body,ruumis
47,Haut::N,skin,iho
48,Blut::N,blood,veri
49,Ader::N,vein,suoni
50,Sehne::N,sinew,jänne
51,Knochen::N,bone,luu
52,Gehirn::N,brain,aivot
53,Herz::N,heart,sydän
54,Magen::N,stomach,maha
55,Magen::N,stomach,vatsa
56,Leber::N,liver,maksa
57,Atem::N,breath,henki
58,Atem::N,breath,hengitys
59,Hunger::N,hunger,nälkä
60,Träne::N,tear,kyynel
61,Geschmack::N,flavour,maku
62,Geschmack::N,flavor,maku
63,Geruch::N,odour,haju
64,Geruch::N,odor,haju
65,Schlaf::N,sleep,uni
66,Traum::N,dream,uni
67,Himmel::N,sky,taivas
68,Sonne::N,sun,aurinko
69,Mond::N,moon,kuu
70,Stern::N,star,tähti
71,Luft::N,air,ilma
72,Wind::N,wind,tuuli
73,Welle::N,wave,aalto
74,Wasser::N,water,vesi
75,Stein::N,stone,kivi
76,Boden::N,soil,maa
77,Boden::N,soil,maaperä
78,Boden::N,ground,maa
79,Boden::N,ground,maaperä
80,Erde::N,earth,maa
81,Staub::N,dust,pöly
82,Rauch::N,smoke,savu
83,Funke::N,spark,kipinä
84,Feuer::N,fire,tuli
85,Licht::N,light,valo
86,Schatten::N,shadow,varjo
87,Wetter::N,weather,sää
88,Nebel::N,fog,sumu
89,Wolke::N,cloud,pilvi
90,Regen::N,rain,sade
91,Schnee::N,snow,lumi
92,Eis::N,ice,jää
93,Frost::N,frost,halla
94,Frost::N,frost,pakkanen
95,Kälte::N,chill,vilu
96,Kälte::N,chill,kylmyys
97,Hitze::N,heat,helle
98,Hitze::N,heat,kuumuus
99,Raureif::N,hoarfrost,huurre
100,Regenbogen::N,rainbow,sateenkaari
101,Donner::N,thunder,jyrinä
102,Strömung::N,current,virtaus
103,Tropfen::N,drop,tippa
104,Tropfen::N,drop,pisara
105,Schaum::N,foam,vaahto
106,Schmutz::N,dirt,loka
107,See::N,lake,järvi
108,Sumpf::N,swamp,suo
109,Moor::N,moor,räme
110,Wiese::N,meadow,niitty
111,Wald::N,forest,metsä
112,Hügel::N,hill,mäki
113,Hügel::N,hill,kumpu
114,Hügel::N,hill,kukkula
115,Anhöhe::N,elevation,mäki
116,Anhöhe::N,elevation,kumpare
117,Berg::N,mountain,mäki
118,Berg::N,mountain,vuori
119,Gipfel::N,summit,laki
120,Gipfel::N,summit,huippu
121,Höhle::N,cave,luola
122,Abhang::N,slope,rinne
123,Quelle::N,source,lähde
124,Bach::N,brook,puro
125,Fluss::N,river,joki
126,Ufer::N,shore,ranta
127,Küste::N,coast,rannikko
128,Festland::N,land,manner
129,Meer::N,sea,meri
130,Bucht::N,cove,lahti
131,Insel::N,island,saari
132,Blume::N,flower,kukka
133,Gras::N,grass,ruoho
134,Wurzel::N,root,juuri
135,Baum::N,tree,puu
136,Stamm::N,trunk,runko
137,Rinde::N,bark,kuori
138,Rinde::N,bark,parkki
139,Ast::N,limb,oksa
140,Zweig::N,branch,haara
141,Blatt::N,leaf,lehti
142,Birke::N,birch,koivu
143,Kiefer[Baum]::N,pine,mänty
144,Kiefer[Baum]::N,pine,petäjä
145,Weide[Baum]::N,willow,paju
146,Tanne::N,fir,kuusi
147,Horn::N,horn,sarvi
148,Feder::N,feather,sulka
149,Feder::N,feather,höyhen
150,Fell::N,fur,talja
151,Flügel::N,wing,siipi
152,Klaue::N,claw,kynsi
153,Kralle::N,claw,kynsi
154,Schwanz::N,tail,häntä
155,Schwanz::N,tail,pyrstö
156,Ei::N,egg,muna
157,Nest::N,nest,pesä
158,Bau::N,lair,pesä
159,Tier::N,animal,eläin
160,Herde::N,flock,lauma
161,Kuh::N,cow,lehmä
162,Bulle::N,bull,sonni
163,Pferd::N,horse,hevonen
164,Schaf::N,sheep,lammas
165,Schwein::N,pig,sika
166,Hund::N,dog,koira
167,Katze::N,cat,kissa
168,Bär::N,bear,karhu
169,Eichhörnchen::N,squirrel,orava
170,Elch::N,elk,hirvi
171,Fuchs::N,fox,kettu
172,Hase::N,hare,jänis
173,Maus::N,mouse,hiiri
174,Wolf::N,wolf,susi
175,Vogel::N,bird,lintu
176,Schwarm::N,swarm,parvi
177,Huhn::N,chicken,kana
178,Hahn::N,cock,kukko
179,Gans::N,goose,hanhi
180,Adler::N,eagle,kotka
181,Ente::N,duck,ankka
182,Eule::N,owl,pöllö
183,Kranich::N,crane,kurki
184,Krähe::N,crow,varis
185,Kuckuck::N,cuckoo,käki
186,Schwan::N,swan,joutsen
187,Fisch::N,fish,kala
188,Barsch::N,perch,ahven
189,Hecht::N,pike,hauki
190,Schlange[Tier]::N,snake,käärme
191,Wurm::N,worm,mato
192,Spinne::N,spider,hämähäkki
193,Ameise::N,ant,muurahainen
194,Laus::N,louse,täi
195,Mücke::N,midge,sääski
196,Mücke::N,midge,hyttynen
197,Fliege::N,fly,kärpänen
198,Schmetterling::N,butterfly,perhonen
199,Beere::N,berry,marja
200,Apfel::N,apple,omena
201,Pilz::N,mushroom,sieni
202,Zwiebel::N,onion,sipuli
203,Saat::N,seed,siemenet
204,Korn::N,grain,jyvä
205,Korn::N,grain,vilja
206,Heu::N,hay,heinä
207,Schale::N,husk,kuori
208,Grube::N,pit,kuoppa
209,Falle::N,trap,loukku
210,Schlinge::N,noose,ansa
211,Spur::N,track,jälki
212,Asche::N,ashes,tuhka
213,Dreck::N,filth,lika
214,Eisen::N,iron,rauta
215,Gold::N,gold,kulta
216,Silber::N,silver,hopea
217,Kohle::N,coal,hiili
218,Glas::N,glass,lasi
219,Lehm::N,clay,savi
220,Sand::N,sand,hiekka
221,Mensch::N,human,ihminen
222,Mann::N,man,mies
223,Frau::N,woman,nainen
224,Kind::N,child,lapsi
225,Junge::N,boy,poika
226,Mädchen::N,girl,tyttö
227,Familie::N,family,perhe
228,Großvater::N,grandfather,isoisä
229,Großmutter::N,grandmother,isoäiti
230,Eltern::N,parents,vanhemmat
231,Vater::N,father,isä
232,Mutter::N,mother,äiti
233,Sohn::N,son,poika
234,Tochter::N,daughter,tytär
235,Bruder::N,brother,veli
236,Schwester::N,sister,sisko
237,Onkel::N,uncle,eno
238,Onkel::N,uncle,setä
239,Tante::N,aunt,täti
240,Ehemann::N,husband,mies
241,Ehemann::N,husband,aviomies
242,Ehefrau::N,wife,vaimo
243,Ehefrau::N,wife,aviovaimo
244,Freude::N,joy,ilo
245,Freude::N,joy,riemu
246,Gelächter::N,laughter,nauru
247,Glück::N,happiness,onni
248,Kummer::N,grief,suru
249,Kummer::N,grief,murhe
250,Wunsch::N,wish,toive
251,Wunsch::N,wish,toivomus
252,Lust::N,desire,himo
253,Geist::N,spirit,henki
254,Gedanke::N,thought,aate
255,Gedanke::N,thought,ajatus
256,Gedächtnis::N,memory,muisti
257,Verstand::N,mind,äly
258,Verstand::N,mind,järki
259,Verstand::N,mind,ymmärrys
260,Sinn::N,meaning,merkitys
261,Grund::N,reason,syy
262,Grund::N,reason,peruste
263,Wahrheit::N,truth,tosi
264,Wahrheit::N,truth,totuus
265,Gespräch::N,talk,puhelu
266,Gespräch::N,talk,keskustelu
267,Märchen::N,fairy tale,satu
268,Erzählung::N,story,tarina
269,Erzählung::N,story,kertomus
270,Nachricht::N,message,tieto
271,Nachricht::N,message,ilmoitus
272,Neuigkeit::N,news,uutinen
273,Name::N,name,nimi
274,Rätsel::N,puzzle,arvoitus
275,Rede::N,speech,puhe
276,Sprache::N,language,kieli
277,Stimme::N,voice,ääni
278,Wort::N,word,sana
279,Zeichen::N,sign,merkki
280,Ruf::N,call,kutsu
281,Lärm::N,noise,melu
282,Lärm::N,noise,hälinä
283,Laut::N,sound,ääni
284,Ton::N,tone,sävel
285,Lied::N,song,laulu
286,Ruhe::N,calm,lepo
287,Ruhe::N,calm,rauha
288,Leute::N,people,väki
289,Leute::N,people,ihmiset
290,Volk::N,nation,kansa
291,Arbeit::N,work,työ
292,Gast::N,guest,vieras
293,Geschenk::N,gift,lahja
294,Spiel::N,game,peli
295,Spiel::N,game,leikki
296,Gesellschaft::N,company,seura
297,Hilfe::N,help,apu
298,Freund::N,friend,ystävä
299,Kamerad::N,companion,toveri
300,Angelegenheit::N,matter,asia
301,Anzahl::N,count,lukumäärä
302,Art::N,sort,laji
303,Stück::N,piece,pala
304,Stück::N,piece,kappale
305,Teil::N,part,osa
306,Hälfte::N,half,puoli
307,Kreis::N,circle,ympyrä
308,Kreuz::N,cross,risti
309,Linie::N,line,viiva
310,Strich::N,stroke,piirto
311,Abstand::N,gap,väli
312,Abstand::N,gap,väljyys
313,Entfernung::N,distance,etäisyys
314,Gegend::N,area,seutu
315,Platz::N,space,tila
316,Ort::N,place,kohta
317,Ort::N,place,paikka
318,Seite::N,side,sivu
319,Seite::N,side,kylki
320,Mitte::N,middle,keskus
321,Mitte::N,middle,puoliväli
322,Gegenstand::N,item,kalu
323,Gegenstand::N,item,esine
324,Sache::N,thing,asia
325,Rand::N,fringe,ääri
326,Rand::N,fringe,syrjä
327,Kante::N,edge,särmä
328,Ecke::N,corner,nurkka
329,Spitze::N,tip,terä
330,Spitze::N,tip,kärki
331,Ende::N,end,pää
332,Ende::N,end,perä
333,Loch::N,hole,kolo
334,Loch::N,hole,reikä
335,Winkel::N,angle,kulma
336,Muster::N,pattern,kuvio
337,Größe::N,size,koko
338,Größe::N,size,suuruus
339,Länge::N,length,pituus
340,Höhe::N,height,korkeus
341,Gewicht::N,weight,paino
342,Menge::N,amount,määrä
343,Haufen::N,heap,kasa
344,Reihe::N,row,rivi
345,Boot::N,boat,vene
346,Ruder::N,oar,airo
347,Schlitten::N,sleigh,reki
348,Schlitten::N,sleigh,kelkka
349,Ski::N,ski,suksi
350,Lagerfeuer::N,campfire,nuotio
351,Last::N,load,kuorma
352,Gang::N,walk,kulku
353,Gang::N,walk,käynti
354,Schritt::N,step,askel
355,Norden::N,north,pohjoinen
356,Süden::N,south,etelä
357,Westen::N,west,länsi
358,Osten::N,east,itä
359,Holz::N,wood,puu
360,Brett::N,board,lauta
361,Platte::N,slab,levy
362,Stütze::N,bracket,noja
363,Stange::N,pole,tanko
364,Stock::N,stick,keppi
365,Stab::N,staff,sauva
366,Stab::N,staff,seiväs
367,Rohr::N,pipe,putki
