,Concept_ID,fr,sl
0,Auge::N,œil,okó
1,Ohr::N,oreille,uhó
2,Nase::N,nez,nós
3,Mund::N,bouche,ústa
4,Zahn::N,dent,zób
5,Zunge::N,langue,jêzik
6,Lippe::N,lèvre,ústnica
7,Wange::N,joue,líce
8,Gesicht::N,face,oblíčje
9,Gesicht::N,visage,oblíčje
10,Stirn::N,front,čêlo
11,Haar::N,cheveu,lás
12,Schnurrbart::N,moustache,bŕki
13,Bart::N,barbe,bráda
14,Kinn::N,menton,bráda
15,Kiefer[Anatomie]::N,mâchoire,čeljúst
16,Kehle::N,gorge,gŕlo
17,Hals::N,cou,vrát
18,Genick::N,nuque,zatílnik
19,Kopf::N,tête,gláva
20,Rücken::N,dos,hrbèt
21,Bauch::N,ventre,trébuh
22,Nabel::N,nombril,pópek
23,Busen::N,sein,nédrja
24,Brust::N,poitrine,pŕsi
25,Schulter::N,épaule,ráma
26,Schulter::N,épaule,plêče
27,Arm::N,bras,rôka
28,Ellenbogen::N,coude,komólec
29,Hand::N,main,rôka
30,Handfläche::N,paume,dlán
31,Finger::N,doigt,pŕst
32,Fingernagel::N,ongle,nóht na rôki
33,Nagel[Anatomie]::N,ongle,nóht
34,Zeh::N,orteil,pŕst na nôgi
35,Zeh::N,doigt de pied,pŕst na nôgi
36,Fuß::N,pied,nôga
37,Ferse::N,talon,pêta
38,Knie::N,genou,koléno
39,Oberschenkel::N,cuisse,stêgno
40,Bein::N,jambe,nôga
41,Körper::N,corps,teló
42,Haut::N,peau,kóža
43,Blut::N,sang,krí
44,Ader::N,veine,žíla
45,Sehne::N,tendon,kíta
46,Knochen::N,os,kóst
47,Gehirn::N,cerveau,možgáni
48,Herz::N,cœur,srcé
49,Magen::N,estomac,želódec
50,Leber::N,foie,jétra
51,Atem::N,haleine,díh
52,Hunger::N,faim,glád
53,Träne::N,larme,sólza
54,Geschmack::N,goût,okús
55,Geschmack::N,saveur,okús
56,Geruch::N,odeur,vónj
57,Schlaf::N,sommeil,sèn
58,Schlaf::N,sommeil,spánec
59,Traum::N,songe,sánje
60,Himmel::N,ciel,nebó
61,Sonne::N,soleil,sónce
62,Mond::N,lune,lúna
63,Mond::N,lune,mésec
64,Stern::N,étoile,zvézda
65,Luft::N,air,zràk
66,Wind::N,vent,véter
67,Welle::N,vague,vál
68,Wasser::N,eau,vôda
69,Stein::N,pierre,kámen
70,Boden::N,sol,tlà
71,Boden::N,terrain,tlà
72,Erde::N,terre,pŕst
73,Erde::N,terre,zêmlja
74,Staub::N,poussière,práh
75,Rauch::N,fumée,dìm
76,Funke::N,étincelle,ískra
77,Feuer::N,feu,ôgenj
78,Licht::N,lumière,lúč
79,Schatten::N,ombre,sénca
80,Wetter::N,temps,vrême
81,Nebel::N,brume,meglà
82,Nebel::N,brouillard,meglà
83,Wolke::N,nuage,oblák
84,Regen::N,pluie,dèž
85,Schnee::N,neige,snég
86,Eis::N,glace,léd
87,Frost::N,gel,zmrzál
88,Frost::N,gelée,zmrzál
89,Kälte::N,froid,mràz
90,Hitze::N,chaleur,pripéka
91,Raureif::N,givre,ívje
92,Raureif::N,givre,slána
93,Regenbogen::N,arc-en-ciel,mávrica
94,Donner::N,tonnerre,gròm
95,Strömung::N,courant,strúja
96,Tropfen::N,goutte,káplja
97,Schaum::N,écume,péna
98,Schaum::N,mousse,péna
99,Schmutz::N,boue,nesnága
100,Schmutz::N,saleté,nesnága
101,See::N,lac,jézero
102,Sumpf::N,marais,močvírje
103,Sumpf::N,marécage,močvírje
104,Moor::N,tourbière,bárje
105,Wiese::N,pré,trávnik
106,Wald::N,bois,lés
107,Wald::N,bois,gòzd
108,Wald::N,forêt,lés
109,Wald::N,forêt,gòzd
110,Hügel::N,coteau,brég
111,Hügel::N,coteau,goríca
112,Hügel::N,colline,brég
113,Hügel::N,colline,goríca
114,Anhöhe::N,éminence,gríč
115,Anhöhe::N,éminence,višína
116,Anhöhe::N,élévation,gríč
117,Anhöhe::N,élévation,višína
118,Berg::N,mont,gôra
119,Berg::N,mont,planína
120,Berg::N,montagne,gôra
121,Berg::N,montagne,planína
122,Gipfel::N,cime,vŕh
123,Gipfel::N,sommet,vŕh
124,Höhle::N,caverne,jáma
125,Höhle::N,caverne,votlína
126,Abhang::N,pente,pobóčje
127,Abhang::N,versant,pobóčje
128,Quelle::N,source,izvír
129,Quelle::N,fontaine,izvír
