,Concept_ID,la,br
0,Auge::N,oculus,lagad
1,Ohr::N,auris,skouarn
2,Nase::N,nasus,fri
3,Mund::N,os,genoù
4,Zahn::N,dens,dant
5,Zunge::N,lingua,teod
6,Lippe::N,labrum,muzell
7,Wange::N,gena,chot
8,Gesicht::N,vultus,dremm
9,Stirn::N,frons,tal
10,Haar::N,capillus,blev
11,Schnurrbart::N,barba labri superioris,mourenn
12,Bart::N,barba,barv
13,Kinn::N,mentum,groñj
14,Kiefer[Anatomie]::N,mala,javed
15,Kehle::N,iugulums,gouzoug
16,Hals::N,collum,gouzoug
17,Genick::N,cervices,choug
18,Kopf::N,caput,penn
19,Rücken::N,tergum,kein
20,Bauch::N,venter,kof
21,Nabel::N,umbilicus,begel
22,Busen::N,sinus,bronn
23,Brust::N,pectus,bruched
24,Schulter::N,umerus,skoaz
25,Arm::N,bracchium,brec'h
26,Ellenbogen::N,cubitum,ilin
27,Hand::N,manus,dorn
28,Handfläche::N,palma,palv
29,Finger::N,digitus,biz
30,Fingernagel::N,unguiculus,ivin
31,Nagel[Anatomie]::N,unguis,ivin
32,Zeh::N,digitus,biz-troad
33,Fuß::N,pes,troad
34,Ferse::N,calx,seul
35,Knie::N,genu,glin
36,Oberschenkel::N,femur,morzhed
37,Bein::N,crus,gar
38,Körper::N,corpus,korf
39,Haut::N,cutis,kroc'hen
40,Haut::N,pellis,kroc'hen
41,Blut::N,sanguis,gwad
42,Ader::N,vena,gwazhi
43,Sehne::N,nervus,stir
44,Knochen::N,os,askorn
45,Gehirn::N,cerebrum,empenn
46,Herz::N,cor,kalon
47,Herz::N,animus,kalon
48,Magen::N,stomachus,stomog
49,Leber::N,iecur,avu
50,Atem::N,spiritus,anal
51,Hunger::N,fames,naon
52,Träne::N,lacrima,daer
53,Geschmack::N,sapor,blaz
54,Geschmack::N,gustus,blaz
55,Geruch::N,odor,c'hwezh
56,Schlaf::N,somnus,kousked
57,Traum::N,somnium,hune
58,Himmel::N,caelum,oabl
59,Sonne::N,sol,heol
60,Mond::N,luna,loar
61,Stern::N,sidus,steredenn
62,Stern::N,stella,steredenn
63,Luft::N,aer,aer
