,Concept_ID,te,udm
0,Auge::N,కన్ను,син
1,Ohr::N,చెవి,пель
2,Nase::N,ముక్కు,ныр
3,Mund::N,నోరు,ым
4,Zahn::N,పల్లు,пинь
5,Zunge::N,నాలుక,кыл
6,Lippe::N,పెదవి,ымдур
7,Wange::N,చెంప,бам
8,Gesicht::N,ముఖము,ымныр
9,Stirn::N,నుదురు,кымес
10,Haar::N,వెండ్రుక,йырси
11,Schnurrbart::N,మీసము,мыйык
12,Bart::N,గడ్డము,туш
13,Kinn::N,గడ్డము,ангес
14,Kiefer[Anatomie]::N,దౌడ,ан
15,Kiefer[Anatomie]::N,దౌడ,анлы
16,Kehle::N,గొంతు,гульым
17,Hals::N,మెడ,чырты
18,Genick::N,మూపు,йырбер
19,Kopf::N,తల,йыр
20,Rücken::N,వెన్ను,мыш
21,Bauch::N,కడుపు,кӧт
22,Nabel::N,బొడ్డు,гогы
23,Busen::N,స్తనము,ноны
24,Brust::N,ఱొమ్ము,мӧля
25,Schulter::N,భుజము,пельпум
26,Arm::N,చేయి,суй
27,Ellenbogen::N,మోచేయి,гырпум
28,Hand::N,చేయి,ки
29,Handfläche::N,అరచేయు,ки пыдэс
30,Handfläche::N,అరచేయు,кырым пыдэс
31,Finger::N,చేతిప్రేలు,чиньы
32,Fingernagel::N,గోరు,гижы
33,Fingernagel::N,గోరు,гиждӥнь
34,Nagel[Anatomie]::N,గోరు,гижы
35,Zeh::N,కాలిప్రేలు,пыдчиньы
36,Fuß::N,అడుగు,пыд
37,Ferse::N,మడమ,пыдбер
38,Knie::N,మోకాలు,пыдес
39,Oberschenkel::N,తొడ,макес
40,Bein::N,కాలు,пыд
41,Körper::N,కాయము,мугор
42,Körper::N,కాయము,вылтыр
43,Haut::N,చర్మము,ку
44,Blut::N,రక్తము,вир
45,Ader::N,సిర,вирсэр
46,Sehne::N,స్నాయువు,вуж
47,Knochen::N,ఎముక,лы
48,Gehirn::N,మెదడు,вим
49,Herz::N,హృదయము,сюлэм
50,Magen::N,కడుపు,ӝуш
51,Leber::N,కాలేయము,мус
52,Atem::N,ఉపిరి,лул
53,Atem::N,ఉపిరి,шокан
54,Hunger::N,ఆకలి,кӧтсюман
55,Träne::N,కన్నీటిచుక్క,синкыли
56,Geschmack::N,రుచి,шӧм
57,Geruch::N,వాసన,зын
58,Schlaf::N,నిద్ర,вӧт
59,Traum::N,కల,уйвӧт
60,Himmel::N,ఆకాశము,ин
61,Sonne::N,సూర్యుడు,шунды
62,Mond::N,చంద్రుడు,толэзь
63,Stern::N,నక్షత్రము,кизили
64,Luft::N,గాలి,омыр
65,Wind::N,వీచుచున్నగాలి,тӧл
66,Welle::N,అల,тулкым
67,Wasser::N,నీరు,ву
68,Stein::N,ఱాయి,из
69,Boden::N,నేల,музъем
70,Erde::N,మన్ను,му
71,Staub::N,దుమ్ము,пыль
72,Rauch::N,పొగ,ӵын
73,Funke::N,అగ్నికణము,гизьы
74,Feuer::N,అగ్ని,тыл
75,Licht::N,కాంతి,тыл
76,Schatten::N,నీడ,вужер
77,Wetter::N,వాతావరణ స్థితి,куазь
78,Nebel::N,పొగమంచు,бус
79,Wolke::N,మేఘము,пилем
80,Regen::N,వాన,зор
81,Schnee::N,హిమము,лымы
82,Eis::N,మంచుగడ్డ,йӧ
83,Frost::N,పేరిన మంచు,кезьыт
84,Kälte::N,చలి,кезьыт
85,Hitze::N,వేడిమి,пӧсь
86,Raureif::N,మంచు,гӧр
87,Regenbogen::N,ఇంద్రధనుస్సు,вуюись
88,Donner::N,ఉరుము,гудыри
89,Strömung::N,ప్రవాహము,бызён
90,Tropfen::N,చుక్క,шапык
91,Schaum::N,నురుగు,шукы
92,Schmutz::N,మైల,нӧд
93,Schmutz::N,మైల,дэри
94,See::N,సరస్సు,ты
95,Sumpf::N,చిత్తడినేల,нюр
96,Moor::N,చిత్తడినేల,нюр
97,Wiese::N,పచ్చిక బయలు,возь
98,Wiese::N,పచ్చిక బయలు,возьвыл
99,Wald::N,అడవి,сик
100,Wald::N,అడవి,нюлэс
101,Hügel::N,చివ్నకొండ,выр
102,Hügel::N,చివ్నకొండ,вырйыл
103,Anhöhe::N,కొండ,выр
104,Anhöhe::N,కొండ,вырйыл
105,Berg::N,పర్వతము,гурезь
106,Gipfel::N,శిఖరము,йыл
107,Höhle::N,గుహ,гу
108,Abhang::N,ఏటవాలు,бам
109,Quelle::N,మూలము,ошмес
110,Bach::N,కాలువ,пичи шур
111,Fluss::N,నది,шур
112,Ufer::N,తీరము,ярдур
113,Küste::N,తీరము,вудур
114,Festland::N,భూమి,мувыр
115,Meer::N,సముద్రము,зарезь
116,Bucht::N,మరుగు,вукож
117,Insel::N,దీవి,вумуӵ
118,Insel::N,దీవి,шормуӵ
119,Blume::N,పుష్పము,сяська
120,Gras::N,పచ్చగడ్డి,турын
121,Wurzel::N,వేరు,выжы
122,Baum::N,చెట్టు,пу
123,Stamm::N,చెట్టుబోదె,модос
124,Rinde::N,చెట్టుపట్ట,сул
125,Ast::N,కొమ్మ,ул
126,Zweig::N,చివుకు,вай
127,Blatt::N,ఆకు,куар
128,Birke::N,తరహా చెట్టు,кызьпу
129,Kiefer[Baum]::N,దేవదారు చెట్టు,пужым
130,Weide[Baum]::N,జాతిచెట్టు,бадьпу
131,Tanne::N,దేవదారుచెట్టు,кыз
132,Horn::N,కొమ్ము,сюр
133,Feder::N,ఈక,тылы
134,Fell::N,తోలు,ку
135,Flügel::N,ఱెక్క,бурд
136,Klaue::N,వంకరగోరు,гижы
137,Kralle::N,వంకరగోరు,пыд
138,Schwanz::N,తోక,быж
139,Ei::N,గ్రుడ్డు,пуз
140,Ei::N,గ్రుడ్డు,кукей
141,Nest::N,పక్షిగూడు,кар
142,Nest::N,పక్షిగూడు,пузкар
143,Bau::N,గుహ,кар
144,Bau::N,గుహ,гу
145,Tier::N,జంతువు,пӧйшур
146,Herde::N,మంద,уллё
147,Kuh::N,ఆవు,скал
148,Bulle::N,గిత్త,ош
149,Bulle::N,గిత్త,пороз
150,Pferd::N,గుఱ్ఱము,вал
151,Schaf::N,గొఱ్ఱె,ыж
152,Schwein::N,పంది,парсь
153,Hund::N,కుక్క,пуны
154,Katze::N,పిల్లి,коӵыш
155,Bär::N,ఎలుగుబంటి,гондыр
156,Eichhörnchen::N,ఉడుత,коньы
157,Elch::N,కణంజు,койык
158,Fuchs::N,గుంటనక్క,ӟичы
159,Hase::N,కుందేలు,кеч
160,Maus::N,చిట్టెలుక,шыр
161,Wolf::N,తోడేలు,кион
162,Vogel::N,పక్షి,тылобурдо
163,Schwarm::N,గుంపు,уллё
164,Huhn::N,కోడిపిల్ల,курег
165,Hahn::N,కోడివుంజు,атас
166,Gans::N,ఆడుబాతు,ӟазег
167,Adler::N,గ్రద్ద,ӧрзи
168,Ente::N,పాట్టిబాతు,ӵӧж
169,Eule::N,గ్రుడ్లగూబ,кучыран
170,Kranich::N,కొంగ,тури
171,Krähe::N,కాకి,куака
172,Kuckuck::N,కోయల,кикы
173,Schwan::N,హంస,юсь
174,Fisch::N,చేప,чорыг
175,Barsch::N,ఒకచేఁప,юш
176,Hecht::N,గండుమీను,чипей
177,Schlange[Tier]::N,పాము,кый
178,Wurm::N,పురుగు,нумыр
179,Spinne::N,సాలె పురుగు,чонари
180,Ameise::N,చీమ,кузьыли
181,Laus::N,పేను,тэй
182,Mücke::N,చీకటీగ,нымы
183,Mücke::N,చీకటీగ,чибинь
184,Fliege::N,ఈగ,кут
185,Schmetterling::N,సీతాకోకచిలుక,бубыли
186,Beere::N,కాయ,узы-боры
187,Apfel::N,ఆపిల్ పండు,яблок
188,Pilz::N,కుక్కగొడుగు,губи
189,Zwiebel::N,నీరుల్లి,сугон
190,Saat::N,విత్తనము,кидыс
191,Korn::N,గింజ,тысь
192,Heu::N,ఎండుగడ్డి,турын
193,Schale::N,పొట్టు,кыд
194,Grube::N,గొయ్యి,гу
195,Grube::N,గొయ్యి,гоп
196,Falle::N,బోను,налик
197,Schlinge::N,ఉరి,гиӟ
198,Schlinge::N,ఉరి,герд
199,Spur::N,జాడ,пытьы
200,Spur::N,జాడ,бервыл
201,Asche::N,బూడిద,пень
202,Dreck::N,ముఱికి,дэри
203,Eisen::N,ఇనుము,корт
204,Gold::N,బంగారము,зарни
205,Silber::N,వెండి,азвесь
206,Kohle::N,నేలబొగ్గు,эгыр
207,Glas::N,గాజు,стекло
208,Glas::N,గాజు,пияла
209,Lehm::N,బంకమన్ను,сюй
210,Sand::N,ఇసుక,луо
211,Mensch::N,నరుడు,мурт
212,Mensch::N,నరుడు,адями
213,Mann::N,పురుమడు,воргорон
214,Frau::N,ఆడుది,кышномурт
215,Kind::N,బిడ్డ,нуны
216,Kind::N,బిడ్డ,пинал
217,Junge::N,బాలుడు,пи
218,Mädchen::N,బాలిక,ныл
219,Familie::N,కుటుంబము,семья
220,Großvater::N,తాత,песятай
221,Großvater::N,తాత,пересь атай
222,Großmutter::N,అయ్యమ్మ,песянай
223,Großmutter::N,అయ్యమ్మ,пересь анай
224,Eltern::N,తల్లితండ్రులు,атай-анай
225,Eltern::N,తల్లితండ్రులు,бубы-мумы
226,Vater::N,తండ్రి,айы
227,Vater::N,తండ్రి,атай
228,Mutter::N,తల్లి,мумы
229,Sohn::N,కొడుకు,пи
230,Tochter::N,కూతురు,ныл
231,Bruder::N,పోదరుడు,агай
232,Schwester::N,సోదరి,апа
233,Schwester::N,సోదరి,сузэр
234,Onkel::N,మేనమామ,агай
235,Tante::N,మేనత్త,апа
236,Tante::N,మేనత్త,кенак
237,Tante::N,పినతల్లి,апа
238,Tante::N,పినతల్లి,кенак
239,Ehemann::N,భర్త,карт
240,Ehefrau::N,భార్య,кышно
241,Freude::N,సంతోషము,шумпотон
242,Gelächter::N,నవ్వు,горем
243,Glück::N,సంతోషము,шуд
244,Kummer::N,దుఃఖము,кайгу
245,Kummer::N,దుఃఖము,куректон
246,Wunsch::N,కోరిక,мылпотон
247,Lust::N,కోరిక,потон
248,Geist::N,ఆత్మ,лул
249,Gedanke::N,ఆలోచన,малпан
250,Gedächtnis::N,జ్ఞాపకము,йырсазь
251,Gedächtnis::N,జ్ఞాపకము,тодэваён
252,Verstand::N,మనస్సు,йырвизь
253,Sinn::N,అర్థము,смысл
254,Grund::N,కారణము,муг
255,Grund::N,కారణము,ньӧм
256,Wahrheit::N,సత్యము,зэм
257,Wahrheit::N,సత్యము,шонер
258,Gespräch::N,పంభాషణ,вераськон
259,Märchen::N,అద్భుతకథ,выжыкыл
260,Erzählung::N,కథ,верос
261,Nachricht::N,వార్త,ивор
262,Neuigkeit::N,వార్త,выльивор
263,Name::N,పేరు,ним
264,Rätsel::N,చిక్కు,мадькыл
265,Rede::N,ఉపన్యాసము,верам
266,Sprache::N,భాష,кыл
267,Stimme::N,కంరథ్సని,куара
268,Wort::N,మాట,кыл
269,Zeichen::N,గుర్తు,пус
270,Zeichen::N,గుర్తు,тодмет
271,Ruf::N,పిలువు,ӧтён
272,Ruf::N,పిలువు,чортон
273,Lärm::N,సందడి,ӵашетон
274,Laut::N,ధ్వని,куара
275,Ton::N,స్వరము,куара
276,Lied::N,పాట,кырӟан
277,Ruhe::N,గాలిలేమి,чалмыт улон
278,Leute::N,జనులు,адямиос
279,Volk::N,జాతి,калык
280,Arbeit::N,పని,уж
281,Gast::N,అతిధి,куно
282,Geschenk::N,దానము,салам
283,Geschenk::N,దానము,кузьым
284,Spiel::N,ఆట,шудон
285,Gesellschaft::N,జట్టు,калык
286,Hilfe::N,సాహాయ్యము,юрттон
287,Freund::N,స్నేహితుడు,эш
288,Freund::N,స్నేహితుడు,юлтош
289,Kamerad::N,చెలికాడు,тодмо
290,Angelegenheit::N,విషయము,уж
291,Anzahl::N,లెక్క,лыд
292,Art::N,జాతి,тус
293,Stück::N,తునుక,юдэс
294,Teil::N,భాగము,люкет
295,Hälfte::N,సగము,ӝыны
296,Kreis::N,వృత్తము,котырес
297,Kreuz::N,సిలువ,крест
298,Linie::N,గీత,гож
299,Strich::N,గీత,гож
300,Abstand::N,సందు,вис
301,Abstand::N,సందు,кусып
302,Entfernung::N,దూరము,кусып
303,Gegend::N,విస్తీర్ణము,инты
304,Platz::N,ఎడము,инты
305,Ort::N,స్థలము,инты
306,Ort::N,స్థలము,места
307,Seite::N,ప్రక్క,пал
308,Mitte::N,నడిమి,шор
309,Gegenstand::N,పద్దు,арбери
310,Sache::N,వస్తువు,котыр
311,Rand::N,అంచు,дур
312,Rand::N,అంచు,шаер
313,Kante::N,అంచు,дур
314,Ecke::N,మూల,сэрег
315,Spitze::N,మొన,йыл
316,Ende::N,కొన,пум
317,Loch::N,రంధ్రము,пась
318,Winkel::N,కోణము,сэрег
319,Muster::N,మాదిరి,пужы
320,Größe::N,పరిమాణము,быдӟала
321,Länge::N,పొడుగు,кузьдала
322,Höhe::N,పొడుగు,ӝуждала
323,Gewicht::N,భారము,сектала
324,Gewicht::N,భారము,секытлык
325,Menge::N,మొత్తము,лыд
326,Menge::N,మొత్తము,лыдпус
327,Haufen::N,రాశి,люк
328,Reihe::N,వరుస,чур
329,Boot::N,పడవ,пыж
330,Boot::N,పడవ,лодка
331,Ruder::N,అడక,полыс
332,Schlitten::N,సరవండ్లు,додьы
333,Ski::N,స్కీ,куас
334,Lagerfeuer::N,నెగడు,тылскем
335,Last::N,బరువు,секыт
336,Gang::N,నడక,ветлон
337,Schritt::N,అడుగు,вамыш
338,Norden::N,ఉత్తరదిక్కు,уйпал
339,Süden::N,దక్షిణము,лымшор
340,Westen::N,పడమర,шунды пуксён
341,Osten::N,తూర్పు,шунды ӝужан
342,Holz::N,కొయ్య,пу
343,Brett::N,పలక,пул
344,Platte::N,పలక,плита
345,Stütze::N,వాల్సేడ్లు,пыкет
346,Stange::N,స్తంభము,пуӵ
347,Stock::N,కఱ్ఱ,боды
348,Stab::N,కఱ్ఱ,пуӵ
349,Stab::N,కఱ్ఱ,боды
350,Rohr::N,గొట్టము,труба
351,Haus::N,ఇల్లు,юрт
352,Heim::N,స్వగృహము,корка
353,Ofen::N,పొయ్యి,гур
354,Fußboden::N,నేల,выж
355,Tisch::N,మేజా,ӝӧк
356,Stuhl::N,కుర్చీ,пукон
357,Wiege::N,ఉయ్యాల,кӧкы
358,Wiege::N,ఉయ్యాల,зыбка
359,Bett::N,పడక,валес
360,Bett::N,మంచం,валес
361,Regal::N,అటక,ӝажы
362,Kiste::N,వెట్టె,ящик
363,Fenster::N,కిటికి,укно
364,Fenster::N,కిటికి,косяк
365,Tür::N,ద్వారము,ӧс
366,Tor::N,ద్వారము,ӟезьы
367,Zaun::N,కంచె,забор
368,Dach::N,ఇంటివైకప్పు,липет
369,Leiter::N,నిచ్చెన,падӟа
370,Besen::N,చీపురుకట్ట,ӵужон
371,Besen::N,చీపురుకట్ట,исьнер
372,Spaten::N,పాఱ,лопатка
373,Schaufel::N,పాఱ,ютырон
374,Gabel::N,ముండ్లగరిటె,тэчы
375,Gabel::N,ముండ్లగరిటె,вилка
376,Löffel::N,గరిటె,пуньы
377,Messer::N,కత్తి,пурт
378,Nagel::N,మేకు,кортӵог
379,Netz::N,వల,сеть
380,Haken::N,కొక్కెము,курик
381,Griff::N,పిడి,ныд
382,Schloss::N,తాళము,тунгон
383,Bild::N,చిత్రము,суред
384,Figur::N,రూపము,фигура
385,Puppe::N,బొమ్మ,мунё
386,Beutel::N,సంచి,пуйы
387,Bündel::N,మూట,керттэт
388,Tasche::N,సంచి,пуйы
389,Tasche::N,సంచి,сумка
390,Eimer::N,చేద,ведра
391,Deckel::N,మూత,ӵоксэт
392,Geschirr::N,వంటకాలు,тусьты-пуньы
393,Sack::N,గోనెసంచి,пуйы
394,Tasse::N,గిన్నె,ӵаша
395,Topf::N,కుండ,миска
396,Kessel::N,నీరుకాచుపాత్ర,пурты
397,Essen::N,ఆహారము,сиськон
398,Nahrung::N,ఆహారము,сион
399,Speise::N,ఆహారము,сиён
400,Fleisch::N,మాంసము,сӥль
401,Getreide::N,ధాన్యము,ю тысь
402,Brei::N,గుజ్జు,ӝук
403,Brot::N,రొట్టె,нянь
404,Scheibe::N,బద్ద,шорем
405,Fett::N,క్రొవ్వు,кӧй
406,Butter::N,వెన్న,вӧй
407,Öl::N,నూనె,вӧй
408,Salz::N,ఉప్పు,сылал
409,Suppe::N,చారు,шыд
410,Honig::N,తెనె,чечы
411,Milch::N,పాలు,йӧл
412,Tee::N,తేనీరు,чай
413,Leder::N,బాగుచేసివతోలు,сурон
414,Wolle::N,ఉన్ని,гон
415,Wolle::N,ఉన్ని,ыжгон
416,Stoff::N,బట్ట,куэм
417,Nadel::N,సూది,вень
418,Faden::N,దారము,сӥньыс
419,Knopf::N,బొత్తాము,бирды
420,Knoten::N,ముడి,герд
421,Farbe::N,రంగు,буёл
422,Kleidung::N,బట్టలు,дӥсь
423,Hemd::N,చొక్కాయ,дэрем
424,Kragen::N,మాల,сирес
425,Ärmel::N,చొక్కాయచెయ్యి,саес
426,Hose::N,ఇజారు,брюки
427,Hose::N,ఇజారు,штань
428,Gürtel::N,పటకా,кускерттон
429,Mütze::N,టోపి,ызьы
430,Schuh::N,పాదరక్ష,ботинка
431,Stiefel::N,బూటు,сапег
432,Ring::N,ఉంగరము,зундэс
433,Band::N,నాడా,лента
434,Kamm::N,దువ్వెన,сын
435,Spiegel::N,అద్దము,синучкон
436,Riemen::N,వాడా,е
437,Schnur::N,దారము,гозы
438,Leine::N,వారు,думет
439,Decke::N,కంబళి,шобрет
440,Kissen::N,తలగడ,миндэр
441,Tuch::N,బట్ట,кышет
442,Handtuch::N,తువాలు,ӵушкон
443,Kraft::N,బలము,кать
444,Kraft::N,బలము,ӟигар
445,Stärke::N,శక్తి,юнлык
446,Gesundheit::N,ఆరోగ్యము,тазалык
447,Krankheit::N,రోగము,висён
448,Schmerz::N,నొప్పి,висён
449,Wunde::N,గాయము,яра
450,Fieber::N,జ్వరము,кезег
451,Arznei::N,మందు,эмъюм
452,Brücke::N,వంతెన,выж
453,Brunnen::N,బావి,колдэч
454,Brunnen::N,కూపము,колдэч
455,Brunnen::N,నుయ్యి,колдэч
456,Weide::N,పచ్చికబయలు,возь
457,Pfad::N,కాలిత్రోవ,сюрес
458,Weg::N,మార్గము,сюрес
459,Straße::N,బాట,сюрес
460,Dorf::N,గ్రామము,гурт
461,Stadt::N,పట్టణము,кар
462,Stadt::N,పట్టణము,город
463,Brief::N,జాబు,гожтэт
464,Buch::N,పుస్తకము,книга
465,Buchstabe::N,అక్షరము,буква
466,Zeitung::N,వార్తాపత్రిక,газет
467,Leben::N,ప్రాణము,улон
468,Tod::N,మరణము,кулон
469,Grab::N,సమాధి,шайгу
470,Kirche::N,క్రెస్తవులగుడి,черк
471,Sünde::N,పాపము,сьӧлык
472,Gott::N,దేవుడు,ӥнмар
473,Arbeiter::N,పనిపాటుచేశేవాడు,рабочий
474,Chef::N,యజమానుడు,начальник
475,Meister::N,కళాకారుడు,кибашлы
476,Arzt::N,వైద్యుడు,врач
477,Lehrer::N,ఉపాధ్యాయుడు,дышетӥсь
478,Geld::N,ద్రవ్యము,уксё
479,Geld::N,ద్రవ్యము,коньдон
480,Geschäft::N,వ్యాపారము,уж
