,Concept_ID,mhr,kl
176,Schaf::N,шо́рык,sava
177,Schwein::N,сӧсна́,puuluki
178,Hund::N,пий,qimmeq
179,Katze::N,пы́рыс,puisaaq
180,Bär::N,маска́,allaq
181,Eichhörnchen::N,ур,sissinnguaq
182,Elch::N,шо́рдо,
183,Fuchs::N,ры́выж,terianniaq
184,Hase::N,мера́ҥ,ukaleq
185,Maus::N,коля́,teriannguaq
186,Wolf::N,пи́ре,amaroq
187,Vogel::N,ка́йык,timmiaq
188,Schwarm::N,каша́к,
189,Huhn::N,чы́ве,kukkukooq
190,Huhn::N,чы́ве,marloraaqaaq
191,Hahn::N,агыта́н,kiasiusaq
192,Gans::N,ко́мбо,nerleq
193,Adler::N,карагу́ш,nattoralik
194,Ente::N,лу́до,
195,Eule::N,тумна́,uppik
196,Kranich::N,турня́,qorlorfik
197,Krähe::N,кора́к,tuluatsiaq
198,Kuckuck::N,куку́,kukkooq
199,Schwan::N,йӱ́ксӧ,qussuk
200,Fisch::N,кол,aalisagaq
201,Barsch::N,ола́ҥге,
202,Hecht::N,нуж,
203,Hecht::N,чорта́н,
204,Schlange[Tier]::N,ки́шке,pulateriarsuk
205,Schlange[Tier]::N,ки́шке,pulateriaarsuk
206,Wurm::N,шукш,
207,Spinne::N,эҥыре́мыш,aasiaq
208,Spinne::N,эҥыре́мыш,nissavaarsuk
209,Ameise::N,ку́тко,uniaaluk
210,Laus::N,тий,kumak
211,Mücke::N,шыҥа́,ippernaq
212,Fliege::N,ка́рме,ippernaq
213,Schmetterling::N,лы́ве,paluaq
214,Schmetterling::N,лы́ве,pakkaluaq
215,Schmetterling::N,лы́ве,utsuppaluaq
216,Schmetterling::N,лы́ве,taqaleqisaaq
217,Beere::N,мӧр,paarmaq
218,Beere::N,мӧр,paarngaq
219,Apfel::N,олма́,iipili
220,Pilz::N,по́ҥго,anngiusaq
221,Zwiebel::N,шога́н,uanitsoq
222,Saat::N,нӧ́шмӧ,naatsiiassaq
223,Saat::N,туш,naatsiiassaq
224,Korn::N,шу́рно,maannineq
225,Heu::N,шу́до,
226,Schale::N,шӱм,niutsivik
227,Schale::N,шӱм,ilulissaq qaartussaq
228,Grube::N,выне́м,itersaq
229,Falle::N,лӧ́дӧ,pualavoq
230,Schlinge::N,о́птыш,orseq
231,Schlinge::N,о́птыш,norloq
232,Schlinge::N,шӧрга́лтыш,orseq
233,Schlinge::N,шӧрга́лтыш,norloq
234,Spur::N,кыша́,tumaa
235,Asche::N,ло́мыж,arsat
236,Dreck::N,лавыра́,minguk
237,Eisen::N,кӱ́ртньӧ,savimineq
238,Eisen::N,кӱ́ртньӧ,saffiugassaq
239,Gold::N,шӧ́ртньӧ,kuulti
240,Silber::N,ший,siilviuvoq
241,Kohle::N,мландышӱ́й,aamarsuit aamaruutissat
242,Glas::N,янда́,igalaaq
243,Glas::N,янда́,imertarfik
244,Glas::N,янда́,igalaamineq
245,Lehm::N,шун,marraq
246,Sand::N,ошма́,sioqqat
247,Mensch::N,еҥ,inuk
248,Mensch::N,еҥ,silamiu
249,Mensch::N,айде́ме,inuk
250,Mensch::N,айде́ме,silamiu
251,Mann::N,пӧръе́ҥ,angut
252,Frau::N,ӱдырама́ш,arnaq
253,Kind::N,аза́,meeraq
254,Junge::N,рве́зе,nukappiaraq
255,Mädchen::N,ӱдыра́ш,arnannguaq
256,Familie::N,еш,ilaqutakka
257,Familie::N,еш,ilaqutariit
258,Großvater::N,коча́,aatak
259,Großmutter::N,кова́,aanaq
260,Eltern::N,ача́-ава́,angajoqqaat
261,Vater::N,ача́,ataata
262,Vater::N,ача́,ataataq
263,Mutter::N,ава́,anaana
264,Sohn::N,э́рге,erneq
265,Tochter::N,ӱ́дыр,panik
266,Bruder::N,иза́,ani
267,Bruder::N,иза́,aqqaluk
268,Bruder::N,иза́,qatanngut
269,Bruder::N,шо́льо,ani
270,Bruder::N,шо́льо,aqqaluk
271,Bruder::N,шо́льо,qatanngut
272,Schwester::N,ака́,naja
273,Schwester::N,ака́,aleqa
274,Schwester::N,ака́,qatanngut
275,Onkel::N,иза́,akkak
276,Tante::N,кока́,aja
277,Tante::N,кока́,ajak
278,Tante::N,кока́,atsak
279,Ehemann::N,мари́й,ui
280,Ehefrau::N,ва́те,nuliaq
281,Freude::N,куа́н,tipaatsussuseq
282,Freude::N,куаныма́ш,tipaatsussuseq
283,Gelächter::N,во́штылтыш,illaq
284,Glück::N,пиа́л,usornaat
285,Glück::N,пиа́л,usornarsuseq
286,Kummer::N,о́йго,
287,Wunsch::N,ку́мыл,kissaat
288,Lust::N,ку́мыл,illigussuseq
289,Lust::N,ку́мыл,piummaseq
290,Geist::N,ӧрт,anerneq
291,Geist::N,ӧрт,toornaq
292,Geist::N,чон,anerneq
293,Geist::N,чон,toornaq
294,Gedanke::N,ой,isumassaq
295,Gedanke::N,шоныма́ш,isumassaq
296,Gedächtnis::N,шарныма́ш,eqqaamannissuseq
297,Verstand::N,уш,isuma
298,Verstand::N,уш,sianissut
299,Verstand::N,уш,misigissut
300,Verstand::N,уш,sianissuseq
301,Verstand::N,уш,silaqassuseq
302,Sinn::N,смысл,isuma
303,Grund::N,ама́л,patsit
304,Wahrheit::N,чын,sallusuissut
305,Gespräch::N,мутланыма́ш,
306,Märchen::N,йома́к,oqalualaarut
307,Märchen::N,йома́к,oqaluasaaq
308,Erzählung::N,ойлыма́ш,oqaluttuaq
309,Nachricht::N,увертарыма́ш,oqaassut
310,Nachricht::N,увертарыма́ш,oqqersuut
311,Neuigkeit::N,уве́р,tusarnartaq
312,Name::N,лӱм,ateq
313,Rätsel::N,ту́што,nalorsitsaarut
314,Rede::N,ойлыма́ш,oqaluuseq
315,Sprache::N,йы́лме,oqaatsit
316,Stimme::N,йӱк,erinaq
317,Stimme::N,йӱк,qarluuseq
318,Wort::N,ой,oqaasii
319,Wort::N,мут,oqaasii
320,Zeichen::N,ти́ште,nalunaaqqut
321,Zeichen::N,знак,nalunaaqqut
322,Ruf::N,ӱжма́ш,qaaqqussut
323,Lärm::N,лӱшкыма́ш,perpaluk
324,Lärm::N,йӱк-йӱа́н,perpaluk
325,Laut::N,йӱк,torsukattak
326,Ton::N,йӱксе́м,erinaq
327,Lied::N,му́ро,taalliaq
328,Lied::N,му́ро,erinarsuut
329,Ruhe::N,ты́мык,qatsunganeq
330,Leute::N,еҥ-влак,inuiak
331,Leute::N,еҥ-влак,inuiaqatigiit
332,Volk::N,ка́лык,inuiaat
333,Arbeit::N,паша́,suliaq
334,Gast::N,уна́,qaaqqusaq
335,Geschenk::N,пӧле́к,pajugut
336,Spiel::N,мо́дыш,
337,Spiel::N,модма́ш,
338,Gesellschaft::N,тӱшка́,
339,Hilfe::N,по́лыш,annertoqqut
340,Freund::N,таҥ,tiliaq
341,Freund::N,таҥ,ikinngut
342,Freund::N,йолта́ш,tiliaq
343,Freund::N,йолта́ш,ikinngut
344,Kamerad::N,таҥ,tiliaq
345,Kamerad::N,таҥ,ikinngut
346,Angelegenheit::N,паша́,
347,Anzahl::N,чот,
348,Art::N,вид,ileqquuseq
