,Concept_ID,ku,el
0,Auge::N,çav,μάτι
1,Auge::N,çav,οφθαλμός
2,Ohr::N,guh,αυτί
3,Nase::N,bêvil,μύτη
4,Mund::N,dev,στόμα
5,Zahn::N,didan,δόντι
6,Zunge::N,ziman,γλώσσα
7,Lippe::N,lêv,χείλος
8,Wange::N,dêm,παρειά
9,Wange::N,dêm,μάγουλο
10,Wange::N,hinarik,παρειά
11,Wange::N,hinarik,μάγουλο
12,Gesicht::N,rû,πρόσωπο
13,Stirn::N,enî,μέτωπο
14,Haar::N,por,μαλλιά
15,Schnurrbart::N,simbêl,μουστάκι
16,Bart::N,rih,γένια
17,Kinn::N,zenî,πιγούνι
18,Kiefer[Anatomie]::N,arguşk,σαγόνι
19,Kehle::N,qirik,λαρύγγι
20,Hals::N,stû,λαιμός
21,Hals::N,qirik,λαιμός
22,Genick::N,stû,σβέρκος
23,Kopf::N,serî,κεφάλι
24,Rücken::N,pişt,ράχη
25,Bauch::N,ûr,κοιλιά
26,Bauch::N,zik,κοιλιά
27,Nabel::N,navik,αφαλός
28,Busen::N,sîng,στήθος
29,Brust::N,sîng,στήθος
30,Schulter::N,mil,ώμος
31,Arm::N,çepil,χέρι
32,Arm::N,çepil,μπράτςο
33,Ellenbogen::N,enîşk,αγκώνας
34,Hand::N,dest,χέρι
35,Handfläche::N,kefadest,παλάμη
36,Finger::N,tilî,δάχτυλο
37,Fingernagel::N,neynuk,νύχι
38,Nagel[Anatomie]::N,bizmar,νύχι
39,Zeh::N,tilî linga,δάχτυλο του ποδιού
40,Fuß::N,ling,πόδι
41,Ferse::N,pahnî,φτέρνα
42,Knie::N,kabok,γόνατο
43,Oberschenkel::N,rahn,μηρός
44,Bein::N,çip,πόδι
45,Körper::N,laş,σώμα
46,Körper::N,laş,κορμί
47,Körper::N,gowde,σώμα
48,Körper::N,gowde,κορμί
49,Haut::N,çerm,πετσί
50,Blut::N,xwîn,αίμα
51,Ader::N,reh,φλέβα
52,Sehne::N,reh,νεύρο
53,Sehne::N,reh,τένοντας
54,Knochen::N,hestî,οστό
55,Knochen::N,hestî,κόκκαλο
56,Gehirn::N,mêjî,μυαλό
57,Gehirn::N,mêjî,εγκέφαλος
58,Herz::N,dil,καρδιά
59,Magen::N,navêş,στομάχι
60,Leber::N,kezeb,ήπαρ
61,Leber::N,kezeb,συκωτί
62,Atem::N,hilm,αναπνοή
63,Hunger::N,birçîtî,πείνα
64,Träne::N,hêstir,δάκρυ
65,Geschmack::N,tam,γεύση
66,Geruch::N,bêhn,οσμή
67,Geruch::N,bêhn,μυρωδία
68,Schlaf::N,xew,ύπνος
69,Traum::N,xewn,όνειρο
70,Himmel::N,ezman,ουρανός
71,Sonne::N,roj,ήλιος
72,Mond::N,heyv,σελήνη
73,Mond::N,heyv,φεγγάρι
74,Stern::N,stêrk,άστρο
75,Stern::N,stêrk,αστέρι
76,Luft::N,ba,αέρας
77,Wind::N,ba,αέρας
78,Wind::N,ba,άνεμος
79,Welle::N,şewl,κύμα
80,Wasser::N,av,νερό
81,Stein::N,kevir,πέτρα
82,Boden::N,herd,χώμα
83,Erde::N,ax,γη
84,Staub::N,toz,σκόνη
85,Rauch::N,dû,καπνός
86,Funke::N,çirûşk,σπίθα
87,Funke::N,çirûşk,σπινθήρας
88,Feuer::N,agir,φωτιά
89,Licht::N,ronahî,φως
90,Schatten::N,sî,σκιά
91,Schatten::N,sî,ίσκιος
92,Wetter::N,hewa,καιρός
93,Nebel::N,mij,ομίχλη
94,Wolke::N,ewr,σύννεφο
95,Regen::N,baran,βροχή
96,Schnee::N,berf,χιόνι
97,Eis::N,qeşa,πάγος
98,Frost::N,xûsik,παγωνία
99,Kälte::N,serma,κρύο
100,Kälte::N,serma,ψύχος
101,Hitze::N,germayî,ζέστη
102,Raureif::N,şext,πάχνη
103,Regenbogen::N,heftreng,ουράνιο τόξο
104,Donner::N,gire-gir,βροντή
105,Strömung::N,şewl,ρεύμα
106,Tropfen::N,dilop,στάλα
107,Schaum::N,kef,αφρός
108,Schmutz::N,gemar,βρωμιά
109,See::N,gol,λίμνη
110,Sumpf::N,hezek,βάλτος
111,Moor::N,mafêl,έλος
112,Wiese::N,sûrik,λιβάδι
113,Wald::N,çiya,δάσος
114,Wald::N,daristan,δάσος
115,Hügel::N,gir,λόφος
116,Anhöhe::N,sere gir,ύψωμα
117,Berg::N,kaş,όρος
118,Berg::N,kaş,βουνό
119,Gipfel::N,sere gir,κορυφή
120,Höhle::N,şikeft,σπηλιά
121,Abhang::N,kaş,πλαγιά
122,Quelle::N,kanî,πηγή
123,Quelle::N,kanî,βρύση
124,Bach::N,çem,ρυάκι
125,Fluss::N,çem,ποτάμι
126,Fluss::N,çem,ποταμός
127,Fluss::N,rûbar,ποτάμι
128,Fluss::N,rûbar,ποταμός
129,Ufer::N,kevî,όχθη
130,Küste::N,berav,ακτή
131,Küste::N,berav,ακρογιαλιά
132,Festland::N,bejahî,στεριά
133,Meer::N,behr,θάλασσα
