,Concept_ID,kv,mhr
0,Auge::N,син,шинча́
1,Ohr::N,пель,пы́лыш
2,Nase::N,ныр,нер
3,Mund::N,ӧм,умша́
4,Zahn::N,пинь,пӱй
5,Zunge::N,кыв,йы́лме
6,Lippe::N,тырп,тӱ́рвӧ
7,Wange::N,рожабан,шӱ́ргӧ
8,Gesicht::N,бан,чури́й
9,Stirn::N,кымӧс,саҥга́
10,Haar::N,юрси,ӱп
11,Schnurrbart::N,уссэз,ӧ́рыш
12,Bart::N,тош,понда́ш
13,Kinn::N,тшӧка,оҥыла́ш
14,Kiefer[Anatomie]::N,ан,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ан,пӱйората́
16,Kehle::N,юан,лога́р
17,Hals::N,юан,шӱй
18,Genick::N,юр бӧр,шӱйло́дыш
19,Kopf::N,юр,вуй
20,Rücken::N,мышк,туп
21,Bauch::N,кынӧм,мӱ́шкыр
22,Nabel::N,гӧг,кы́лымде
23,Busen::N,морос,чы́зе
24,Brust::N,морос,оҥ
25,Schulter::N,пельпон,ва́че
26,Arm::N,ки,кид
27,Ellenbogen::N,гырдзза,кынерву́й
28,Hand::N,кикар,кид
29,Hand::N,кикар,копа́
30,Handfläche::N,ки пыдӧс,со́во
31,Finger::N,чунь,парня́
32,Fingernagel::N,гыж,кидкӱ́ч
33,Fingernagel::N,гыж,парнягӱ́ч
34,Nagel[Anatomie]::N,гыж,кӱч
35,Zeh::N,чунь,йолварня́
36,Fuß::N,кокпыдӧс,йол
37,Fuß::N,кокпыдӧс,йолкопа́
38,Ferse::N,кокдзир,тага́н
39,Knie::N,пидзӧс,пулву́й
40,Oberschenkel::N,лядьбей,э́рде
41,Bein::N,кок,йол
42,Körper::N,вывтыр,кап
43,Haut::N,кучик,кова́ште
44,Blut::N,вир,вӱр
45,Ader::N,сӧн,шӧн
46,Sehne::N,жила,шӧн
47,Sehne::N,жила,кӱсе́н
48,Knochen::N,коска,лу
49,Gehirn::N,вем,вем
50,Gehirn::N,вем,вуйве́м
51,Herz::N,сьӧлӧм,шӱм
52,Magen::N,жӧвдӧк,пага́р
53,Leber::N,мус,мокш
54,Atem::N,лолалӧм,шӱ́лыш
55,Hunger::N,тшыг,шужыма́ш
56,Träne::N,синва,шинчавӱ́д
57,Geschmack::N,кӧр,там
58,Geruch::N,дук,пуш
59,Schlaf::N,он,о́мо
60,Traum::N,вӧт,йӱдо́мо
61,Himmel::N,небо,кава́
62,Sonne::N,шондi,ке́че
63,Mond::N,тӧлiсь,ты́лзе
64,Stern::N,кӧдзыв,шӱ́дыр
65,Luft::N,ру,юж
66,Wind::N,тӧв,марде́ж
67,Welle::N,гы,то́лкын
68,Wasser::N,ва,вӱд
69,Stein::N,из,кӱ
70,Boden::N,му,рок
71,Erde::N,му,мла́нде
72,Staub::N,бус,пура́к
73,Rauch::N,тшын,шикш
74,Funke::N,бичир,сеске́м
75,Funke::N,бичир,тулйы́п
76,Feuer::N,би,тул
77,Licht::N,би,со́то
78,Schatten::N,вуджӧр,ӱ́мыл
79,Wetter::N,погоддя,иге́че
80,Nebel::N,туман,тӱтыра́
81,Wolke::N,кымӧр,пыл
82,Regen::N,зэр,йӱр
83,Schnee::N,лым,лум
84,Eis::N,йы,ий
85,Frost::N,мороз,чатлама́
86,Kälte::N,кӧдзыт,йӱ́штӧ
87,Hitze::N,ӧд,шо́кшо
88,Raureif::N,кижа,пӧрш
89,Raureif::N,кижа,по́кшым
90,Regenbogen::N,енӧшка,шонанпы́л
91,Donner::N,гым,кӱ́дырчӧ
92,Strömung::N,визывтӧм,йо́гын
93,Tropfen::N,тёп,чӱча́лтыш
94,Schaum::N,быг,шоҥ
95,Schmutz::N,нять,лавыра́
96,See::N,ты,ер
97,Sumpf::N,арай,лӱ́кӧ
98,Moor::N,нюр,куп
99,Wiese::N,видз,о́лык
100,Wald::N,вӧр,чодыра́
101,Hügel::N,мыльк,арка́
102,Anhöhe::N,вывтас,тӧва́
103,Anhöhe::N,вывтас,кӱкшака́
104,Anhöhe::N,вылынін,тӧва́
105,Anhöhe::N,вылынін,кӱкшака́
106,Berg::N,керӧс,ку́рык
107,Gipfel::N,йыв,чаҥга́
108,Gipfel::N,йыв,курыкву́й
109,Höhle::N,нора,пеще́р
110,Höhle::N,нора,курыкпо́мыш
111,Abhang::N,покат,та́йыл
112,Quelle::N,больган,важ
113,Quelle::N,больган,вӱдшинча́
114,Bach::N,шор,изэҥе́р
115,Fluss::N,ю,эҥе́р
116,Ufer::N,берег,сер
117,Küste::N,берег,вӱдтӱ́р
118,Festland::N,му,мла́нде
119,Meer::N,море,те́ҥыз
120,Bucht::N,курья,икса́
121,Blume::N,цветок,пеле́дыш
122,Gras::N,турун,шу́до
123,Wurzel::N,вуж,вож
124,Baum::N,пу,пуше́ҥге
125,Stamm::N,мыр,йы́тыр
126,Stamm::N,кер,йы́тыр
127,Rinde::N,кач,шӱм
128,Ast::N,ув,укш
129,Zweig::N,ув,торма́к
130,Blatt::N,лист,лышта́ш
131,Birke::N,кыдз,куэ́
132,Kiefer[Baum]::N,пожум,пӱ́нчӧ
133,Weide[Baum]::N,бадь,уа́
134,Tanne::N,кӧз,кож
135,Horn::N,сюр,шур
136,Feder::N,гӧн,пы́стыл
137,Fell::N,кучик,кова́ште
138,Flügel::N,борд,шу́лдыр
139,Klaue::N,гыж,кӱч
140,Kralle::N,кабыр,ла́па
141,Kralle::N,кабыр,копа́
142,Schwanz::N,бӧж,поч
143,Ei::N,кольть,му́но
144,Nest::N,поз,пыжа́ш
145,Bau::N,осьта,пыжа́ш
146,Bau::N,нора,пыжа́ш
147,Tier::N,зверь,я́нлык
148,Tier::N,зверь,живо́тный
149,Herde::N,гурт,кӱ́тӱ
150,Herde::N,гурт,тӱшка́
151,Kuh::N,мӧс,ушка́л
152,Bulle::N,ӧшка,ӱ́шкыж
153,Pferd::N,вӧв,и́мне
154,Schaf::N,баля,шо́рык
155,Schwein::N,порсь,сӧсна́
156,Hund::N,пон,пий
157,Katze::N,кань,пы́рыс
158,Bär::N,ош,маска́
159,Eichhörnchen::N,ур,ур
160,Elch::N,вӧр мӧс,шо́рдо
161,Fuchs::N,руч,ры́выж
162,Hase::N,кӧч,мера́ҥ
163,Maus::N,шыр,коля́
164,Wolf::N,кӧин,пи́ре
165,Vogel::N,кай,ка́йык
166,Schwarm::N,стая,каша́к
167,Schwarm::N,чукӧр,каша́к
168,Huhn::N,курӧг,чы́ве
169,Hahn::N,петух,агыта́н
170,Hahn::N,ай курӧг,агыта́н
171,Gans::N,дзодзог,ко́мбо
172,Adler::N,куч,карагу́ш
173,Adler::N,кутш,карагу́ш
174,Ente::N,утка,лу́до
175,Eule::N,тупка,тумна́
176,Kranich::N,тури,турня́
177,Krähe::N,рака,кора́к
178,Kuckuck::N,кӧк,куку́
179,Schwan::N,юсь,йӱ́ксӧ
180,Fisch::N,чери,кол
181,Barsch::N,ёкыш,ола́ҥге
182,Hecht::N,сирпинь,нуж
183,Hecht::N,сирпинь,чорта́н
184,Schlange[Tier]::N,змей,ки́шке
185,Wurm::N,номыр,шукш
186,Spinne::N,черань,эҥыре́мыш
187,Ameise::N,кӧдзывкар,ку́тко
188,Laus::N,ляпа той,тий
189,Mücke::N,ном,шыҥа́
190,Fliege::N,гут,ка́рме
191,Schmetterling::N,бабыв,лы́ве
192,Beere::N,ягӧд,мӧр
193,Apfel::N,яблоко,олма́
194,Pilz::N,тшак,по́ҥго
195,Zwiebel::N,грез,шога́н
196,Saat::N,кӧдзыс,нӧ́шмӧ
197,Saat::N,кӧдзыс,туш
198,Korn::N,сю,шу́рно
199,Heu::N,турун,шу́до
200,Schale::N,кыш,шӱм
201,Schale::N,киль,шӱм
202,Grube::N,яма,выне́м
203,Falle::N,нальк,лӧ́дӧ
204,Falle::N,кляпча,лӧ́дӧ
205,Schlinge::N,лӧч,о́птыш
206,Schlinge::N,лӧч,шӧрга́лтыш
207,Spur::N,туй,кыша́
208,Asche::N,пӧим,ло́мыж
209,Dreck::N,нять,лавыра́
210,Eisen::N,кӧрт,кӱ́ртньӧ
211,Gold::N,зарни,шӧ́ртньӧ
212,Silber::N,язісь,ший
213,Kohle::N,шом,мландышӱ́й
214,Kohle::N,уголь,мландышӱ́й
215,Glas::N,стекло,янда́
216,Lehm::N,сёй,шун
217,Sand::N,лыа,ошма́
218,Mensch::N,морт,еҥ
219,Mensch::N,морт,айде́ме
220,Mann::N,мужик,пӧръе́ҥ
221,Frau::N,инька,ӱдырама́ш
222,Kind::N,кага,аза́
223,Junge::N,зонка,рве́зе
224,Mädchen::N,нывкаок,ӱдыра́ш
225,Familie::N,семья,еш
226,Großvater::N,дед,коча́
227,Großmutter::N,баб,кова́
228,Eltern::N,ай-мам,ача́-ава́
229,Vater::N,ай,ача́
230,Mutter::N,мам,ава́
231,Sohn::N,зон,э́рге
232,Tochter::N,ныв,ӱ́дыр
233,Bruder::N,вон,иза́
234,Bruder::N,вон,шо́льо
235,Schwester::N,сой,ака́
236,Onkel::N,дядь,иза́
237,Tante::N,айӧлӧн сой,кока́
238,Tante::N,ичинь,кока́
239,Ehemann::N,жӧник,мари́й
240,Ehefrau::N,инь,ва́те
241,Freude::N,гаж,куа́н
242,Freude::N,гаж,куаныма́ш
243,Freude::N,радъялӧм,куа́н
244,Freude::N,радъялӧм,куаныма́ш
245,Gelächter::N,сералӧм,во́штылтыш
246,Glück::N,мичлун,пиа́л
247,Kummer::N,шог,о́йго
248,Wunsch::N,мӧдӧм,ку́мыл
249,Wunsch::N,охотитӧм,ку́мыл
250,Lust::N,охота,ку́мыл
251,Geist::N,лов,ӧрт
252,Geist::N,лов,чон
253,Gedanke::N,дума,ой
254,Gedanke::N,дума,шоныма́ш
255,Gedächtnis::N,тӧдвыв,шарныма́ш
256,Verstand::N,вежӧр,уш
257,Sinn::N,ылӧс,смысл
258,Grund::N,мог,ама́л
