,Concept_ID,ku,ga
0,Auge::N,çav,súil
1,Ohr::N,guh,cluas
2,Nase::N,bêvil,soc
3,Mund::N,dev,béal
4,Zahn::N,didan,fiacail
5,Zunge::N,ziman,teanga
6,Lippe::N,lêv,liopa
7,Wange::N,dêm,grua
8,Wange::N,dêm,leiceann
9,Wange::N,hinarik,grua
10,Wange::N,hinarik,leiceann
11,Gesicht::N,rû,éadan
12,Gesicht::N,rû,aghaidh
13,Stirn::N,enî,baithis
14,Stirn::N,enî,clár éadain
15,Haar::N,por,gruaig
16,Schnurrbart::N,simbêl,croiméal
17,Bart::N,rih,féasóg
18,Kinn::N,zenî,smig
19,Kiefer[Anatomie]::N,arguşk,giall
20,Kehle::N,qirik,scornach
21,Hals::N,stû,muinéal
22,Hals::N,qirik,muinéal
23,Genick::N,stû,baic
24,Kopf::N,serî,ceann
25,Rücken::N,pişt,droim
26,Bauch::N,ûr,bolg
27,Bauch::N,zik,bolg
28,Nabel::N,navik,imleacán
29,Busen::N,sîng,cíoch
30,Brust::N,sîng,brollach
31,Schulter::N,mil,gualainn
32,Arm::N,çepil,lámh
33,Ellenbogen::N,enîşk,uillinn
34,Hand::N,dest,lámh
35,Handfläche::N,kefadest,bos
36,Finger::N,tilî,méar
37,Fingernagel::N,neynuk,ionga
38,Nagel[Anatomie]::N,bizmar,ionga
39,Zeh::N,tilî linga,ladhar
40,Fuß::N,ling,cos
41,Fuß::N,ling,troigh
42,Ferse::N,pahnî,sáil
43,Knie::N,kabok,glúin
44,Oberschenkel::N,rahn,ceathrú
45,Bein::N,çip,cos
46,Körper::N,laş,corp
47,Körper::N,laş,colainn
48,Körper::N,gowde,corp
49,Körper::N,gowde,colainn
50,Haut::N,çerm,cneas
51,Haut::N,çerm,craiceann
52,Blut::N,xwîn,fuil
53,Ader::N,reh,
54,Sehne::N,reh,teannán
55,Sehne::N,reh,féitheog
56,Knochen::N,hestî,cnámh
57,Gehirn::N,mêjî,inchinn
58,Herz::N,dil,croí
59,Magen::N,navêş,bolg
60,Magen::N,navêş,goile
61,Leber::N,kezeb,ae
62,Atem::N,hilm,anáil
63,Hunger::N,birçîtî,ocras
64,Träne::N,hêstir,deoir
65,Geschmack::N,tam,blas
66,Geruch::N,bêhn,boladh
67,Schlaf::N,xew,suan
68,Schlaf::N,xew,codladh
69,Traum::N,xewn,taibhreamh
70,Himmel::N,ezman,spéir
71,Sonne::N,roj,grian
72,Mond::N,heyv,ré
73,Mond::N,heyv,gealach
74,Stern::N,stêrk,rinn
75,Stern::N,stêrk,réalta
76,Luft::N,ba,aer
77,Wind::N,ba,gaoth
78,Welle::N,şewl,tonn
79,Wasser::N,av,uisce
80,Stein::N,kevir,cloch
81,Boden::N,herd,talamh
82,Erde::N,ax,cré
83,Erde::N,ax,ithir
84,Staub::N,toz,dusta
85,Staub::N,toz,deannach
86,Rauch::N,dû,toit
87,Rauch::N,dû,deatach
88,Funke::N,çirûşk,drithle
89,Feuer::N,agir,tine
90,Licht::N,ronahî,solas
91,Schatten::N,sî,scáth
92,Wetter::N,hewa,aimsir
93,Nebel::N,mij,ceo
94,Wolke::N,ewr,néal
95,Wolke::N,ewr,scamall
96,Regen::N,baran,báisteach
97,Regen::N,baran,fearthainn
98,Schnee::N,berf,sneachta
99,Eis::N,qeşa,oighear
100,Frost::N,xûsik,sioc
101,Kälte::N,serma,fuacht
102,Hitze::N,germayî,teas
103,Hitze::N,germayî,teocht
104,Raureif::N,şext,sioc bán
105,Regenbogen::N,heftreng,stua ceatha
106,Regenbogen::N,heftreng,bogha báistí
107,Donner::N,gire-gir,toirneach
108,Strömung::N,şewl,sruth
109,Tropfen::N,dilop,deoir
110,Schaum::N,kef,cúr
111,Schmutz::N,gemar,salachar
112,See::N,gol,loch
113,Sumpf::N,hezek,portach
114,Moor::N,mafêl,caorán
115,Moor::N,mafêl,móinteán
116,Wiese::N,sûrik,cluain
117,Wiese::N,sûrik,móinéar
118,Wald::N,çiya,coill
119,Wald::N,çiya,foraois
120,Wald::N,daristan,coill
121,Wald::N,daristan,foraois
122,Hügel::N,gir,ard
123,Anhöhe::N,sere gir,ard
124,Anhöhe::N,sere gir,ardán
125,Berg::N,kaş,sliabh
126,Gipfel::N,sere gir,barr
127,Gipfel::N,sere gir,mullach
128,Höhle::N,şikeft,uaimh
129,Höhle::N,şikeft,pluais
130,Abhang::N,kaş,fána
131,Quelle::N,kanî,foinse
132,Bach::N,çem,sruthán
133,Fluss::N,çem,abhainn
134,Fluss::N,rûbar,abhainn
135,Ufer::N,kevî,bruach
136,Küste::N,berav,cósta
137,Küste::N,berav,cladach
138,Festland::N,bejahî,míntír
139,Meer::N,behr,muir
140,Meer::N,behr,farraige
141,Bucht::N,derav,bá
142,Bucht::N,derav,cuan
143,Insel::N,girav,inis
144,Insel::N,girav,oileán
145,Blume::N,kulînk,bláth
146,Gras::N,giha,féar
