,Concept_ID,hi,ml
0,Auge::N,आँख,കണ്ണ്
1,Auge::N,चक्षु,കണ്ണ്
2,Ohr::N,कान,ചെവി
3,Ohr::N,कर्ण,ചെവി
4,Nase::N,नाक,മൂക്ക്
5,Nase::N,नासा,മൂക്ക്
6,Mund::N,मुख,വായ
7,Mund::N,मुँह,വായ
8,Zahn::N,दंत,പല്ല്
9,Zahn::N,दाँत,പല്ല്
10,Zunge::N,जीभ,നാക്ക്
11,Zunge::N,ज़बान,നാക്ക്
12,Zunge::N,जिह्वा,നാക്ക്
13,Lippe::N,ओंठ,ചുണ്ട്
14,Lippe::N,होंठ,ചുണ്ട്
15,Wange::N,गाल,കവിൾത്തടം
16,Wange::N,कपोल,കവിൾത്തടം
17,Gesicht::N,मुँह,മുഖം
18,Gesicht::N,चेहरा,മുഖം
19,Stirn::N,माथा,നെറ്റി
20,Stirn::N,मस्तक,നെറ്റി
21,Haar::N,बाल,തലമുടി
22,Schnurrbart::N,मूँछें,മീശ
23,Bart::N,दाढ़ी,താടിരോമം
24,Kinn::N,चिबुक,താടി
25,Kiefer[Anatomie]::N,जबड़ा,താടിയെല്ല്
26,Kehle::N,गला,കണ്ഠനാളം
27,Hals::N,गला,കഴുത്ത്
28,Hals::N,गरदन,കഴുത്ത്
29,Genick::N,गरदन,പിടലി
30,Genick::N,ग्रीवा,പിടലി
31,Kopf::N,सिर,തല
32,Kopf::N,शीर्ष,തല
33,Rücken::N,पीठ,മുതുക്
34,Bauch::N,उदर,നയറ്
35,Nabel::N,नाभि,നാഭി
36,Nabel::N,ढोंढी,നാഭി
37,Busen::N,कुच,സ്തനം
38,Busen::N,स्तन,സ്തനം
39,Brust::N,वक्ष,സ്തനം
40,Schulter::N,कंधा,തോൾ
41,Schulter::N,स्कंध,തോൾ
42,Arm::N,बाँह,കൈ
43,Arm::N,बाज़ू,കൈ
44,Ellenbogen::N,कुहनी,കൈമുട്ട്
45,Hand::N,हाथ,കൈ
46,Hand::N,हस्त,കൈ
47,Handfläche::N,हथेली,ഉള്ളം കൈ
48,Finger::N,उँगली,വിരൽ
49,Finger::N,अँगुली,വിരൽ
50,Fingernagel::N,नख,നഖം
51,Fingernagel::N,नाख़ून,നഖം
52,Nagel[Anatomie]::N,नख,നഖം
53,Nagel[Anatomie]::N,नाख़ून,നഖം
54,Zeh::N,उँगली,കാൽവിരൽ
55,Zeh::N,पाँव की उँगली,കാൽവിരൽ
56,Fuß::N,चरण,കാൽപ്പാദം
57,Fuß::N,पाँव,കാൽപ്പാദം
58,Ferse::N,एड़ी,ഉപ്പൂറ്റി
59,Knie::N,जानु,കാൽമുട്ട്
60,Knie::N,घुटना,കാൽമുട്ട്
61,Oberschenkel::N,उरु,തുട
62,Bein::N,टाँग,കാൽ
63,Körper::N,तन,ശരീരം
64,Körper::N,देह,ശരീരം
65,Körper::N,शरीर,ശരീരം
66,Haut::N,चर्म,ചർമ്മം
67,Haut::N,त्वचा,ചർമ്മം
68,Blut::N,लहू,രക്തം
69,Blut::N,ख़ून,രക്തം
70,Ader::N,रग,ഞരമ്പ്
71,Ader::N,शिरा,ഞരമ്പ്
72,Sehne::N,कंडरा,സ്നായു
73,Sehne::N,स्नायु,സ്നായു
74,Knochen::N,अस्थि,അസ്ഥി
75,Gehirn::N,दिमाग़,തലച്ചോറ്
76,Gehirn::N,मस्तिष्क,തലച്ചോറ്
77,Herz::N,दिल,ഹൃദയം
78,Herz::N,हृदय,ഹൃദയം
79,Magen::N,मेदा,വയർ
80,Magen::N,अमाशय,വയർ
81,Leber::N,जिगर,കരൾ
82,Leber::N,यकृत्,കരൾ
83,Atem::N,दम,ശ്വാസം
84,Atem::N,साँस,ശ്വാസം
85,Atem::N,श्वास,ശ്വാസം
86,Hunger::N,भूख,വിശപ്പ്
87,Hunger::N,क्षुधा,വിശപ്പ്
88,Träne::N,आँसू,കണ്ണീർ
89,Träne::N,अश्रु,കണ്ണീർ
90,Geschmack::N,स्वाद,രുചി
91,Geschmack::N,ज़ायक़ा,രുചി
92,Geruch::N,बू,ഗന്ധം
93,Geruch::N,गंध,ഗന്ധം
94,Schlaf::N,नींद,ഉറകും
95,Schlaf::N,निद्रा,ഉറകും
96,Traum::N,सपना,സ്വപ്നം
97,Traum::N,स्वप्न,സ്വപ്നം
98,Himmel::N,आकाश,ആകാശം
99,Himmel::N,आसमान,ആകാശം
100,Sonne::N,रवि,സൂര്യൻ
101,Sonne::N,सूरज,സൂര്യൻ
102,Sonne::N,सूर्य,സൂര്യൻ
103,Mond::N,चाँद,ചന്ദ്രൻ
104,Mond::N,चंद्र,ചന്ദ്രൻ
105,Stern::N,तारा,നക്ഷത്രം
106,Stern::N,सितारा,നക്ഷത്രം
107,Luft::N,हवा,കാറ്റ്
108,Luft::N,वायु,കാറ്റ്
109,Wind::N,पाद,കാറ്റ്
110,Welle::N,लहर,തിരമാല
111,Welle::N,तरंग,തിരമാല
112,Wasser::N,जल,വെള്ളം
113,Wasser::N,पानी,വെള്ളം
114,Stein::N,पत्थर,ശില
115,Stein::N,पत्थर,കല്ല്
116,Boden::N,मिट्टी,തറ
117,Boden::N,मिट्टी,നിലം
118,Erde::N,भूमि,മണ്ണ്
119,Erde::N,ज़मीन,മണ്ണ്
120,Staub::N,धूल,പൊടി
121,Rauch::N,धूआँ,പുക
122,Rauch::N,धुम्र,പുക
123,Funke::N,चिनगारी,തീപ്പൊരി
124,Funke::N,स्फुलिंग,തീപ്പൊരി
125,Feuer::N,आग,തീ
126,Feuer::N,आतिश,തീ
127,Feuer::N,अग्नि,തീ
128,Licht::N,रोशनी,വിളക്ക്
129,Licht::N,रोशनी,സൂര്യപ്രകാശം
130,Licht::N,प्रकाश,വിളക്ക്
131,Licht::N,प्रकाश,സൂര്യപ്രകാശം
132,Schatten::N,छाया,തണൽ
133,Schatten::N,परछाई,തണൽ
134,Wetter::N,ऋतु,കാലാവസ്ഥ
135,Wetter::N,मौसम,കാലാവസ്ഥ
136,Nebel::N,धुँध,മൂടൽമഞ്ഞ്
137,Nebel::N,कुहरा,മൂടൽമഞ്ഞ്
138,Wolke::N,मेघ,മേഘം
139,Wolke::N,अभ्र,മേഘം
140,Regen::N,मेंह,മഴ
141,Regen::N,बारिश,മഴ
142,Schnee::N,हिम,മഞ്ഞ്
143,Schnee::N,बर्फ़,മഞ്ഞ്
144,Eis::N,हिम,ഐസ്
145,Eis::N,बर्फ़,ഐസ്
146,Frost::N,ठंड,മൂടൽമഞ്ഞ്
147,Kälte::N,सर्दी,തണുപ്പ്
148,Kälte::N,शीतलता,തണുപ്പ്
149,Hitze::N,ताप,ചൂട്
150,Hitze::N,गरमी,ചൂട്
151,Raureif::N,पाला,കോടമഞ്ഞ്
152,Regenbogen::N,इंद्र-धनुष,മഴവില്ല്
153,Donner::N,गरज,ഇടി
154,Donner::N,मेघ-गर्जन,ഇടി
155,Strömung::N,बहाव,പ്രവാഹം
156,Strömung::N,प्रवाह,പ്രവാഹം
157,Tropfen::N,बूँद,തുള്ളി
158,Schaum::N,झाग,നുര
159,Schmutz::N,गंद,അഴുക്ക്
160,Schmutz::N,कीचड़,അഴുക്ക്
161,See::N,झील,തടാകം
162,See::N,सरोवर,തടാകം
