,Concept_ID,myv,ta
0,Auge::N,сельме,கண்
1,Ohr::N,пиле,காது
2,Nase::N,судо,மூக்கு
3,Mund::N,курго,வாய்
4,Zahn::N,пей,பல்
5,Zunge::N,кель,நாக்கு
6,Lippe::N,турва,உதடு
7,Wange::N,чамабока,கன்னம்
8,Wange::N,чамаумарь,கன்னம்
9,Gesicht::N,чама,முகம்
10,Stirn::N,коня,முன்னெற்றி
11,Haar::N,черь,முடி
12,Schnurrbart::N,ус,மீசை
13,Schnurrbart::N,муюк,மீசை
14,Bart::N,сакал,தாடி
15,Kinn::N,уло,கீழதாடை
16,Kiefer[Anatomie]::N,пейпакар,தாடை
17,Kiefer[Anatomie]::N,пейловажа,தாடை
18,Kehle::N,кирьгапарь,தொண்டை
19,Hals::N,кирьга,கழுத்து
20,Genick::N,човонь,கழுத்து
21,Kopf::N,пря,தலை
22,Rücken::N,копорь,முதுகு
23,Bauch::N,пеке,வயிறு
24,Nabel::N,почо,தொப்புள்
25,Busen::N,поте,மார்பகம்
26,Brust::N,меште, மார்பு
27,Schulter::N,лавтов,தோள்பட்டை
28,Arm::N,кедь,கரம்
29,Ellenbogen::N,кенерепакарь,முழங்கை
30,Hand::N,кедь,கை
31,Handfläche::N,кедькуншка,உள்ளங்கை
32,Handfläche::N,кедьлапушка,உள்ளங்கை
33,Finger::N,сур,விரல்
34,Fingernagel::N,кенже,விரல் நகம்
35,Nagel[Anatomie]::N,кенже,நகம்
36,Zeh::N,пильге сур,கால்விரல்
37,Fuß::N,пильге,கால்
38,Ferse::N,кочкаря,குதிகால்
39,Knie::N,эле,முழங்கால்
40,Knie::N,эзне,முழங்கால்
41,Knie::N,кумажа,முழங்கால்
42,Oberschenkel::N,качо,தொடை
43,Bein::N,пильге,கால்
44,Körper::N,рунго,உடல்
45,Haut::N,киське,சருமம்
46,Blut::N,верь,இரத்தம்
47,Ader::N,сан,நாளம்
48,Sehne::N,коське сан,தசைநார்
49,Knochen::N,пакарь,எலுமபு
50,Gehirn::N,удем,மூனை
51,Herz::N,седей,இதயம
52,Magen::N,пеке,வயிறு
53,Leber::N,максо,கல்லீரல்
54,Atem::N,лексема,மூச்சு
55,Atem::N,оймень таргсема,மூச்சு
56,Hunger::N,вачочи,பசி
57,Träne::N,селведь,கண்ணீர்
58,Geschmack::N,тансть,நறுமணம்
59,Geruch::N,чине,துர்நாற்றம்
60,Schlaf::N,удома,தூக்கம்
61,Traum::N,он,கனவு
62,Himmel::N,менель,வானம்
63,Sonne::N,чи,சூரியன்
64,Mond::N,ков,சந்திரன்
65,Stern::N,теште,நட்சத்திரம்
66,Luft::N,кошт,காறறு
67,Wind::N,варма,காற்று
68,Welle::N,толкун,அலை
69,Wasser::N,ведь,நீர்
70,Stein::N,кев,கல்
71,Boden::N,мода,தரை
72,Erde::N,мастор,மண்
73,Staub::N,пуль,தூசி
74,Rauch::N,качамо,புகை
75,Funke::N,сятко,தீப்பொறி
76,Feuer::N,тол,தீ
77,Licht::N,валдо,வெளிச்சம்
78,Schatten::N,сулей,நிழல்
79,Schatten::N,сулейкс,நிழல்
80,Wetter::N,ушо,வானிலை
81,Nebel::N,сув,பனிமூட்டம்
82,Wolke::N,пель,மேகம்
83,Regen::N,пиземс,மழை
84,Schnee::N,лов,உறைபனி
85,Eis::N,эй,பனிக்கட்டி
86,Frost::N,кельме,உறைபனி
87,Kälte::N,якшамо,குளிர்ந்த
88,Hitze::N,пси,சூடு
