,Concept_ID,mhr,ta
0,Auge::N,шинча́,கண்
1,Ohr::N,пы́лыш,காது
2,Nase::N,нер,மூக்கு
3,Mund::N,умша́,வாய்
4,Zahn::N,пӱй,பல்
5,Zunge::N,йы́лме,நாக்கு
6,Lippe::N,тӱ́рвӧ,உதடு
7,Wange::N,шӱ́ргӧ,கன்னம்
8,Gesicht::N,чури́й,முகம்
9,Stirn::N,саҥга́,முன்னெற்றி
10,Haar::N,ӱп,முடி
11,Schnurrbart::N,ӧ́рыш,மீசை
12,Bart::N,понда́ш,தாடி
13,Kinn::N,оҥыла́ш,கீழதாடை
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,தாடை
15,Kiefer[Anatomie]::N,пӱйората́,தாடை
16,Kehle::N,лога́р,தொண்டை
17,Hals::N,шӱй,கழுத்து
18,Genick::N,шӱйло́дыш,கழுத்து
19,Kopf::N,вуй,தலை
20,Rücken::N,туп,முதுகு
21,Bauch::N,мӱ́шкыр,வயிறு
22,Nabel::N,кы́лымде,தொப்புள்
23,Busen::N,чы́зе,மார்பகம்
24,Brust::N,оҥ, மார்பு
25,Schulter::N,ва́че,தோள்பட்டை
26,Arm::N,кид,கரம்
27,Ellenbogen::N,кынерву́й,முழங்கை
28,Hand::N,кид,கை
29,Hand::N,копа́,கை
30,Handfläche::N,со́во,உள்ளங்கை
31,Finger::N,парня́,விரல்
32,Fingernagel::N,кидкӱ́ч,விரல் நகம்
33,Fingernagel::N,парнягӱ́ч,விரல் நகம்
34,Nagel[Anatomie]::N,кӱч,நகம்
35,Zeh::N,йолварня́,கால்விரல்
36,Fuß::N,йол,கால்
37,Fuß::N,йолкопа́,கால்
38,Ferse::N,тага́н,குதிகால்
39,Knie::N,пулву́й,முழங்கால்
40,Oberschenkel::N,э́рде,தொடை
41,Bein::N,йол,கால்
42,Körper::N,кап,உடல்
43,Haut::N,кова́ште,சருமம்
44,Blut::N,вӱр,இரத்தம்
45,Ader::N,шӧн,நாளம்
46,Sehne::N,шӧн,தசைநார்
47,Sehne::N,кӱсе́н,தசைநார்
48,Knochen::N,лу,எலுமபு
49,Gehirn::N,вем,மூனை
