,Concept_ID,da,el
0,Auge::N,øje,μάτι
1,Auge::N,øje,οφθαλμός
2,Ohr::N,øre,αυτί
3,Nase::N,næse,μύτη
4,Mund::N,mund,στόμα
5,Zahn::N,tand,δόντι
6,Zunge::N,tunge,γλώσσα
7,Lippe::N,læbe,χείλος
8,Wange::N,kind,παρειά
9,Wange::N,kind,μάγουλο
10,Gesicht::N,ansigt,πρόσωπο
11,Stirn::N,pande,μέτωπο
12,Haar::N,hår,μαλλιά
13,Schnurrbart::N,overskæg,μουστάκι
14,Bart::N,skæg,γένια
15,Kinn::N,hage,πιγούνι
16,Kiefer[Anatomie]::N,kæbe,σαγόνι
17,Kehle::N,strube,λαρύγγι
18,Hals::N,hals,λαιμός
19,Genick::N,nakke,σβέρκος
20,Kopf::N,hoved,κεφάλι
21,Rücken::N,ryg,ράχη
22,Bauch::N,mave,κοιλιά
23,Nabel::N,navle,αφαλός
24,Busen::N,barm,στήθος
25,Brust::N,bryst,στήθος
26,Schulter::N,skulder,ώμος
27,Arm::N,arm,χέρι
28,Arm::N,arm,μπράτςο
29,Ellenbogen::N,albue,αγκώνας
30,Hand::N,hånd,χέρι
31,Handfläche::N,håndflade,παλάμη
32,Finger::N,finger,δάχτυλο
33,Fingernagel::N,fingernegl,νύχι
34,Nagel[Anatomie]::N,negl,νύχι
35,Zeh::N,tå,δάχτυλο του ποδιού
36,Fuß::N,fod,πόδι
37,Ferse::N,hæl,φτέρνα
38,Knie::N,knæ,γόνατο
39,Oberschenkel::N,lår,μηρός
40,Bein::N,ben,πόδι
41,Körper::N,krop,σώμα
42,Körper::N,krop,κορμί
43,Körper::N,legeme,σώμα
44,Körper::N,legeme,κορμί
45,Haut::N,hud,πετσί
46,Blut::N,blod,αίμα
47,Ader::N,åre,φλέβα
48,Sehne::N,sene,νεύρο
49,Sehne::N,sene,τένοντας
50,Knochen::N,ben,οστό
51,Knochen::N,ben,κόκκαλο
52,Gehirn::N,hjerne,μυαλό
53,Gehirn::N,hjerne,εγκέφαλος
54,Herz::N,hjerte,καρδιά
55,Magen::N,mave,στομάχι
56,Leber::N,lever,ήπαρ
57,Leber::N,lever,συκωτί
58,Atem::N,ånde,αναπνοή
59,Hunger::N,sult,πείνα
60,Träne::N,tåre,δάκρυ
61,Geschmack::N,smag,γεύση
62,Geruch::N,lugt,οσμή
63,Geruch::N,lugt,μυρωδία
64,Schlaf::N,søvn,ύπνος
65,Traum::N,drøm,όνειρο
66,Himmel::N,himmel,ουρανός
67,Sonne::N,sol,ήλιος
68,Mond::N,måne,σελήνη
69,Mond::N,måne,φεγγάρι
70,Stern::N,stjerne,άστρο
71,Stern::N,stjerne,αστέρι
72,Luft::N,luft,αέρας
73,Wind::N,vind,αέρας
74,Wind::N,vind,άνεμος
75,Welle::N,bølge,κύμα
76,Wasser::N,vand,νερό
77,Stein::N,sten,πέτρα
78,Boden::N,jord,χώμα
79,Erde::N,jord,γη
80,Staub::N,støv,σκόνη
81,Rauch::N,røg,καπνός
82,Funke::N,gnist,σπίθα
83,Funke::N,gnist,σπινθήρας
84,Feuer::N,ild,φωτιά
85,Licht::N,lys,φως
86,Schatten::N,skygge,σκιά
87,Schatten::N,skygge,ίσκιος
88,Wetter::N,vejr,καιρός
89,Nebel::N,tåge,ομίχλη
90,Wolke::N,sky,σύννεφο
91,Regen::N,regn,βροχή
92,Schnee::N,sne,χιόνι
93,Eis::N,is,πάγος
94,Frost::N,frost,παγωνία
95,Kälte::N,kulde,κρύο
96,Kälte::N,kulde,ψύχος
97,Hitze::N,hede,ζέστη
98,Raureif::N,rimfrost,πάχνη
99,Regenbogen::N,regnbue,ουράνιο τόξο
100,Donner::N,torden,βροντή
101,Strömung::N,strømning,ρεύμα
102,Tropfen::N,dråbe,στάλα
103,Schaum::N,skum,αφρός
104,Schmutz::N,snavs,βρωμιά
105,See::N,sø,λίμνη
106,Sumpf::N,sump,βάλτος
107,Moor::N,mose,έλος
108,Wiese::N,eng,λιβάδι
109,Wald::N,skov,δάσος
110,Hügel::N,høj,λόφος
111,Hügel::N,bakke,λόφος
112,Anhöhe::N,høj,ύψωμα
113,Anhöhe::N,bakke,ύψωμα
114,Berg::N,bjerg,όρος
115,Berg::N,bjerg,βουνό
116,Gipfel::N,top,κορυφή
117,Höhle::N,hule,σπηλιά
118,Abhang::N,skrænt,πλαγιά
119,Abhang::N,skråning,πλαγιά
120,Quelle::N,kilde,πηγή
121,Quelle::N,kilde,βρύση
122,Bach::N,bæk,ρυάκι
123,Fluss::N,flod,ποτάμι
124,Fluss::N,flod,ποταμός
125,Ufer::N,bred,όχθη
126,Küste::N,kyst,ακτή
127,Küste::N,kyst,ακρογιαλιά
128,Festland::N,fastland,στεριά
129,Meer::N,hav,θάλασσα
130,Bucht::N,bugt,κόλπος
131,Insel::N,ø,νησί
132,Insel::N,ø,νήσος
133,Blume::N,blomst,άνθος
134,Blume::N,blomst,λουλούδι
135,Gras::N,græs,χόρτο
136,Gras::N,græs,χορτάρι
137,Wurzel::N,rod,ρίζα
138,Baum::N,træ,δέντρο
139,Stamm::N,stamme,κορμός
140,Rinde::N,bark,φλούδα
141,Ast::N,gren,κλαδί
142,Zweig::N,kvist,κλαδί
143,Zweig::N,kvist,κλάδος
144,Blatt::N,blad,φύλλο
145,Birke::N,birk,σημύδα
146,Kiefer[Baum]::N,fyrretræ,πεύκο
147,Weide[Baum]::N,piletræ,ιτιά
148,Tanne::N,gran,έλατο
149,Horn::N,horn,κέρας
150,Horn::N,horn,κέρατο
151,Feder::N,fjer,φτερό
152,Fell::N,skind,δέρμα
153,Fell::N,skind,τομάρι
154,Flügel::N,vinge,πτερύγιο
155,Klaue::N,klov,κουλό
156,Kralle::N,klo,νύχι
157,Schwanz::N,hale,ουρά
158,Ei::N,æg,αβγό
159,Nest::N,rede,φωλιά
160,Bau::N,bo,φωλιά
161,Tier::N,dyr,ζώο
162,Herde::N,flok,κοπάδι
163,Kuh::N,ko,αγελάδα
164,Bulle::N,tyr,ταύρος
165,Pferd::N,hest,άλογο
166,Schaf::N,får,πρόβατο
167,Schwein::N,gris,γουρούνι
168,Hund::N,hund,σκυλί
169,Hund::N,hund,σκύλος
170,Katze::N,kat,γάτα
171,Bär::N,bjørn,άρκτος
172,Bär::N,bjørn,αρκούδα
173,Eichhörnchen::N,egern,βερβερίτσα
174,Elch::N,elg,άλκη
175,Fuchs::N,ræv,αλεπού
176,Hase::N,hare,λαγός
177,Maus::N,mus,ποντικός
178,Wolf::N,ulv,λύκος
179,Vogel::N,fugl,πουλί
180,Schwarm::N,sværm,σμήνος
181,Huhn::N,høne,κότα
182,Huhn::N,høne,όρνιθα
183,Hahn::N,hane,πετεινός
184,Gans::N,gås,χήνα
185,Adler::N,ørn,αετός
186,Ente::N,and,πάπια
187,Eule::N,ugle,κουκουβάγια
188,Kranich::N,trane,γερανός
189,Krähe::N,krage,καρακάξα
190,Kuckuck::N,gøg,κούκος
191,Schwan::N,svane,κύκνος
192,Fisch::N,fisk,ψάρι
193,Barsch::N,aborre,πέρκα
194,Hecht::N,gedde,λούτσος
195,Schlange[Tier]::N,slange,φίδι
196,Wurm::N,orm,σκουλήκι
197,Spinne::N,edderkop,αράχνη
198,Ameise::N,myre,μυρμήγκι
199,Laus::N,lus,ψείρα
200,Mücke::N,myg,κουνούπι
201,Fliege::N,flue,μύγα
202,Schmetterling::N,sommerfugl,πεταλούδα
203,Beere::N,bær,ρόγα
204,Apfel::N,æble,μήλο
205,Pilz::N,svamp,μανιτάρι
206,Zwiebel::N,løg,κρεμμύδι
207,Saat::N,sæd,σπόρος
208,Korn::N,korn,σπυρί
209,Heu::N,hø,σανός
210,Schale::N,skræl,τσόφλι
211,Grube::N,grav,λάκκος
212,Falle::N,fælde,παγίδα
213,Schlinge::N,snare,θηλειά
214,Spur::N,spor,ίχνος
215,Asche::N,aske,στάχτη
216,Dreck::N,snavs,βρωμιά
217,Eisen::N,jern,σίδερο
218,Gold::N,guld,μάλαμα
219,Gold::N,guld,χρυσάφι
220,Silber::N,sølv,ασήμι
221,Silber::N,sølv,άργυρος
222,Kohle::N,kul,κάρβουνο
223,Glas::N,glas,γυαλί
224,Lehm::N,ler,πηλός
225,Sand::N,sand,άμμος
226,Mensch::N,mennesge,άνθρωπος
227,Mann::N,mand,άνδρας
228,Frau::N,kvinde,γυναίκα
229,Kind::N,barn,παιδί
230,Junge::N,dreng,αγόρι
231,Mädchen::N,pige,κοπέλα
232,Mädchen::N,pige,κορίτσι
233,Familie::N,familie,οικογένεια
234,Großvater::N,bedstefar,παππούς
235,Großmutter::N,bedstemor,γιαγιά
236,Eltern::N,forældre,γονείς
237,Vater::N,far,πατέρας
238,Mutter::N,mor,μητέρα
239,Sohn::N,søn,γιος
240,Tochter::N,datter,κόρη
241,Bruder::N,bror,αδελφός
242,Schwester::N,søster,αδελφή
243,Onkel::N,onkel,θείος
244,Tante::N,tante,θεία
245,Ehemann::N,ægtemand,σύζυγος
246,Ehefrau::N,hustru,σύζυγος
247,Freude::N,glæde,χαρά
248,Gelächter::N,latter,γέλια
249,Glück::N,lykke,ευτυχία
250,Kummer::N,sorg,έγνοια
251,Wunsch::N,ønske,επιθυμία
252,Lust::N,lyst,όρεξη
253,Geist::N,ånd,πνέυμα
254,Gedanke::N,tanke,σκέψη
255,Gedächtnis::N,hukommelse,μνήμη
256,Verstand::N,forstand,νους
257,Sinn::N,mening,νόημα
258,Sinn::N,betydning,νόημα
259,Grund::N,grund,λόγος
260,Wahrheit::N,sandhed,αλήθεια
261,Gespräch::N,samtale,συνομιλία
262,Märchen::N,eventyr,παραμύθι
263,Erzählung::N,fortælling,διήγημα
264,Nachricht::N,efterretning,είδηση
265,Neuigkeit::N,nyhed,νέο
266,Name::N,navn,όνομα
267,Rätsel::N,gåde,αίνιγμα
268,Rede::N,tale,λόγος
269,Rede::N,tale,ομιλία
270,Sprache::N,sprog,γλώσσα
271,Stimme::N,stemme,φωνή
272,Wort::N,ord,λέξη
273,Zeichen::N,tegn,σημείο
274,Ruf::N,råb,κραυγή
275,Lärm::N,larm,θόρυβος
276,Laut::N,lyd,ήχος
277,Ton::N,tone,ήχος
278,Ton::N,tone,τόνος
279,Lied::N,sang,τραγούδι
280,Ruhe::N,ro,ησυχία
281,Ruhe::N,hvile,ησυχία
282,Leute::N,folk,κόσμος
283,Leute::N,folk,άνθρωποι
284,Leute::N,mennesker,κόσμος
285,Leute::N,mennesker,άνθρωποι
286,Volk::N,folk,λαός
287,Arbeit::N,arbejde,εργασία
288,Gast::N,gæst,επισκέπτης
289,Geschenk::N,gave,δώρο
290,Spiel::N,leg,παιχνίδι
291,Gesellschaft::N,selskab,κοινωνία
292,Hilfe::N,hjælp,βοήθεια
293,Freund::N,ven,φίλος
294,Kamerad::N,kammerat,σύντροφος
295,Angelegenheit::N,sag,υπόθεση
296,Angelegenheit::N,anliggende,υπόθεση
297,Anzahl::N,antal,αριθμός
298,Art::N,art,είδος
299,Stück::N,stykke,κομμάτι
300,Teil::N,del,μέρος
301,Hälfte::N,halvdel,μισό
302,Kreis::N,cirkel,κύκλος
303,Kreuz::N,kors,σταυρός
304,Kreuz::N,kryds,σταυρός
305,Linie::N,linie,γραμμή
306,Strich::N,streg,γραμμή
307,Abstand::N,afstand,απόσταση
308,Entfernung::N,afstand,απόσταση
309,Gegend::N,egn,περιοχή
310,Gegend::N,egn,τοποθεσία
311,Platz::N,plads,χώρος
312,Ort::N,sted,τόπος
313,Seite::N,side,πλευρά
314,Mitte::N,midte,μέση
315,Gegenstand::N,genstand,αντικείμενο
316,Sache::N,sag,πράγμα
317,Rand::N,rand,άκρη
318,Rand::N,rand,χείλος
319,Kante::N,kant,άκρη
320,Ecke::N,hjørne,γωνιά
321,Spitze::N,spids,μύτη
322,Ende::N,ende,άκρη
323,Loch::N,hul,τρύπα
324,Winkel::N,vinkel,γωνία
325,Muster::N,mønster,σχέδιο
326,Größe::N,størrelse,μέγεθος
327,Länge::N,længde,μήκος
328,Höhe::N,højde,ύψος
329,Gewicht::N,vægt,βάρος
330,Menge::N,mængde,ποσότητα
331,Haufen::N,bunke,σωρός
332,Reihe::N,række,αράδα
333,Boot::N,båd,βάρκα
334,Ruder::N,åre,κουπί
335,Schlitten::N,kælk,έλκηθρο
336,Schlitten::N,slæde,έλκηθρο
337,Ski::N,ski,σκι
