,Concept_ID,ce,se
0,Auge::N,бӏаьрг,tjelmie
1,Auge::N,бӏаьрг,tjalmme
2,Auge::N,бӏаьрг,čalbmi
3,Auge::N,бӏаьрг,čalme
4,Auge::N,бӏаьрг,čâ´lmm
5,Auge::N,бӏаьрг,ча̄лльм
6,Ohr::N,лерг,bieljie
7,Ohr::N,лерг,biellje
8,Ohr::N,лерг,beallji
9,Ohr::N,лерг,pelji
10,Ohr::N,лерг,pe´llj
11,Ohr::N,лерг,пе̄лльй
12,Nase::N,мара,njuenie
13,Nase::N,мара,njunnje
14,Nase::N,мара,njunni
15,Nase::N,мара,njuṇe
16,Nase::N,мара,njuu´nn
17,Nase::N,мара,нюннҍ
18,Mund::N,бага,njaelmie
19,Mund::N,бага,njálmme
20,Mund::N,бага,njálbmi
21,Mund::N,бага,njälmi
22,Mund::N,бага,njä´lmm
23,Mund::N,бага,ня̄лльм
24,Zahn::N,церг,baenie
25,Zahn::N,церг,bádne
26,Zahn::N,церг,bátni
27,Zahn::N,церг,pääṇi
28,Zahn::N,церг,pää´nn
29,Zahn::N,церг,па̄ннҍ
30,Zunge::N,мотт,njoektjeme
31,Zunge::N,мотт,njuovtjav
32,Zunge::N,мотт,njuovčča
33,Zunge::N,мотт,njuovčâ
34,Zunge::N,мотт,njuhččâm
35,Zunge::N,мотт,нюхчем
36,Lippe::N,балда,bangseme
37,Lippe::N,балда,njálmmerabdda
38,Lippe::N,балда,bavssa
39,Lippe::N,балда,poovsâ
40,Lippe::N,балда,põõus
41,Lippe::N,балда,пэ̄кс
42,Wange::N,бесни,skiehrie
43,Wange::N,бесни,nierra
44,Wange::N,бесни,muohtu
45,Wange::N,бесни,nieṛâ
46,Wange::N,бесни,njiõrr
47,Wange::N,бесни,нӣрр
48,Gesicht::N,юьхь,ååredæjja
49,Gesicht::N,юьхь,muohto
50,Gesicht::N,юьхь,muođut
51,Gesicht::N,юьхь,ámadadju
52,Gesicht::N,юьхь,muáđuh
53,Gesicht::N,юьхь,muâđ
54,Gesicht::N,юьхь,ка̄ссв
55,Stirn::N,хьаж,gaalloe
56,Stirn::N,хьаж,gállo
57,Stirn::N,хьаж,gállu
58,Stirn::N,хьаж,kállu
59,Stirn::N,хьаж,käll
60,Stirn::N,хьаж,вуэххьц
61,Haar::N,мас,voepte
62,Haar::N,мас,vuoppta
63,Haar::N,мас,vuokta
64,Haar::N,мас,vuop'tâ
65,Haar::N,мас,vuõpt
66,Haar::N,мас,вӯппт
67,Schnurrbart::N,мекх,bijjie-skaavtjoe
68,Schnurrbart::N,мекх,njunjevuolskávttjá
69,Schnurrbart::N,мекх,seamu
70,Schnurrbart::N,мекх,siämu
71,Schnurrbart::N,мекх,ää´bben
72,Schnurrbart::N,мекх,о̄а̄бпан
73,Bart::N,маж,skaavtja
74,Bart::N,маж,skaavtjoe
75,Bart::N,маж,skávttjá
76,Bart::N,маж,seamu
77,Bart::N,маж,siämu
78,Bart::N,маж,seäm
79,Bart::N,маж,ся̄м
80,Kinn::N,чӏениг,gaejpie
81,Kinn::N,чӏениг,gájbbe
82,Kinn::N,чӏениг,gáibi
83,Kinn::N,чӏениг,käibi
84,Kinn::N,чӏениг,käi´bb
85,Kinn::N,чӏениг,ка̄ййп
86,Kiefer[Anatomie]::N,мочхал,gaejpie
87,Kiefer[Anatomie]::N,мочхал,oalol
88,Kiefer[Anatomie]::N,мочхал,oaloldákte
89,Kiefer[Anatomie]::N,мочхал,gáibi
90,Kiefer[Anatomie]::N,мочхал,uá'lultähti
91,Kiefer[Anatomie]::N,мочхал,vuâl'lõš
92,Kiefer[Anatomie]::N,мочхал,вуаллнешш
93,Kehle::N,къамкъарг,gealoe
94,Kehle::N,къамкъарг,tjåttå
95,Kehle::N,къамкъарг,njiello
96,Kehle::N,къамкъарг,čotta
97,Kehle::N,къамкъарг,čuudâ
98,Kehle::N,къамкъарг,čoodd
99,Kehle::N,къамкъарг,чонт
100,Kehle::N,къамкъарг,кэ̄ҏс
101,Hals::N,ворта,tjeapohke
102,Hals::N,ворта,tjiebet
103,Hals::N,ворта,čeabet
104,Hals::N,ворта,čiäppát
105,Hals::N,ворта,čeäppat
106,Hals::N,ворта,ча̄пэх
107,Genick::N,кӏесаркӏаг,tjovrese
108,Genick::N,кӏесаркӏаг,nisske
109,Genick::N,кӏесаркӏаг,niehkki
110,Genick::N,кӏесаркӏаг,niski
111,Genick::N,кӏесаркӏаг,niek'ki
112,Genick::N,кӏесаркӏаг,nji´šǩǩmaadd
113,Genick::N,кӏесаркӏаг,нышшькмоант
114,Kopf::N,корта,åejjie
115,Kopf::N,корта,oajvve
116,Kopf::N,корта,oaivi
117,Kopf::N,корта,uái'vi
118,Kopf::N,корта,vuei´vv
119,Kopf::N,корта,вуэййв
120,Rücken::N,букъ,rudtje
121,Rücken::N,букъ,hárddo
122,Rücken::N,букъ,tjavelk
123,Rücken::N,букъ,sealgi
124,Rücken::N,букъ,selgi
125,Rücken::N,букъ,čielgi
126,Rücken::N,букъ,seä´lǧǧ
127,Rücken::N,букъ,се̄лльк
128,Bauch::N,кийра,tjåejjie
129,Bauch::N,кийра,tjoajvve
130,Bauch::N,кийра,čoavji
131,Bauch::N,кийра,čuáv'ji
132,Bauch::N,кийра,čåu´jj
133,Bauch::N,кийра,чо̄ввьй
134,Nabel::N,цӏонга,naepie
135,Nabel::N,цӏонга,náhpe
136,Nabel::N,цӏонга,náhpi
137,Nabel::N,цӏонга,nääpi
138,Nabel::N,цӏонга,nää´pp
139,Nabel::N,цӏонга,на̄бпь
140,Busen::N,зударийн накха,boenge
141,Busen::N,зударийн накха,bållå
142,Busen::N,зударийн накха,čižži
143,Busen::N,зударийн накха,njamma
144,Busen::N,зударийн накха,njižže
145,Busen::N,зударийн накха,nje´ǯǯ
146,Busen::N,зударийн накха,раннҍт
147,Brust::N,накха,mïelke
148,Brust::N,накха,radde
149,Brust::N,накха,mielgga
150,Brust::N,накха,raddi
151,Brust::N,накха,radde
152,Brust::N,накха,râ´dd
153,Brust::N,накха,раннҍт
154,Schulter::N,белш,åelkie
155,Schulter::N,белш,oalgge
156,Schulter::N,белш,hárdu
157,Schulter::N,белш,ärdee
158,Schulter::N,белш,uál'gi
159,Schulter::N,белш,a´rddi
160,Schulter::N,белш,vuä´lǧǧ
161,Schulter::N,белш,вуэллык
162,Arm::N,пхьарс,gïete
163,Arm::N,пхьарс,giehta
164,Arm::N,пхьарс,giehta
165,Arm::N,пхьарс,kietâ
166,Arm::N,пхьарс,kie'tâkaaṿâ
167,Arm::N,пхьарс,ǩiõtt
168,Arm::N,пхьарс,кӣдт
169,Ellenbogen::N,пхьаьрсан гола,gernjere
170,Ellenbogen::N,пхьаьрсан гола,garŋŋel
171,Ellenbogen::N,пхьаьрсан гола,gargŋil
172,Ellenbogen::N,пхьаьрсан гола,käŋŋir
173,Ellenbogen::N,пхьаьрсан гола,kõõnjâr
174,Ellenbogen::N,пхьаьрсан гола,карьнэль
175,Hand::N,куьг,gïete
176,Hand::N,куьг,giehta
177,Hand::N,куьг,giehta
178,Hand::N,куьг,kietâ
179,Hand::N,куьг,ǩiõtt
180,Hand::N,куьг,кӣдт
181,Handfläche::N,кераюкъ,gïeten-låapoe
182,Handfläche::N,кераюкъ,giehtavuodo
183,Handfläche::N,кераюкъ,tjårmmåvuodo
184,Handfläche::N,кераюкъ,giehtaloahpu
185,Handfläche::N,кераюкъ,kiämád
186,Handfläche::N,кераюкъ,kuámmir
187,Handfläche::N,кераюкъ,kuä´m'mer
188,Handfläche::N,кераюкъ,ǩiõttǩeä´m'men
189,Handfläche::N,кераюкъ,ко̄а̄ллдэгк
190,Handfläche::N,кераюкъ,кӣдткоалдэгк
191,Finger::N,пӏелг,soerme
192,Finger::N,пӏелг,tjuvdde
193,Finger::N,пӏелг,suorbma
194,Finger::N,пӏелг,čuvde
195,Finger::N,пӏелг,suor'mâ
196,Finger::N,пӏелг,suõrmm
197,Finger::N,пӏелг,це̄ххп
198,Fingernagel::N,мӏара,gadtse
199,Fingernagel::N,мӏара,guehpere
200,Fingernagel::N,мӏара,gadtsa
201,Fingernagel::N,мӏара,gazza
202,Fingernagel::N,мӏара,kozzâ
203,Fingernagel::N,мӏара,kõʒʒ
204,Fingernagel::N,мӏара,кэ̄ннц
205,Nagel[Anatomie]::N,мӏара,gadtse
206,Nagel[Anatomie]::N,мӏара,guehpere
207,Nagel[Anatomie]::N,мӏара,gadtsa
208,Nagel[Anatomie]::N,мӏара,gazza
209,Nagel[Anatomie]::N,мӏара,kozzâ
210,Nagel[Anatomie]::N,мӏара,kõʒʒ
211,Nagel[Anatomie]::N,мӏара,кэ̄ннц
212,Zeh::N,кога пӏелг,tjiehtjere
213,Zeh::N,кога пӏелг,juolggetjuvdde
214,Zeh::N,кога пӏелг,juolgesuorbma
215,Zeh::N,кога пӏелг,jyel'gisuor'mâ
216,Zeh::N,кога пӏелг,jue´lǧǧsuõrmm
217,Zeh::N,кога пӏелг,ю̄лльк-це̄һп
218,Fuß::N,ког,juelkie
219,Fuß::N,ког,juolgge
220,Fuß::N,ког,juolgi
221,Fuß::N,ког,jyel'gi
222,Fuß::N,ког,jue´lǧǧ
223,Fuß::N,ког,ла̄бпь
224,Ferse::N,кӏажа,båetskie
225,Ferse::N,кӏажа,boasske
226,Ferse::N,кӏажа,šušmi
227,Ferse::N,кӏажа,šušme
228,Ferse::N,кӏажа,jue´lǧǧkädd
229,Ferse::N,кӏажа,ка̄ннт
230,Knie::N,гола,boelve
231,Knie::N,гола,buolvva
232,Knie::N,гола,čibbi
233,Knie::N,гола,veaŋki
234,Knie::N,гола,iidâ
235,Knie::N,гола,puõlvv
236,Knie::N,гола,пуллв
237,Oberschenkel::N,варе,ruaksja
238,Oberschenkel::N,варе,tjibbe
239,Oberschenkel::N,варе,gassaváhkká
240,Oberschenkel::N,варе,badjeváhkáa
241,Oberschenkel::N,варе,čuár'bpeeḷi
242,Oberschenkel::N,варе,če´bb
243,Oberschenkel::N,варе,чуаррбе̄лль
244,Bein::N,ког,juelkie
245,Bein::N,ког,juolgge
246,Bein::N,ког,juolgi
247,Bein::N,ког,jyel'gi
248,Bein::N,ког,jue´lǧǧ
249,Bein::N,ког,ю̄лльк
250,Körper::N,хӏума,kråahpe
251,Körper::N,хӏума,rumáj
252,Körper::N,хӏума,rumaš
253,Körper::N,хӏума,ruumâš
254,Körper::N,хӏума,rå´pp
255,Körper::N,хӏума,лышшьк
256,Körper::N,хӏума,роаӈӈьк
257,Haut::N,чкъор,njaltja
258,Haut::N,чкъор,lijkke
259,Haut::N,чкъор,tjuobma
260,Haut::N,чкъор,liiki
261,Haut::N,чкъор,liške
262,Haut::N,чкъор,le´šǩǩ
263,Haut::N,чкъор,лышшьк
264,Blut::N,цӏий,vïrre
265,Blut::N,цӏий,maelie
266,Blut::N,цӏий,varra
267,Blut::N,цӏий,varra
268,Blut::N,цӏий,vorrâ
269,Blut::N,цӏий,võrr
270,Blut::N,цӏий,вэ̄рр
271,Ader::N,пха,åerie
272,Ader::N,пха,aajroe
273,Ader::N,пха,suodna
274,Ader::N,пха,varrasuotna
275,Ader::N,пха,suoṇâ
276,Ader::N,пха,suõnn
277,Ader::N,пха,сӯнн
278,Sehne::N,хьорзам,soene
279,Sehne::N,хьорзам,gåårtenje
280,Sehne::N,хьорзам,suodna
281,Sehne::N,хьорзам,suotna
282,Sehne::N,хьорзам,suoṇâ
283,Sehne::N,хьорзам,suõnn
284,Sehne::N,хьорзам,сӯнн
285,Knochen::N,даьӏахк,måara
286,Knochen::N,даьӏахк,måaroe
287,Knochen::N,даьӏахк,dákte
288,Knochen::N,даьӏахк,dákti
289,Knochen::N,даьӏахк,tähti
290,Knochen::N,даьӏахк,tä´htt
291,Knochen::N,даьӏахк,та̄ххт
292,Knochen::N,даьӏахк,та̄ффьт
293,Gehirn::N,хье,aajla
294,Gehirn::N,хье,vuojŋam
295,Gehirn::N,хье,vuoigŋašat
296,Gehirn::N,хье,vuoi'ŋâšeh
297,Gehirn::N,хье,vuo'ivâšneh
298,Gehirn::N,хье,vuõivâšn
299,Gehirn::N,хье,вуэййвэшна
300,Herz::N,дог,vaajmoe
301,Herz::N,дог,tsåhke
302,Herz::N,дог,váibmu
303,Herz::N,дог,váimu
304,Herz::N,дог,čââ´đ
305,Herz::N,дог,кӯттҌк
306,Magen::N,зорх,tjåejjie
307,Magen::N,зорх,tjoajvve
308,Magen::N,зорх,čoavji
309,Magen::N,зорх,čuáv'ji
310,Magen::N,зорх,čåu´jj
311,Magen::N,зорх,чо̄ввьй
312,Leber::N,доӏах,mueksie
313,Leber::N,доӏах,librre
314,Leber::N,доӏах,vuoivvas
315,Leber::N,доӏах,vuoivâs
316,Leber::N,доӏах,vuõivâs
317,Leber::N,доӏах,вуйвас
318,Atem::N,садеӏар,voejngehtasse
319,Atem::N,садеӏар,båssånis
320,Atem::N,садеӏар,vuojŋadahka
321,Atem::N,садеӏар,vuoiŋŋahat
322,Atem::N,садеӏар,vuo'iŋâstim
323,Atem::N,садеӏар,jiõg'g
324,Atem::N,садеӏар,вӯйнас
325,Atem::N,садеӏар,вӯййнмушш
326,Hunger::N,мацалла,nielkie
327,Hunger::N,мацалла,nielgge
328,Hunger::N,мацалла,nealgi
329,Hunger::N,мацалла,nelgi
330,Hunger::N,мацалла,neä´lǧǧ
331,Hunger::N,мацалла,не̄лльк
332,Träne::N,бӏаьрхи,gïknjele
333,Träne::N,бӏаьрхи,ganjál
334,Träne::N,бӏаьрхи,ganjal
335,Träne::N,бӏаьрхи,koonjâl
336,Träne::N,бӏаьрхи,kõõnjâl
337,Träne::N,бӏаьрхи,кэ̄нял
338,Geschmack::N,чам,aelmie
339,Geschmack::N,чам,muosse
340,Geschmack::N,чам,smáhkka
341,Geschmack::N,чам,máhku
342,Geschmack::N,чам,smáhkka
343,Geschmack::N,чам,mááhu
344,Geschmack::N,чам,smakkâ
345,Geschmack::N,чам,njõõd
346,Geschmack::N,чам,smääkk
347,Geschmack::N,чам,ня̄лльк
348,Geruch::N,хьожа,haaje
349,Geruch::N,хьожа,habjja
350,Geruch::N,хьожа,hádja
351,Geruch::N,хьожа,opsâ
352,Geruch::N,хьожа,haajâ
353,Geruch::N,хьожа,õpss
354,Geruch::N,хьожа,haajj
355,Geruch::N,хьожа,апс
356,Geruch::N,хьожа,лэ̄гк
357,Schlaf::N,наб,nahkerh
358,Schlaf::N,наб,nager
359,Schlaf::N,наб,oados
360,Schlaf::N,наб,nagir
361,Schlaf::N,наб,naṿer
362,Schlaf::N,наб,nââ´er
363,Schlaf::N,наб,нагерь
364,Traum::N,гӏан,nahkere
365,Traum::N,гӏан,niehko
366,Traum::N,гӏан,niehku
367,Traum::N,гӏан,naṿer
368,Traum::N,гӏан,nââ´er
369,Traum::N,гӏан,нагерь
370,Himmel::N,стигал,elmie
371,Himmel::N,стигал,almme
372,Himmel::N,стигал,albmi
373,Himmel::N,стигал,alme
374,Himmel::N,стигал,â´lmm
375,Himmel::N,стигал,алльм
376,Sonne::N,малх,biejjie
377,Sonne::N,малх,bæjvásj
378,Sonne::N,малх,beaivváš
379,Sonne::N,малх,peivi
380,Sonne::N,малх,piäiváš
381,Sonne::N,малх,pei´vv
382,Sonne::N,малх,пе̄ййв
383,Mond::N,бутт,aske
384,Mond::N,бутт,mánno
385,Mond::N,бутт,mánnu
386,Mond::N,бутт,máánu
387,Mond::N,бутт,mään
388,Mond::N,бутт,ма̄нн
389,Stern::N,седа,daasta
390,Stern::N,седа,naestie
391,Stern::N,седа,násste
392,Stern::N,седа,násti
393,Stern::N,седа,täsni
394,Stern::N,седа,tä´snn
395,Stern::N,седа,та̄ссьт
396,Luft::N,xӏаваъ,elmie
397,Luft::N,xӏаваъ,ájmmo
398,Luft::N,xӏаваъ,áibmu
399,Luft::N,xӏаваъ,áimu
400,Luft::N,xӏаваъ,šõŋŋ
401,Luft::N,xӏаваъ,вӯйнас
402,Wind::N,мох,bïegke
403,Wind::N,мох,biegga
404,Wind::N,мох,biegga
405,Wind::N,мох,pieg'gâ
406,Wind::N,мох,piõg'g
407,Wind::N,мох,пӣӈӈк
408,Welle::N,тулгӏе,baaroe
409,Welle::N,тулгӏе,bárro
410,Welle::N,тулгӏе,bárru
411,Welle::N,тулгӏе,pááṛu
412,Welle::N,тулгӏе,päärr
413,Welle::N,тулгӏе,нэ̄ммп
414,Wasser::N,хи,tjaetsie
415,Wasser::N,хи,tjáhtje
416,Wasser::N,хи,čáhci
417,Wasser::N,хи,čääci
418,Wasser::N,хи,čää´cc
419,Wasser::N,хи,ча̄дзь
420,Stein::N,тӏулг,gierkie
421,Stein::N,тӏулг,giergge
422,Stein::N,тӏулг,geađgi
423,Stein::N,тӏулг,keđgi
424,Stein::N,тӏулг,ǩeä´dǧǧ
425,Stein::N,тӏулг,ке̄ддҌк
426,Boden::N,цӏенкъа,betnie
427,Boden::N,цӏенкъа,ednam
428,Boden::N,цӏенкъа,bodni
429,Boden::N,цӏенкъа,vuođđu
430,Boden::N,цӏенкъа,ponne
431,Boden::N,цӏенкъа,vuáđ̣u
432,Boden::N,цӏенкъа,vuâđđ
433,Boden::N,цӏенкъа,лаввьн
434,Boden::N,цӏенкъа,е̄ммьне
435,Erde::N,латта,jåarta
436,Erde::N,латта,mueltie
437,Erde::N,латта,ednam
438,Erde::N,латта,mållde
439,Erde::N,латта,eana
440,Erde::N,латта,eennâm
441,Erde::N,латта,mädd
442,Erde::N,латта,jânnam
443,Erde::N,латта,е̄ммьне
444,Staub::N,чан,heblie
445,Staub::N,чан,tsumhtsie
446,Staub::N,чан,dubme
447,Staub::N,чан,dopmu
448,Staub::N,чан,kovjâ
449,Staub::N,чан,põõ´l
450,Staub::N,чан,кэ̄ббьй
451,Rauch::N,кӏур,soeve
452,Rauch::N,кӏур,suovva
453,Rauch::N,кӏур,suovva
454,Rauch::N,кӏур,suoṿâ
455,Rauch::N,кӏур,suõvv
456,Rauch::N,кӏур,сӯвв
457,Funke::N,суй,naestie
458,Funke::N,суй,tjuonam
459,Funke::N,суй,čuotnan
460,Funke::N,суй,čuođâlm
461,Funke::N,суй,iiskâr
462,Funke::N,суй,čuõzzâm
