,Concept_ID,lt,lv
0,Auge::N,akis,син
1,Auge::N,akis,acs
2,Ohr::N,ausis,пель
3,Ohr::N,ausis,auss
4,Nase::N,nosis,ныр
5,Nase::N,nosis,deguns
6,Mund::N,burna,вом
7,Mund::N,burna,mute
8,Zahn::N,dantis,пинь
9,Zahn::N,dantis,zobs
10,Zunge::N,liežuvis,кыв
11,Zunge::N,liežuvis,mēle
12,Lippe::N,lūpa,вом дор
13,Lippe::N,lūpa,lūpa
14,Wange::N,žandas,бан
15,Wange::N,žandas,vaigs
16,Wange::N,skruostas,бан
17,Wange::N,skruostas,vaigs
18,Gesicht::N,veidas,чужӧм
19,Gesicht::N,veidas,seja
20,Gesicht::N,veidas,ģīmis
21,Stirn::N,kakta,плеш
22,Stirn::N,kakta,кымӧс
23,Stirn::N,kakta,piere
24,Haar::N,plaukai,си
25,Haar::N,plaukai,юрси
26,Haar::N,plaukai,mats
27,Schnurrbart::N,ūsai,ус
28,Schnurrbart::N,ūsai,пыртсим
29,Schnurrbart::N,ūsai,ūsas
30,Bart::N,barzda,тош
31,Bart::N,barzda,bārda
32,Kinn::N,smakras,тшӧка
33,Kinn::N,smakras,zods
34,Kinn::N,smakras,smakrs
35,Kiefer[Anatomie]::N,žandikaulis,черлы
36,Kiefer[Anatomie]::N,žandikaulis,алака лы
37,Kiefer[Anatomie]::N,žandikaulis,вомкӧтш лы
38,Kiefer[Anatomie]::N,žandikaulis,žoklis
39,Kehle::N,gerklė,голя
40,Kehle::N,gerklė,rīkle
41,Hals::N,kaklas,сьылі
42,Hals::N,kaklas,kakls
43,Genick::N,sprandas,юрбӧр
44,Genick::N,sprandas,балябӧж
45,Genick::N,sprandas,sprands
46,Kopf::N,galva,юр
47,Kopf::N,galva,galva
48,Rücken::N,nugara,мыш
49,Rücken::N,nugara,mugura
50,Bauch::N,pilvas,рушку
51,Bauch::N,pilvas,vēders
52,Nabel::N,bamba,гӧг
53,Nabel::N,bamba,naba
54,Busen::N,krūtinė,морӧс
55,Busen::N,krūtinė,krūts
56,Brust::N,krūtis,морӧс
57,Brust::N,krūtis,krūts
58,Schulter::N,petys,пельпом
59,Schulter::N,petys,plecs
60,Arm::N,ranka,ки
61,Arm::N,ranka,roka
62,Arm::N,ranka,delms
63,Ellenbogen::N,alkūnė,гырддза
64,Ellenbogen::N,alkūnė,elkonis
65,Hand::N,ranka,ки
66,Hand::N,ranka,roka
67,Hand::N,ranka,plauksta
68,Hand::N,plaštaka,ки
69,Hand::N,plaštaka,roka
70,Hand::N,plaštaka,plauksta
71,Handfläche::N,delnas,ки пыдӧс
72,Handfläche::N,delnas,delna
73,Handfläche::N,delnas,plauksta
74,Handfläche::N,plaštaka,ки пыдӧс
75,Handfläche::N,plaštaka,delna
76,Handfläche::N,plaštaka,plauksta
77,Finger::N,pirštas,чунь
78,Finger::N,pirštas,pirksts
79,Fingernagel::N,nagas,гыж
80,Fingernagel::N,nagas,nags
81,Nagel[Anatomie]::N,nagas,гыж
82,Nagel[Anatomie]::N,nagas,nags
83,Zeh::N,pirštas,кок чунь
84,Zeh::N,pirštas,pirksts
85,Fuß::N,pėda,кок
86,Fuß::N,pėda,kāja
87,Ferse::N,kulnas,кокбӧр
88,Ferse::N,kulnas,papēdis
89,Knie::N,kelis,пидзӧс
90,Knie::N,kelis,celis
91,Oberschenkel::N,kulšis,лядьвей
92,Oberschenkel::N,kulšis,бек
93,Oberschenkel::N,kulšis,ciska
94,Oberschenkel::N,kulšis,augšstilbs
95,Oberschenkel::N,šlaunis,лядьвей
96,Oberschenkel::N,šlaunis,бек
97,Oberschenkel::N,šlaunis,ciska
98,Oberschenkel::N,šlaunis,augšstilbs
99,Bein::N,koja,кок
100,Bein::N,koja,kāja
101,Körper::N,kūnas,туша
102,Körper::N,kūnas,вывтыр
103,Körper::N,kūnas,miesa
104,Körper::N,kūnas,ķermenis
105,Haut::N,oda,ку
106,Haut::N,oda,āda
107,Blut::N,kraujas,вир
108,Blut::N,kraujas,asins
109,Ader::N,kraujagyslė,сӧн
110,Ader::N,kraujagyslė,asinsvads
111,Sehne::N,sausgyslė,вез
112,Sehne::N,sausgyslė,dzīsla
113,Knochen::N,kaulas,лы
114,Knochen::N,kaulas,kauls
115,Gehirn::N,smegenys,вем
116,Gehirn::N,smegenys,smadzenes
117,Herz::N,širdis,сьӧлӧм
118,Herz::N,širdis,sirds
119,Magen::N,skrandis,кынӧм
120,Magen::N,skrandis,kuņģis
121,Leber::N,kepenys,мус
122,Leber::N,kepenys,aknas
123,Atem::N,kvapas,лов
