,Concept_ID,ku,ku
0,Auge::N,çav,çav
1,Ohr::N,guh,guh
2,Nase::N,bêvil,bêvil
3,Mund::N,dev,dev
4,Zahn::N,didan,didan
5,Zunge::N,ziman,ziman
6,Lippe::N,lêv,lêv
7,Wange::N,dêm,dêm
8,Wange::N,dêm,hinarik
9,Wange::N,hinarik,dêm
10,Wange::N,hinarik,hinarik
11,Gesicht::N,rû,rû
12,Stirn::N,enî,enî
13,Haar::N,por,por
14,Schnurrbart::N,simbêl,simbêl
15,Bart::N,rih,rih
16,Kinn::N,zenî,zenî
17,Kiefer[Anatomie]::N,arguşk,arguşk
18,Kehle::N,qirik,qirik
19,Hals::N,stû,stû
20,Hals::N,stû,qirik
21,Hals::N,qirik,stû
22,Hals::N,qirik,qirik
23,Genick::N,stû,stû
24,Kopf::N,serî,serî
25,Rücken::N,pişt,pişt
26,Bauch::N,ûr,ûr
27,Bauch::N,ûr,zik
28,Bauch::N,zik,ûr
29,Bauch::N,zik,zik
30,Nabel::N,navik,navik
31,Busen::N,sîng,sîng
32,Brust::N,sîng,sîng
33,Schulter::N,mil,mil
34,Arm::N,çepil,çepil
35,Ellenbogen::N,enîşk,enîşk
36,Hand::N,dest,dest
37,Handfläche::N,kefadest,kefadest
38,Finger::N,tilî,tilî
39,Fingernagel::N,neynuk,neynuk
40,Nagel[Anatomie]::N,bizmar,bizmar
41,Zeh::N,tilî linga,tilî linga
42,Fuß::N,ling,ling
43,Ferse::N,pahnî,pahnî
44,Knie::N,kabok,kabok
45,Oberschenkel::N,rahn,rahn
46,Bein::N,çip,çip
47,Körper::N,laş,laş
48,Körper::N,laş,gowde
49,Körper::N,gowde,laş
50,Körper::N,gowde,gowde
51,Haut::N,çerm,çerm
52,Blut::N,xwîn,xwîn
53,Ader::N,reh,reh
54,Sehne::N,reh,reh
55,Knochen::N,hestî,hestî
56,Gehirn::N,mêjî,mêjî
57,Herz::N,dil,dil
58,Magen::N,navêş,navêş
59,Leber::N,kezeb,kezeb
60,Atem::N,hilm,hilm
61,Hunger::N,birçîtî,birçîtî
62,Träne::N,hêstir,hêstir
63,Geschmack::N,tam,tam
64,Geruch::N,bêhn,bêhn
65,Schlaf::N,xew,xew
66,Traum::N,xewn,xewn
67,Himmel::N,ezman,ezman
68,Sonne::N,roj,roj
69,Mond::N,heyv,heyv
70,Stern::N,stêrk,stêrk
71,Luft::N,ba,ba
72,Wind::N,ba,ba
73,Welle::N,şewl,şewl
74,Wasser::N,av,av
75,Stein::N,kevir,kevir
76,Boden::N,herd,herd
77,Erde::N,ax,ax
78,Staub::N,toz,toz
79,Rauch::N,dû,dû
80,Funke::N,çirûşk,çirûşk
81,Feuer::N,agir,agir
82,Licht::N,ronahî,ronahî
83,Schatten::N,sî,sî
84,Wetter::N,hewa,hewa
85,Nebel::N,mij,mij
86,Wolke::N,ewr,ewr
87,Regen::N,baran,baran
88,Schnee::N,berf,berf
89,Eis::N,qeşa,qeşa
90,Frost::N,xûsik,xûsik
91,Kälte::N,serma,serma
92,Hitze::N,germayî,germayî
93,Raureif::N,şext,şext
94,Regenbogen::N,heftreng,heftreng
95,Donner::N,gire-gir,gire-gir
96,Strömung::N,şewl,şewl
97,Tropfen::N,dilop,dilop
98,Schaum::N,kef,kef
99,Schmutz::N,gemar,gemar
100,See::N,gol,gol
101,Sumpf::N,hezek,hezek
102,Moor::N,mafêl,mafêl
