,Concept_ID,hr,fr
0,Auge::N,oko,œil
1,Ohr::N,uho,oreille
2,Nase::N,nos,nez
3,Mund::N,usta,bouche
4,Zahn::N,zub,dent
5,Zunge::N,jezik,langue
6,Lippe::N,usna,lèvre
7,Wange::N,obraz,joue
8,Gesicht::N,lice,face
9,Gesicht::N,lice,visage
10,Stirn::N,čelo,front
11,Haar::N,kosa,cheveu
12,Schnurrbart::N,brkovi,moustache
13,Bart::N,brada,barbe
14,Kinn::N,brada,menton
15,Kinn::N,podbradak,menton
16,Kiefer[Anatomie]::N,čeljust,mâchoire
17,Kehle::N,grlo,gorge
18,Hals::N,vrat,cou
19,Genick::N,zatiljak,nuque
20,Kopf::N,glava,tête
21,Rücken::N,leđa,dos
22,Rücken::N,hrbat,dos
23,Bauch::N,trbuh,ventre
24,Nabel::N,pupak,nombril
25,Busen::N,sisa,sein
26,Busen::N,njedra,sein
27,Brust::N,prsa,poitrine
28,Schulter::N,rame,épaule
29,Schulter::N,pleći,épaule
30,Arm::N,ruka,bras
31,Ellenbogen::N,lakat,coude
32,Hand::N,ruka,main
33,Handfläche::N,dlan,paume
34,Finger::N,prst,doigt
35,Fingernagel::N,nokat,ongle
36,Nagel[Anatomie]::N,nokat,ongle
37,Zeh::N,nozni prst,orteil
38,Zeh::N,nozni prst,doigt de pied
39,Fuß::N,noga,pied
40,Fuß::N,stopalo,pied
41,Ferse::N,peta,talon
42,Knie::N,koljeno,genou
43,Oberschenkel::N,bedro,cuisse
44,Bein::N,noga,jambe
45,Körper::N,tijelo,corps
46,Haut::N,put,peau
47,Haut::N,koža,peau
48,Blut::N,krv,sang
49,Ader::N,žila,veine
50,Sehne::N,tetiva,tendon
51,Knochen::N,kost,os
52,Herz::N,srce,cœur
53,Magen::N,stomak,estomac
54,Magen::N,želudac,estomac
55,Leber::N,jetra,foie
56,Atem::N,dah,haleine
57,Hunger::N,glad,faim
58,Träne::N,suza,larme
59,Geschmack::N,ukus,goût
60,Geschmack::N,ukus,saveur
61,Geruch::N,njuh,odeur
62,Geruch::N,miris,odeur
63,Schlaf::N,san,sommeil
64,Traum::N,san,songe
65,Himmel::N,nebo,ciel
66,Sonne::N,sunce,soleil
67,Mond::N,mjesec,lune
68,Stern::N,zvijezda,étoile
69,Luft::N,zrak,air
70,Wind::N,vjetar,vent
71,Welle::N,val,vague
72,Welle::N,talas,vague
73,Wasser::N,voda,eau
74,Stein::N,kamen,pierre
75,Boden::N,tlo,sol
76,Boden::N,tlo,terrain
77,Boden::N,zemlja,sol
78,Boden::N,zemlja,terrain
79,Erde::N,zemlja,terre
80,Staub::N,prah,poussière
81,Staub::N,prašina,poussière
82,Rauch::N,dim,fumée
83,Funke::N,iskra,étincelle
84,Funke::N,varnica,étincelle
85,Feuer::N,vatra,feu
86,Licht::N,svjetlo,lumière
87,Schatten::N,hlad,ombre
88,Schatten::N,sjena,ombre
89,Wetter::N,vrijeme,temps
90,Nebel::N,magla,brume
91,Nebel::N,magla,brouillard
92,Wolke::N,oblak,nuage
93,Regen::N,kiša,pluie
94,Schnee::N,snijeg,neige
95,Eis::N,led,glace
96,Frost::N,mraz,gel
97,Frost::N,mraz,gelée
98,Kälte::N,studen,froid
99,Kälte::N,hladnoća,froid
100,Hitze::N,vrućina,chaleur
101,Raureif::N,inje,givre
102,Regenbogen::N,duga,arc-en-ciel
103,Donner::N,grom,tonnerre
104,Donner::N,grmljavina,tonnerre
105,Strömung::N,struja,courant
106,Strömung::N,strujanje,courant
107,Tropfen::N,kap,goutte
108,Tropfen::N,kaplja,goutte
109,Schaum::N,pjena,écume
110,Schaum::N,pjena,mousse
111,Schmutz::N,nečistoća,boue
112,Schmutz::N,nečistoća,saleté
113,Schmutz::N,prljavština,boue
114,Schmutz::N,prljavština,saleté
115,See::N,jezero,lac
116,Sumpf::N,bara,marais
117,Sumpf::N,bara,marécage
118,Moor::N,močvara,tourbière
119,Wiese::N,livada,pré
120,Wald::N,šuma,bois
121,Wald::N,šuma,forêt
122,Hügel::N,brijeg,coteau
123,Hügel::N,brijeg,colline
124,Hügel::N,brežuljak,coteau
125,Hügel::N,brežuljak,colline
126,Anhöhe::N,uzvišica,éminence
127,Anhöhe::N,uzvišica,élévation
128,Berg::N,brdo,mont
129,Berg::N,brdo,montagne
130,Gipfel::N,vrh,cime
131,Gipfel::N,vrh,sommet
132,Höhle::N,pećina,caverne
133,Höhle::N,spilja,caverne
134,Abhang::N,obronak,pente
135,Abhang::N,obronak,versant
136,Abhang::N,nizbrdica,pente
137,Abhang::N,nizbrdica,versant
138,Quelle::N,izvor,source
139,Quelle::N,izvor,fontaine
140,Quelle::N,vrelo,source
141,Quelle::N,vrelo,fontaine
142,Bach::N,potok,ruisseau
143,Fluss::N,rijeka,fleuve
144,Fluss::N,rijeka,rivière
145,Ufer::N,obala,bord
146,Ufer::N,obala,rivage
