,Concept_ID,hy,mn
0,Auge::N,աչք,нүд
1,Ohr::N,ականջ,чих
2,Nase::N,քիթ,хамар
3,Mund::N,բերան,ам
4,Zahn::N,ատամ,шүд
5,Zunge::N,լեզու,хэл
6,Lippe::N,շրթունք,уруул
7,Wange::N,այտ,хацар
8,Wange::N,թուշ,хацар
9,Gesicht::N,դեմք,царай
10,Gesicht::N,դեմք,нүүр
11,Stirn::N,ճակատ,дух
12,Haar::N,մազ,үс
13,Schnurrbart::N,բեղ,дээд сахал
14,Schnurrbart::N,բեղ,живэр сахал
15,Bart::N,մորուք,сахал
16,Kinn::N,կզակ,эрүү
17,Kiefer[Anatomie]::N,ծնոտ,эрүү
18,Kehle::N,կոկորդ,хоолой
19,Hals::N,վիզ,хүзүү
20,Hals::N,պարանոց,хүзүү
21,Genick::N,ծոծրակ,шил
22,Genick::N,ծոծրակ,хүзүү
23,Kopf::N,գլուխ,толгой
24,Rücken::N,մեջք,ар
25,Rücken::N,մեջք,нуруу
26,Bauch::N,փոր,хэвлий
27,Bauch::N,փոր,гэдэс
28,Bauch::N,որովայն,хэвлий
29,Bauch::N,որովայն,гэдэс
30,Nabel::N,պորտ,хүйс
31,Busen::N,ծոց,хөх
32,Brust::N,կուրծք,цээж
33,Schulter::N,ուս,мөр
34,Schulter::N,ուս,бугалга
35,Arm::N,թեւ,гар
36,Arm::N,բազուկ,гар
37,Ellenbogen::N,արմունկ,тохой
38,Hand::N,ձեռք,гар
39,Hand::N,ձեռք,алга
40,Handfläche::N,ափ,алга
41,Finger::N,մատ,хуруу
42,Fingernagel::N,եղունգ,хурууны хумс
43,Nagel[Anatomie]::N,եղունգ,хумс
44,Zeh::N,ոտքի մատ,хуруу
45,Fuß::N,ոտք,хөл
46,Ferse::N,գարշապար,өсгий
47,Knie::N,ծունկ,өвдөг
48,Oberschenkel::N,ազդր,гуя
49,Bein::N,ոտք,хөл
50,Körper::N,մարմին,бие
51,Haut::N,մաշկ,арьс
52,Blut::N,արյուն,цус
53,Ader::N,երակ,судас
54,Sehne::N,ջիղ,бүлх
55,Sehne::N,ջիղ,шандас
56,Sehne::N,ձգտան,бүлх
57,Sehne::N,ձգտան,шандас
58,Knochen::N,ոսկոր,яс
59,Gehirn::N,խելք,тархи
60,Herz::N,սիրտ,зүрх
61,Magen::N,ստամոքս,ходоод
62,Leber::N,լյարդ,элэг
63,Atem::N,շունչ,амьсгаа
64,Hunger::N,քաղց,өлсгөлөн
65,Träne::N,արտասուք,нулимс
66,Geschmack::N,համ,амт
67,Geschmack::N,բուրմունք,амт
68,Geruch::N,հոտ,үнэр
69,Geruch::N,բուրում,үнэр
70,Schlaf::N,քուն,нойр
71,Traum::N,երազ,зүүд
72,Himmel::N,երկինք,тэнгэр
73,Himmel::N,երկինք,огторгуй
74,Sonne::N,արեւ,нар
75,Mond::N,լուսին,сар
76,Stern::N,աստղ,од
77,Luft::N,օդ,агаар
78,Wind::N,քամի,салхи
79,Welle::N,ալիք,долгио
80,Welle::N,ալիք,давалгаа
81,Wasser::N,ջուր,ус
82,Stein::N,քար,чулуу
83,Boden::N,գետին,хөрс
84,Erde::N,հող,газар
85,Erde::N,հող,шороо
86,Staub::N,փոշի,тоос
87,Rauch::N,ծուխ,утаа
88,Funke::N,կայծ,оч
89,Feuer::N,կրակ,гал
90,Feuer::N,հրդեհ,гал
91,Licht::N,լույս,гэрэл
92,Licht::N,լույս,гэгээ
93,Schatten::N,ստվեր,сүүдэр
94,Wetter::N,եղանակ,тэнгэр
95,Wetter::N,եղանակ,цаг уур
96,Nebel::N,մեգ,будан
97,Nebel::N,մառախուղ,будан
98,Wolke::N,ամպ,үүл
99,Regen::N,անձրև,бороо
100,Schnee::N,ձյուն,цас
101,Eis::N,սառույց,мөс
102,Frost::N,սառնամանիք,хүйт
103,Kälte::N,դող,хүйт
104,Hitze::N,շոգ,халуун
105,Raureif::N,ցօղեղեամ,цан
106,Raureif::N,ցօղեղեամ,хяруу
107,Regenbogen::N,ծիածան,солонго
108,Donner::N,որոտ,тэнгэрийн дуу
109,Strömung::N,հոսանք,урсгал
110,Tropfen::N,կաթիլ,дусал
111,Schaum::N,փրփուր,хөөс
112,Schmutz::N,կեղտ,хир
113,Schmutz::N,կեղտ,шавхай
114,See::N,լիճ,нуур
115,Sumpf::N,ճահիճ,намаг
116,Sumpf::N,ճահիճ,балчиг
117,Moor::N,ճահիճ,хүлрийн намаг
118,Wiese::N,մարգագետին,нуга
119,Wald::N,անտառ,ой
120,Hügel::N,բլուր,болдог
121,Anhöhe::N,բարձունք,гүвээ
122,Berg::N,լեռ,уул
123,Gipfel::N,գագաթ,орой
124,Gipfel::N,գագաթ,оргил
125,Gipfel::N,կատար,орой
126,Gipfel::N,կատար,оргил
127,Höhle::N,քարայր,агуй
128,Abhang::N,լանջ,хүр
129,Abhang::N,զառիվայր,хүр
130,Quelle::N,աղբյուր,булаг
131,Bach::N,վտակ,горхи
132,Fluss::N,գետ,гол
133,Fluss::N,գետ,мөрөн
134,Ufer::N,ծովափ,эрэг
135,Küste::N,ափ,эрэг
136,Küste::N,ծովափ,эрэг
137,Festland::N,ցամաք,хуурай газар
138,Meer::N,ծով,далай
139,Meer::N,ծով,тэнгис
140,Bucht::N,հաչիւն,булан
141,Bucht::N,հաչիւն,далайн тохой
142,Insel::N,վղզի,арал
143,Blume::N,ծաղիկ,цэцэг
144,Gras::N,խոտ,өвс
145,Gras::N,խոտ,ногоо
146,Wurzel::N,արմատ,үндэс
147,Baum::N,ծառ,мод
148,Stamm::N,իրան,иш
149,Stamm::N,իրան,гуалин
150,Rinde::N,կեղեւ,холтос
151,Rinde::N,հաչոց,холтос
152,Ast::N,ճյուղ,гишүү
153,Zweig::N,ճյուղ,салаа
154,Blatt::N,տերեւ,навч
155,Birke::N,ցարասի,хус
156,Kiefer[Baum]::N,սոճի,нарс
157,Weide[Baum]::N,ուռենի,уд
158,Weide[Baum]::N,ուռենի,бургас
159,Tanne::N,եղեւին,гачуур
160,Feder::N,փետուր,өд
161,Fell::N,մորթի,арьс
162,Flügel::N,թեւ,жигүүр
163,Flügel::N,թեւ,далавч
164,Klaue::N,չանչ,савар
165,Klaue::N,չանչ,хумс
166,Kralle::N,ճանկ,савар
167,Schwanz::N,պոչ,сүүл
