,Concept_ID,ady,ady
0,Auge::N,нэ,нэ
1,Ohr::N,тхьакӏу́м,тхьакӏу́м
2,Nase::N,пэ,пэ
3,Mund::N,жэ,жэ
4,Zahn::N,цэ,цэ
5,Zunge::N,бзэгу,бзэгу
6,Lippe::N,ӏупшӏэ́,ӏупшӏэ́
7,Wange::N,нэкӏу́шъу,нэкӏу́шъу
8,Gesicht::N,нэ́гу,нэ́гу
9,Stirn::N,натӏэ́,натӏэ́
10,Haar::N,шъхьацы́,шъхьацы́
11,Bart::N,жакӏэ́,жакӏэ́
12,Kinn::N,жэкӏэпэпкъ,жэкӏэпэпкъ
13,Kiefer[Anatomie]::N,жэпкъы́,жэпкъы́
14,Kehle::N,чый,чый
15,Hals::N,пшъэ,пшъэ
16,Genick::N,шъхьэпхэтыку,шъхьэпхэтыку
17,Kopf::N,шъхьэ́,шъхьэ́
18,Rücken::N,кӏыбы́,кӏыбы́
19,Bauch::N,ныбэ́,ныбэ́
20,Busen::N,бгъэ́,бгъэ́
21,Brust::N,бгъэ́,бгъэ́
22,Schulter::N,блыпкъ,блыпкъ
23,Arm::N,ӏэ,ӏэ
24,Ellenbogen::N,ӏэнтэ́гъу,ӏэнтэ́гъу
25,Hand::N,ӏэтхьэцу,ӏэтхьэцу
26,Handfläche::N,ӏэ́гу,ӏэ́гу
27,Finger::N,ӏэхъуа́мб,ӏэхъуа́мб
28,Fingernagel::N,ӏэбжъа́н,ӏэбжъа́н
29,Nagel[Anatomie]::N,ӏэбжъа́н,ӏэбжъа́н
30,Zeh::N,ӏэхъуа́мб,ӏэхъуа́мб
31,Fuß::N,лъэгу,лъэгу
32,Ferse::N,лъэдакъэ,лъэдакъэ
33,Knie::N,лъагуа́ндж,лъагуа́ндж
34,Oberschenkel::N,ко,ко
35,Bein::N,лъакъо́,лъакъо́
36,Körper::N,пкъышъол,пкъышъол
37,Haut::N,кӏы́шъу,кӏы́шъу
38,Blut::N,лъы,лъы
39,Ader::N,льытф,льытф
40,Sehne::N,фэ,фэ
41,Knochen::N,къупшъхьэ́,къупшъхьэ́
42,Gehirn::N,куцӏы,куцӏы
43,Herz::N,гу,гу
44,Magen::N,мышкӏу,мышкӏу
45,Leber::N,шӏу,шӏу
46,Atem::N,къэщэныр,къэщэныр
47,Hunger::N,гъаблэ́,гъаблэ́
48,Träne::N,нэпсы,нэпсы
49,Geschmack::N,ӏэшӏугъа́кӏ,ӏэшӏугъа́кӏ
50,Geruch::N,мэ,мэ
51,Schlaf::N,пчыхьы́пӏ,пчыхьы́пӏ
52,Traum::N,пчыхьы́пӏ,пчыхьы́пӏ
53,Himmel::N,уашъо́,уашъо́
54,Sonne::N,тыгъэ,тыгъэ
55,Mond::N,мазэ,мазэ
56,Stern::N,жъуагъо́,жъуагъо́
57,Luft::N,жьы,жьы
58,Wind::N,жьыбгъэ́,жьыбгъэ́
59,Welle::N,ор,ор
60,Welle::N,ор,оры
61,Welle::N,оры,ор
62,Welle::N,оры,оры
63,Wasser::N,псы,псы
64,Stein::N,мыжъо́,мыжъо́
65,Boden::N,чӏ́ыгу,чӏ́ыгу
66,Erde::N,чӏ́ыгу,чӏ́ыгу
67,Staub::N,сап,сап
68,Rauch::N,ӏугъо́,ӏугъо́
69,Funke::N,мэшӏуа́ч,мэшӏуа́ч
70,Feuer::N,машӏо́,машӏо́
71,Licht::N,нэфы,нэфы
72,Licht::N,нэфы,нэфын
73,Licht::N,нэфын,нэфы
74,Licht::N,нэфын,нэфын
75,Schatten::N,жьау́,жьау́
76,Schatten::N,жьау́,ныбжьыкъу
77,Schatten::N,ныбжьыкъу,жьау́
78,Schatten::N,ныбжьыкъу,ныбжьыкъу
79,Nebel::N,пща́гъу,пща́гъу
80,Wolke::N,ошъуапщэ,ошъуапщэ
81,Regen::N,ощхы,ощхы
82,Schnee::N,осы́,осы́
83,Eis::N,мылы,мылы
84,Kälte::N,чъыӏэ́,чъыӏэ́
85,Hitze::N,фэба́е,фэба́е
86,Regenbogen::N, лэгъупэкъо́пс, лэгъупэкъо́пс
87,Donner::N,шыблэ́,шыблэ́
88,Strömung::N,ток,ток
89,Tropfen::N,ткӏопс,ткӏопс
90,Tropfen::N,ткӏопс,гъуаткӏу
91,Tropfen::N,гъуаткӏу,ткӏопс
92,Tropfen::N,гъуаткӏу,гъуаткӏу
93,Schaum::N,тхъурбэ,тхъурбэ
94,Schmutz::N,псынжъы,псынжъы
95,See::N,хыку́м,хыку́м
96,See::N,хыку́м,псыхъура́й
97,See::N,псыхъура́й,хыку́м
98,See::N,псыхъура́й,псыхъура́й
99,Sumpf::N,орыжъ,орыжъ
100,Moor::N,орыжъ,орыжъ
101,Wiese::N,хъупӏэ́,хъупӏэ́
102,Wiese::N,хъупӏэ́,мэкъупӏ
103,Wiese::N,мэкъупӏ,хъупӏэ́
104,Wiese::N,мэкъупӏ,мэкъупӏ
105,Wald::N,мэзы́,мэзы́
106,Hügel::N,ӏуашъхь,ӏуашъхь
