,Concept_ID,en,da
0,Auge::N,eye,øje
1,Ohr::N,ear,øre
2,Nase::N,nose,næse
3,Mund::N,mouth,mund
4,Zahn::N,tooth,tand
5,Zunge::N,tongue,tunge
6,Lippe::N,lip,læbe
7,Wange::N,cheek,kind
8,Gesicht::N,face,ansigt
9,Stirn::N,forehead,pande
10,Haar::N,hair,hår
11,Schnurrbart::N,moustache,overskæg
12,Bart::N,beard,skæg
13,Kinn::N,chin,hage
14,Kiefer[Anatomie]::N,jaw,kæbe
15,Kehle::N,throat,strube
16,Hals::N,neck,hals
17,Genick::N,nape,nakke
18,Kopf::N,head,hoved
19,Rücken::N,back,ryg
20,Rücken::N,spine,ryg
21,Bauch::N,belly,mave
22,Nabel::N,navel,navle
23,Busen::N,bosom,barm
24,Brust::N,chest,bryst
25,Brust::N,breast,bryst
26,Schulter::N,shoulder,skulder
27,Arm::N,arm,arm
28,Ellenbogen::N,elbow,albue
29,Hand::N,hand,hånd
30,Handfläche::N,palm,håndflade
31,Finger::N,finger,finger
32,Fingernagel::N,fingernail,fingernegl
33,Nagel[Anatomie]::N,nail,negl
34,Zeh::N,toe,tå
35,Fuß::N,foot,fod
36,Ferse::N,heel,hæl
37,Knie::N,knee,knæ
38,Oberschenkel::N,thigh,lår
39,Bein::N,leg,ben
40,Körper::N,body,krop
41,Körper::N,body,legeme
42,Haut::N,skin,hud
43,Blut::N,blood,blod
44,Ader::N,vein,åre
45,Sehne::N,sinew,sene
46,Knochen::N,bone,ben
47,Gehirn::N,brain,hjerne
48,Herz::N,heart,hjerte
49,Magen::N,stomach,mave
50,Leber::N,liver,lever
51,Atem::N,breath,ånde
52,Hunger::N,hunger,sult
53,Träne::N,tear,tåre
54,Geschmack::N,flavour,smag
55,Geschmack::N,flavor,smag
56,Geruch::N,odour,lugt
57,Geruch::N,odor,lugt
58,Schlaf::N,sleep,søvn
59,Traum::N,dream,drøm
60,Himmel::N,sky,himmel
61,Sonne::N,sun,sol
62,Mond::N,moon,måne
63,Stern::N,star,stjerne
64,Luft::N,air,luft
65,Wind::N,wind,vind
66,Welle::N,wave,bølge
67,Wasser::N,water,vand
68,Stein::N,stone,sten
69,Boden::N,soil,jord
70,Boden::N,ground,jord
71,Erde::N,earth,jord
72,Staub::N,dust,støv
73,Rauch::N,smoke,røg
74,Funke::N,spark,gnist
75,Feuer::N,fire,ild
76,Licht::N,light,lys
77,Schatten::N,shadow,skygge
78,Wetter::N,weather,vejr
79,Nebel::N,fog,tåge
80,Wolke::N,cloud,sky
81,Regen::N,rain,regn
82,Schnee::N,snow,sne
83,Eis::N,ice,is
84,Frost::N,frost,frost
85,Kälte::N,chill,kulde
86,Hitze::N,heat,hede
87,Raureif::N,hoarfrost,rimfrost
88,Regenbogen::N,rainbow,regnbue
89,Donner::N,thunder,torden
90,Strömung::N,current,strømning
91,Tropfen::N,drop,dråbe
92,Schaum::N,foam,skum
93,Schmutz::N,dirt,snavs
94,See::N,lake,sø
95,Sumpf::N,swamp,sump
96,Moor::N,moor,mose
97,Wiese::N,meadow,eng
98,Wald::N,forest,skov
99,Hügel::N,hill,høj
100,Hügel::N,hill,bakke
101,Anhöhe::N,elevation,høj
102,Anhöhe::N,elevation,bakke
103,Berg::N,mountain,bjerg
104,Gipfel::N,summit,top
105,Höhle::N,cave,hule
106,Abhang::N,slope,skrænt
107,Abhang::N,slope,skråning
108,Quelle::N,source,kilde
109,Bach::N,brook,bæk
110,Fluss::N,river,flod
111,Ufer::N,shore,bred
112,Küste::N,coast,kyst
113,Festland::N,land,fastland
114,Meer::N,sea,hav
115,Bucht::N,cove,bugt
116,Insel::N,island,ø
117,Blume::N,flower,blomst
118,Gras::N,grass,græs
119,Wurzel::N,root,rod
120,Baum::N,tree,træ
121,Stamm::N,trunk,stamme
122,Rinde::N,bark,bark
123,Ast::N,limb,gren
124,Zweig::N,branch,kvist
125,Blatt::N,leaf,blad
126,Birke::N,birch,birk
127,Kiefer[Baum]::N,pine,fyrretræ
128,Weide[Baum]::N,willow,piletræ
129,Tanne::N,fir,gran
130,Horn::N,horn,horn
131,Feder::N,feather,fjer
132,Fell::N,fur,skind
133,Flügel::N,wing,vinge
134,Klaue::N,claw,klov
135,Kralle::N,claw,klo
136,Schwanz::N,tail,hale
137,Ei::N,egg,æg
138,Nest::N,nest,rede
139,Bau::N,lair,bo
140,Tier::N,animal,dyr
141,Herde::N,flock,flok
142,Kuh::N,cow,ko
143,Bulle::N,bull,tyr
144,Pferd::N,horse,hest
145,Schaf::N,sheep,får
146,Schwein::N,pig,gris
147,Hund::N,dog,hund
148,Katze::N,cat,kat
149,Bär::N,bear,bjørn
150,Eichhörnchen::N,squirrel,egern
151,Elch::N,elk,elg
152,Fuchs::N,fox,ræv
153,Hase::N,hare,hare
154,Maus::N,mouse,mus
155,Wolf::N,wolf,ulv
156,Vogel::N,bird,fugl
157,Schwarm::N,swarm,sværm
158,Huhn::N,chicken,høne
159,Hahn::N,cock,hane
160,Gans::N,goose,gås
161,Adler::N,eagle,ørn
