,Concept_ID,kl,hi
0,Auge::N,isi,आँख
1,Auge::N,isi,चक्षु
2,Ohr::N,siut,कान
3,Ohr::N,siut,कर्ण
4,Mund::N,paaq,मुख
5,Mund::N,paaq,मुँह
6,Mund::N,qaneq,मुख
7,Mund::N,qaneq,मुँह
8,Zahn::N,kigut,दंत
9,Zahn::N,kigut,दाँत
10,Zunge::N,oqaq,जीभ
11,Zunge::N,oqaq,ज़बान
12,Zunge::N,oqaq,जिह्वा
13,Lippe::N,qarloq,ओंठ
14,Lippe::N,qarloq,होंठ
15,Wange::N,ersaq,गाल
16,Wange::N,ersaq,कपोल
17,Gesicht::N,kiinaq,मुँह
18,Gesicht::N,kiinaq,चेहरा
19,Stirn::N,qaaq,माथा
20,Stirn::N,qaaq,मस्तक
21,Haar::N,meqqoq,बाल
22,Bart::N,umik,दाढ़ी
23,Kinn::N,talloq,चिबुक
24,Kiefer[Anatomie]::N,alleroq,जबड़ा
25,Kehle::N,malaq,गला
26,Hals::N,qungaseq,गला
27,Hals::N,qungaseq,गरदन
28,Genick::N,pukusuk,गरदन
29,Genick::N,pukusuk,ग्रीवा
30,Kopf::N,niaqoq,सिर
31,Kopf::N,niaqoq,शीर्ष
32,Rücken::N,qimerlut,पीठ
33,Bauch::N,naaq,उदर
34,Nabel::N,qalaseq,नाभि
35,Nabel::N,qalaseq,ढोंढी
36,Busen::N,iviangeq,कुच
37,Busen::N,iviangeq,स्तन
38,Brust::N,iviangeq,वक्ष
39,Schulter::N,ersik,कंधा
40,Schulter::N,ersik,स्कंध
41,Schulter::N,assaqqoq,कंधा
42,Schulter::N,assaqqoq,स्कंध
43,Arm::N,taleq,बाँह
44,Arm::N,taleq,बाज़ू
45,Ellenbogen::N,ikusik,कुहनी
46,Hand::N,assak,हाथ
47,Hand::N,assak,हस्त
48,Handfläche::N,itumak,हथेली
49,Finger::N,inuak,उँगली
50,Finger::N,inuak,अँगुली
51,Fingernagel::N,kikiak,नख
52,Fingernagel::N,kikiak,नाख़ून
53,Nagel[Anatomie]::N,kukik,नख
54,Nagel[Anatomie]::N,kukik,नाख़ून
55,Zeh::N,isigak,उँगली
56,Zeh::N,isigak,पाँव की उँगली
