,Concept_ID,ja,os
0,Auge::N,目,цӕст
1,Ohr::N,耳,хъус
2,Nase::N,鼻,фындз
3,Mund::N,口,дзых
4,Zahn::N,歯,дӕндаг
5,Zunge::N,舌,ӕвзаг
6,Lippe::N,唇,был
7,Wange::N,頬,рус
8,Wange::N,頬,уадул
9,Wange::N,頬,ӕхсӕрфарс
10,Gesicht::N,顔,цӕсгом
11,Stirn::N,額,ных
12,Haar::N,髪,хил
13,Schnurrbart::N,口髭,рихи
14,Bart::N,髭,зачъе
15,Kinn::N,顎,роцъо
16,Kiefer[Anatomie]::N,顎,ӕфсӕр
17,Kehle::N,喉,хъуыр
18,Hals::N,首,къубал
19,Genick::N,首,къӕбут
20,Kopf::N,頭,сӕр
21,Rücken::N,背中,фӕсонтӕ
22,Bauch::N,腹,гуыбын
23,Bauch::N,お腹,гуыбын
24,Nabel::N,へそ,бикъ
25,Busen::N,乳房,дзидзи
26,Brust::N,胸,риу
27,Schulter::N,肩,уӕхск
28,Arm::N,腕,цонг
29,Ellenbogen::N,肘,рæмбын
30,Hand::N,手,къух
31,Handfläche::N,手のひら,армытъӕпӕн
32,Finger::N,指,ӕнруылдз
33,Fingernagel::N,爪,ных
34,Nagel[Anatomie]::N,爪,ных
35,Zeh::N,足の指,къух
36,Fuß::N,足,фад
37,Ferse::N,かかと,зӕвӕт
38,Knie::N,膝,уӕраг
39,Oberschenkel::N,上腿,агъд
40,Bein::N,足,зӕнг
41,Körper::N,体,буар
42,Haut::N,皮膚,царм
43,Blut::N,血,туг
44,Ader::N,血管,дадзин
45,Ader::N,血管,тугдадзин
46,Sehne::N,腱,хъиутæ
47,Sehne::N,腱,нуар
48,Knochen::N,骨,стӕг
49,Gehirn::N,脳,магъз
50,Herz::N,心,зӕрдӕ
51,Herz::N,心臓,зӕрдӕ
52,Magen::N,胃,ахсӕн
53,Leber::N,肝臓,игæр
54,Atem::N,息,улӕфт
55,Atem::N,呼吸,улӕфт
56,Hunger::N,空腹,стонг
57,Träne::N,涙,цæссыг
58,Geschmack::N,味,ад
59,Geruch::N,匂い,смаг
60,Schlaf::N,睡眠,хуыссӕг
61,Traum::N,夢,фын
62,Himmel::N,空,арв
63,Himmel::N,空,уӕларв
64,Sonne::N,太陽,хур
65,Mond::N,月,мӕй
66,Stern::N,星,стъалы
67,Luft::N,空気,уӕлдӕф
68,Wind::N,風,дымгӕ
69,Welle::N,波,уылӕн
70,Wasser::N,水,дон
71,Stein::N,石,дур
72,Boden::N,土地,зӕхх
73,Erde::N,土,сыджыт
74,Staub::N,埃,рыг
75,Rauch::N,煙,фӕздӕг
76,Funke::N,火花,цӕхӕр
77,Feuer::N,火,зынг
78,Licht::N,光,рухс
79,Schatten::N,陰,аууон
80,Wetter::N,天気,боныхъӕд
81,Nebel::N,霧,мигъ
82,Wolke::N,雲,ӕврагъ
83,Regen::N,雨,уарын
84,Schnee::N,雪,мит
85,Eis::N,氷,их
86,Frost::N,霜,ихæн
87,Kälte::N,寒さ,уазал
88,Hitze::N,暑さ,ӕнтӕф
89,Raureif::N,霧氷,халас
90,Regenbogen::N,虹,арвырон
91,Regenbogen::N,虹,арвырдын
92,Donner::N,雷,æрвнæрын
93,Strömung::N,流れ,цыд
94,Tropfen::N,滴,æртах
95,Schaum::N,泡,фынк
96,Schmutz::N,汚れ,цъыф
97,See::N,湖,цад
98,Sumpf::N,沼,цъыфдзаст
99,Moor::N,湿原,цъыфдзаст
100,Wiese::N,草原,уыгӕрдӕн
101,Wald::N,森,хъӕд
102,Hügel::N,丘,обау
103,Hügel::N,丘,къуыбыр
104,Anhöhe::N,高み,уæлвæз
105,Anhöhe::N,高み,уæлхох
106,Berg::N,山,хох
107,Gipfel::N,頂上,цъупп
108,Höhle::N,洞窟,лӕгӕт
109,Abhang::N,斜面,къул
110,Quelle::N,泉,суадон
111,Bach::N,小川,мӕсчъыдон
112,Fluss::N,川,дон
113,Fluss::N,川,цӕугӕдон
114,Ufer::N,岸,был
115,Küste::N,海岸,донбыл
116,Festland::N,陸,сурзæхх
117,Meer::N,海,денджыз
118,Bucht::N,湾,донбакæлæн
119,Insel::N,島,сакъадах
120,Blume::N,花,дидинӕг
121,Gras::N,草,кӕрдӕг
122,Wurzel::N,根,уидаг
123,Baum::N,木,бӕлас
124,Stamm::N,幹,хӕтӕл
125,Rinde::N,皮層,цъар
126,Ast::N,枝,арх
127,Zweig::N,小枝,къалиу
128,Blatt::N,葉,сыф
129,Birke::N,樺,бæрз
130,Kiefer[Baum]::N,松,нӕзы
131,Weide[Baum]::N,柳,хӕрис
132,Tanne::N,樅,наз
133,Horn::N,角,сыкъа
134,Feder::N,羽根,сис
135,Fell::N,毛皮,царм
136,Flügel::N,羽,базыр
137,Klaue::N,鉤爪,ных
138,Kralle::N,爪,дзӕмбы
139,Schwanz::N,尻尾,къӕдзил
140,Ei::N,卵,айк
141,Nest::N,巣,ахстон
142,Bau::N,穴,хуынкъ
143,Tier::N,動物,сырд
144,Tier::N,動物,цӕрӕгой
145,Herde::N,群れ,дзуг
146,Herde::N,群れ,рӕгъау
147,Kuh::N,牛,хъуг
