,Concept_ID,ab,se
0,Auge::N,ала,tjelmie
1,Auge::N,ала,tjalmme
2,Auge::N,ала,čalbmi
3,Auge::N,ала,čalme
4,Auge::N,ала,čâ´lmm
5,Auge::N,ала,ча̄лльм
6,Ohr::N,алымҳа,bieljie
7,Ohr::N,алымҳа,biellje
8,Ohr::N,алымҳа,beallji
9,Ohr::N,алымҳа,pelji
10,Ohr::N,алымҳа,pe´llj
11,Ohr::N,алымҳа,пе̄лльй
12,Nase::N,аҧынҵа,njuenie
13,Nase::N,аҧынҵа,njunnje
14,Nase::N,аҧынҵа,njunni
15,Nase::N,аҧынҵа,njuṇe
16,Nase::N,аҧынҵа,njuu´nn
17,Nase::N,аҧынҵа,нюннҍ
18,Mund::N,аҧышə,njaelmie
19,Mund::N,аҧышə,njálmme
20,Mund::N,аҧышə,njálbmi
21,Mund::N,аҧышə,njälmi
22,Mund::N,аҧышə,njä´lmm
23,Mund::N,аҧышə,ня̄лльм
24,Zahn::N,ахаҧыц,baenie
25,Zahn::N,ахаҧыц,bádne
26,Zahn::N,ахаҧыц,bátni
27,Zahn::N,ахаҧыц,pääṇi
28,Zahn::N,ахаҧыц,pää´nn
29,Zahn::N,ахаҧыц,па̄ннҍ
30,Zunge::N,абз,njoektjeme
31,Zunge::N,абз,njuovtjav
32,Zunge::N,абз,njuovčča
33,Zunge::N,абз,njuovčâ
34,Zunge::N,абз,njuhččâm
35,Zunge::N,абз,нюхчем
36,Lippe::N,ақьышə,bangseme
37,Lippe::N,ақьышə,njálmmerabdda
38,Lippe::N,ақьышə,bavssa
39,Lippe::N,ақьышə,poovsâ
40,Lippe::N,ақьышə,põõus
41,Lippe::N,ақьышə,пэ̄кс
42,Wange::N,аӡамҩа,skiehrie
43,Wange::N,аӡамҩа,nierra
44,Wange::N,аӡамҩа,muohtu
45,Wange::N,аӡамҩа,nieṛâ
46,Wange::N,аӡамҩа,njiõrr
47,Wange::N,аӡамҩа,нӣрр
48,Gesicht::N,аҿы,ååredæjja
49,Gesicht::N,аҿы,muohto
50,Gesicht::N,аҿы,muođut
51,Gesicht::N,аҿы,ámadadju
52,Gesicht::N,аҿы,muáđuh
53,Gesicht::N,аҿы,muâđ
54,Gesicht::N,аҿы,ка̄ссв
55,Stirn::N,алахь,gaalloe
56,Stirn::N,алахь,gállo
57,Stirn::N,алахь,gállu
58,Stirn::N,алахь,kállu
59,Stirn::N,алахь,käll
60,Stirn::N,алахь,вуэххьц
61,Haar::N,ахəыц,voepte
62,Haar::N,ахəыц,vuoppta
63,Haar::N,ахəыц,vuokta
64,Haar::N,ахəыц,vuop'tâ
65,Haar::N,ахəыц,vuõpt
66,Haar::N,ахəыц,вӯппт
67,Schnurrbart::N,аҧаҵа,bijjie-skaavtjoe
68,Schnurrbart::N,аҧаҵа,njunjevuolskávttjá
69,Schnurrbart::N,аҧаҵа,seamu
70,Schnurrbart::N,аҧаҵа,siämu
71,Schnurrbart::N,аҧаҵа,ää´bben
72,Schnurrbart::N,аҧаҵа,о̄а̄бпан
73,Bart::N,ажакьа,skaavtja
74,Bart::N,ажакьа,skaavtjoe
75,Bart::N,ажакьа,skávttjá
76,Bart::N,ажакьа,seamu
77,Bart::N,ажакьа,siämu
78,Bart::N,ажакьа,seäm
79,Bart::N,ажакьа,ся̄м
80,Kinn::N,ацламкəыгə,gaejpie
81,Kinn::N,ацламкəыгə,gájbbe
82,Kinn::N,ацламкəыгə,gáibi
83,Kinn::N,ацламкəыгə,käibi
84,Kinn::N,ацламкəыгə,käi´bb
85,Kinn::N,ацламкəыгə,ка̄ййп
86,Kiefer[Anatomie]::N,ацламҳəа,gaejpie
87,Kiefer[Anatomie]::N,ацламҳəа,oalol
88,Kiefer[Anatomie]::N,ацламҳəа,oaloldákte
89,Kiefer[Anatomie]::N,ацламҳəа,gáibi
90,Kiefer[Anatomie]::N,ацламҳəа,uá'lultähti
91,Kiefer[Anatomie]::N,ацламҳəа,vuâl'lõš
92,Kiefer[Anatomie]::N,ацламҳəа,вуаллнешш
93,Kehle::N,ахəда,gealoe
94,Kehle::N,ахəда,tjåttå
95,Kehle::N,ахəда,njiello
96,Kehle::N,ахəда,čotta
97,Kehle::N,ахəда,čuudâ
98,Kehle::N,ахəда,čoodd
99,Kehle::N,ахəда,чонт
100,Kehle::N,ахəда,кэ̄ҏс
101,Hals::N,ахəда,tjeapohke
102,Hals::N,ахəда,tjiebet
103,Hals::N,ахəда,čeabet
104,Hals::N,ахəда,čiäppát
105,Hals::N,ахəда,čeäppat
106,Hals::N,ахəда,ча̄пэх
107,Genick::N,ахəдаџьал,tjovrese
108,Genick::N,ахəдаџьал,nisske
109,Genick::N,ахəдаџьал,niehkki
110,Genick::N,ахəдаџьал,niski
111,Genick::N,ахəдаџьал,niek'ki
112,Genick::N,ахəдаџьал,nji´šǩǩmaadd
113,Genick::N,ахəдаџьал,нышшькмоант
114,Kopf::N,ахы,åejjie
115,Kopf::N,ахы,oajvve
116,Kopf::N,ахы,oaivi
117,Kopf::N,ахы,uái'vi
118,Kopf::N,ахы,vuei´vv
119,Kopf::N,ахы,вуэййв
120,Rücken::N,азқəа,rudtje
121,Rücken::N,азқəа,hárddo
122,Rücken::N,азқəа,tjavelk
123,Rücken::N,азқəа,sealgi
124,Rücken::N,азқəа,selgi
125,Rücken::N,азқəа,čielgi
126,Rücken::N,азқəа,seä´lǧǧ
127,Rücken::N,азқəа,се̄лльк
128,Bauch::N,амгəа,tjåejjie
129,Bauch::N,амгəа,tjoajvve
130,Bauch::N,амгəа,čoavji
131,Bauch::N,амгəа,čuáv'ji
132,Bauch::N,амгəа,čåu´jj
133,Bauch::N,амгəа,чо̄ввьй
134,Nabel::N,аҷапан,naepie
135,Nabel::N,аҷапан,náhpe
136,Nabel::N,аҷапан,náhpi
137,Nabel::N,аҷапан,nääpi
138,Nabel::N,аҷапан,nää´pp
139,Nabel::N,аҷапан,на̄бпь
140,Busen::N,агəыҧҳəы,boenge
141,Busen::N,агəыҧҳəы,bållå
142,Busen::N,агəыҧҳəы,čižži
143,Busen::N,агəыҧҳəы,njamma
