,Concept_ID,kk,mrj
0,Auge::N,көз,сӹнзӓ
1,Ohr::N,құлақ,пӹлӹш
2,Nase::N,мұрын,нер
3,Mund::N,ауыз,ышма
4,Zahn::N,тіс,пӱ
5,Zunge::N,тіл,йӹлмӹ
6,Lippe::N,ерін,тӹрвӹ
7,Wange::N,ұрт,шӹргӹ
8,Gesicht::N,бет-аузы,лицӓ
9,Stirn::N,маңдай,лепкӓ
10,Haar::N,қыл,ӱп
11,Schnurrbart::N,мұрт,öрш
12,Bart::N,сақал,пандаш
13,Kinn::N,иек,онгылаш
14,Kiefer[Anatomie]::N,жақ,пӱ арата
15,Kehle::N,алқым,логер
16,Hals::N,мойын,шӱ
17,Genick::N,желке,ланга
18,Kopf::N,кәллә,вуй
19,Rücken::N,арқа,туп
20,Bauch::N,қарын,мӹшкӹр
21,Nabel::N,кіндік,кӹлӹмдӹ
22,Busen::N,омырау,цӹзӹ
23,Brust::N,кеуде,мел
24,Schulter::N,иық,ӹнгӹжӓ
25,Arm::N,қол,кид
26,Ellenbogen::N,шынтақ,кӹнервуй
27,Hand::N,қол,лапа
28,Handfläche::N,алақан,кид лапа
29,Finger::N,саусақ,парня
30,Fingernagel::N,тырнақ,кӹч
31,Nagel[Anatomie]::N,тырнақ,кӹч
32,Zeh::N,тырнақ,парня
33,Zeh::N,тұяқ,парня
34,Fuß::N,аяқ-басы,ял лапа
35,Ferse::N,өкше,ялгавал
36,Ferse::N,өкше,ял кавал
37,Ferse::N,өкшелік,ялгавал
38,Ferse::N,өкшелік,ял кавал
39,Knie::N,тізе,пылвуй
40,Oberschenkel::N,жамбас,ӓрдӹ
41,Bein::N,аяқ,ял
42,Körper::N,дене,монгыр
43,Haut::N,тері,кавашты
44,Blut::N,қан,вӹр
45,Ader::N,көктамыр,вӹршӓр
46,Ader::N,күретамыр,вӹршӓр
47,Sehne::N,сіңір,кукшышӱн
48,Knochen::N,жілік,лу
49,Gehirn::N,ми,вим
50,Herz::N,жүрек,шӱм
51,Magen::N,асқазан,шӱм
52,Leber::N,бауыр,мокш
53,Atem::N,леп,шӱлӹш
54,Hunger::N,ашаршылық,шужымаш
55,Träne::N,жас,сӹнзӓвӹд
56,Geschmack::N,дәм,тот
57,Geschmack::N,татым,тот
58,Geschmack::N,талғам,тот
59,Geruch::N,иіс,пыш
60,Schlaf::N,ұйқы,ом
61,Schlaf::N,ұйықтау,ом
62,Traum::N,түс,ом
63,Himmel::N,аспан,пӹлгом
64,Himmel::N,көқ,пӹлгом
65,Himmel::N,таңдай,пӹлгом
66,Sonne::N,күн,кечӹ
67,Mond::N,ай,тӹлзӹ
68,Stern::N,жұлдыз,шӹдӹр
69,Luft::N,әуе,юж
70,Luft::N,әуе,воздух
71,Wind::N,жел,мардеж
72,Welle::N,толқын,ко
73,Welle::N,толқын,коэ
74,Wasser::N,су,вӹд
75,Stein::N,тас,кӱ
76,Boden::N,қыртыс,рок
77,Erde::N,топырақ,свет
78,Staub::N,шаң,пырак
79,Rauch::N,түтін,шӹкш
80,Funke::N,ұшқын,ип
81,Funke::N,ұшқын,тылип
82,Feuer::N,алау,тыл
83,Licht::N,шұғыла,соты
84,Licht::N,шұғыла,валгыды
85,Schatten::N,көлеңке,ӹмӹл
86,Wetter::N,ауа райы,игечӹ
87,Nebel::N,тұман,тӹтӹрӓ
88,Wolke::N,бұлт,пӹл
89,Regen::N,жаңбыр,юр
90,Schnee::N,қар,лым
91,Eis::N,мұз,и
92,Frost::N,суық,ӱштӹ
93,Kälte::N,ызғар,ӱштӹ
94,Kälte::N,суықтық,ӱштӹ
95,Hitze::N,аптап,шокшы
96,Raureif::N,қырау,пöрш
