,Concept_ID,la,lez
0,Auge::N,oculus,вил
1,Ohr::N,auris,яб
2,Nase::N,nasus,нер
3,Mund::N,os,сив
4,Zahn::N,dens,сас
5,Zahn::N,dens,свах
6,Zunge::N,lingua,мез
7,Lippe::N,labrum,пӏуз
8,Wange::N,gena,хъвехъ
9,Gesicht::N,vultus,ччин
10,Stirn::N,frons,пел
11,Haar::N,capillus,чӏар
12,Schnurrbart::N,barba labri superioris,спел
13,Schnurrbart::N,barba labri superioris,спелар
14,Bart::N,barba,ччуру
15,Kinn::N,mentum,чене
16,Kiefer[Anatomie]::N,mala,чене
17,Kehle::N,iugulums,туьд
18,Hals::N,collum,гардан
19,Genick::N,cervices,кьам
20,Kopf::N,caput,кьил
21,Rücken::N,tergum,далу
22,Bauch::N,venter,руфун
23,Nabel::N,umbilicus,пицӏ
24,Busen::N,sinus,мам
25,Brust::N,pectus,хур
26,Schulter::N,umerus,къуьн
27,Arm::N,bracchium,гъил
28,Ellenbogen::N,cubitum,кьуьнт
29,Hand::N,manus,капаш
30,Handfläche::N,palma,капан юкь
31,Finger::N,digitus,тӏуб
32,Fingernagel::N,unguiculus,кек
33,Nagel[Anatomie]::N,unguis,кек
34,Zeh::N,digitus,кул
35,Fuß::N,pes,кӏвач
36,Ferse::N,calx,дабан
37,Knie::N,genu,мет
38,Oberschenkel::N,femur,
39,Bein::N,crus,кӏвач
40,Körper::N,corpus,беден
41,Haut::N,cutis,хам
42,Haut::N,pellis,хам
43,Blut::N,sanguis,иви
44,Ader::N,vena,дамар
45,Sehne::N,nervus,кьуру дамар
46,Knochen::N,os,кӏараб
47,Gehirn::N,cerebrum,мефт
48,Herz::N,cor,рикӏ
49,Herz::N,animus,рикӏ
50,Magen::N,stomachus,хук
51,Leber::N,iecur,лекь
52,Atem::N,spiritus,ял
53,Atem::N,spiritus,нефес
54,Hunger::N,fames,каш
55,Träne::N,lacrima,вилин нагъв
56,Geschmack::N,sapor,дад
57,Geschmack::N,sapor,тӏям
58,Geschmack::N,gustus,дад
59,Geschmack::N,gustus,тӏям
60,Geruch::N,odor,ни
61,Schlaf::N,somnus,ахвар
62,Traum::N,somnium,ахвар
63,Himmel::N,caelum,цав
64,Sonne::N,sol,рагъ
65,Mond::N,luna,варз
66,Stern::N,sidus,гъед
67,Stern::N,stella,гъед
68,Luft::N,aer,гьава
69,Wind::N,ventus,гар
70,Welle::N,unda,лепе
71,Wasser::N,aqua,яд
72,Stein::N,lapis,къван
73,Boden::N,solum,накьв
74,Erde::N,terra,ччил
75,Staub::N,pulvis,руг
76,Rauch::N,fumus,гум
77,Funke::N,scintilla,цӏелхем
78,Feuer::N,ignis,цӏай
79,Licht::N,lux,экв
80,Licht::N,lumen,экв
81,Schatten::N,umbra,серин
82,Wetter::N,caelum,гьава
83,Wetter::N,tempestas,гьава
84,Nebel::N,nebula,ччилин циф
85,Wolke::N,nubes,циф
86,Regen::N,imber,марф
87,Regen::N,pluvia,марф
88,Schnee::N,nix,жив
89,Eis::N,glacies,мурк
90,Frost::N,gelu,аяз
91,Kälte::N,frigus,мекь
92,Kälte::N,frigus,мекьивал
93,Hitze::N,calor,зегьем
94,Hitze::N,aestus,зегьем
95,Raureif::N,pruina,къирав
96,Regenbogen::N,arcus,яргъируш
97,Donner::N,tonitrus,цавун ван
98,Strömung::N,fluctus,
99,Tropfen::N,gutta,стӏал
100,Schaum::N,spuma,каф
101,Schmutz::N,sordes,чирк
102,Schmutz::N,sordes,кьуруш
103,Schmutz::N,squalor,чирк
104,Schmutz::N,squalor,кьуруш
105,See::N,lacus,вир
106,Sumpf::N,palus,уьлен
107,Moor::N,palus,
108,Wiese::N,pratum,векь
109,Wald::N,silva,там
110,Hügel::N,collis,кӏунтӏ
111,Anhöhe::N,specula,тепе
112,Anhöhe::N,specula,гьуьндуьрвал
113,Berg::N,mons,дагъ
114,Gipfel::N,vertex,кӏукӏ
115,Höhle::N,caverna,кьветӏ
116,Höhle::N,spelunca,кьветӏ
117,Abhang::N,declivum,гуьне
118,Quelle::N,fons,чешме
