,Concept_ID,hy,uk
0,Auge::N,աչք,око
1,Ohr::N,ականջ,вухо
2,Nase::N,քիթ,ніс
3,Mund::N,բերան,рот
4,Zahn::N,ատամ,зуб
5,Zunge::N,լեզու,язик
6,Lippe::N,շրթունք,губа
7,Wange::N,այտ,щока
8,Wange::N,թուշ,щока
9,Gesicht::N,դեմք,обличчя
10,Stirn::N,ճակատ,лоб
11,Haar::N,մազ,волосся
12,Schnurrbart::N,բեղ,вуса
13,Bart::N,մորուք,борода
14,Kinn::N,կզակ,підборіддя
15,Kiefer[Anatomie]::N,ծնոտ,щелепа
16,Kehle::N,կոկորդ,горло
17,Hals::N,վիզ,шия
18,Hals::N,պարանոց,шия
19,Genick::N,ծոծրակ,потилиця
20,Kopf::N,գլուխ,голова
21,Rücken::N,մեջք,спина
22,Bauch::N,փոր,живіт
23,Bauch::N,որովայն,живіт
24,Nabel::N,պորտ,пупок
25,Busen::N,ծոց,груди
26,Brust::N,կուրծք,груди
27,Schulter::N,ուս,плече
28,Arm::N,թեւ,рука
29,Arm::N,բազուկ,рука
30,Ellenbogen::N,արմունկ,лікоть
31,Hand::N,ձեռք,рука
32,Handfläche::N,ափ,долоня
33,Finger::N,մատ,палець
34,Fingernagel::N,եղունգ,ніготь
35,Nagel[Anatomie]::N,եղունգ,ніготь
36,Zeh::N,ոտքի մատ,палець на нозі
37,Fuß::N,ոտք,нога
38,Ferse::N,գարշապար,п’ятка
39,Knie::N,ծունկ,коліно
40,Oberschenkel::N,ազդր,стегно
41,Bein::N,ոտք,нога
42,Körper::N,մարմին,тіло
43,Haut::N,մաշկ,шкіра
44,Blut::N,արյուն,кров
45,Ader::N,երակ,вена
46,Sehne::N,ջիղ,сухожилля
47,Sehne::N,ձգտան,сухожилля
48,Knochen::N,ոսկոր,кістка
49,Gehirn::N,խելք,мозок
50,Herz::N,սիրտ,серце
51,Magen::N,ստամոքս,шлунок
52,Leber::N,լյարդ,печінка
53,Atem::N,շունչ,дихання
54,Hunger::N,քաղց,голод
55,Träne::N,արտասուք,сльоза
56,Geschmack::N,համ,смак
57,Geschmack::N,բուրմունք,смак
58,Geruch::N,հոտ,запах
59,Geruch::N,բուրում,запах
60,Schlaf::N,քուն,сон
61,Schlaf::N,քուն,сплячка
62,Traum::N,երազ,сон
63,Himmel::N,երկինք,небо
64,Sonne::N,արեւ,сонце
65,Mond::N,լուսին,місяць
66,Stern::N,աստղ,зірка
67,Luft::N,օդ,повітря
68,Wind::N,քամի,вітер
69,Welle::N,ալիք,хвиля
70,Wasser::N,ջուր,вода
71,Stein::N,քար,камінь
72,Boden::N,գետին,ґрунт
73,Erde::N,հող,земля
74,Staub::N,փոշի,пил
75,Rauch::N,ծուխ,дим
76,Funke::N,կայծ,іскра
77,Feuer::N,կրակ,вогонь
78,Feuer::N,հրդեհ,вогонь
79,Licht::N,լույս,світло
80,Schatten::N,ստվեր,тінь
81,Wetter::N,եղանակ,погода
82,Nebel::N,մեգ,туман
83,Nebel::N,մառախուղ,туман
84,Wolke::N,ամպ,хмара
85,Regen::N,անձրև,дощ
86,Schnee::N,ձյուն,сніг
87,Eis::N,սառույց,лід
88,Frost::N,սառնամանիք,мороз
89,Kälte::N,դող,холод
90,Hitze::N,շոգ,жар
91,Raureif::N,ցօղեղեամ,іній
92,Regenbogen::N,ծիածան,райдуга
93,Donner::N,որոտ,грім
94,Strömung::N,հոսանք,струмина
95,Tropfen::N,կաթիլ,крапля
96,Schaum::N,փրփուր,піна
97,Schmutz::N,կեղտ,бруд
98,See::N,լիճ,озеро
99,Sumpf::N,ճահիճ,драговина
100,Moor::N,ճահիճ,болото
101,Wiese::N,մարգագետին,луг
102,Wiese::N,մարգագետին,лука
103,Wald::N,անտառ,ліс
104,Hügel::N,բլուր,горб
105,Anhöhe::N,բարձունք,височина
106,Berg::N,լեռ,гора
107,Gipfel::N,գագաթ,вершина
108,Gipfel::N,կատար,вершина
109,Höhle::N,քարայր,печера
110,Abhang::N,լանջ,схил
111,Abhang::N,զառիվայր,схил
112,Quelle::N,աղբյուր,джерело
113,Bach::N,վտակ,струмок
