,Concept_ID,xal,es
0,Auge::N,нүдн,ojo
1,Ohr::N,чикн,oreja
2,Nase::N,хамр,nariz
3,Mund::N,амн,boca
4,Zahn::N,шүдн,diente
5,Zunge::N,келн,lengua
6,Lippe::N,урл,labio
7,Wange::N,халх,mejilla
8,Gesicht::N,нүр,cara
9,Stirn::N,маңна,frente
10,Haar::N,үсн,cabello
11,Schnurrbart::N,сахл,bigote
12,Bart::N,сахл,barba
13,Bart::N,өргнә сахл,barba
14,Kinn::N,өргн,barbilla
15,Kiefer[Anatomie]::N,өргн,mandíbula
16,Kehle::N,хол,garganta
17,Hals::N,күзүн,cuello
18,Genick::N,гиҗг,nuca
19,Genick::N,гиҗг,cerviz
20,Kopf::N,толһа,cabeza
21,Rücken::N,нурһн,espalda
22,Bauch::N,гесн,vientre
23,Nabel::N,киисн,ombligo
24,Busen::N,көкн,pecho
25,Brust::N,чееҗ,pecho
26,Schulter::N,ээм,hombro
27,Arm::N,һар,brazo
28,Ellenbogen::N,тоха,codo
29,Hand::N,баһлцг,mano
30,Handfläche::N,альхн,palma
31,Finger::N,хурһн,dedo
32,Finger::N,һарин хурһн,dedo
33,Fingernagel::N,хумсн,uña
34,Nagel[Anatomie]::N,хумсн,uña
35,Zeh::N,хурһн,dedo del pie
36,Zeh::N,көлин хурһн,dedo del pie
37,Fuß::N,тавг,pie
38,Ferse::N,өскә,talón
39,Knie::N,өвдг,rodilla
40,Oberschenkel::N,һуй,muslo
41,Bein::N,көл,pierna
42,Körper::N,махмуд,cuerpo
43,Haut::N,арсн,piel
44,Blut::N,цусн,sangre
45,Ader::N,судцн,vena
46,Sehne::N,шүрүсн,tendón
47,Knochen::N,ясн,hueso
48,Gehirn::N,экн,cerebro
49,Gehirn::N,экн,encéfalo
50,Herz::N,зүркн,corazón
51,Magen::N,гесн,estómago
52,Leber::N,элкн,hígado
53,Atem::N,әмсхл,aliento
54,Hunger::N,харһнлһн,hambre
55,Träne::N,нульмсн,lágrima
56,Geschmack::N,амтн,gusto
57,Geruch::N,үнр,olor
58,Schlaf::N,нөр,sueño
59,Traum::N,зүүдн,sueño
60,Traum::N,зүүдн,ensueño
61,Himmel::N,теңгр,cielo
62,Sonne::N,нарн,sol
63,Mond::N,сар,luna
64,Stern::N,одн,estrella
65,Luft::N,аһар,aire
66,Wind::N,салькн,viento
67,Welle::N,дольган,ola
68,Welle::N,дольган,onda
69,Wasser::N,усн,agua
70,Stein::N,чолун,piedra
71,Boden::N,Һазр,suelo
72,Erde::N,Һазр,tierra
73,Staub::N,тоосн,polvo
74,Rauch::N,утан,humo
75,Funke::N,очн,chispa
76,Feuer::N,һал,fuego
77,Licht::N,герл,luz
78,Schatten::N,сүүдр,sombra
79,Wetter::N,теңгр,tiempo
80,Nebel::N,будн,niebla
81,Wolke::N,үүлн,nube
82,Regen::N,хур,lluvia
83,Schnee::N,цасн,nieve
84,Eis::N,мөсн,hielo
85,Frost::N,киитн,helada
86,Kälte::N,киитн,frío
87,Hitze::N,халун,calor
88,Raureif::N,цаң,escarcha
89,Raureif::N,кирү,escarcha
90,Regenbogen::N,солңһ,arco iris
91,Donner::N,оһтрһун дун,trueno
92,Strömung::N,урсхл,corriente
93,Tropfen::N,дусал,gota
94,Schaum::N,көөсн,espuma
95,Schmutz::N,кир,suciedad
96,See::N,нур,lago
97,Sumpf::N,унул,pantano
98,Moor::N,улм,turbera
99,Wiese::N,хадлһн,prado
100,Wiese::N,хадлһн,pradera
101,Wald::N,ө-модн,bosque
102,Hügel::N,толһа,colina
103,Anhöhe::N,хамр,cerro
104,Berg::N,уул,monte
105,Berg::N,уул,montaña
106,Gipfel::N,ора,cima
107,Gipfel::N,ора,cumbre
108,Höhle::N,хадин көндә,cueva
109,Höhle::N,хадин көндә,caverna
110,Abhang::N,ташу,cuesta
111,Abhang::N,ташу,declive
112,Quelle::N,булг,fuente
113,Quelle::N,булг,manantial
114,Bach::N,һооҗур,arroyo
115,Fluss::N,һол,río
116,Ufer::N,көвә,orilla
117,Küste::N,көвә,costa
118,Küste::N,теңгсин көвә,costa
119,Festland::N,хүүрә һазр,tierra firme
120,Meer::N,теңгс,mar
121,Bucht::N,цекә,cala
122,Bucht::N,цекә,bahía
123,Bucht::N,теңгсин цекә,cala
124,Bucht::N,теңгсин цекә,bahía
125,Insel::N,арл,isla
126,Blume::N,цецг,flor
127,Gras::N,ноһан,hierba
128,Wurzel::N,уңг,raíz
129,Baum::N,модн,árbol
130,Stamm::N,шилв,tronco
131,Stamm::N,һол модн,tronco
132,Rinde::N,көрсн,corteza
133,Ast::N,ац,rama
134,Zweig::N,ац,ramo
135,Blatt::N,хамтхасн,hoja
136,Birke::N,хусм модн,abedul
137,Kiefer[Baum]::N,шар харһа,pino
138,Weide[Baum]::N,удн,sauce
139,Tanne::N,җөөлн цаһан модн,abeto
140,Horn::N,өвр,asta
141,Horn::N,өвр,cuerno
142,Feder::N,өрвлг,pluma
143,Fell::N,арсн,piel
144,Flügel::N,җивр,ala
145,Klaue::N,хумсн,garra
146,Kralle::N,тавг,uña
147,Kralle::N,тавг,garra
148,Schwanz::N,сүл,cola
149,Ei::N,өндгн,huevo
150,Nest::N,үр,nido
151,Bau::N,нүкн,madriguera
152,Tier::N,мал,animal
153,Herde::N,сүрг мал,rebaño
154,Kuh::N,үкр,vaca
155,Bulle::N,бух,toro
156,Pferd::N,мөрн,caballo
157,Schaf::N,хөн,oveja
158,Schwein::N,һаха,cerdo
159,Hund::N,ноха,perro
160,Katze::N,мис,gato
161,Bär::N,аю,oso
162,Eichhörnchen::N,кермн,ardilla
163,Elch::N,хандһа,alce
164,Fuchs::N,арат,zorro
165,Hase::N,туула,liebre
166,Maus::N,хулһн,ratón
167,Wolf::N,чон,lobo
168,Vogel::N,шовун,ave
169,Vogel::N,шовун,pájaro
170,Schwarm::N,зел,bandada
171,Huhn::N,така,gallina
172,Hahn::N,эр така,gallo
173,Gans::N,һалун,oca
174,Gans::N,һалун,ganso
175,Adler::N,һәрд,águila
176,Ente::N,нуһсн,pato
177,Eule::N,һурвлһ,lechuza
178,Kranich::N,тоһрун,grulla
179,Krähe::N,шаазһа,corneja
180,Kuckuck::N,эргин хуцдг,cuco
181,Schwan::N,хун,cisne
182,Fisch::N,заһсн,pez
183,Barsch::N,шүрг,perca
184,Hecht::N,цурх,lucio
185,Schlange[Tier]::N,моһа,serpiente
186,Wurm::N,өтн,gusano
187,Spinne::N,аралҗн,araña
188,Ameise::N,шорһлҗн,hormiga
189,Laus::N,бөөсн,piojo
190,Mücke::N,бөкүн,mosquito
191,Fliege::N,батхн,mosca
192,Schmetterling::N,эрвәкә,mariposa
193,Beere::N,бөөлҗрһн,baya
194,Apfel::N,альмн,manzana
195,Pilz::N,теңгрин ки,seta
196,Pilz::N,теңгрин ки,hongo
197,Zwiebel::N,мәңгрснә толһа,cebolla
198,Saat::N,буудян экн,siembra
199,Korn::N,экн,grano
200,Heu::N,өвсн,heno
201,Schale::N,хальсн,cáscara
202,Grube::N,нүкн,foso
203,Falle::N,урх,trampa
204,Falle::N,хавх,trampa
205,Schlinge::N,бүтү,lazo
206,Spur::N,мөр,huella
