,Concept_ID,lv,ja
0,Auge::N,син,目
1,Auge::N,acs,目
2,Ohr::N,пель,耳
3,Ohr::N,auss,耳
4,Nase::N,ныр,鼻
5,Nase::N,deguns,鼻
6,Mund::N,вом,口
7,Mund::N,mute,口
8,Zahn::N,пинь,歯
9,Zahn::N,zobs,歯
10,Zunge::N,кыв,舌
11,Zunge::N,mēle,舌
12,Lippe::N,вом дор,唇
13,Lippe::N,lūpa,唇
14,Wange::N,бан,頬
15,Wange::N,vaigs,頬
16,Gesicht::N,чужӧм,顔
17,Gesicht::N,seja,顔
18,Gesicht::N,ģīmis,顔
19,Stirn::N,плеш,額
20,Stirn::N,кымӧс,額
21,Stirn::N,piere,額
22,Haar::N,си,髪
23,Haar::N,юрси,髪
24,Haar::N,mats,髪
25,Schnurrbart::N,ус,口髭
26,Schnurrbart::N,пыртсим,口髭
27,Schnurrbart::N,ūsas,口髭
28,Bart::N,тош,髭
29,Bart::N,bārda,髭
30,Kinn::N,тшӧка,顎
31,Kinn::N,zods,顎
32,Kinn::N,smakrs,顎
33,Kiefer[Anatomie]::N,черлы,顎
34,Kiefer[Anatomie]::N,алака лы,顎
35,Kiefer[Anatomie]::N,вомкӧтш лы,顎
36,Kiefer[Anatomie]::N,žoklis,顎
37,Kehle::N,голя,喉
38,Kehle::N,rīkle,喉
39,Hals::N,сьылі,首
40,Hals::N,kakls,首
41,Genick::N,юрбӧр,首
42,Genick::N,балябӧж,首
43,Genick::N,sprands,首
44,Kopf::N,юр,頭
45,Kopf::N,galva,頭
46,Rücken::N,мыш,背中
47,Rücken::N,mugura,背中
48,Bauch::N,рушку,腹
49,Bauch::N,рушку,お腹
50,Bauch::N,vēders,腹
51,Bauch::N,vēders,お腹
52,Nabel::N,гӧг,へそ
53,Nabel::N,naba,へそ
54,Busen::N,морӧс,乳房
55,Busen::N,krūts,乳房
56,Brust::N,морӧс,胸
57,Brust::N,krūts,胸
58,Schulter::N,пельпом,肩
59,Schulter::N,plecs,肩
60,Arm::N,ки,腕
61,Arm::N,roka,腕
62,Arm::N,delms,腕
63,Ellenbogen::N,гырддза,肘
64,Ellenbogen::N,elkonis,肘
65,Hand::N,ки,手
66,Hand::N,roka,手
67,Hand::N,plauksta,手
68,Handfläche::N,ки пыдӧс,手のひら
69,Handfläche::N,delna,手のひら
70,Handfläche::N,plauksta,手のひら
71,Finger::N,чунь,指
72,Finger::N,pirksts,指
73,Fingernagel::N,гыж,爪
74,Fingernagel::N,nags,爪
75,Nagel[Anatomie]::N,гыж,爪
76,Nagel[Anatomie]::N,nags,爪
77,Zeh::N,кок чунь,足の指
78,Zeh::N,pirksts,足の指
79,Fuß::N,кок,足
80,Fuß::N,kāja,足
81,Ferse::N,кокбӧр,かかと
82,Ferse::N,papēdis,かかと
83,Knie::N,пидзӧс,膝
84,Knie::N,celis,膝
85,Oberschenkel::N,лядьвей,上腿
86,Oberschenkel::N,бек,上腿
87,Oberschenkel::N,ciska,上腿
88,Oberschenkel::N,augšstilbs,上腿
89,Bein::N,кок,足
90,Bein::N,kāja,足
91,Körper::N,туша,体
92,Körper::N,вывтыр,体
93,Körper::N,miesa,体
94,Körper::N,ķermenis,体
95,Haut::N,ку,皮膚
96,Haut::N,āda,皮膚
97,Blut::N,вир,血
98,Blut::N,asins,血
99,Ader::N,сӧн,血管
100,Ader::N,asinsvads,血管
101,Sehne::N,вез,腱
102,Sehne::N,dzīsla,腱
103,Knochen::N,лы,骨
104,Knochen::N,kauls,骨
105,Gehirn::N,вем,脳
106,Gehirn::N,smadzenes,脳
107,Herz::N,сьӧлӧм,心
108,Herz::N,сьӧлӧм,心臓
109,Herz::N,sirds,心
110,Herz::N,sirds,心臓
111,Magen::N,кынӧм,胃
112,Magen::N,kuņģis,胃
113,Leber::N,мус,肝臓
114,Leber::N,aknas,肝臓
115,Atem::N,лов,息
116,Atem::N,лов,呼吸
117,Atem::N,elpa,息
118,Atem::N,elpa,呼吸
119,Hunger::N,тшыг,空腹
120,Hunger::N,bads,空腹
121,Hunger::N,izsalkums,空腹
122,Träne::N,синва,涙
123,Träne::N,asara,涙
124,Geschmack::N,кӧр,味
125,Geschmack::N,чӧсмӧс,味
126,Geschmack::N,garša,味
127,Geruch::N,зын,匂い
128,Geruch::N,дук,匂い
129,Geruch::N,smaka,匂い
130,Schlaf::N,узьӧм,睡眠
131,Schlaf::N,miegs,睡眠
132,Traum::N,вӧт,夢
133,Traum::N,вӧтасьӧм,夢
134,Traum::N,sapnis,夢
135,Himmel::N,енэж,空
136,Himmel::N,debess,空
137,Sonne::N,шонді,太陽
138,Sonne::N,saule,太陽
139,Mond::N,тӧлысь,月
140,Mond::N,mēness,月
141,Stern::N,кодзув,星
142,Stern::N,zvaigzne,星
143,Luft::N,сынӧд,空気
144,Luft::N,gaiss,空気
145,Wind::N,тӧв,風
146,Wind::N,vējš,風
147,Welle::N,гы,波
148,Welle::N,vilnis,波
149,Wasser::N,ва,水
150,Wasser::N,ūdens,水
151,Stein::N,из,石
152,Stein::N,akmens,石
153,Boden::N,му,土地
154,Boden::N,augsne,土地
155,Erde::N,му,土
156,Erde::N,му-ва,土
157,Erde::N,zeme,土
158,Staub::N,бус,埃
159,Staub::N,putekļi,埃
160,Rauch::N,тшын,煙
161,Rauch::N,dūmi,煙
162,Funke::N,кинь,火花
163,Funke::N,би кинь,火花
164,Funke::N,dzirkstele,火花
165,Feuer::N,би,火
166,Feuer::N,uguns,火
167,Licht::N,югӧр,光
168,Licht::N,gaisma,光
169,Schatten::N,вуджӧр,陰
170,Schatten::N,ēna,陰
171,Wetter::N,поводдя,天気
172,Wetter::N,laiks,天気
