,Concept_ID,lv,et
0,Auge::N,син,silm
1,Auge::N,acs,silm
2,Ohr::N,пель,kõrv
3,Ohr::N,auss,kõrv
4,Nase::N,ныр,nina
5,Nase::N,deguns,nina
6,Mund::N,вом,suu
7,Mund::N,mute,suu
8,Zahn::N,пинь,hammas
9,Zahn::N,zobs,hammas
10,Zunge::N,кыв,keel
11,Zunge::N,mēle,keel
12,Lippe::N,вом дор,huul
13,Lippe::N,lūpa,huul
14,Wange::N,бан,põsk
15,Wange::N,vaigs,põsk
16,Gesicht::N,чужӧм,nägu
17,Gesicht::N,seja,nägu
18,Gesicht::N,ģīmis,nägu
19,Stirn::N,плеш,otsmik
20,Stirn::N,кымӧс,otsmik
21,Stirn::N,piere,otsmik
22,Haar::N,си,juus
23,Haar::N,юрси,juus
24,Haar::N,mats,juus
25,Schnurrbart::N,ус,vurrud
26,Schnurrbart::N,ус,vuntsid
27,Schnurrbart::N,пыртсим,vurrud
28,Schnurrbart::N,пыртсим,vuntsid
29,Schnurrbart::N,ūsas,vurrud
30,Schnurrbart::N,ūsas,vuntsid
31,Bart::N,тош,habe
32,Bart::N,bārda,habe
33,Kinn::N,тшӧка,lõug
34,Kinn::N,zods,lõug
35,Kinn::N,smakrs,lõug
36,Kiefer[Anatomie]::N,черлы,lõualuu
37,Kiefer[Anatomie]::N,алака лы,lõualuu
38,Kiefer[Anatomie]::N,вомкӧтш лы,lõualuu
39,Kiefer[Anatomie]::N,žoklis,lõualuu
40,Kehle::N,голя,kõri
41,Kehle::N,rīkle,kõri
42,Hals::N,сьылі,kael
43,Hals::N,kakls,kael
44,Genick::N,юрбӧр,kukal
45,Genick::N,балябӧж,kukal
46,Genick::N,sprands,kukal
47,Kopf::N,юр,pea
48,Kopf::N,galva,pea
49,Rücken::N,мыш,selg
50,Rücken::N,mugura,selg
51,Bauch::N,рушку,kõht
52,Bauch::N,vēders,kõht
53,Nabel::N,гӧг,naba
54,Nabel::N,naba,naba
55,Busen::N,морӧс,rind
56,Busen::N,krūts,rind
57,Brust::N,морӧс,rind
58,Brust::N,krūts,rind
59,Schulter::N,пельпом,õlg
60,Schulter::N,plecs,õlg
61,Arm::N,ки,käsivars
62,Arm::N,roka,käsivars
63,Arm::N,delms,käsivars
64,Ellenbogen::N,гырддза,küünarnukk
65,Ellenbogen::N,elkonis,küünarnukk
66,Hand::N,ки,käsi
67,Hand::N,roka,käsi
68,Hand::N,plauksta,käsi
69,Handfläche::N,ки пыдӧс,pihk
70,Handfläche::N,delna,pihk
71,Handfläche::N,plauksta,pihk
72,Finger::N,чунь,sõrm
73,Finger::N,pirksts,sõrm
74,Fingernagel::N,гыж,küüs
75,Fingernagel::N,nags,küüs
76,Nagel[Anatomie]::N,гыж,küüs
77,Nagel[Anatomie]::N,nags,küüs
78,Zeh::N,кок чунь,varvas
79,Zeh::N,pirksts,varvas
80,Fuß::N,кок,jalg
81,Fuß::N,kāja,jalg
82,Ferse::N,кокбӧр,kand
