,Concept_ID,sk,la
0,Auge::N,oko,oculus
1,Ohr::N,ucho,auris
2,Nase::N,nos,nasus
3,Mund::N,ústa,os
4,Zahn::N,zub,dens
5,Zunge::N,jazyk,lingua
6,Lippe::N,pera,labrum
7,Wange::N,líce,gena
8,Gesicht::N,tvár,vultus
9,Gesicht::N,obličaj,vultus
10,Stirn::N,čelo,frons
11,Haar::N,vlas,capillus
12,Schnurrbart::N,fúzy,barba labri superioris
13,Bart::N,brada,barba
14,Kinn::N,brada,mentum
15,Kiefer[Anatomie]::N,čeľusť,mala
16,Kehle::N,hrdlo,iugulums
17,Hals::N,krk,collum
18,Genick::N,väzy,cervices
19,Kopf::N,hlava,caput
20,Rücken::N,chrbát,tergum
21,Bauch::N,brucho,venter
22,Nabel::N,pupok,umbilicus
23,Busen::N,prsia,sinus
24,Brust::N,hruď,pectus
25,Schulter::N,plece,umerus
26,Arm::N,rameno,bracchium
27,Ellenbogen::N,lakeť,cubitum
28,Hand::N,ruka,manus
29,Handfläche::N,dlaň,palma
30,Finger::N,prst,digitus
31,Fingernagel::N,necht,unguiculus
32,Nagel[Anatomie]::N,necht,unguis
33,Zeh::N,prst na nohe,digitus
34,Fuß::N,noha,pes
35,Ferse::N,päta,calx
36,Knie::N,koleno,genu
37,Oberschenkel::N,stehno,femur
38,Bein::N,noha,crus
39,Körper::N,telo,corpus
40,Haut::N,koža,cutis
41,Haut::N,koža,pellis
42,Blut::N,krv,sanguis
43,Ader::N,žila,vena
44,Sehne::N,šľacha,nervus
45,Knochen::N,kosť,os
46,Gehirn::N,mozog,cerebrum
47,Herz::N,srdce,cor
48,Herz::N,srdce,animus
49,Magen::N,žalúdok,stomachus
50,Leber::N,pečeň,iecur
51,Atem::N,dych,spiritus
52,Hunger::N,hlad,fames
53,Träne::N,slza,lacrima
54,Geschmack::N,chuť,sapor
55,Geschmack::N,chuť,gustus
56,Geruch::N,pach,odor
57,Schlaf::N,spánok,somnus
58,Traum::N,sen,somnium
59,Himmel::N,nebo,caelum
60,Sonne::N,slnko,sol
61,Mond::N,mesiac,luna
62,Stern::N,hviezda,sidus
63,Stern::N,hviezda,stella
64,Luft::N,vzduch,aer
65,Wind::N,vietor,ventus
66,Welle::N,vlna,unda
67,Wasser::N,voda,aqua
68,Stein::N,kameň,lapis
69,Boden::N,zem,solum
70,Boden::N,pôda,solum
71,Erde::N,zem,terra
72,Staub::N,prach,pulvis
73,Rauch::N,dym,fumus
74,Funke::N,iskra,scintilla
75,Feuer::N,oheň,ignis
76,Licht::N,svetlo,lux
77,Licht::N,svetlo,lumen
78,Schatten::N,tieň,umbra
79,Wetter::N,počasie,caelum
80,Wetter::N,počasie,tempestas
81,Nebel::N,hmla,nebula
82,Wolke::N,oblak,nubes
83,Wolke::N,mračno,nubes
84,Regen::N,dážď,imber
85,Regen::N,dážď,pluvia
86,Schnee::N,sneh,nix
87,Eis::N,ľad,glacies
88,Frost::N,mráz,gelu
89,Kälte::N,zima,frigus
