,Concept_ID,ab,cv
0,Auge::N,ала,куҫ
1,Ohr::N,алымҳа,хӑлха
2,Nase::N,аҧынҵа,сӑмса
3,Mund::N,аҧышə,ҫӑвар
4,Zahn::N,ахаҧыц,шӑл
5,Zunge::N,абз,чӗлхе
6,Lippe::N,ақьышə,тута
7,Wange::N,аӡамҩа,пит ҫӑмарти
8,Gesicht::N,аҿы,пит
9,Gesicht::N,аҿы,пит-куҫ
10,Stirn::N,алахь,ҫамка
11,Haar::N,ахəыц,ҫӳҫ
12,Schnurrbart::N,аҧаҵа,усси
13,Bart::N,ажакьа,сухал
14,Kinn::N,ацламкəыгə,янах
15,Kiefer[Anatomie]::N,ацламҳəа,янах
16,Kehle::N,ахəда,пыр
17,Kehle::N,ахəда,карланкӑ
18,Hals::N,ахəда,пыр
19,Genick::N,ахəдаџьал,ӗнсе
20,Kopf::N,ахы,пуҫ
21,Rücken::N,азқəа,ҫурӑм
22,Bauch::N,амгəа,
23,Nabel::N,аҷапан,кӑвапа
24,Busen::N,агəыҧҳəы,кӑкӑр
25,Brust::N,агəышҧы,умӗ
26,Schulter::N,ажəҩахыр,хул пуҫҫи
27,Arm::N,амахəар,алӑ
28,Ellenbogen::N,амашьхəылҵ,чавса
29,Hand::N,анапы,алӑ сыппи
30,Handfläche::N,анапсаргəыҵа,ал лаппи
31,Finger::N,анацəа,пӳрне
32,Fingernagel::N,анапхыц,чӗрне
33,Nagel[Anatomie]::N,ашьапхыц,чӗрне
34,Zeh::N,ашьацəа,пӳрне
35,Fuß::N,ашьапсыргəыҵа,ура лаппи
36,Ferse::N,ашьхəа,кӗле
37,Knie::N,ашьамхы,чӗркуҫҫи
38,Oberschenkel::N,ауаҭəа,пӗҫӗ
39,Bein::N,ашьапы,ура
40,Körper::N,ацəеижь,ӳт
41,Körper::N,ацəеижь,ӳт-пӳ
42,Haut::N,ацəа,тир
43,Blut::N,ашьа,юн
44,Ader::N,ада,вена
45,Sehne::N,адаш,шӑнӑр
46,Knochen::N,абаҩ,шӑмӑ
47,Gehirn::N,ахшлыбаҩ,миме
48,Gehirn::N,ахшыбаҩ,миме
49,Herz::N,агəы,чӗре
50,Magen::N,аца,хырӑмлӑх
51,Magen::N,ацар,хырӑмлӑх
52,Leber::N,агəаҵəа,пӗвер
53,Atem::N,аҧсыҧлагаҩгара,сывлав
54,Hunger::N,амла,выҫлӑх
55,Träne::N,алабжыш,куҫҫуль
56,Geschmack::N,агьама,техӗм
57,Geruch::N,афҩы,шӑршӑ
58,Schlaf::N,ацəа,ыйхӑ
59,Traum::N,аҧхыӡ,тӗлӗк
60,Himmel::N,ажəҩан,пӗлӗт
61,Sonne::N,амра,хӗвел
62,Mond::N,амза,уйӑх
63,Stern::N,аеҵəа,ҫӑлтӑр
64,Luft::N,аҳаир,сывлӑш
65,Wind::N,аҧша,ҫил
66,Welle::N,ацəқəырҧа,хум
67,Wasser::N,аӡы,шыв
68,Wasser::N,аӡы,шыв-шур
69,Stein::N,ахаҳə,чул
70,Boden::N,адгьыл,тӑпра
71,Erde::N,адгьыл,ҫӗр
72,Staub::N,асаба,тусан
73,Rauch::N,алҩа,тӗтӗм
74,Funke::N,акəиц,хӗм
75,Funke::N,ацҧхь,хӗм
76,Feuer::N,амца,вут
77,Feuer::N,амца,ҫулӑм
78,Licht::N,алашара,ҫутӑ
79,Schatten::N,ашəшьыра,сулхӑн
80,Wetter::N,амш,ҫанталӑк
81,Nebel::N,анаҟəа,тӗтре
82,Wolke::N,аҧсҭҳəа,пӗлӗт
83,Regen::N,ақəа,ҫумӑр
84,Schnee::N,асы,юр
85,Eis::N,аҵаа,пӑр
86,Frost::N,аҵаа,сивӗ
87,Kälte::N,ахьҭа,сивӗ
88,Hitze::N,ашоура,вӗри
89,Hitze::N,ашоура,шӑрӑх
90,Raureif::N,аҵааҧшқа,пас
91,Regenbogen::N,ацəаҟəа,асамат кӗперӗ
92,Donner::N,адыд,аслати
93,Strömung::N,аиасра,юхӑ
94,Strömung::N,амҩасра,юхӑ
95,Tropfen::N,ацəыкəбар,тумлам
96,Schaum::N,ашəах,кӑпӑк
97,Schmutz::N,алымт,пылчӑк
98,See::N,аӡиа,кӳлӗ
99,Sumpf::N,аӡмах,шур
100,Sumpf::N,аӡмах,шурлӑх
101,Wiese::N,адəы,улӑх
102,Wiese::N,адəы,ҫаран
103,Wald::N,абна,вӑрман
104,Hügel::N,ахəы,сӑрт
105,Hügel::N,ахəы,тӗмеске
106,Anhöhe::N,аҳаракыра,сӑрт
107,Berg::N,ашьха,ту
108,Gipfel::N,ацəқəа,тӳпе
109,Höhle::N,аҳаҧы,ҫӗр хӑвӑлӗ
110,Abhang::N,анаара,тӑвайкки
111,Quelle::N,аҵҵырҭа,ҫӑл куҫ
112,Bach::N,акəараҷҷа,пӗчӗк шыв
113,Fluss::N,аӡиас,юхан шыв
114,Ufer::N,ахықə,ҫыран
115,Küste::N,ахықə,тинӗс ҫыранӗ
116,Festland::N,абарра,тип ҫӗр
117,Meer::N,амшын,тинӗс
118,Bucht::N,аӡбжьахала,тинӗс кукӑрӗ
119,Insel::N,адгьылбжьаха,утрав
120,Blume::N,ашəҭ,чечек
121,Gras::N,аҳасакьын,курӑк
122,Wurzel::N,адац,тымар
123,Baum::N,аҵла,йывӑҫ
124,Stamm::N,ашьапы,вулӑ
125,Rinde::N,ацəа,хуйӑр
126,Ast::N,амахə,турат
127,Ast::N,амахəҭа,турат
128,Zweig::N,амахə,турат
129,Zweig::N,амахəҭа,турат
130,Blatt::N,абҕьы,ҫулҫӑ
131,Birke::N,аҵааҵла,хурӑн
132,Kiefer[Baum]::N,амза,хыр
133,Weide[Baum]::N,аҧслыш,хӑва
134,Tanne::N,аҧсаӡ,чӑрӑш
135,Horn::N,атəыҩа,мӑйрака
136,Feder::N,ахӡы,тӗк
137,Fell::N,ацəа,ҫӑм
138,Flügel::N,амҵəыжəа,ҫунат
139,Klaue::N,ашьапхыц,чӗрне
140,Schwanz::N,аҵыхəа,хӳре
141,Ei::N,акəтаӷь,ҫӑмарта
142,Nest::N,аҭра,йӑва
143,Nest::N,аҵысҭра,йӑва
144,Bau::N,аҭыҩра,йӗнӗ
145,Tier::N,аҧстəы,выльӑх
146,Tier::N,агыгшəыг,выльӑх
147,Herde::N,агəарҭа,кӗтӳ
148,Kuh::N,ажə,ӗне
149,Bulle::N,ацə,вӑкӑр
150,Pferd::N,аҽы,лаша
151,Schaf::N,ауаса,сурӑх
152,Schwein::N,аҳəа,сысна
153,Hund::N,ала,йытӑ
154,Katze::N,ацгəы,кушак
155,Bär::N,амшə,упа
156,Eichhörnchen::N,аеш,пакша
157,Elch::N,аҽаҩа,пӑши
158,Fuchs::N,абгахəыҷы,тилӗ
159,Hase::N,ажьа,куян
160,Hase::N,ажьа,мулкач
161,Maus::N,аҳəынаҧ,шӑши
162,Wolf::N,абгаду,кашкӑр
163,Vogel::N,аҧсаатə,кайӑк
164,Vogel::N,аҧсаатə,вӗҫен кайӑк
165,Huhn::N,акəты,чӑх
166,Huhn::N,акəты,чӑхӑ
167,Hahn::N,арбаҕь,автан
168,Gans::N,аҟыз,хур
169,Adler::N,ауарба,ӑмӑрт кайӑк
170,Ente::N,акəата,кӑвакал
171,Eule::N,аты,тӑмана
172,Kranich::N,апҟа,тӑрна
173,Krähe::N,аҟəараан,ула курак
174,Kuckuck::N,акəыкəу,куккук
175,Schwan::N,агьад,акӑш
176,Fisch::N,аҧсыӡ,пулӑ
177,Barsch::N,ацəыбла,уланкӑ
178,Hecht::N,ахиаала,ҫӑрттан
179,Schlange[Tier]::N,амаҭ,ҫӗлен
180,Wurm::N,ахəа,ӑман
181,Wurm::N,ахəац,ӑман
182,Spinne::N,абызкаҭаҳа,эрешмен
183,Ameise::N,ашышкамс,кӑткӑ
184,Laus::N,аҵа,пыйтӑ
185,Mücke::N,акəыбры,вӑрӑм туна
186,Fliege::N,амҵ,шӑна
187,Schmetterling::N,аҧарҧалыкь,лӗпӗш
188,Beere::N,аргуц,ҫырла
189,Apfel::N,аҵəа,улма
190,Apfel::N,аҵəа,пан улми
191,Pilz::N,акəкəбаа,кӑмпа
192,Zwiebel::N,аџьымшьы,сухан
193,Zwiebel::N,аџьымшьхы,сухан
194,Saat::N,ажəла,вӑрӑ
195,Korn::N,арыц,тӗшӗ
196,Korn::N,арыц,пӗрчӗ
197,Heu::N,аҭəа,утӑ
198,Schale::N,ацəа,хупӑ
199,Grube::N,ажра,шӑтӑк
200,Grube::N,атыша,шӑтӑк
201,Falle::N,арыҧҟьа,тапӑ
202,Falle::N,арыҧҟьа,капкӑн
203,Schlinge::N,аҟəараҟəантə,йӑлӑ
204,Spur::N,ашьҭа,йӗр
205,Asche::N,ахəа,кӗл
206,Dreck::N,аҳəынҵəа,пылчӑк
207,Dreck::N,аҟьамсар,пылчӑк
208,Eisen::N,аиха,тимӗр
209,Gold::N,ахьы,ылтӑн
210,Silber::N,аразны,кӗмӗл
211,Kohle::N,арацəа,кӑмрӑк
212,Glas::N,асаркьа,кӗленче
213,Lehm::N,анышəаҧшь,тӑм
214,Sand::N,аҧслымӡ,хӑйӑр
215,Mensch::N,ауаҩы,ҫын
216,Mensch::N,ауаҩы,этем
217,Mann::N,ахаҵа,ар
218,Frau::N,аҧҳəыс,хӗрарӑм
219,Kind::N,ахəыҷы,ача
220,Junge::N,аҷкəын,ача
221,Junge::N,аҷкəын,ар ҫын ача
222,Junge::N,ахаҵарҧыс,ача
223,Junge::N,ахаҵарҧыс,ар ҫын ача
224,Mädchen::N,аӡӷаб,хӗр ача
225,Familie::N,аҭаацəа,ҫемье
226,Familie::N,аҭаацəа,кил-йыш
227,Großvater::N,абду,кукаҫи
228,Großmutter::N,анду,кукамай
229,Eltern::N,ани аби,аҫа-ама
230,Vater::N,аб,атте
231,Mutter::N,ан,анне
232,Sohn::N,аҧа,ывӑл
233,Tochter::N,аҧҳа,хӗр
234,Bruder::N,аиашьа,ар тӑван
235,Schwester::N,Аҳəшьа,аппа
236,Schwester::N,Аҳəшьа,йӑмӑк
237,Onkel::N,абиашьа,мучи
238,Onkel::N,абиашьа,пичче
239,Onkel::N,аншьа,мучи
240,Onkel::N,аншьа,пичче
241,Tante::N,абиаҳəшьа,аппа
242,Ehemann::N,ахаҵа,упӑшка
243,Ehemann::N,аҧшəма,упӑшка
244,Ehefrau::N,аҧҳəыс,арӑм
245,Freude::N,агəырӷьара,савӑнӑҫ
246,Freude::N,агəырӷьара,хаваслӑх
247,Gelächter::N,ачча,кулӑ
248,Gelächter::N,аччара,кулӑ
249,Glück::N,аразҟы,телей
250,Glück::N,аразҟы,ӑраскал
251,Kummer::N,агəырҩа,хурлӑх
252,Wunsch::N,агəхəтəы,ӗмӗт
253,Wunsch::N,агəхəтəы,кӑмӑл
254,Wunsch::N,аҭахра,ӗмӗт
255,Wunsch::N,аҭахра,кӑмӑл
256,Lust::N,агəазыҳəара,кӑмӑл
257,Geist::N,аҧсы,чун-чӗм
258,Geist::N,аҧсы,ыр-усал
259,Geist::N,аҧсы,чун хавалӗ
