,Concept_ID,tr,ga
0,Auge::N,göz,súil
1,Ohr::N,kulak,cluas
2,Nase::N,burun,soc
3,Mund::N,ağız,béal
4,Zahn::N,diş,fiacail
5,Zunge::N,dil,teanga
6,Lippe::N,dudak,liopa
7,Wange::N,yanak,grua
8,Wange::N,yanak,leiceann
9,Gesicht::N,yüz,éadan
10,Gesicht::N,yüz,aghaidh
11,Stirn::N,alın,baithis
12,Stirn::N,alın,clár éadain
13,Haar::N,saç,gruaig
14,Schnurrbart::N,bıyık,croiméal
15,Bart::N,sakal,féasóg
16,Kinn::N,çene,smig
17,Kiefer[Anatomie]::N,çene,giall
18,Kehle::N,boğaz,scornach
19,Hals::N,boyun,muinéal
20,Hals::N,gerdan,muinéal
21,Genick::N,ense,baic
22,Kopf::N,baş,ceann
23,Kopf::N,kafa,ceann
24,Rücken::N,arka,droim
25,Bauch::N,karın,bolg
26,Nabel::N,göbek,imleacán
27,Busen::N,koyun,cíoch
28,Brust::N,göğüs,brollach
29,Schulter::N,omuz,gualainn
30,Arm::N,kol,lámh
31,Ellenbogen::N,dirsek,uillinn
32,Hand::N,el,lámh
33,Handfläche::N,avuç,bos
34,Handfläche::N,el ayası,bos
35,Finger::N,parmak,méar
36,Fingernagel::N,el tırnağı,ionga
37,Nagel[Anatomie]::N,tırnak,ionga
38,Zeh::N,ayak parmağı,ladhar
39,Fuß::N,ayak,cos
40,Fuß::N,ayak,troigh
41,Ferse::N,topuk,sáil
42,Knie::N,diz,glúin
43,Oberschenkel::N,uyluk,ceathrú
44,Bein::N,bacak,cos
45,Körper::N,vücut,corp
46,Körper::N,vücut,colainn
47,Haut::N,cilt,cneas
48,Haut::N,cilt,craiceann
49,Blut::N,kan,fuil
50,Ader::N,damar,
51,Sehne::N,kiriş,teannán
52,Sehne::N,kiriş,féitheog
53,Knochen::N,kemik,cnámh
54,Gehirn::N,beyin,inchinn
55,Herz::N,kalp,croí
56,Herz::N,yürek,croí
57,Magen::N,mide,bolg
58,Magen::N,mide,goile
59,Leber::N,karaciğer,ae
60,Atem::N,nefes,anáil
61,Hunger::N,açlık,ocras
62,Träne::N,gözyaşı,deoir
63,Geschmack::N,tat,blas
64,Geschmack::N,lezzet,blas
65,Geruch::N,koku,boladh
66,Schlaf::N,uyku,suan
67,Schlaf::N,uyku,codladh
68,Traum::N,düş,taibhreamh
69,Traum::N,rüya,taibhreamh
70,Himmel::N,gök,spéir
71,Sonne::N,güneş,grian
72,Mond::N,ay,ré
73,Mond::N,ay,gealach
74,Stern::N,yıldız,rinn
75,Stern::N,yıldız,réalta
76,Luft::N,hava,aer
77,Wind::N,yel,gaoth
78,Wind::N,rüzgâr,gaoth
79,Welle::N,dalga,tonn
80,Wasser::N,su,uisce
81,Stein::N,taş,cloch
82,Boden::N,yer,talamh
83,Boden::N,zemin,talamh
84,Erde::N,toprak,cré
85,Erde::N,toprak,ithir
86,Staub::N,toz,dusta
87,Staub::N,toz,deannach
88,Rauch::N,duman,toit
89,Rauch::N,duman,deatach
90,Funke::N,kıvılcım,drithle
91,Feuer::N,ateş,tine
92,Licht::N,ışık,solas
93,Schatten::N,gölge,scáth
94,Wetter::N,hava,aimsir
95,Nebel::N,pus,ceo
96,Wolke::N,bulut,néal
97,Wolke::N,bulut,scamall
98,Regen::N,yağmur,báisteach
99,Regen::N,yağmur,fearthainn
100,Schnee::N,kar,sneachta
101,Eis::N,buz,oighear
102,Frost::N,don,sioc
103,Kälte::N,soğukluk,fuacht
104,Hitze::N,sıcaklık,teas
105,Hitze::N,sıcaklık,teocht
106,Raureif::N,kırç,sioc bán
107,Regenbogen::N,gökkuşağı,stua ceatha
108,Regenbogen::N,gökkuşağı,bogha báistí
109,Donner::N,gök gürlemesi,toirneach
110,Strömung::N,akıntı,sruth
111,Strömung::N,cereyan,sruth
112,Tropfen::N,damla,deoir
113,Schaum::N,köpük,cúr
114,Schmutz::N,çamur,salachar
115,Schmutz::N,pislik,salachar
116,See::N,göl,loch
117,Sumpf::N,batak,portach
118,Moor::N,cılgıt,caorán
119,Moor::N,cılgıt,móinteán
120,Wiese::N,çimen,cluain
121,Wiese::N,çimen,móinéar
122,Wald::N,koru,coill
123,Wald::N,koru,foraois
124,Wald::N,orman,coill
125,Wald::N,orman,foraois
126,Hügel::N,tepe,ard
127,Anhöhe::N,tümsek,ard
128,Anhöhe::N,tümsek,ardán
129,Anhöhe::N,yükseklik,ard
130,Anhöhe::N,yükseklik,ardán
131,Berg::N,dağ,sliabh
132,Gipfel::N,zirve,barr
133,Gipfel::N,zirve,mullach
134,Höhle::N,in,uaimh
135,Höhle::N,in,pluais
136,Höhle::N,mağara,uaimh
137,Höhle::N,mağara,pluais
138,Abhang::N,bayır,fána
139,Quelle::N,pınar,foinse
140,Quelle::N,kaynak,foinse
141,Bach::N,çay,sruthán
142,Bach::N,dere,sruthán
143,Fluss::N,nehir,abhainn
144,Ufer::N,kıyı,bruach
145,Ufer::N,sahil,bruach
146,Küste::N,kıyı,cósta
147,Küste::N,kıyı,cladach
148,Küste::N,sahil,cósta
149,Küste::N,sahil,cladach
150,Festland::N,kara,míntír
151,Meer::N,deniz,muir
152,Meer::N,deniz,farraige
153,Bucht::N,koy,bá
154,Bucht::N,koy,cuan
155,Bucht::N,körfez,bá
156,Bucht::N,körfez,cuan
157,Insel::N,ada,inis
158,Insel::N,ada,oileán
159,Blume::N,çiçek,bláth
160,Gras::N,ot,féar
161,Gras::N,çim,féar
162,Wurzel::N,kök,rúta
163,Wurzel::N,kök,fréamh
164,Baum::N,ağaç,crann
165,Stamm::N,gövde,stoc
166,Stamm::N,gövde,tamhan
167,Rinde::N,kabuk,coirt
168,Rinde::N,kabuk,craiceann
169,Ast::N,dal,géag
170,Ast::N,budak,géag
171,Zweig::N,dal,géag
172,Zweig::N,dal,craobh
173,Blatt::N,yaprak,duille
174,Blatt::N,yaprak,duilleog
175,Birke::N,huş,beith
176,Birke::N,huş,crann beithe
177,Kiefer[Baum]::N,çam,péine
178,Weide[Baum]::N,söğüt,saileach
179,Tanne::N,çam,giúis
180,Tanne::N,köknar,giúis
181,Horn::N,boynuz,adharc
182,Feder::N,tüy,cleite
183,Fell::N,post,clúmh
184,Flügel::N,kanat,eite
185,Flügel::N,kanat,sciathán
186,Klaue::N,pençe,crúb
187,Klaue::N,pençe,crobh
188,Kralle::N,tırnak,crobh
189,Schwanz::N,kuyruk,eireaball
190,Ei::N,yumurta,ubh
191,Nest::N,yuva,nead
192,Bau::N,in,brocais
193,Tier::N,hayvan,ainmhí
194,Tier::N,hayvan,beithíoch
195,Herde::N,sürü,tréad
196,Kuh::N,inek,bó
197,Bulle::N,boğa,tarbh
198,Pferd::N,at,each
199,Pferd::N,at,capall
200,Pferd::N,beygir,each
201,Pferd::N,beygir,capall
202,Schaf::N,koyun,caora
203,Schwein::N,domuz,muc
204,Hund::N,it,madra
205,Hund::N,köpek,madra
206,Katze::N,kedi,cat
207,Bär::N,ayı,béar
208,Eichhörnchen::N,sincap,iora
209,Elch::N,büyük kuzey geyiği,eilc
210,Fuchs::N,tilki,sionnach
211,Fuchs::N,tilki,madra rua
212,Hase::N,tavşan,giorria
213,Maus::N,fare,luch
214,Maus::N,sıçan,luch
215,Wolf::N,kurt,mac tíre
216,Vogel::N,kuş,éan
217,Schwarm::N,sürü,saithe
218,Huhn::N,tavuk,cearc
219,Hahn::N,horoz,coileach
220,Gans::N,kaz,gé
221,Adler::N,kartal,iolar
222,Adler::N,karakuş,iolar
223,Ente::N,ördek,lacha
224,Eule::N,baykuş,ulchabhán
225,Kranich::N,turna,grús
226,Krähe::N,karga,caróg
227,Krähe::N,karga,préachán
228,Kuckuck::N,guguk,cuach
229,Schwan::N,kuğu,eala
230,Fisch::N,balık,iasc
231,Barsch::N,hani,péirse
232,Barsch::N,levrek,péirse
233,Hecht::N,turnabalığı,liús
234,Schlange[Tier]::N,yılan,nathair
235,Wurm::N,kurt,péist
236,Wurm::N,solucan,péist
237,Spinne::N,örümcek,damhán alla
238,Ameise::N,karınca,seangán
239,Laus::N,bit,míol
240,Mücke::N,sivrisinek,muiscít
241,Mücke::N,sivrisinek,corrmhíol
242,Fliege::N,sinek,cuil
243,Fliege::N,sinek,cuileog
244,Schmetterling::N,kelebek,féileacán
245,Beere::N,tane,caor
246,Apfel::N,elma,úll
247,Pilz::N,mantar,beacán
248,Pilz::N,mantar,muisiriún
249,Zwiebel::N,soğan,oinniún
250,Saat::N,ekin,síol
251,Korn::N,tane,gráinne
252,Heu::N,kuru ot,féar
253,Schale::N,kabuk,scaimh
254,Grube::N,çukur,poll
255,Falle::N,tuzak,gaiste
256,Schlinge::N,ilmik,sealán
257,Spur::N,iz,rian
258,Asche::N,kül,luaith
259,Dreck::N,pislik,salachar
260,Eisen::N,demir,iarann
261,Gold::N,altın,ór
262,Silber::N,gümüş,airgead
