,Concept_ID,lv,uk
0,Auge::N,син,око
1,Auge::N,acs,око
2,Ohr::N,пель,вухо
3,Ohr::N,auss,вухо
4,Nase::N,ныр,ніс
5,Nase::N,deguns,ніс
6,Mund::N,вом,рот
7,Mund::N,mute,рот
8,Zahn::N,пинь,зуб
9,Zahn::N,zobs,зуб
10,Zunge::N,кыв,язик
11,Zunge::N,mēle,язик
12,Lippe::N,вом дор,губа
13,Lippe::N,lūpa,губа
14,Wange::N,бан,щока
15,Wange::N,vaigs,щока
16,Gesicht::N,чужӧм,обличчя
17,Gesicht::N,seja,обличчя
18,Gesicht::N,ģīmis,обличчя
19,Stirn::N,плеш,лоб
20,Stirn::N,кымӧс,лоб
21,Stirn::N,piere,лоб
22,Haar::N,си,волосся
23,Haar::N,юрси,волосся
24,Haar::N,mats,волосся
25,Schnurrbart::N,ус,вуса
26,Schnurrbart::N,пыртсим,вуса
27,Schnurrbart::N,ūsas,вуса
28,Bart::N,тош,борода
29,Bart::N,bārda,борода
30,Kinn::N,тшӧка,підборіддя
31,Kinn::N,zods,підборіддя
32,Kinn::N,smakrs,підборіддя
33,Kiefer[Anatomie]::N,черлы,щелепа
34,Kiefer[Anatomie]::N,алака лы,щелепа
35,Kiefer[Anatomie]::N,вомкӧтш лы,щелепа
36,Kiefer[Anatomie]::N,žoklis,щелепа
37,Kehle::N,голя,горло
38,Kehle::N,rīkle,горло
39,Hals::N,сьылі,шия
40,Hals::N,kakls,шия
41,Genick::N,юрбӧр,потилиця
42,Genick::N,балябӧж,потилиця
43,Genick::N,sprands,потилиця
44,Kopf::N,юр,голова
45,Kopf::N,galva,голова
46,Rücken::N,мыш,спина
47,Rücken::N,mugura,спина
48,Bauch::N,рушку,живіт
49,Bauch::N,vēders,живіт
50,Nabel::N,гӧг,пупок
51,Nabel::N,naba,пупок
52,Busen::N,морӧс,груди
53,Busen::N,krūts,груди
54,Brust::N,морӧс,груди
55,Brust::N,krūts,груди
56,Schulter::N,пельпом,плече
57,Schulter::N,plecs,плече
58,Arm::N,ки,рука
59,Arm::N,roka,рука
60,Arm::N,delms,рука
61,Ellenbogen::N,гырддза,лікоть
62,Ellenbogen::N,elkonis,лікоть
63,Hand::N,ки,рука
64,Hand::N,roka,рука
65,Hand::N,plauksta,рука
66,Handfläche::N,ки пыдӧс,долоня
67,Handfläche::N,delna,долоня
68,Handfläche::N,plauksta,долоня
69,Finger::N,чунь,палець
70,Finger::N,pirksts,палець
71,Fingernagel::N,гыж,ніготь
72,Fingernagel::N,nags,ніготь
73,Nagel[Anatomie]::N,гыж,ніготь
74,Nagel[Anatomie]::N,nags,ніготь
75,Zeh::N,кок чунь,палець на нозі
76,Zeh::N,pirksts,палець на нозі
77,Fuß::N,кок,нога
78,Fuß::N,kāja,нога
79,Ferse::N,кокбӧр,п’ятка
80,Ferse::N,papēdis,п’ятка
81,Knie::N,пидзӧс,коліно
82,Knie::N,celis,коліно
83,Oberschenkel::N,лядьвей,стегно
84,Oberschenkel::N,бек,стегно
85,Oberschenkel::N,ciska,стегно
86,Oberschenkel::N,augšstilbs,стегно
87,Bein::N,кок,нога
88,Bein::N,kāja,нога
89,Körper::N,туша,тіло
90,Körper::N,вывтыр,тіло
91,Körper::N,miesa,тіло
92,Körper::N,ķermenis,тіло
93,Haut::N,ку,шкіра
94,Haut::N,āda,шкіра
95,Blut::N,вир,кров
96,Blut::N,asins,кров
97,Ader::N,сӧн,вена
98,Ader::N,asinsvads,вена
99,Sehne::N,вез,сухожилля
100,Sehne::N,dzīsla,сухожилля
101,Knochen::N,лы,кістка
102,Knochen::N,kauls,кістка
103,Gehirn::N,вем,мозок
104,Gehirn::N,smadzenes,мозок
105,Herz::N,сьӧлӧм,серце
106,Herz::N,sirds,серце
107,Magen::N,кынӧм,шлунок
108,Magen::N,kuņģis,шлунок
109,Leber::N,мус,печінка
110,Leber::N,aknas,печінка
111,Atem::N,лов,дихання
112,Atem::N,elpa,дихання
113,Hunger::N,тшыг,голод
114,Hunger::N,bads,голод
115,Hunger::N,izsalkums,голод
116,Träne::N,синва,сльоза
117,Träne::N,asara,сльоза
118,Geschmack::N,кӧр,смак
119,Geschmack::N,чӧсмӧс,смак
120,Geschmack::N,garša,смак
121,Geruch::N,зын,запах
122,Geruch::N,дук,запах
