,Concept_ID,ga,he
0,Auge::N,súil,עין
1,Ohr::N,cluas,אזן
2,Nase::N,soc,אף
3,Nase::N,soc,חטם
4,Mund::N,béal,פה
5,Zahn::N,fiacail,שן
6,Zunge::N,teanga,לשון
7,Lippe::N,liopa,שפה
8,Wange::N,grua,לחי
9,Wange::N,leiceann,לחי
10,Gesicht::N,éadan,פנים
11,Gesicht::N,aghaidh,פנים
12,Stirn::N,baithis,מצח
13,Stirn::N,clár éadain,מצח
14,Haar::N,gruaig,שערה
15,Schnurrbart::N,croiméal,שפם
16,Bart::N,féasóg,זקן
17,Kinn::N,smig,סנטר
18,Kiefer[Anatomie]::N,giall,לסת
19,Kehle::N,scornach,גרון
20,Hals::N,muinéal,צואר
21,Genick::N,baic,ערף
22,Kopf::N,ceann,ראש
23,Rücken::N,droim,גב
24,Bauch::N,bolg,בטן
25,Nabel::N,imleacán,טבור
26,Busen::N,cíoch,שד
27,Brust::N,brollach,חזה
28,Schulter::N,gualainn,כתף
29,Arm::N,lámh,זרוע
30,Ellenbogen::N,uillinn,מרפק
31,Hand::N,lámh,יד
32,Handfläche::N,bos,כף יד
33,Finger::N,méar,אצבע
34,Fingernagel::N,ionga,צפרן
35,Nagel[Anatomie]::N,ionga,צפרן
36,Zeh::N,ladhar,אצבע
37,Fuß::N,cos,רגל
38,Fuß::N,troigh,רגל
39,Ferse::N,sáil,עקב
40,Knie::N,glúin,ברך
41,Oberschenkel::N,ceathrú,ירך
42,Bein::N,cos,רגל
43,Körper::N,corp,גוף
44,Körper::N,colainn,גוף
45,Haut::N,cneas,עור
46,Haut::N,craiceann,עור
47,Blut::N,fuil,דם
48,Sehne::N,teannán,גיד
49,Sehne::N,féitheog,גיד
50,Knochen::N,cnámh,עצם
51,Gehirn::N,inchinn,מוח
52,Herz::N,croí,לב
53,Magen::N,bolg,קבה
54,Magen::N,goile,קבה
55,Leber::N,ae,כבד
56,Atem::N,anáil,נשימה
57,Hunger::N,ocras,רעב
58,Träne::N,deoir,דמעה
59,Geschmack::N,blas,טעם
60,Geruch::N,boladh,ריח
61,Schlaf::N,suan,שנה
62,Schlaf::N,codladh,שנה
63,Traum::N,taibhreamh,חלום
64,Himmel::N,spéir,שמים
65,Sonne::N,grian,שמש
66,Mond::N,ré,ירח
67,Mond::N,gealach,ירח
68,Stern::N,rinn,כוכב
69,Stern::N,réalta,כוכב
70,Luft::N,aer,אויר
71,Wind::N,gaoth,רוח
72,Welle::N,tonn,גל
73,Wasser::N,uisce,מים
74,Stein::N,cloch,אבן
75,Boden::N,talamh,קרקע
76,Erde::N,cré,אדמה
77,Erde::N,ithir,אדמה
78,Staub::N,dusta,אבק
79,Staub::N,deannach,אבק
80,Rauch::N,toit,עשן
81,Rauch::N,deatach,עשן
82,Funke::N,drithle,ניצוץ
83,Feuer::N,tine,אש
84,Licht::N,solas,אור
85,Schatten::N,scáth,צל
86,Wetter::N,aimsir,מזג אויר
87,Nebel::N,ceo,ערפל
88,Wolke::N,néal,ענן
89,Wolke::N,scamall,ענן
90,Regen::N,báisteach,גשם
91,Regen::N,fearthainn,גשם
92,Schnee::N,sneachta,שלג
93,Eis::N,oighear,קרח
94,Frost::N,sioc,צנה
95,Kälte::N,fuacht,קר
96,Hitze::N,teas,חם
97,Hitze::N,teocht,חם
98,Raureif::N,sioc bán,כפור
99,Regenbogen::N,stua ceatha,קשת
100,Regenbogen::N,bogha báistí,קשת
101,Donner::N,toirneach,רעם
102,Strömung::N,sruth,זרימה
103,Tropfen::N,deoir,טפה
104,Schaum::N,cúr,קצף
105,Schmutz::N,salachar,לכלוך
106,See::N,loch,אגם
107,Sumpf::N,portach,בצה
108,Moor::N,caorán,בצה
109,Moor::N,móinteán,בצה
110,Wiese::N,cluain,מרעה
111,Wiese::N,móinéar,מרעה
112,Wald::N,coill,יער
113,Wald::N,foraois,יער
114,Hügel::N,ard,תל
115,Anhöhe::N,ard,מעלה
116,Anhöhe::N,ardán,מעלה
117,Berg::N,sliabh,הר
118,Gipfel::N,barr,פסגה
119,Gipfel::N,mullach,פסגה
120,Höhle::N,uaimh,מערה
121,Höhle::N,pluais,מערה
122,Abhang::N,fána,מדרון
123,Abhang::N,fána,שפוע
124,Quelle::N,foinse,מעין
125,Bach::N,sruthán,נחל
126,Fluss::N,abhainn,נהר
127,Ufer::N,bruach,גדה
128,Küste::N,cósta,חוף
129,Küste::N,cladach,חוף
130,Festland::N,míntír,יבשה
131,Meer::N,muir,ים
132,Meer::N,farraige,ים
133,Bucht::N,bá,מפרץ
134,Bucht::N,cuan,מפרץ
135,Insel::N,inis,אי
136,Insel::N,oileán,אי
137,Blume::N,bláth,פרח
138,Gras::N,féar,דשא
139,Wurzel::N,rúta,שרש
140,Wurzel::N,fréamh,שרש
141,Baum::N,crann,עץ
142,Stamm::N,stoc,גזע
143,Stamm::N,tamhan,גזע
144,Rinde::N,coirt,קלפת עץ
145,Rinde::N,craiceann,קלפת עץ
146,Ast::N,géag,ענף
147,Zweig::N,géag,ענף
148,Zweig::N,craobh,ענף
149,Blatt::N,duille,עלה
150,Blatt::N,duilleog,עלה
151,Birke::N,beith,שדר
152,Birke::N,crann beithe,שדר
153,Kiefer[Baum]::N,péine,ארן
154,Weide[Baum]::N,saileach,ערבה
155,Tanne::N,giúis,אשוח
156,Horn::N,adharc,קרן
157,Feder::N,cleite,נוצה
158,Fell::N,clúmh,פרוה
159,Flügel::N,eite,כנף
160,Flügel::N,sciathán,כנף
161,Klaue::N,crúb,טלף
162,Klaue::N,crobh,טלף
163,Kralle::N,crobh,טפר
164,Schwanz::N,eireaball,זנב
165,Ei::N,ubh,ביצה
166,Nest::N,nead,קן
167,Bau::N,brocais,מחלה
168,Tier::N,ainmhí,חיה
169,Tier::N,beithíoch,חיה
170,Herde::N,tréad,עדר
171,Kuh::N,bó,פרה
172,Bulle::N,tarbh,פר
173,Pferd::N,each,סוס
174,Pferd::N,capall,סוס
175,Schaf::N,caora,כבשה
176,Schwein::N,muc,חזיר
177,Hund::N,madra,כלב
178,Katze::N,cat,חתול
179,Bär::N,béar,דב
180,Eichhörnchen::N,iora,סנאי
181,Elch::N,eilc,דישון
182,Fuchs::N,sionnach,שועל
183,Fuchs::N,madra rua,שועל
184,Hase::N,giorria,ארנב
185,Maus::N,luch,עכבר
186,Wolf::N,mac tíre,זאב
187,Vogel::N,éan,צפור
188,Schwarm::N,saithe,נחיל
189,Schwarm::N,saithe,להקה
190,Huhn::N,cearc,תרנגלת
191,Hahn::N,coileach,תרנגול
192,Gans::N,gé,אוז
193,Adler::N,iolar,עיט
194,Ente::N,lacha,ברוז
195,Eule::N,ulchabhán,ינשוף
196,Kranich::N,grús,עגור
197,Kranich::N,grús,כרוכיה
198,Krähe::N,caróg,עורב
199,Krähe::N,préachán,עורב
200,Kuckuck::N,cuach,קוקיה
201,Schwan::N,eala,ברבור
202,Fisch::N,iasc,דג
203,Barsch::N,péirse,אוקונוס
204,Hecht::N,liús,זאב הים
205,Schlange[Tier]::N,nathair,נחש
206,Wurm::N,péist,תולעת
