,Concept_ID,cv,lbe
0,Auge::N,куҫ,я
1,Ohr::N,хӑлха,вичӏи
2,Nase::N,сӑмса,май
3,Mund::N,ҫӑвар,кьацӏ
4,Zahn::N,шӑл,ккарччи
5,Zunge::N,чӗлхе,маз
6,Lippe::N,тута,мурччи
7,Wange::N,пит ҫӑмарти,чӏав
8,Gesicht::N,пит,лажин
9,Gesicht::N,пит-куҫ,лажин
10,Stirn::N,ҫамка,ненттабакӏ
11,Haar::N,ҫӳҫ,чӏара
12,Schnurrbart::N,усси,ссирссилтту
13,Bart::N,сухал,чӏири
14,Kinn::N,янах,лунттубакӏ
15,Kiefer[Anatomie]::N,янах,ххинчулул
16,Kehle::N,пыр,кьакьари
17,Kehle::N,карланкӑ,кьакьари
18,Hals::N,пыр,ссурссу
19,Genick::N,ӗнсе,махъабакӏ
20,Kopf::N,пуҫ,бакӏ
21,Rücken::N,ҫурӑм,ттиликӏ
22,Nabel::N,кӑвапа,цӏумуккутӏ
23,Busen::N,кӑкӑр,ккукку
24,Brust::N,умӗ,хъазам
25,Schulter::N,хул пуҫҫи,хъачӏ
26,Arm::N,алӑ,ка
27,Ellenbogen::N,чавса,ссюрхъ
28,Hand::N,алӑ сыппи,бартка
29,Handfläche::N,ал лаппи,хъат
30,Handfläche::N,ал лаппи,битӏянхъ
31,Finger::N,пӳрне,кӏисса
32,Fingernagel::N,чӗрне,михь
33,Nagel[Anatomie]::N,чӗрне,михь
34,Zeh::N,пӳрне,кӏисса
35,Fuß::N,ура лаппи,чӏанччан
36,Ferse::N,кӗле,никъа
37,Knie::N,чӗркуҫҫи,ник
38,Oberschenkel::N,пӗҫӗ,жира
39,Bein::N,ура,ччан
40,Körper::N,ӳт,чурх
41,Körper::N,ӳт-пӳ,чурх
42,Haut::N,тир,бурчу
43,Blut::N,юн,оь
44,Ader::N,вена,тунну
45,Sehne::N,шӑнӑр,хьхьа
46,Knochen::N,шӑмӑ,ттаркӏ
47,Gehirn::N,миме,ня
48,Herz::N,чӗре,дакӏ
49,Herz::N,чӗре,къюкӏ
50,Magen::N,хырӑмлӑх,лякьа
51,Leber::N,пӗвер,
52,Atem::N,сывлав,ссихӏ ласаву
53,Atem::N,сывлав,ссихӏ бигьаву
54,Hunger::N,выҫлӑх,ккаши
55,Träne::N,куҫҫуль,макь
56,Geschmack::N,техӗм,тӏин
57,Geschmack::N,техӗм,тӏааьн
58,Geruch::N,шӑршӑ,кьанкь
59,Schlaf::N,ыйхӑ,шану
60,Traum::N,тӗлӗк,макӏру
61,Himmel::N,пӗлӗт,ссав
62,Sonne::N,хӗвел,баргъ
63,Mond::N,уйӑх,барз
64,Stern::N,ҫӑлтӑр,цӏуку
65,Luft::N,сывлӑш,гьава
66,Wind::N,ҫил,марч
67,Welle::N,хум,щатӏи
68,Wasser::N,шыв,щин
69,Wasser::N,шыв-шур,щин
70,Stein::N,чул,чару
71,Boden::N,тӑпра,аьрщи
72,Erde::N,ҫӗр,аьрщи
73,Staub::N,тусан,ххит
74,Rauch::N,тӗтӗм,пуркӏу
75,Funke::N,хӗм,пиягь
76,Feuer::N,вут,цӏу
77,Feuer::N,ҫулӑм,цӏу
78,Licht::N,ҫутӑ,чани
79,Schatten::N,сулхӑн,ххют
80,Wetter::N,ҫанталӑк,гьава
81,Nebel::N,тӗтре,шархь ттурлу
82,Wolke::N,пӗлӗт,ттурлу
83,Regen::N,ҫумӑр,гъарал
84,Schnee::N,юр,марххала
85,Eis::N,пӑр,микӏ
86,Frost::N,сивӗ,дяркъу
87,Frost::N,сивӗ,замгьар
88,Kälte::N,сивӗ,дяркъу
89,Hitze::N,вӗри,кӏиришиву
90,Hitze::N,шӑрӑх,кӏиришиву
91,Raureif::N,пас,сил
92,Raureif::N,пас,бурса
93,Regenbogen::N,асамат кӗперӗ,ссурул ккуртта
94,Donner::N,аслати,къув
95,Strömung::N,юхӑ,экьинанаву
96,Tropfen::N,тумлам,кӏунтӏ
97,Schaum::N,кӑпӑк,хьама
98,Schmutz::N,пылчӑк,кьяркьи
99,See::N,кӳлӗ,бяр
100,Sumpf::N,шур,кунцӏа
101,Sumpf::N,шурлӑх,кунцӏа
102,Moor::N,торфлӑ шурлӑх,
103,Wiese::N,улӑх,кьан
104,Wiese::N,ҫаран,кьан
105,Wald::N,вӑрман,вацӏа
106,Hügel::N,сӑрт,бакӏу
107,Hügel::N,тӗмеске,бакӏу
108,Anhöhe::N,сӑрт,
109,Berg::N,ту,зунтту
110,Gipfel::N,тӳпе,мицӏ
111,Höhle::N,ҫӗр хӑвӑлӗ,нух
112,Abhang::N,тӑвайкки,сун
113,Quelle::N,ҫӑл куҫ,дайдихьу
114,Quelle::N,ҫӑл куҫ,бакӏ
115,Bach::N,пӗчӗк шыв,чӏрир нех
116,Fluss::N,юхан шыв,нех
117,Ufer::N,ҫыран,зума
118,Küste::N,тинӗс ҫыранӗ,зумаинхалу
119,Küste::N,тинӗс ҫыранӗ,зуманицӏалу
120,Festland::N,тип ҫӗр,кьири
121,Meer::N,тинӗс,хьхьири
122,Bucht::N,тинӗс кукӑрӗ,
123,Insel::N,утрав,жазира
124,Blume::N,чечек,тӏутӏи
125,Gras::N,курӑк,уртту
126,Wurzel::N,тымар,мархха
127,Baum::N,йывӑҫ,мурхь
128,Stamm::N,вулӑ,ттарцӏ
129,Rinde::N,хуйӑр,ккамара
130,Ast::N,турат,матӏи
131,Zweig::N,турат,къяртта
132,Blatt::N,ҫулҫӑ,чӏапӏи
133,Birke::N,хурӑн,кӏялахӏи
134,Birke::N,хурӑн,кӏялахӏилул мурхь
135,Kiefer[Baum]::N,хыр,ттар
136,Kiefer[Baum]::N,хыр,ттарлил мурхь
137,Weide[Baum]::N,хӑва,щавщи
138,Tanne::N,чӑрӑш,ттарлил мурхь
139,Horn::N,мӑйрака,хъи
140,Feder::N,тӗк,лелуххул тӏиму
141,Fell::N,ҫӑм,бурчу
142,Flügel::N,ҫунат,хъа
143,Flügel::N,ҫунат,ххурупӏайрал тӏиму
144,Klaue::N,чӗрне,михь
145,Kralle::N,ура,ххяппа
146,Schwanz::N,хӳре,магъ
147,Ei::N,ҫӑмарта,ккунук
148,Nest::N,йӑва,кюру
149,Bau::N,йӗнӗ,цукъуккутӏ
150,Tier::N,выльӑх,хӏайван
151,Herde::N,кӗтӳ,газу
152,Kuh::N,ӗне,оьл
153,Bulle::N,вӑкӑр,ниц
154,Pferd::N,лаша,чу
155,Schaf::N,сурӑх,тта
156,Schwein::N,сысна,дунгъуз
157,Hund::N,йытӑ,ккаччи
158,Katze::N,кушак,ччиту
159,Bär::N,упа,цуша
160,Eichhörnchen::N,пакша,бюрхттукку
161,Elch::N,пӑши,ниц-бюрин
162,Fuchs::N,тилӗ,цулчӏа
163,Fuchs::N,тилӗ,куча цулчӏа
164,Hase::N,куян,бюрх
165,Hase::N,мулкач,бюрх
166,Maus::N,шӑши,кӏулу
167,Wolf::N,кашкӑр,барцӏ
168,Vogel::N,кайӑк,лелуххи
169,Vogel::N,вӗҫен кайӑк,лелуххи
170,Schwarm::N,ушкӑн,гьухъала
171,Huhn::N,чӑх,аьнакӏи
172,Huhn::N,чӑхӑ,аьнакӏи
173,Hahn::N,автан,ажари
174,Gans::N,хур,къаз
175,Adler::N,ӑмӑрт кайӑк,барзу
176,Ente::N,кӑвакал,урдак
177,Eule::N,тӑмана,ису
178,Eule::N,тӑмана,ччиккумяв
179,Kranich::N,тӑрна,кьурукь
180,Krähe::N,ула курак,хъатӏу
181,Kuckuck::N,куккук,ччикку
182,Schwan::N,акӑш,урттил къаз
183,Fisch::N,пулӑ,чавахъ
184,Barsch::N,уланкӑ,
185,Hecht::N,ҫӑрттан,
186,Schlange[Tier]::N,ҫӗлен,шатта
187,Wurm::N,ӑман,кьюнукьай шатта
188,Spinne::N,эрешмен,ххялцу
189,Ameise::N,кӑткӑ,митӏикьукьу
190,Laus::N,пыйтӑ,
