,Concept_ID,ko,uz
0,Auge::N,눈,ko'z
1,Ohr::N,귀,quloq
2,Nase::N,코,burun
3,Mund::N,입,og'iz
4,Zahn::N,이,tish
5,Zunge::N,혀,til
6,Lippe::N,입술,dudoq
7,Wange::N,뺨,bet
8,Gesicht::N,얼굴,yuz
9,Stirn::N,이마,manglay
10,Haar::N,털,soch
11,Schnurrbart::N,윗수몀,mo'ylov
12,Schnurrbart::N,코밑수염,mo'ylov
13,Bart::N,수엄,soqol
14,Kinn::N,아래턱,ängak
15,Kiefer[Anatomie]::N,턱,iyak
16,Kehle::N,인후,bo'g'iz
17,Hals::N,목,bo'yin
18,Genick::N,먹덜이,gardan
19,Kopf::N,머리,bosh
20,Rücken::N,든,orqa
21,Bauch::N,배,qorin
22,Nabel::N,배꼽,kindik
23,Busen::N,가슴속,ämchak
24,Brust::N,가슴,ko'krak
25,Schulter::N,어깨,elka
26,Arm::N,팔,bilak
27,Ellenbogen::N,팔쿰치,tirsak
28,Hand::N,손,qo'l
29,Handfläche::N,손바닥,kaft
30,Finger::N,속가락,barmoq
31,Fingernagel::N,손톱,tirnoq
32,Nagel[Anatomie]::N,손톱,tirnoq
33,Zeh::N,발가락,oyoq barmog'i
34,Fuß::N,발,oyoq
35,Ferse::N,발꿈치,tovon
36,Knie::N,무릎,tiz
37,Oberschenkel::N,허벅다리,son
38,Bein::N,다리,oyoq
39,Körper::N,구간,badna
40,Haut::N,살갗,teri
41,Blut::N,피,qon
42,Ader::N,정맥,qon tomir
43,Sehne::N,현,tomir
44,Knochen::N,뼈,suyak
45,Gehirn::N,뇌,miya
46,Gehirn::N,뇌수,miya
47,Herz::N,염통,qalb
48,Magen::N,위,oshqozon
49,Leber::N,간,bag'ir
50,Atem::N,기식,dam
51,Hunger::N,공복,ochlik
52,Träne::N,눈물,yosh
53,Geschmack::N,기호,tam
54,Geruch::N,냄새,jid
55,Schlaf::N,수면,uyqu
56,Traum::N,쿰,tush
57,Himmel::N,하늘,osmon
58,Sonne::N,해,quyosh
59,Mond::N,달,oy
60,Stern::N,별,yulduz
61,Luft::N,동준,havo
62,Luft::N,가스채,havo
63,Wind::N,바람,el
64,Welle::N,물결,to'lqin
65,Wasser::N,물,suv
66,Stein::N,돌,tosh
67,Boden::N,바닥,tuproq
68,Erde::N,흙,er
69,Staub::N,먼지,chang
70,Rauch::N,연기,tutun
71,Funke::N,불티,yalt
72,Feuer::N,불,o't
73,Licht::N,불,yorug'
74,Schatten::N,어스레함,soya
75,Wetter::N,기상,havo
76,Nebel::N,안개,tuman
77,Wolke::N,구름,bulut
78,Regen::N,비,yomg'ir
79,Schnee::N,눈,qor
80,Eis::N,얼음,muz
81,Frost::N,혹한,ajoz
82,Kälte::N,추위,ajoz
83,Kälte::N,차가움,ajoz
84,Hitze::N,고온,issiq
85,Hitze::N,더위,issiq
86,Regenbogen::N,무지개,kamalak
87,Donner::N,뇌명,guldur
88,Strömung::N,유동,oqim
89,Tropfen::N,물방울,tomchi
90,Schaum::N,포말,ko'pik
91,Schmutz::N,때,gard
92,See::N,호수,ko'l
93,Sumpf::N,습지,botqoq
94,Moor::N,저습지,qir-adir
95,Wiese::N,목초지,o'tzor
96,Wald::N,숲,o'rmon
97,Hügel::N,언덕,tepa
98,Anhöhe::N,언덕,adir
99,Berg::N,산,tog'
100,Gipfel::N,졀졍,cho'qqi
101,Höhle::N,공동,kavak
102,Abhang::N,몰매,to'sh
103,Quelle::N,근원,buloq
104,Bach::N,내,o'zan
105,Fluss::N,강,daryo
106,Ufer::N,강변,sohil
107,Ufer::N,바닷가,sohil
108,Küste::N,해변,qirg'oq
109,Küste::N,해변가,qirg'oq
110,Festland::N,본토,materik
111,Meer::N,바다,dengiz
112,Bucht::N,협만,qo'ltiq
113,Insel::N,섬,orol
114,Blume::N,꽃,gul
115,Gras::N,풀,sabza
116,Wurzel::N,뿌리,tub
117,Wurzel::N,뿌리,tomir
118,Baum::N,나무,daraxt
119,Stamm::N,대,o'simta
120,Rinde::N,나무껍질,qobiq
121,Ast::N,가지,shox
122,Zweig::N,가지,butoq
123,Blatt::N,잎,barg
124,Birke::N,자작나무,qayin
125,Kiefer[Baum]::N,소나무,qarag'ay
126,Weide[Baum]::N,쉬양버들,shum
127,Tanne::N,전나무,archa
128,Horn::N,뿔,mugiz
129,Feder::N,깃털,par
130,Fell::N,피혁모피,mo'yna
131,Flügel::N,날개,qanot
132,Klaue::N,갈고리 발톺,tirnoq
133,Kralle::N,발툭,tirnoq
134,Schwanz::N,꼬리,quyruq
135,Ei::N,알,tuxum
136,Nest::N,보금자리,oshyon
137,Bau::N,굴,o'pqon
138,Tier::N,짐승,hayvon
139,Herde::N,가축의떼,gala
140,Kuh::N,암소,inak
141,Bulle::N,황소,ho'kiz
142,Pferd::N,말,ot
