,Concept_ID,la,it
0,Auge::N,oculus,occhio
1,Ohr::N,auris,orecchio
2,Nase::N,nasus,naso
3,Mund::N,os,bocca
4,Zahn::N,dens,dente
5,Zunge::N,lingua,lingua
6,Lippe::N,labrum,labbro
7,Wange::N,gena,guancia
8,Gesicht::N,vultus,viso
9,Gesicht::N,vultus,faccia
10,Stirn::N,frons,fronte
11,Haar::N,capillus,capello
12,Schnurrbart::N,barba labri superioris,baffi
13,Schnurrbart::N,barba labri superioris,mustacchi
14,Bart::N,barba,barba
15,Kinn::N,mentum,mento
16,Kiefer[Anatomie]::N,mala,mascella
17,Kehle::N,iugulums,gola
18,Hals::N,collum,collo
19,Genick::N,cervices,nuca
20,Kopf::N,caput,capo
21,Kopf::N,caput,testa
22,Rücken::N,tergum,dorso
23,Rücken::N,tergum,schiena
24,Bauch::N,venter,ventre
25,Nabel::N,umbilicus,ombelico
26,Busen::N,sinus,seno
27,Brust::N,pectus,petto
28,Schulter::N,umerus,spalla
29,Arm::N,bracchium,braccio
30,Ellenbogen::N,cubitum,gomito
31,Hand::N,manus,mano
32,Handfläche::N,palma,palma
33,Finger::N,digitus,dito
34,Fingernagel::N,unguiculus,unghia
35,Nagel[Anatomie]::N,unguis,unghia
36,Zeh::N,digitus,dito del piede
37,Fuß::N,pes,piede
38,Ferse::N,calx,tallone
39,Ferse::N,calx,calcagno
40,Knie::N,genu,ginocchio
41,Oberschenkel::N,femur,fèmore
42,Bein::N,crus,gamba
43,Körper::N,corpus,corpo
44,Haut::N,cutis,pelle
45,Haut::N,pellis,pelle
46,Blut::N,sanguis,sangue
47,Ader::N,vena,vena
48,Sehne::N,nervus,tèndine
49,Knochen::N,os,osso
50,Gehirn::N,cerebrum,cervello
51,Herz::N,cor,cuore
52,Herz::N,animus,cuore
53,Magen::N,stomachus,stòmaco
54,Leber::N,iecur,fegato
55,Atem::N,spiritus,fiato
56,Atem::N,spiritus,respiro
57,Hunger::N,fames,fame
58,Träne::N,lacrima,làcrima
59,Geschmack::N,sapor,gusto
60,Geschmack::N,sapor,sapore
61,Geschmack::N,gustus,gusto
62,Geschmack::N,gustus,sapore
63,Geruch::N,odor,odore
64,Schlaf::N,somnus,sonno
65,Traum::N,somnium,sogno
66,Himmel::N,caelum,cielo
67,Sonne::N,sol,sole
68,Mond::N,luna,luna
69,Stern::N,sidus,stella
70,Stern::N,stella,stella
71,Luft::N,aer,aria
72,Wind::N,ventus,vento
73,Welle::N,unda,onda
74,Wasser::N,aqua,acqua
75,Stein::N,lapis,sasso
76,Stein::N,lapis,pietra
77,Boden::N,solum,suolo
78,Boden::N,solum,terreno
79,Erde::N,terra,terra
80,Staub::N,pulvis,polvere
81,Rauch::N,fumus,fumo
82,Funke::N,scintilla,scintilla
83,Feuer::N,ignis,fuoco
84,Licht::N,lux,luce
85,Licht::N,lumen,luce
86,Schatten::N,umbra,ombra
87,Wetter::N,caelum,tempo
88,Wetter::N,tempestas,tempo
89,Nebel::N,nebula,nebbia
90,Wolke::N,nubes,nube
91,Wolke::N,nubes,nùvola
92,Regen::N,imber,pioggia
93,Regen::N,pluvia,pioggia
94,Schnee::N,nix,neve
95,Eis::N,glacies,ghiaccio
96,Frost::N,gelu,gelo
97,Kälte::N,frigus,freddo
98,Hitze::N,calor,caldo
99,Hitze::N,calor,calura
100,Hitze::N,aestus,caldo
101,Hitze::N,aestus,calura
102,Raureif::N,pruina,brina
103,Regenbogen::N,arcus,arcobaleno
104,Donner::N,tonitrus,tuono
105,Strömung::N,fluctus,corrente
106,Tropfen::N,gutta,goccia
107,Schaum::N,spuma,spuma
108,Schaum::N,spuma,schiuma
109,Schmutz::N,sordes,sudiciume
110,Schmutz::N,squalor,sudiciume
111,See::N,lacus,lago
112,Sumpf::N,palus,palude
113,Moor::N,palus,torbiera
114,Wiese::N,pratum,prato
115,Wald::N,silva,bosco
116,Wald::N,silva,foresta
117,Hügel::N,collis,colle
118,Hügel::N,collis,collina
119,Anhöhe::N,specula,altura
120,Berg::N,mons,monte
121,Berg::N,mons,montagna
122,Gipfel::N,vertex,cima
123,Höhle::N,caverna,grotta
124,Höhle::N,caverna,caverna
125,Höhle::N,spelunca,grotta
126,Höhle::N,spelunca,caverna
