,Concept_ID,pl,uz
0,Auge::N,oko,ko'z
1,Ohr::N,ucho,quloq
2,Nase::N,nos,burun
3,Mund::N,usta,og'iz
4,Zahn::N,ząb,tish
5,Zunge::N,język,til
6,Lippe::N,warga,dudoq
7,Wange::N,policzek,bet
8,Gesicht::N,twarz,yuz
9,Stirn::N,czoło,manglay
10,Haar::N,włos,soch
11,Haar::N,włosy,soch
12,Schnurrbart::N,wąsy,mo'ylov
13,Bart::N,broda,soqol
14,Kinn::N,podbródek,ängak
15,Kiefer[Anatomie]::N,czeluść,iyak
16,Kehle::N,gardło,bo'g'iz
17,Hals::N,szyja,bo'yin
18,Genick::N,kark,gardan
19,Kopf::N,głowa,bosh
20,Rücken::N,plecy,orqa
21,Rücken::N,grzbiet,orqa
22,Bauch::N,brzuch,qorin
23,Nabel::N,pępek,kindik
24,Busen::N,biust,ämchak
25,Brust::N,pierś,ko'krak
26,Schulter::N,bark,elka
27,Schulter::N,ramię,elka
28,Arm::N,ręka,bilak
29,Arm::N,ramię,bilak
30,Ellenbogen::N,łokieć,tirsak
31,Hand::N,dłoń,qo'l
32,Handfläche::N,dłoń,kaft
33,Finger::N,palec,barmoq
34,Fingernagel::N,paznokieć,tirnoq
35,Nagel[Anatomie]::N,paznokieć,tirnoq
36,Zeh::N,palec,oyoq barmog'i
37,Fuß::N,stopa,oyoq
38,Ferse::N,pięta,tovon
39,Knie::N,kolano,tiz
40,Oberschenkel::N,udo,son
41,Bein::N,noga,oyoq
42,Körper::N,ciało,badna
43,Haut::N,skóra,teri
44,Blut::N,krew,qon
45,Ader::N,żyła,qon tomir
46,Sehne::N,ścięgno,tomir
47,Knochen::N,kość,suyak
48,Gehirn::N,mózg,miya
49,Herz::N,serce,qalb
50,Magen::N,żołądek,oshqozon
51,Leber::N,wątroba,bag'ir
52,Atem::N,dech,dam
53,Atem::N,oddech,dam
54,Hunger::N,głód,ochlik
55,Träne::N,łza,yosh
56,Geschmack::N,smak,tam
57,Geruch::N,woń,jid
58,Geruch::N,zapach,jid
59,Schlaf::N,sen,uyqu
60,Traum::N,sen,tush
61,Himmel::N,niebo,osmon
62,Sonne::N,słońce,quyosh
63,Mond::N,księżyc,oy
64,Stern::N,gwiazda,yulduz
65,Luft::N,powietrze,havo
66,Wind::N,wiatr,el
67,Welle::N,fala,to'lqin
68,Wasser::N,woda,suv
69,Stein::N,kamień,tosh
70,Boden::N,grunt,tuproq
71,Erde::N,ziemia,er
72,Staub::N,pył,chang
73,Staub::N,kurz,chang
74,Rauch::N,dym,tutun
75,Funke::N,iskra,yalt
76,Feuer::N,ogień,o't
77,Licht::N,światło,yorug'
78,Schatten::N,cień,soya
79,Wetter::N,pogoda,havo
80,Nebel::N,mgła,tuman
81,Wolke::N,obłok,bulut
82,Wolke::N,chmura,bulut
83,Regen::N,deszcz,yomg'ir
84,Schnee::N,śnieg,qor
85,Eis::N,lód,muz
86,Frost::N,mróz,ajoz
