,Concept_ID,fi,hr
0,Auge::N,silmä,oko
1,Ohr::N,korva,uho
2,Nase::N,nenä,nos
3,Mund::N,suu,usta
4,Zahn::N,hammas,zub
5,Zunge::N,kieli,jezik
6,Lippe::N,huuli,usna
7,Wange::N,poski,obraz
8,Gesicht::N,naama,lice
9,Gesicht::N,kasvot,lice
10,Stirn::N,otsa,čelo
11,Haar::N,hius,kosa
12,Haar::N,tukka,kosa
13,Schnurrbart::N,viikset,brkovi
14,Bart::N,parta,brada
15,Kinn::N,leuka,brada
16,Kinn::N,leuka,podbradak
17,Kiefer[Anatomie]::N,leukaluu,čeljust
18,Kehle::N,kurkku,grlo
19,Hals::N,kaula,vrat
20,Genick::N,niska,zatiljak
21,Kopf::N,pää,glava
22,Rücken::N,selkä,leđa
23,Rücken::N,selkä,hrbat
24,Bauch::N,maha,trbuh
25,Bauch::N,vatsa,trbuh
26,Nabel::N,napa,pupak
27,Busen::N,rinta,sisa
28,Busen::N,rinta,njedra
29,Brust::N,rinta,prsa
30,Schulter::N,olka,rame
31,Schulter::N,olka,pleći
32,Schulter::N,hartia,rame
33,Schulter::N,hartia,pleći
34,Schulter::N,olkapää,rame
35,Schulter::N,olkapää,pleći
36,Arm::N,käsivarsi,ruka
37,Ellenbogen::N,kyynärpää,lakat
38,Hand::N,käsi,ruka
39,Handfläche::N,kämmen,dlan
40,Finger::N,sormi,prst
41,Fingernagel::N,kynsi,nokat
42,Nagel[Anatomie]::N,kynsi,nokat
43,Zeh::N,varvas,nozni prst
44,Fuß::N,jalka,noga
45,Fuß::N,jalka,stopalo
46,Ferse::N,kantapää,peta
47,Knie::N,polvi,koljeno
48,Oberschenkel::N,reisi,bedro
49,Bein::N,jalka,noga
50,Körper::N,keho,tijelo
51,Körper::N,ruumis,tijelo
52,Haut::N,iho,put
53,Haut::N,iho,koža
54,Blut::N,veri,krv
55,Ader::N,suoni,žila
56,Sehne::N,jänne,tetiva
57,Knochen::N,luu,kost
58,Gehirn::N,aivot,
59,Herz::N,sydän,srce
60,Magen::N,maha,stomak
61,Magen::N,maha,želudac
62,Magen::N,vatsa,stomak
63,Magen::N,vatsa,želudac
64,Leber::N,maksa,jetra
65,Atem::N,henki,dah
66,Atem::N,hengitys,dah
67,Hunger::N,nälkä,glad
68,Träne::N,kyynel,suza
69,Geschmack::N,maku,ukus
70,Geruch::N,haju,njuh
71,Geruch::N,haju,miris
72,Schlaf::N,uni,san
73,Traum::N,uni,san
74,Himmel::N,taivas,nebo
75,Sonne::N,aurinko,sunce
76,Mond::N,kuu,mjesec
77,Stern::N,tähti,zvijezda
78,Luft::N,ilma,zrak
79,Wind::N,tuuli,vjetar
80,Welle::N,aalto,val
81,Welle::N,aalto,talas
82,Wasser::N,vesi,voda
83,Stein::N,kivi,kamen
84,Boden::N,maa,tlo
85,Boden::N,maa,zemlja
86,Boden::N,maaperä,tlo
87,Boden::N,maaperä,zemlja
88,Erde::N,maa,zemlja
89,Staub::N,pöly,prah
90,Staub::N,pöly,prašina
91,Rauch::N,savu,dim
92,Funke::N,kipinä,iskra
93,Funke::N,kipinä,varnica
