,Concept_ID,uk,ar
0,Auge::N,око,عين
1,Ohr::N,вухо,أذن
2,Nase::N,ніс,أنف
3,Mund::N,рот,فم
4,Zahn::N,зуб,سن
5,Zunge::N,язик,لسان
6,Lippe::N,губа,شفة
7,Wange::N,щока,خد
8,Wange::N,щока,وجنة
9,Gesicht::N,обличчя,وجه
10,Stirn::N,лоб,جبين
11,Haar::N,волосся,شعر
12,Schnurrbart::N,вуса,شارب
13,Bart::N,борода,لحية
14,Kinn::N,підборіддя,ذقن
15,Kiefer[Anatomie]::N,щелепа,فك
16,Kehle::N,горло,حلق
17,Hals::N,шия,عنق
18,Hals::N,шия,رقبة
19,Genick::N,потилиця,قفا
20,Kopf::N,голова,رأس
21,Rücken::N,спина,ظهر
22,Bauch::N,живіт,بطن
23,Nabel::N,пупок,سرة
24,Busen::N,груди,ثدي
25,Brust::N,груди,صدر
26,Schulter::N,плече,كتف
27,Arm::N,рука,ذراع
28,Ellenbogen::N,лікоть,كوع
29,Hand::N,рука,يد
30,Handfläche::N,долоня,كف
31,Finger::N,палець,إصبع
32,Fingernagel::N,ніготь,ظفر
33,Nagel[Anatomie]::N,ніготь,ظفر
34,Zeh::N,палець на нозі,إصبع القدم
35,Fuß::N,нога,قدم
36,Ferse::N,п’ятка,كعب
37,Knie::N,коліно,ركبة
38,Oberschenkel::N,стегно,فخذ
39,Bein::N,нога,ساق
40,Körper::N,тіло,جسم
41,Haut::N,шкіра,بشرة
42,Blut::N,кров,دم
43,Ader::N,вена,عرق
44,Sehne::N,сухожилля,طنب
45,Knochen::N,кістка,عظم
46,Gehirn::N,мозок,دماغ
47,Herz::N,серце,قلب
48,Magen::N,шлунок,معدة
49,Leber::N,печінка,كبد
50,Atem::N,дихання,نفس
51,Hunger::N,голод,جوع
52,Träne::N,сльоза,دمعة
53,Geschmack::N,смак,طعم
54,Geschmack::N,смак,مذاق
55,Geruch::N,запах,رائحة
56,Schlaf::N,сон,نوم
57,Schlaf::N,сон,منام
58,Schlaf::N,сплячка,نوم
59,Schlaf::N,сплячка,منام
60,Traum::N,сон,حلم
61,Himmel::N,небо,سماء
62,Sonne::N,сонце,شمس
63,Mond::N,місяць,قمر
64,Stern::N,зірка,نجم
65,Stern::N,зірка,كوكب
66,Luft::N,повітря,هواء
67,Wind::N,вітер,ريح
68,Welle::N,хвиля,موجة
69,Wasser::N,вода,ماء
70,Stein::N,камінь,حجر
71,Boden::N,ґрунт,تراب
72,Erde::N,земля,أرض
73,Staub::N,пил,غبار
74,Rauch::N,дим,دخان
75,Funke::N,іскра,شرارة
76,Feuer::N,вогонь,نار
77,Licht::N,світло,نور
78,Licht::N,світло,ضوء
79,Schatten::N,тінь,ظل
80,Schatten::N,тінь,فيء
81,Wetter::N,погода,جو
82,Wetter::N,погода,طقس
83,Nebel::N,туман,ضباب
84,Wolke::N,хмара,غيمة
85,Wolke::N,хмара,سحابة
86,Regen::N,дощ,مطر
87,Schnee::N,сніг,ثلج
88,Eis::N,лід,جليد
89,Frost::N,мороз,صقيع
90,Kälte::N,холод,برد
91,Hitze::N,жар,حر
92,Hitze::N,жар,حرارة
93,Raureif::N,іній,صقيع
94,Regenbogen::N,райдуга,قوس قزح
95,Donner::N,грім,رعد
96,Strömung::N,струмина,تيار
97,Tropfen::N,крапля,قطرة
98,Schaum::N,піна,زبد
99,Schaum::N,піна,رغوة
100,Schmutz::N,бруд,وسخ
101,See::N,озеро,بحيرة
102,Sumpf::N,драговина,مستنقع
103,Moor::N,болото,مستنقع
104,Wiese::N,луг,مرج
105,Wiese::N,лука,مرج
106,Wald::N,ліс,غابة
107,Hügel::N,горб,تل
108,Anhöhe::N,височина,تل
109,Berg::N,гора,جبل
110,Gipfel::N,вершина,قمة
111,Höhle::N,печера,كهف
112,Abhang::N,схил,منحدر
113,Quelle::N,джерело,منبع
114,Bach::N,струмок,مجرى
115,Fluss::N,річка,نهر
116,Ufer::N,берег,ضفة
117,Küste::N,узбережжя,ساحل
118,Festland::N,суша,بر
119,Meer::N,море,بحر
120,Bucht::N,бухта,خليج
121,Bucht::N,затока,خليج
122,Insel::N,острів,جزيرة
123,Blume::N,квітка,زهرة
124,Gras::N,трава,حشيش
125,Wurzel::N,корінь,أصل
126,Baum::N,дерево,شجرة
127,Stamm::N,стовбур,جذع
128,Rinde::N,кора,قشرة
129,Ast::N,гілка,فرع
130,Zweig::N,галузь,غصن
131,Blatt::N,лист,ورقة
132,Birke::N,береза,قضبان
133,Kiefer[Baum]::N,сосна,صنوبرة
134,Weide[Baum]::N,верба,صفصاف
135,Tanne::N,ялиця,شوح
136,Tanne::N,ялиця,تبوب
137,Horn::N,ріг,قرن
138,Feder::N,перо,ريشة
139,Fell::N,хутро,فرو
140,Flügel::N,крило,جناح
141,Klaue::N,кіготь,مخلب
142,Kralle::N,лапа,مخلب
143,Schwanz::N,хвіст,ذيل
144,Ei::N,яйце,بيض
145,Nest::N,гніздо,عش
146,Bau::N,лігво,جحر
147,Tier::N,тварина,حيوان
148,Herde::N,стадо,قطيع
149,Kuh::N,корова,بقرة
150,Bulle::N,бик,ثور
151,Bulle::N,бугай,ثور
152,Pferd::N,кінь,خيل
153,Schaf::N,вівця,شاة
154,Schwein::N,свиня,خنزير
155,Hund::N,собака,كلب
156,Katze::N,кішка,قطة
157,Bär::N,ведмідь,دب
158,Eichhörnchen::N,білка,سنجاب
159,Elch::N,лось,موظ
160,Fuchs::N,лисиця,ثعلب
161,Hase::N,заєць,أرنب
162,Maus::N,миша,فأرة
163,Wolf::N,вовк,ذئب
164,Vogel::N,птах,طير
165,Schwarm::N,зграя,سرب
166,Huhn::N,курка,دجاجة
167,Hahn::N,півень,ديك
168,Gans::N,гуска,وزة
169,Adler::N,орел,نسر
170,Ente::N,качка,بطة
171,Eule::N,сова,بوم
172,Kranich::N,журавель,كركي
173,Krähe::N,ворона,غراب
174,Kuckuck::N,зозуля,وقواق
175,Schwan::N,лебідь,إوز عراقي
176,Fisch::N,риба,سمك
177,Barsch::N,окунь,فرخ أوربي
178,Hecht::N,щука,سمك الكراكي
179,Schlange[Tier]::N,змія,حية
180,Schlange[Tier]::N,змія,ثعبان
181,Wurm::N,черв’як,دودة
182,Spinne::N,павук,عنكبوت
183,Ameise::N,мурашка,نملة
184,Laus::N,воша,قملة
185,Mücke::N,комар,ناموسة
186,Fliege::N,муха,ذبابة
187,Schmetterling::N,метелик,فراشة
188,Beere::N,ягода,حبة
189,Apfel::N,яблуко,تفاح
190,Pilz::N,гриб,فطر
191,Zwiebel::N,цибуля,بصل
192,Saat::N,сім’я,زرع
193,Korn::N,зерно,حبة
194,Heu::N,сіно,دريس
195,Schale::N,шкірка,قشرة
196,Grube::N,яма,نقرة
197,Falle::N,пастка,فخ
198,Falle::N,пастка,مصيدة
199,Schlinge::N,петля,عروة
200,Spur::N,слід,أثر
201,Asche::N,зола,رماد
202,Asche::N,попіл,رماد
203,Dreck::N,бруд,قذر
204,Eisen::N,залізо,حديد
205,Gold::N,золото,ذهب
206,Silber::N,срібло,فضة
207,Kohle::N,вугілля,فحم
208,Glas::N,скло,زجاج
209,Lehm::N,глина,طين
210,Sand::N,пісок,رمل
211,Mensch::N,людина,إنسان
212,Mann::N,чоловік,رجل
213,Frau::N,жінка,امرأة
214,Kind::N,дитина,طفل
215,Junge::N,хлопець,ولد
216,Mädchen::N,дівчина,بنت
217,Familie::N,сім’я,عائلة
218,Familie::N,родина,عائلة
219,Großvater::N,дідусь,جد
220,Großmutter::N,бабуся,جدة
221,Eltern::N,батьки,أبوان
222,Eltern::N,батьки,والدان
223,Vater::N,батько,أب
224,Mutter::N,мати,أم
225,Sohn::N,син,إبن
226,Tochter::N,дочка,بنت
227,Tochter::N,дочка,إبنة
228,Bruder::N,брат,أخ
229,Bruder::N,брат,شقيق
230,Schwester::N,сестра,أخت
231,Onkel::N,дядько,عم
232,Tante::N,тітка,عمة
233,Ehemann::N,чоловік,زوج
234,Ehefrau::N,жінка,زوجة
235,Ehefrau::N,дружина,زوجة
236,Freude::N,радощі,فرح
237,Freude::N,радощі,سرور
238,Gelächter::N,сміх,قهقهة
239,Glück::N,щастя,سعادة
240,Kummer::N,горе,غم
241,Wunsch::N,бажання,منية
242,Lust::N,бажання,شهوة
243,Geist::N,дух,روح
244,Gedanke::N,думка,فكرة
245,Gedächtnis::N,пам’ять,ذاكرة
246,Verstand::N,розум,عقل
247,Sinn::N,зміст,معنى
248,Sinn::N,значення,معنى
249,Grund::N,причина,سبب
250,Wahrheit::N,правда,حقيقة
251,Gespräch::N,розмова,محادثة
252,Märchen::N,байка,خرافة
253,Erzählung::N,повість,قصة
254,Erzählung::N,повість,حكاية
255,Erzählung::N,оповідання,قصة
256,Erzählung::N,оповідання,حكاية
257,Nachricht::N,повідомлення,خبر
258,Neuigkeit::N,новина,خبر جديد
259,Name::N,ім’я,اسم
260,Rätsel::N,загадка,لغز
261,Rede::N,промова,خطبة
262,Sprache::N,мова,لغة
263,Stimme::N,голос,صوت
264,Wort::N,слово,كلمة
265,Zeichen::N,знак,رمز
266,Zeichen::N,знак,إشارة
267,Ruf::N,оклик,نداء
268,Lärm::N,шум,صخب
269,Lärm::N,шум,ضجة
270,Laut::N,звук,صوت
271,Ton::N,тон,نغمة
272,Lied::N,пісня,أغنية
273,Ruhe::N,спокій,هدوء
274,Leute::N,люди,ناس
275,Volk::N,народ,شعب
276,Arbeit::N,робота,عمل
277,Gast::N,гість,ضيف
278,Geschenk::N,подарунок,هدية
279,Spiel::N,гра,لعب
280,Gesellschaft::N,товариство,صحبة
281,Hilfe::N,допомога,عون
282,Hilfe::N,допомога,مساعدة
