,Concept_ID,,hu
0,Auge::N,,szem
1,Ohr::N,,fül
2,Nase::N,,orr
3,Mund::N,,száj
4,Zahn::N,,fog
5,Zunge::N,,nyelv
6,Lippe::N,,ajak
7,Wange::N,,orca
8,Gesicht::N,,arc
9,Stirn::N,,homlok
10,Haar::N,,haj
11,Schnurrbart::N,,bajusz
12,Bart::N,,szakáll
13,Kinn::N,,áll
14,Kiefer[Anatomie]::N,,állkapocs
15,Kehle::N,,gége
16,Kehle::N,,torok
17,Hals::N,,nyak
18,Genick::N,,tarkó
19,Kopf::N,,fő
20,Kopf::N,,fej
21,Rücken::N,,hát
22,Bauch::N,,has
23,Nabel::N,,köldök
24,Busen::N,,mell
25,Busen::N,,kebel
26,Brust::N,,mell
27,Schulter::N,,váll
28,Arm::N,,kar
29,Ellenbogen::N,,könyök
30,Hand::N,,kéz
31,Handfläche::N,,tenyér
32,Finger::N,,ujj
33,Fingernagel::N,,köröm
34,Nagel[Anatomie]::N,,köröm
35,Zeh::N,,lábujj
36,Fuß::N,,láb
37,Ferse::N,,sarok
38,Knie::N,,térd
39,Oberschenkel::N,,comb
40,Bein::N,,láb
41,Bein::N,,lábszár
42,Körper::N,,test
43,Haut::N,,bőr
44,Blut::N,,vér
45,Ader::N,,ér
46,Sehne::N,,ín
47,Knochen::N,,csont
48,Gehirn::N,,agy
49,Gehirn::N,,agyvelő
50,Herz::N,,szív
51,Magen::N,,gyomor
52,Leber::N,,máj
53,Atem::N,,lehelet
54,Atem::N,,lélegzet
55,Hunger::N,,éhség
56,Träne::N,,könny
57,Geschmack::N,,íz
58,Geruch::N,,szag
59,Schlaf::N,,álom
60,Schlaf::N,,alvás
61,Traum::N,,álom
62,Himmel::N,,ég
63,Himmel::N,,menny
64,Sonne::N,,nap
65,Mond::N,,hold
66,Stern::N,,csillag
67,Luft::N,,levegő
68,Wind::N,,szél
69,Welle::N,,hullám
70,Wasser::N,,víz
71,Stein::N,,kő
72,Boden::N,,föld
73,Boden::N,,talaj
74,Erde::N,,föld
75,Staub::N,,por
76,Rauch::N,,füst
77,Funke::N,,szikra
78,Feuer::N,,tűz
79,Licht::N,,fény
80,Schatten::N,,árnyék
81,Wetter::N,,idő
82,Wetter::N,,időjárás
83,Nebel::N,,köd
84,Wolke::N,,felhő
85,Regen::N,,eső
86,Schnee::N,,hó
87,Eis::N,,jég
88,Frost::N,,fagy
89,Kälte::N,,hideg
90,Hitze::N,,hő
91,Hitze::N,,hőség
92,Raureif::N,,zúzmara
93,Regenbogen::N,,szivárvány
94,Donner::N,,dörgés
95,Donner::N,,mennydörgés
96,Strömung::N,,áramlat
97,Tropfen::N,,csepp
98,Schaum::N,,hab
99,Schaum::N,,tajték
100,Schmutz::N,,piszok
101,See::N,,tó
102,Sumpf::N,,mocsár
103,Moor::N,,láp
104,Wiese::N,,rét
105,Wiese::N,,mező
106,Wald::N,,erdő
107,Hügel::N,,domb
108,Anhöhe::N,,magaslat
109,Berg::N,,hegy
110,Gipfel::N,,csúcs
111,Höhle::N,,barlang
112,Abhang::N,,lejtő
113,Quelle::N,,forrás
114,Bach::N,,patak
115,Fluss::N,,folyó
116,Ufer::N,,part
117,Küste::N,,tengerpart
118,Festland::N,,szárazföld
119,Meer::N,,tenger
120,Bucht::N,,öböl
121,Insel::N,,sziget
122,Blume::N,,virág
123,Gras::N,,fű
124,Wurzel::N,,gyökér
125,Baum::N,,fa
126,Stamm::N,,tő
127,Stamm::N,,törzs
128,Rinde::N,,kéreg
129,Ast::N,,ág
130,Zweig::N,,gally
131,Blatt::N,,levél
132,Birke::N,,nyír
133,Kiefer[Baum]::N,,fenyő
134,Weide[Baum]::N,,fűz
135,Tanne::N,,fenyő
136,Horn::N,,szarv
137,Feder::N,,toll
138,Fell::N,,szőr
139,Fell::N,,bunda
140,Flügel::N,,szárny
141,Klaue::N,,köröm
142,Kralle::N,,karom
143,Schwanz::N,,farok
144,Ei::N,,tojás
145,Nest::N,,fészek
146,Bau::N,,odú
147,Tier::N,,állat
148,Herde::N,,nyáj
149,Herde::N,,csorda
150,Kuh::N,,tehén
151,Bulle::N,,bika
152,Pferd::N,,ló
153,Schaf::N,,juh
154,Schaf::N,,birka
155,Schwein::N,,sertés
156,Hund::N,,eb
157,Hund::N,,kutya
158,Katze::N,,macska
159,Bär::N,,medve
160,Eichhörnchen::N,,mókus
161,Elch::N,,jávorszarvas
162,Fuchs::N,,róka
163,Hase::N,,nyúl
164,Maus::N,,egér
165,Wolf::N,,farkas
166,Vogel::N,,madár
167,Schwarm::N,,raj
168,Huhn::N,,tyúk
169,Hahn::N,,kakas
170,Gans::N,,lúd
171,Gans::N,,liba
172,Adler::N,,sas
173,Ente::N,,kacsa
174,Eule::N,,bagoly
175,Kranich::N,,daru
176,Krähe::N,,varjú
177,Kuckuck::N,,kakukk
178,Schwan::N,,hattyú
179,Fisch::N,,hal
180,Barsch::N,,sügér
181,Hecht::N,,csuka
182,Schlange[Tier]::N,,kígyó
183,Wurm::N,,kukac
184,Spinne::N,,pók
185,Ameise::N,,hangya
186,Laus::N,,tetű
187,Mücke::N,,szúnyog
188,Fliege::N,,légy
189,Schmetterling::N,,lepke
190,Schmetterling::N,,pillangó
191,Beere::N,,bogyó
192,Apfel::N,,alma
193,Pilz::N,,gomba
194,Zwiebel::N,,hagyma
195,Saat::N,,vetőmag
196,Korn::N,,mag
197,Korn::N,,szem
198,Heu::N,,széna
199,Schale::N,,héj
200,Grube::N,,verem
201,Falle::N,,csapda
202,Schlinge::N,,tőr
203,Spur::N,,nyom
204,Asche::N,,hamu
205,Dreck::N,,sár
206,Dreck::N,,piszok
207,Eisen::N,,vas
208,Gold::N,,arany
209,Silber::N,,ezüst
210,Kohle::N,,szén
211,Glas::N,,üveg
212,Lehm::N,,agyag
213,Lehm::N,,vályog
214,Sand::N,,homok
215,Mensch::N,,ember
216,Mann::N,,úr
217,Mann::N,,férfi
218,Frau::N,,nő
219,Frau::N,,asszony
220,Kind::N,,gyerek
221,Kind::N,,gyermek
222,Junge::N,,fiú
223,Mädchen::N,,lány
224,Familie::N,,család
225,Großvater::N,,nagyapa
226,Großmutter::N,,nagyanya
227,Eltern::N,,szülők
228,Vater::N,,apa
229,Vater::N,,atya
230,Mutter::N,,anya
231,Sohn::N,,fiú
232,Tochter::N,,lány
233,Bruder::N,,fivér
234,Bruder::N,,testvér
235,Schwester::N,,nővér
236,Schwester::N,,lánytestvér
237,Onkel::N,,nagybácsi
238,Tante::N,,nagynéni
239,Ehemann::N,,férj
240,Ehefrau::N,,feleség
241,Freude::N,,öröm
242,Gelächter::N,,nevetés
243,Gelächter::N,,hahotázás
244,Glück::N,,boldogság
245,Kummer::N,,bánat
246,Wunsch::N,,óhaj
247,Lust::N,,kedv
248,Geist::N,,elme
249,Geist::N,,szellem
250,Gedanke::N,,gondolat
251,Gedächtnis::N,,emlékezet
252,Verstand::N,,ész
253,Verstand::N,,értelem
254,Sinn::N,,értelem
255,Grund::N,,ok
256,Grund::N,,alap
257,Wahrheit::N,,igaz
258,Wahrheit::N,,igazság
259,Gespräch::N,,beszélgetés
260,Märchen::N,,mese
261,Erzählung::N,,elbeszélés
262,Nachricht::N,,hír
263,Nachricht::N,,híradás
264,Neuigkeit::N,,újság
265,Name::N,,név
266,Rätsel::N,,rejtvény
267,Rede::N,,beszéd
268,Rede::N,,szónoklat
269,Sprache::N,,nyelv
270,Stimme::N,,hang
271,Wort::N,,szó
272,Zeichen::N,,jel
273,Ruf::N,,kiáltás
274,Lärm::N,,zaj
