,Concept_ID,ta,ta
0,Auge::N,கண்,கண்
1,Ohr::N,காது,காது
2,Nase::N,மூக்கு,மூக்கு
3,Mund::N,வாய்,வாய்
4,Zahn::N,பல்,பல்
5,Zunge::N,நாக்கு,நாக்கு
6,Lippe::N,உதடு,உதடு
7,Wange::N,கன்னம்,கன்னம்
8,Gesicht::N,முகம்,முகம்
9,Stirn::N,முன்னெற்றி,முன்னெற்றி
10,Haar::N,முடி,முடி
11,Schnurrbart::N,மீசை,மீசை
12,Bart::N,தாடி,தாடி
13,Kinn::N,கீழதாடை,கீழதாடை
14,Kiefer[Anatomie]::N,தாடை,தாடை
15,Kehle::N,தொண்டை,தொண்டை
16,Hals::N,கழுத்து,கழுத்து
17,Genick::N,கழுத்து,கழுத்து
18,Kopf::N,தலை,தலை
19,Rücken::N,முதுகு,முதுகு
20,Bauch::N,வயிறு,வயிறு
21,Nabel::N,தொப்புள்,தொப்புள்
22,Busen::N,மார்பகம்,மார்பகம்
23,Brust::N, மார்பு, மார்பு
24,Schulter::N,தோள்பட்டை,தோள்பட்டை
25,Arm::N,கரம்,கரம்
26,Ellenbogen::N,முழங்கை,முழங்கை
27,Hand::N,கை,கை
28,Handfläche::N,உள்ளங்கை,உள்ளங்கை
29,Finger::N,விரல்,விரல்
30,Fingernagel::N,விரல் நகம்,விரல் நகம்
31,Nagel[Anatomie]::N,நகம்,நகம்
32,Zeh::N,கால்விரல்,கால்விரல்
33,Fuß::N,கால்,கால்
34,Ferse::N,குதிகால்,குதிகால்
35,Knie::N,முழங்கால்,முழங்கால்
36,Oberschenkel::N,தொடை,தொடை
37,Bein::N,கால்,கால்
38,Körper::N,உடல்,உடல்
39,Haut::N,சருமம்,சருமம்
40,Blut::N,இரத்தம்,இரத்தம்
41,Ader::N,நாளம்,நாளம்
42,Sehne::N,தசைநார்,தசைநார்
43,Knochen::N,எலுமபு,எலுமபு
44,Gehirn::N,மூனை,மூனை
45,Herz::N,இதயம,இதயம
46,Magen::N,வயிறு,வயிறு
47,Leber::N,கல்லீரல்,கல்லீரல்
48,Atem::N,மூச்சு,மூச்சு
49,Hunger::N,பசி,பசி
50,Träne::N,கண்ணீர்,கண்ணீர்
51,Geschmack::N,நறுமணம்,நறுமணம்
52,Geruch::N,துர்நாற்றம்,துர்நாற்றம்
53,Schlaf::N,தூக்கம்,தூக்கம்
54,Traum::N,கனவு,கனவு
55,Himmel::N,வானம்,வானம்
56,Sonne::N,சூரியன்,சூரியன்
57,Mond::N,சந்திரன்,சந்திரன்
58,Stern::N,நட்சத்திரம்,நட்சத்திரம்
59,Luft::N,காறறு,காறறு
60,Wind::N,காற்று,காற்று
61,Welle::N,அலை,அலை
62,Wasser::N,நீர்,நீர்
63,Stein::N,கல்,கல்
64,Boden::N,தரை,தரை
65,Erde::N,மண்,மண்
66,Staub::N,தூசி,தூசி
67,Rauch::N,புகை,புகை
68,Funke::N,தீப்பொறி,தீப்பொறி
69,Feuer::N,தீ,தீ
70,Licht::N,வெளிச்சம்,வெளிச்சம்
71,Schatten::N,நிழல்,நிழல்
72,Wetter::N,வானிலை,வானிலை
73,Nebel::N,பனிமூட்டம்,பனிமூட்டம்
74,Wolke::N,மேகம்,மேகம்
75,Regen::N,மழை,மழை
76,Schnee::N,உறைபனி,உறைபனி
77,Eis::N,பனிக்கட்டி,பனிக்கட்டி
78,Frost::N,உறைபனி,உறைபனி
79,Kälte::N,குளிர்ந்த,குளிர்ந்த
80,Hitze::N,சூடு,சூடு
81,Raureif::N,உறைபனி வெண்திரை,உறைபனி வெண்திரை
82,Regenbogen::N,வானவில்,வானவில்
83,Donner::N,இடி,இடி
84,Strömung::N,நீரோட்டம்,நீரோட்டம்
85,Tropfen::N,துளி,துளி
86,Schaum::N,நுரை,நுரை
87,Schmutz::N,அழுக்கு,அழுக்கு
88,See::N,ஏரி,ஏரி
89,Sumpf::N,சதுப்பு நிலம்,சதுப்பு நிலம்
90,Moor::N,முட்புதற்காடு,முட்புதற்காடு
91,Wiese::N,பசும் புல்தரை,பசும் புல்தரை
92,Wald::N,காடு,காடு
93,Hügel::N,குன்று,குன்று
94,Anhöhe::N,பதுக்கை,பதுக்கை
95,Berg::N,மலை,மலை
96,Gipfel::N,உச்சி மாநாடு,உச்சி மாநாடு
97,Höhle::N,குகை,குகை
98,Abhang::N,சரிவு,சரிவு
99,Quelle::N,மூலம்,மூலம்
100,Bach::N,ஓடை,ஓடை
101,Fluss::N,ஆறு,ஆறு
102,Ufer::N,நீர்க்கரை,நீர்க்கரை
103,Küste::N,கடற்கரை,கடற்கரை
104,Festland::N,நிலம்,நிலம்
105,Meer::N,கடல்,கடல்
106,Bucht::N,சிறுகுடா,சிறுகுடா
107,Insel::N,தீவு,தீவு
108,Blume::N,பூ,பூ
109,Gras::N,புல்தரை,புல்தரை
110,Wurzel::N,வேர்,வேர்
111,Baum::N,மரம்,மரம்
112,Stamm::N,அடிமரம்,அடிமரம்
113,Rinde::N,பட்டை,பட்டை
114,Rinde::N,பட்டை,மரப்பட்டை
115,Rinde::N,மரப்பட்டை,பட்டை
116,Rinde::N,மரப்பட்டை,மரப்பட்டை
117,Ast::N,கினை,கினை
118,Zweig::N,குச்சி,குச்சி
119,Blatt::N,இலை,இலை
120,Birke::N,பிர்ச் மரம்,பிர்ச் மரம்
121,Kiefer[Baum]::N,தேவதாரு மரம்,தேவதாரு மரம்
122,Weide[Baum]::N,மர வகைகளுள் ஒன்று,மர வகைகளுள் ஒன்று
123,Tanne::N,சாதிக்கய்,சாதிக்கய்
124,Horn::N,கொம்பு,கொம்பு
125,Feder::N,இறகு,இறகு
126,Fell::N,மென்முடி,மென்முடி
127,Flügel::N,இறக்கை,இறக்கை
128,Klaue::N,நகம்,நகம்
129,Kralle::N,நகம்,நகம்
130,Schwanz::N,வால்,வால்
131,Ei::N,முட்டை,முட்டை
132,Nest::N,கூடு,கூடு
133,Bau::N,குகை,குகை
134,Tier::N,விலங்கு,விலங்கு
135,Herde::N,கூட்டம்,கூட்டம்
136,Kuh::N,பசு,பசு
137,Bulle::N,காளை,காளை
138,Pferd::N,குதிரை,குதிரை
139,Schaf::N,செம்மறிஆடு,செம்மறிஆடு
140,Schwein::N,பன்றி,பன்றி
141,Hund::N,நாய்,நாய்
142,Katze::N,பூனை,பூனை
143,Bär::N,கரடி,கரடி
144,Eichhörnchen::N,அணில்,அணில்
145,Elch::N,கடம்பை,கடம்பை
146,Fuchs::N,நரி,நரி
147,Hase::N,முயல்,முயல்
148,Maus::N,எலி,எலி
149,Wolf::N,ஓநாய்,ஓநாய்
150,Vogel::N,பறவை,பறவை
151,Schwarm::N,தொகுதி,தொகுதி
152,Huhn::N,கோழிக்குஞசு,கோழிக்குஞசு
153,Hahn::N,சேவல்,சேவல்
154,Gans::N,பெண் வாத்து,பெண் வாத்து
155,Adler::N,பருநது,பருநது
156,Ente::N,வாத்து,வாத்து
157,Eule::N,ஆந்தை,ஆந்தை
158,Kranich::N,நாரை,நாரை
159,Krähe::N,காகம்,காகம்
160,Kuckuck::N,குயில்,குயில்
161,Schwan::N,அன்னம்,அன்னம்
162,Fisch::N,மீன்,மீன்
163,Barsch::N,பேர்ச்,பேர்ச்
164,Hecht::N,கோலாச்சி மீன்,கோலாச்சி மீன்
165,Schlange[Tier]::N,பாம்பு,பாம்பு
166,Wurm::N,புழு,புழு
167,Spinne::N,சிலந்தி,சிலந்தி
168,Ameise::N,எறும்பு,எறும்பு
169,Laus::N,பேன்,பேன்
170,Mücke::N,கொசுவினப்பூச்சி,கொசுவினப்பூச்சி
171,Fliege::N,ஈ,ஈ
172,Schmetterling::N,வண்ணத்துப்பூச்சி,வண்ணத்துப்பூச்சி
173,Beere::N,சதைப்பழம்,சதைப்பழம்
174,Apfel::N,ஆப்பிள பழம்,ஆப்பிள பழம்
175,Pilz::N,காளான்,காளான்
176,Zwiebel::N,வெங்காயம்,வெங்காயம்
177,Saat::N,விதை,விதை
178,Korn::N,தானியம்,தானியம்
179,Heu::N,வைக்கோல்,வைக்கோல்
180,Schale::N,தோல்,தோல்
181,Grube::N,குழி,குழி
182,Falle::N,பொறி,பொறி
183,Schlinge::N,கண்ணி,கண்ணி
184,Spur::N,சுவடு,சுவடு
185,Asche::N,சாம்பல்,சாம்பல்
186,Dreck::N,அழுக்கு,அழுக்கு
187,Eisen::N,இரும்பு,இரும்பு
188,Gold::N,தங்கம்,தங்கம்
189,Silber::N,வெள்ளி,வெள்ளி
190,Kohle::N,நிலக்கரி,நிலக்கரி
191,Glas::N,கண்ணாடி,கண்ணாடி
192,Lehm::N,களிமண்,களிமண்
193,Sand::N,மணல்,மணல்
194,Mensch::N,மனிதர்கள்,மனிதர்கள்
195,Mann::N,மனிதன்,மனிதன்
196,Frau::N,பெண்,பெண்
197,Kind::N,குழந்தை,குழந்தை
198,Junge::N,பையன்,பையன்
199,Mädchen::N,சிறுமி,சிறுமி
200,Familie::N,குடும்பம்,குடும்பம்
201,Großvater::N,தாத்தா,தாத்தா
202,Großmutter::N,பாட்டி,பாட்டி
203,Eltern::N,பெற்றோர்,பெற்றோர்
204,Vater::N,தந்தை,தந்தை
205,Mutter::N,தாய்,தாய்
