,Concept_ID,kn,cy
0,Auge::N,ಕಣ್ಣು,llygad
1,Ohr::N,ಕಿವಿ,clust
2,Nase::N,ಮೂಗು,trwyn
3,Mund::N,ಬಾಯಿ,ceg
4,Zahn::N,ಹಲ್ಲು,dant
5,Zunge::N,ನಾಲಿಗೆ,tafod
6,Lippe::N,ತುಟಿ,gwefus
7,Wange::N,ಗಲ್ಲ,boch
8,Gesicht::N,ಮುಖ,wyneb
9,Stirn::N,ಹಣೆ,talcen
10,Haar::N,ಕೂದಲು,blew
11,Schnurrbart::N,ಮೀಸೆ,mwstas
12,Bart::N,ಗಡ್ಡ,barf
13,Kinn::N,ಗದ್ದ,gên
14,Kiefer[Anatomie]::N,ದವಡೆ,gên
15,Kehle::N,ಗಂಟಲು,gwddf
16,Hals::N,ಕೊರಳು,gwddf
17,Genick::N,ಹಿಂಗತ್ತು,gwar
18,Genick::N,ಹಿಂಗತ್ತು,gwegil
19,Kopf::N,ತಲೆ,pen
20,Rücken::N,ಬೆನ್ನು,cefn
21,Bauch::N,ಹೊಟ್ಟೆ,bol
22,Nabel::N,ಹೊಕ್ಕುಳು,bogail
23,Busen::N,ಸ್ತನ,bron
24,Brust::N,ಎದೆ,brest
25,Schulter::N,ಭುಜ,ysgwydd
26,Arm::N,ತೋಳು,braich
27,Ellenbogen::N,ಮೊಣಕೈ,penelin
28,Hand::N,ಕೈ,llaw
29,Handfläche::N,ಅಂಗೈ,palf
30,Finger::N,ಕೈಬೆರಳು,bys
31,Fingernagel::N,ಉಗುರು,ewin
32,Nagel[Anatomie]::N,ಉಗುರು,ewin
33,Zeh::N,ಕಾಲ್ಬೆರಳು,bys troed
34,Fuß::N,ಪಾದ,troed
35,Ferse::N,ಹಿಮ್ಮಡಿ,sawdl
36,Knie::N,ಮಂಡಿ,glin
37,Oberschenkel::N,ತೊಡೆ,clun
38,Bein::N,ಕಾಲು,coes
39,Körper::N,ದೇಹ,corff
40,Haut::N,ಚರ್ಮ,croen
41,Blut::N,ರಕ್ತ,gwaed
