,Concept_ID,ka,ce
0,Auge::N,თვალი,бӏаьрг
1,Ohr::N,ყური,лерг
2,Nase::N,ცხვირი,мара
3,Mund::N,პირი,бага
4,Zahn::N,კბილი,церг
5,Zunge::N,ენა,мотт
6,Lippe::N,ბაგე,балда
7,Wange::N,ლოყა,бесни
8,Gesicht::N,სახე,юьхь
9,Stirn::N,შუბლი,хьаж
10,Haar::N,თმა,мас
11,Schnurrbart::N,ულვაში,мекх
12,Bart::N,წვერი,маж
13,Kinn::N,ნიკაპი,чӏениг
14,Kiefer[Anatomie]::N,ყბა,мочхал
15,Kehle::N,ყელი,къамкъарг
16,Hals::N,ყელი,ворта
17,Hals::N,კისერი,ворта
18,Genick::N,კეფა,кӏесаркӏаг
19,Kopf::N,თავი,корта
20,Rücken::N,ზურგი,букъ
21,Bauch::N,მუცელი,кийра
22,Nabel::N,ჭიპი,цӏонга
23,Busen::N,ძუძუ,зударийн накха
24,Brust::N,მკერდი,накха
25,Schulter::N,მხარი,белш
26,Schulter::N,მკლავი,белш
27,Arm::N,ხელი,пхьарс
28,Ellenbogen::N,იდაყვი,пхьаьрсан гола
29,Hand::N,ხელი,куьг
30,Handfläche::N,ნები,кераюкъ
31,Handfläche::N,ხელისგული,кераюкъ
32,Finger::N,თითი,пӏелг
33,Fingernagel::N,ფრჩხილი,мӏара
34,Nagel[Anatomie]::N,ფრჩხილი,мӏара
35,Zeh::N,ფეხის თითი,кога пӏелг
36,Fuß::N,ტერფი,ког
37,Fuß::N,ფეხისგული,ког
38,Ferse::N,ქუსლი,кӏажа
39,Knie::N,მუხლი,гола
40,Oberschenkel::N,ბარძაყი,варе
41,Bein::N,ფეხი,ког
42,Körper::N,ტანი,хӏума
43,Körper::N,სხეული,хӏума
44,Haut::N,კანი,чкъор
45,Blut::N,სისხლი,цӏий
46,Ader::N,ძარღვი,пха
47,Sehne::N,მყესი,хьорзам
48,Knochen::N,ძვალი,даьӏахк
49,Gehirn::N,ტვინი,хье
50,Herz::N,გული,дог
51,Magen::N,კუჭი,зорх
52,Leber::N,ღვიძლი,доӏах
53,Atem::N,სუნთქვა,садеӏар
54,Hunger::N,შიმშილი,мацалла
55,Träne::N,ცრემლი,бӏаьрхи
56,Geschmack::N,გემო,чам
57,Geruch::N,სუნი,хьожа
58,Schlaf::N,ძილი,наб
59,Traum::N,სიზმარი,гӏан
60,Himmel::N,ცა,стигал
61,Sonne::N,მზე,малх
62,Mond::N,მთვარე,бутт
63,Stern::N,ვარსკვლავი,седа
64,Luft::N,ჰაერი,xӏаваъ
65,Wind::N,ქარი,мох
66,Welle::N,ტალღა,тулгӏе
