,Concept_ID,hu,ka
0,Auge::N,szem,თვალი
1,Ohr::N,fül,ყური
2,Nase::N,orr,ცხვირი
3,Mund::N,száj,პირი
4,Zahn::N,fog,კბილი
5,Zunge::N,nyelv,ენა
6,Lippe::N,ajak,ბაგე
7,Wange::N,orca,ლოყა
8,Gesicht::N,arc,სახე
9,Stirn::N,homlok,შუბლი
10,Haar::N,haj,თმა
11,Schnurrbart::N,bajusz,ულვაში
12,Bart::N,szakáll,წვერი
13,Kinn::N,áll,ნიკაპი
14,Kiefer[Anatomie]::N,állkapocs,ყბა
15,Kehle::N,gége,ყელი
16,Kehle::N,torok,ყელი
17,Hals::N,nyak,ყელი
18,Hals::N,nyak,კისერი
19,Genick::N,tarkó,კეფა
20,Kopf::N,fő,თავი
21,Kopf::N,fej,თავი
22,Rücken::N,hát,ზურგი
23,Bauch::N,has,მუცელი
24,Nabel::N,köldök,ჭიპი
25,Busen::N,mell,ძუძუ
26,Busen::N,kebel,ძუძუ
27,Brust::N,mell,მკერდი
28,Schulter::N,váll,მხარი
29,Schulter::N,váll,მკლავი
30,Arm::N,kar,ხელი
31,Ellenbogen::N,könyök,იდაყვი
32,Hand::N,kéz,ხელი
33,Handfläche::N,tenyér,ნები
34,Handfläche::N,tenyér,ხელისგული
35,Finger::N,ujj,თითი
36,Fingernagel::N,köröm,ფრჩხილი
37,Nagel[Anatomie]::N,köröm,ფრჩხილი
38,Zeh::N,lábujj,ფეხის თითი
39,Fuß::N,láb,ტერფი
40,Fuß::N,láb,ფეხისგული
41,Ferse::N,sarok,ქუსლი
42,Knie::N,térd,მუხლი
43,Oberschenkel::N,comb,ბარძაყი
44,Bein::N,láb,ფეხი
45,Bein::N,lábszár,ფეხი
46,Körper::N,test,ტანი
47,Körper::N,test,სხეული
48,Haut::N,bőr,კანი
49,Blut::N,vér,სისხლი
50,Ader::N,ér,ძარღვი
51,Sehne::N,ín,მყესი
52,Knochen::N,csont,ძვალი
53,Gehirn::N,agy,ტვინი
54,Gehirn::N,agyvelő,ტვინი
55,Herz::N,szív,გული
56,Magen::N,gyomor,კუჭი
57,Leber::N,máj,ღვიძლი
58,Atem::N,lehelet,სუნთქვა
59,Atem::N,lélegzet,სუნთქვა
60,Hunger::N,éhség,შიმშილი
61,Träne::N,könny,ცრემლი
62,Geschmack::N,íz,გემო
63,Geruch::N,szag,სუნი
64,Schlaf::N,álom,ძილი
