,Concept_ID,ga,os
0,Auge::N,súil,цӕст
1,Ohr::N,cluas,хъус
2,Nase::N,soc,фындз
3,Mund::N,béal,дзых
4,Zahn::N,fiacail,дӕндаг
5,Zunge::N,teanga,ӕвзаг
6,Lippe::N,liopa,был
7,Wange::N,grua,рус
8,Wange::N,grua,уадул
9,Wange::N,grua,ӕхсӕрфарс
10,Wange::N,leiceann,рус
11,Wange::N,leiceann,уадул
12,Wange::N,leiceann,ӕхсӕрфарс
13,Gesicht::N,éadan,цӕсгом
14,Gesicht::N,aghaidh,цӕсгом
15,Stirn::N,baithis,ных
16,Stirn::N,clár éadain,ных
17,Haar::N,gruaig,хил
18,Schnurrbart::N,croiméal,рихи
19,Bart::N,féasóg,зачъе
20,Kinn::N,smig,роцъо
21,Kiefer[Anatomie]::N,giall,ӕфсӕр
22,Kehle::N,scornach,хъуыр
23,Hals::N,muinéal,къубал
24,Genick::N,baic,къӕбут
25,Kopf::N,ceann,сӕр
26,Rücken::N,droim,фӕсонтӕ
27,Bauch::N,bolg,гуыбын
28,Nabel::N,imleacán,бикъ
29,Busen::N,cíoch,дзидзи
30,Brust::N,brollach,риу
31,Schulter::N,gualainn,уӕхск
32,Arm::N,lámh,цонг
33,Ellenbogen::N,uillinn,рæмбын
34,Hand::N,lámh,къух
35,Handfläche::N,bos,армытъӕпӕн
36,Finger::N,méar,ӕнруылдз
37,Fingernagel::N,ionga,ных
38,Nagel[Anatomie]::N,ionga,ных
39,Zeh::N,ladhar,къух
40,Fuß::N,cos,фад
41,Fuß::N,troigh,фад
42,Ferse::N,sáil,зӕвӕт
43,Knie::N,glúin,уӕраг
44,Oberschenkel::N,ceathrú,агъд
45,Bein::N,cos,зӕнг
46,Körper::N,corp,буар
47,Körper::N,colainn,буар
48,Haut::N,cneas,царм
49,Haut::N,craiceann,царм
50,Blut::N,fuil,туг
51,Sehne::N,teannán,хъиутæ
52,Sehne::N,teannán,нуар
53,Sehne::N,féitheog,хъиутæ
54,Sehne::N,féitheog,нуар
55,Knochen::N,cnámh,стӕг
56,Gehirn::N,inchinn,магъз
57,Herz::N,croí,зӕрдӕ
58,Magen::N,bolg,ахсӕн
59,Magen::N,goile,ахсӕн
60,Leber::N,ae,игæр
61,Atem::N,anáil,улӕфт
62,Hunger::N,ocras,стонг
63,Träne::N,deoir,цæссыг
64,Geschmack::N,blas,ад
65,Geruch::N,boladh,смаг
66,Schlaf::N,suan,хуыссӕг
67,Schlaf::N,codladh,хуыссӕг
68,Traum::N,taibhreamh,фын
69,Himmel::N,spéir,арв
70,Himmel::N,spéir,уӕларв
71,Sonne::N,grian,хур
72,Mond::N,ré,мӕй
73,Mond::N,gealach,мӕй
74,Stern::N,rinn,стъалы
75,Stern::N,réalta,стъалы
76,Luft::N,aer,уӕлдӕф
77,Wind::N,gaoth,дымгӕ
78,Welle::N,tonn,уылӕн
79,Wasser::N,uisce,дон
80,Stein::N,cloch,дур
81,Boden::N,talamh,зӕхх
82,Erde::N,cré,сыджыт
83,Erde::N,ithir,сыджыт
84,Staub::N,dusta,рыг
85,Staub::N,deannach,рыг
86,Rauch::N,toit,фӕздӕг
87,Rauch::N,deatach,фӕздӕг
88,Funke::N,drithle,цӕхӕр
89,Feuer::N,tine,зынг
90,Licht::N,solas,рухс
91,Schatten::N,scáth,аууон
92,Wetter::N,aimsir,боныхъӕд
93,Nebel::N,ceo,мигъ
94,Wolke::N,néal,ӕврагъ
95,Wolke::N,scamall,ӕврагъ
96,Regen::N,báisteach,уарын
97,Regen::N,fearthainn,уарын
98,Schnee::N,sneachta,мит
99,Eis::N,oighear,их
100,Frost::N,sioc,ихæн
101,Kälte::N,fuacht,уазал
