,Concept_ID,sl,hy
0,Auge::N,okó,աչք
1,Ohr::N,uhó,ականջ
2,Nase::N,nós,քիթ
3,Mund::N,ústa,բերան
4,Zahn::N,zób,ատամ
5,Zunge::N,jêzik,լեզու
6,Lippe::N,ústnica,շրթունք
7,Wange::N,líce,այտ
8,Wange::N,líce,թուշ
9,Gesicht::N,oblíčje,դեմք
10,Stirn::N,čêlo,ճակատ
11,Haar::N,lás,մազ
12,Schnurrbart::N,bŕki,բեղ
13,Bart::N,bráda,մորուք
14,Kinn::N,bráda,կզակ
15,Kiefer[Anatomie]::N,čeljúst,ծնոտ
16,Kehle::N,gŕlo,կոկորդ
17,Hals::N,vrát,վիզ
18,Hals::N,vrát,պարանոց
19,Genick::N,zatílnik,ծոծրակ
20,Kopf::N,gláva,գլուխ
21,Rücken::N,hrbèt,մեջք
22,Bauch::N,trébuh,փոր
23,Bauch::N,trébuh,որովայն
24,Nabel::N,pópek,պորտ
25,Busen::N,nédrja,ծոց
26,Brust::N,pŕsi,կուրծք
27,Schulter::N,ráma,ուս
28,Schulter::N,plêče,ուս
29,Arm::N,rôka,թեւ
30,Arm::N,rôka,բազուկ
31,Ellenbogen::N,komólec,արմունկ
32,Hand::N,rôka,ձեռք
33,Handfläche::N,dlán,ափ
34,Finger::N,pŕst,մատ
35,Fingernagel::N,nóht na rôki,եղունգ
36,Nagel[Anatomie]::N,nóht,եղունգ
37,Zeh::N,pŕst na nôgi,ոտքի մատ
38,Fuß::N,nôga,ոտք
39,Ferse::N,pêta,գարշապար
40,Knie::N,koléno,ծունկ
41,Oberschenkel::N,stêgno,ազդր
42,Bein::N,nôga,ոտք
43,Körper::N,teló,մարմին
44,Haut::N,kóža,մաշկ
45,Blut::N,krí,արյուն
46,Ader::N,žíla,երակ
47,Sehne::N,kíta,ջիղ
48,Sehne::N,kíta,ձգտան
49,Knochen::N,kóst,ոսկոր
50,Gehirn::N,možgáni,խելք
51,Herz::N,srcé,սիրտ
52,Magen::N,želódec,ստամոքս
53,Leber::N,jétra,լյարդ
54,Atem::N,díh,շունչ
55,Hunger::N,glád,քաղց
56,Träne::N,sólza,արտասուք
